시군명,사고년도,사고유형구분,다발지식별자,다발지역그룹식별자,법정동코드,위치코드,시도시군구명,사고지역위치명,발생건수,사상자수,사망자수,중상자수,경상자수,부상자수,위도,경도,사고다발지역폴리곤정보
가평군,2023,자전거사고다발지,6929984,2024046,4182032522,41820001,경기 가평군1,경기 가평군 청평면(상천역입구교차로 부근),4,4,0,1,3,0,37.772008983060,127.451974854241,"{""type"":""Polygon"",""coordinates"":[[[127.45377148,37.77177562],[127.45373696,37.7714974],[127.45363472,37.77122987],[127.4534687,37.77098331],[127.45324526,37.7707672],[127.45297301,37.77058984],[127.45266239,37.77045805],[127.45232536,37.77037689],[127.45197485,37.77034949],[127.45162435,37.77037689],[127.45128731,37.77045805],[127.4509767,37.77058984],[127.45070444,37.7707672],[127.45048101,37.77098331],[127.45031498,37.77122987],[127.45021275,37.7714974],[127.45017822,37.77177562],[127.45021275,37.77205385],[127.45031498,37.77232138],[127.45048101,37.77256793],[127.45070444,37.77278404],[127.4509767,37.77296139],[127.45128731,37.77309318],[127.45162435,37.77317433],[127.45197485,37.77320173],[127.45232536,37.77317433],[127.45266239,37.77309318],[127.45297301,37.77296139],[127.45324526,37.77278404],[127.4534687,37.77256793],[127.45363472,37.77232138],[127.45373696,37.77205385],[127.45377148,37.77177562]]]}"
가평군,2018,보행노인사고다발지,6506068,2019036,4182032521,41820001,경기도 가평군1,경기도 가평군 청평면(청평터미널 부근),4,4,0,2,2,0,37.739333175587,127.421720353213,"{""type"":""Polygon"",""coordinates"":[[[127.42351698,37.73933318],[127.42348246,37.73905599],[127.42338022,37.73878946],[127.4232142,37.73854383],[127.42299076,37.73832852],[127.42271851,37.73815183],[127.42240789,37.73802053],[127.42207086,37.73793968],[127.42172035,37.73791238],[127.42136985,37.73793968],[127.42103281,37.73802053],[127.4207222,37.73815183],[127.42044994,37.73832852],[127.42022651,37.73854383],[127.42006048,37.73878946],[127.41995824,37.73905599],[127.41992372,37.73933318],[127.41995824,37.73961036],[127.42006048,37.73987688],[127.42022651,37.74012252],[127.42044994,37.74033781],[127.4207222,37.7405145],[127.42103281,37.7406458],[127.42136985,37.74072664],[127.42172035,37.74075394],[127.42207086,37.74072664],[127.42240789,37.7406458],[127.42271851,37.7405145],[127.42299076,37.74033781],[127.4232142,37.74012252],[127.42338022,37.73987688],[127.42348246,37.73961036],[127.42351698,37.73933318]]]}"
가평군,2017,무단횡단사고다발지,6429445,2018045,4182032521,281141001,경기 가평1,경기도 가평군 청평면(종로약국 부근),4,4,0,0,1,3,37.737294181382,127.418782980351,"{""type"":""Polygon"",""coordinates"":[[[127.42147793,37.73729418],[127.42142614,37.7368784],[127.42127279,37.73647859],[127.42102375,37.73611012],[127.42068859,37.73578716],[127.42028021,37.73552211],[127.41981429,37.73532515],[127.41930874,37.73520387],[127.41878298,37.73516292],[127.41825722,37.73520387],[127.41775167,37.73532515],[127.41728575,37.73552211],[127.41687737,37.73578716],[127.41654221,37.73611012],[127.41629318,37.73647859],[127.41613982,37.7368784],[127.41608803,37.73729418],[127.41613982,37.73770996],[127.41629318,37.73810976],[127.41654221,37.73847822],[127.41687737,37.73880117],[127.41728575,37.73906621],[127.41775167,37.73926316],[127.41825722,37.73938443],[127.41878298,37.73942538],[127.41930874,37.73938443],[127.41981429,37.73926316],[127.42028021,37.73906621],[127.42068859,37.73880117],[127.42102375,37.73847822],[127.42127279,37.73810976],[127.42142614,37.73770996],[127.42147793,37.73729418]]]}"
가평군,2017,무단횡단사고다발지,6430775,2018045,4182025023,281141002,경기 가평2,경기도 가평군 가평읍(가평군농협 자라섬지점 부근),3,3,2,1,0,0,37.8142672956,127.514815101137,"{""type"":""Polygon"",""coordinates"":[[[127.51751005,37.8142673],[127.51745826,37.81385194],[127.51730491,37.81345255],[127.51705587,37.81308447],[127.51672072,37.81276184],[127.51631233,37.81249706],[127.51584641,37.81230032],[127.51534086,37.81217916],[127.5148151,37.81213825],[127.51428934,37.81217916],[127.51378379,37.81230032],[127.51331787,37.81249706],[127.51290949,37.81276184],[127.51257434,37.81308447],[127.5123253,37.81345255],[127.51217194,37.81385194],[127.51212016,37.8142673],[127.51217194,37.81468264],[127.5123253,37.81508203],[127.51257434,37.8154501],[127.51290949,37.81577272],[127.51331787,37.81603748],[127.51378379,37.81623422],[127.51428934,37.81635537],[127.5148151,37.81639628],[127.51534086,37.81635537],[127.51584641,37.81623422],[127.51631233,37.81603748],[127.51672072,37.81577272],[127.51705587,37.8154501],[127.51730491,37.81508203],[127.51745826,37.81468264],[127.51751005,37.8142673]]]}"
가평군,2017,보행노인사고다발지,6402864,2018029,4182025023,41820001,경기도 가평군1,경기도 가평군 가평읍(가평군농협하나로마트자라점 부근),3,3,2,1,0,0,37.81374264191,127.514905176334,"{""type"":""Polygon"",""coordinates"":[[[127.51670181,37.81374264],[127.51666729,37.81346574],[127.51656505,37.81319948],[127.51639902,37.81295409],[127.51617559,37.812739],[127.51590333,37.81256248],[127.51559272,37.81243132],[127.51525568,37.81235055],[127.51490518,37.81232328],[127.51455467,37.81235055],[127.51421764,37.81243132],[127.51390702,37.81256248],[127.51363477,37.812739],[127.51341133,37.81295409],[127.51324531,37.81319948],[127.51314307,37.81346574],[127.51310855,37.81374264],[127.51314307,37.81401954],[127.51324531,37.8142858],[127.51341133,37.81453119],[127.51363477,37.81474627],[127.51390702,37.81492278],[127.51421764,37.81505394],[127.51455467,37.81513471],[127.51490518,37.81516198],[127.51525568,37.81513471],[127.51559272,37.81505394],[127.51590333,37.81492278],[127.51617559,37.81474627],[127.51639902,37.81453119],[127.51656505,37.8142858],[127.51666729,37.81401954],[127.51670181,37.81374264]]]}"
가평군,2016,자전거사고다발지,6302815,2017050,4182032522,41820001,경기도 가평군1,경기도 가평군 청평면(중감천교 부근),4,4,0,2,2,0,37.77198644392,127.451957837485,"{""type"":""Polygon"",""coordinates"":[[[127.45375447,37.77198644],[127.45371995,37.77170938],[127.45361771,37.77144297],[127.45345168,37.77119744],[127.45322825,37.77098224],[127.45295599,37.77080562],[127.45264538,37.77067438],[127.45230834,37.77059356],[127.45195784,37.77056628],[127.45160733,37.77059356],[127.4512703,37.77067438],[127.45095968,37.77080562],[127.45068743,37.77098224],[127.45046399,37.77119744],[127.45029797,37.77144297],[127.45019573,37.77170938],[127.45016121,37.77198644],[127.45019573,37.7722635],[127.45029797,37.77252991],[127.45046399,37.77277544],[127.45068743,37.77299064],[127.45095968,37.77316725],[127.4512703,37.77329848],[127.45160733,37.7733793],[127.45195784,37.77340659],[127.45230834,37.7733793],[127.45264538,37.77329848],[127.45295599,37.77316725],[127.45322825,37.77299064],[127.45345168,37.77277544],[127.45361771,37.77252991],[127.45371995,37.7722635],[127.45375447,37.77198644]]]}"
가평군,2015,보행노인사고다발지,6222749,2016146,4182025021,41820001,경기도 가평군1,경기도 가평군 가평읍(한국전력공사 부근),3,3,0,1,2,0,37.834294965541,127.51113705833,"{""type"":""Polygon"",""coordinates"":[[[127.51293369,37.83429497],[127.51289917,37.83401814],[127.51279693,37.83375195],[127.5126309,37.83350663],[127.51240747,37.8332916],[127.51213521,37.83311514],[127.5118246,37.83298401],[127.51148756,37.83290326],[127.51113706,37.83287599],[127.51078655,37.83290326],[127.51044952,37.83298401],[127.5101389,37.83311514],[127.50986665,37.8332916],[127.50964321,37.83350663],[127.50947719,37.83375195],[127.50937495,37.83401814],[127.50934043,37.83429497],[127.50937495,37.83457179],[127.50947719,37.83483797],[127.50964321,37.83508329],[127.50986665,37.83529831],[127.5101389,37.83547478],[127.51044952,37.8356059],[127.51078655,37.83568664],[127.51113706,37.83571391],[127.51148756,37.83568664],[127.5118246,37.8356059],[127.51213521,37.83547478],[127.51240747,37.83529831],[127.5126309,37.83508329],[127.51279693,37.83483797],[127.51289917,37.83457179],[127.51293369,37.83429497]]]}"
가평군,2013,보행노인사고다발지,195858,2014105,4182032522,41820001,경기도 가평군1,경기도 가평군 청평면((은성장) 부근),5,5,0,5,0,0,37.737809866133,127.419731243503,"{""type"":""Polygon"",""coordinates"":[[[127.4213357,37.739084],[127.4209919,37.7393081],[127.4205996,37.7394746],[127.4201739,37.7395772],[127.4197312,37.7396118],[127.4192886,37.7395772],[127.4188629,37.7394746],[127.4184706,37.7393081],[127.4181268,37.739084],[127.4178446,37.738811],[127.4176349,37.7384994],[127.4175058,37.7381614],[127.4174622,37.7378098],[127.4175058,37.7374583],[127.417635,37.7371203],[127.4178447,37.7368087],[127.4181268,37.7365357],[127.4184707,37.7363116],[127.418863,37.7361451],[127.4192886,37.7360425],[127.4197312,37.7360079],[127.4201739,37.7360425],[127.4205995,37.7361451],[127.4209918,37.7363116],[127.4213356,37.7365357],[127.4216178,37.7368087],[127.4218275,37.7371203],[127.4219566,37.7374583],[127.4220003,37.7378098],[127.4219567,37.7381614],[127.4218276,37.7384994],[127.4216179,37.738811],[127.4213357,37.739084]]]}"
가평군,2013,보행노인사고다발지,5157251,2014105,4182025000,41820002,경기도 가평군2,경기도 가평군 가평읍((훼미리마트) 부근),3,3,0,2,1,0,37.829481651858,127.51384087186,"{""type"":""Polygon"",""coordinates"":[[[127.5154473,37.8307558],[127.515103,37.8309799],[127.5147103,37.8311464],[127.5142841,37.8312489],[127.5138409,37.8312836],[127.5133977,37.8312489],[127.5129715,37.8311464],[127.5125787,37.8309799],[127.5122344,37.8307558],[127.5119519,37.8304827],[127.511742,37.8301712],[127.5116127,37.8298332],[127.5115691,37.8294816],[127.5116127,37.8291301],[127.511742,37.8287921],[127.511952,37.8284805],[127.5122345,37.8282075],[127.5125787,37.8279834],[127.5129715,37.8278169],[127.5133977,37.8277144],[127.5138409,37.8276797],[127.5142841,37.8277144],[127.5147102,37.8278169],[127.515103,37.8279834],[127.5154473,37.8282075],[127.5157298,37.8284805],[127.5159397,37.8287921],[127.516069,37.8291301],[127.5161127,37.8294816],[127.516069,37.8298332],[127.5159398,37.8301712],[127.5157298,37.8304827],[127.5154473,37.8307558]]]}"
가평군,2012,무단횡단사고다발지,167433,2013114,4182032500,411320001,경기 가평1,경기도 가평군 청평면((농협앞) 부근),4,4,1,3,0,0,37.736960164181,127.418022931814,"{""type"":""Polygon"",""coordinates"":[[[127.4204296,37.7388714],[127.4200235,37.7391468],[127.4195681,37.7393685],[127.4190747,37.7395308],[127.4185554,37.7396298],[127.4180229,37.7396631],[127.4174905,37.7396298],[127.4169712,37.7395308],[127.4164777,37.7393685],[127.4160224,37.7391468],[127.4156163,37.7388714],[127.4152694,37.7385489],[127.4149904,37.7381872],[127.414786,37.7377954],[127.4146613,37.7373829],[127.4146195,37.7369601],[127.4146614,37.7365373],[127.4147861,37.7361249],[127.4149905,37.735733],[127.4152695,37.7353714],[127.4156164,37.7350489],[127.4160225,37.7347734],[127.4164778,37.7345518],[127.4169712,37.7343895],[127.4174905,37.7342905],[127.4180229,37.7342573],[127.4185553,37.7342905],[127.4190746,37.7343895],[127.419568,37.7345518],[127.4200234,37.7347734],[127.4204295,37.7350489],[127.4207763,37.7353714],[127.4210554,37.735733],[127.4212598,37.7361249],[127.4213845,37.7365373],[127.4214264,37.7369601],[127.4213845,37.7373829],[127.4212599,37.7377954],[127.4210555,37.7381872],[127.4207765,37.7385489],[127.4204296,37.7388714]]]}"
