SFZN_ID,INST_NM,RDNMADR,LNMADR,INST_PURPS,CCTV_CNT,CCTV_PIXEL,PTGRF_INFO,CSTDY_DAY,INST_YYMM,PH_NUMBER,경도,위도,REF_DATE,ID_PRT
20,광명시,경기도 광명시 안현로 80-2,경기도 광명시 하안동 25-1,어린이보호,1,0,360도전방면,,,182,126.881457535,37.465623139,2021-10-01,0020-V-0001
21,광명시,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,다목적,1,0,360도전방면,,,182,126.888016758,37.448623522,2021-10-26,0021-V-0003
11,광명시,경기도 광명시 금당로 11-7,경기도 광명시 하안동 297,다목적,4,0,360도전방면,,,182,126.880494905,37.457696439,2021-10-14,0011-V-0001
38,광명시,경기도 광명시 한내로13번길 17,경기도 광명시 소하동 1283-1,어린이보호,1,0,360도전방면,,,182,126.882181831,37.455971723,2021-10-12,0038-V-0001
11,광명시,경기도 광명시 금당로 11-7,경기도 광명시 하안동 297,다목적,1,0,360도전방면,,,182,126.880104845,37.458009606,2021-10-14,0011-V-0002
11,광명시,경기도 광명시 금당로 11-7,경기도 광명시 하안동 297,어린이보호,1,0,360도전방면,,,182,126.879224727,37.459008362,2021-10-14,0011-V-0003
21,광명시,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,다목적,1,0,360도전방면,,,182,126.886156068,37.449331438,2021-10-26,0021-V-0001
12,광명시,경기도 광명시 금당로 71,경기도 광명시 하안동 111,다목적,1,0,360도전방면,,,182,126.885590286,37.461006939,2021-10-14,0012-V-0001
12,광명시,경기도 광명시 금당로 71,경기도 광명시 하안동 111,어린이보호,1,0,360도전방면,,,182,126.884594559,37.460725538,2021-10-14,0012-V-0002
22,광명시,경기도 광명시 한내일로 5,경기도 광명시 소하동 1287,다목적,1,0,360도전방면,,,182,126.884667736,37.453547241,2021-10-26,0022-V-0003
22,광명시,경기도 광명시 한내일로 5,경기도 광명시 소하동 1287,다목적,1,0,360도전방면,,,182,126.885374339,37.452605782,2021-10-26,0022-V-0004
21,광명시,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,다목적,1,0,360도전방면,,,182,126.887869799,37.449856052,2021-10-08,0021-V-0002
21,광명시,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,다목적,1,0,360도전방면,,,182,126.888271086,37.445574696,2021-10-08,0021-V-0005
22,광명시,경기도 광명시 한내일로 5,경기도 광명시 소하동 1287,다목적,1,0,360도전방면,,,182,126.884259134,37.454257085,2021-10-26,0022-V-0002
22,광명시,경기도 광명시 한내일로 5,경기도 광명시 소하동 1287,다목적,1,0,360도전방면,,,182,126.883605276,37.45551001,2021-10-26,0022-V-0001
21,광명시,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,다목적,1,0,360도전방면,,,182,126.889733791,37.447678966,2021-10-26,0021-V-0004
21,광명시,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,다목적,1,0,360도전방면,,,182,126.888400436,37.447930223,2021-10-26,0021-V-0006
37,광명시,경기도 광명시 밤일안로42번길 37,경기도 광명시 하안동 463,다목적,1,0,360도전방면,,,182,126.859754347,37.45543624,2021-11-23,0037-V-0001
37,광명시,경기도 광명시 밤일안로42번길 37,경기도 광명시 하안동 463,다목적,1,0,360도전방면,,,182,126.860146663,37.45633187,2021-11-23,0037-V-0002
18,광명시,경기도 광명시 가학로 247-55,경기도 광명시 가학동 1053-2,생활방범,2,0,360도전방면,,,182,126.872418784,37.402056906,2021-11-23,0018-V-0001
18,광명시,경기도 광명시 가학로 247-55,경기도 광명시 가학동 1053-2,다목적,1,0,360도전방면,,,182,126.872140872,37.402058989,2021-11-23,0018-V-0002
6,광명시,경기도 광명시 범안로 657,경기도 광명시 노온사동 361-2,다목적,1,0,360도전방면,,,182,126.845534576,37.442725198,2021-11-23,0006-V-0001
25,광명시,경기도 광명시 성채안로 16,경기도 광명시 소하동 1375,다목적,1,0,360도전방면,,,182,126.881730316,37.413230535,2021-11-26,0025-V-0001
25,광명시,경기도 광명시 성채안로 16,경기도 광명시 소하동 1375,다목적,1,0,360도전방면,,,182,126.882229214,37.414132165,2021-11-26,0025-V-0002
