보호구역아이디,관리번호,시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,설치장소,과속방지턱재료,과속방지턱형태구분,과속방지턱높이,과속방지턱폭,과속방지턱연장,도로종류,규격여부,경도,위도,보차분리여부,연속형여부,설치년도,관리기관명,관리기관전화번호,데이터기준일자
50,0050-B-0001,경기도,광명시,광오로,경기도 광명시 광오로 24,경기도 광명시 광명동 277-5,엄지창의어린이집 정문 전방 20m,1,1,10,360,10,1,Y,126.849625518,37.475566809,N,Y,,광명경찰서,182,2021-10-18
50,0050-B-0004,경기도,광명시,광오로,경기도 광명시 광오로 24,경기도 광명시 광명동 277-5,엄지창의어린이집 정문 전방 20m,1,1,10,360,10,1,Y,126.849739891,37.475798486,N,Y,,광명경찰서,182,2021-10-18
50,0050-B-0002,경기도,광명시,광오로,경기도 광명시 광오로 24,경기도 광명시 광명동 277-5,엄지창의어린이집 정문 전방 20m,1,1,10,360,10,1,Y,126.849582939,37.47572974,N,Y,,광명경찰서,182,2021-10-18
50,0050-B-0003,경기도,광명시,광오로,경기도 광명시 광오로 24,경기도 광명시 광명동 277-5,엄지창의어린이집 정문 전방 20m,1,1,10,360,10,1,Y,126.849407951,37.475780302,N,Y,,광명경찰서,182,2021-10-18
48,0048-B-0001,경기도,광명시,광명로,경기도 광명시 광명로865번안길 9,경기도 광명시 광명동 207-1,광명푸른숲어린이집 정문 전방 10m,1,1,7.5,200,5,2,Y,126.850808518,37.477683513,N,Y,,광명경찰서,182,2021-10-18
43,0043-B-0001,경기도,광명시,도덕로,경기도 광명시 도덕로 78,경기도 광명시 광명동 732-1,예크어린이집 정문 옆 전방 130m,1,1,10,360,10,1,Y,126.854364216,37.469515099,Y,Y,,광명경찰서,182,2021-10-26
43,0043-B-0002,경기도,광명시,도덕로,경기도 광명시 도덕로 78,경기도 광명시 광명동 732-1,예크어린이집 정문 옆 전방 120m,1,1,10,360,10,1,Y,126.854586105,37.469621951,Y,Y,,광명경찰서,182,2021-10-26
43,0043-B-0003,경기도,광명시,도덕로,경기도 광명시 도덕로 78,경기도 광명시 광명동 732-1,예크어린이집 정문 옆 전방 90m,1,1,10,360,10,1,Y,126.854875428,37.469761276,Y,Y,,광명경찰서,182,2021-10-26
43,0043-B-0004,경기도,광명시,도덕로,경기도 광명시 도덕로 78,경기도 광명시 광명동 732-1,예크어린이집 정문 옆 전방 60m,1,1,10,360,10,1,Y,126.855127177,37.469882506,Y,Y,,광명경찰서,182,2021-10-26
43,0043-B-0005,경기도,광명시,도덕로,경기도 광명시 도덕로 78,경기도 광명시 광명동 732-1,예크어린이집 정문 옆 전방 20m,1,1,10,360,10,1,Y,126.855613431,37.470116219,Y,Y,,광명경찰서,182,2021-10-26
36,0036-B-0001,경기도,광명시,광이로,경기도 광명시 광이로 9-2,경기도 광명시 광명동 156-11,녹야유치원 정문 앞,1,1,10,360,10,1,Y,126.857921734,37.479494379,Y,Y,,광명경찰서,182,2021-10-26
1,0001-B-0001,경기도,광명시,광이로,경기도 광명시 광이로 21,경기도 광명시 광명동 135-1,광명초등학교 정문 전방 75m,1,1,10,360,10,1,Y,126.858061089,37.479806524,Y,Y,,광명경찰서,182,2021-10-26
1,0001-B-0002,경기도,광명시,광이로,경기도 광명시 광이로 21,경기도 광명시 광명동 135-1,광명초등학교 정문 전방 15m,1,1,10,360,10,1,Y,126.858274402,37.480271013,Y,Y,,광명경찰서,182,2021-10-26
1,0001-B-0003,경기도,광명시,광이로,경기도 광명시 광이로 21,경기도 광명시 광명동 135-1,광명초등학교 정문 앞,1,1,10,360,10,1,Y,126.858362039,37.48046184,Y,Y,,광명경찰서,182,2021-10-26
1,0001-B-0004,경기도,광명시,광이로,경기도 광명시 광이로 21,경기도 광명시 광명동 135-1,광명초등학교 정문 전방 30m,1,1,10,360,10,1,Y,126.858440588,37.480632879,Y,Y,,광명경찰서,182,2021-10-26
1,0001-B-0005,경기도,광명시,광이로,경기도 광명시 광이로 21,경기도 광명시 광명동 135-1,광명초등학교 정문 전방 50m,1,1,10,360,10,1,Y,126.858432494,37.480833562,Y,Y,,광명경찰서,182,2021-10-26
1,0001-B-0006,경기도,광명시,광이로,경기도 광명시 광이로 21,경기도 광명시 광명동 135-1,광명초등학교 정문 전방 60m,1,1,10,360,10,1,Y,126.858070697,37.480935999,Y,Y,,광명경찰서,182,2021-10-26
1,0001-B-0007,경기도,광명시,광이로,경기도 광명시 광이로 21,경기도 광명시 광명동 135-1,광명초등학교 정문 전방 90m,1,1,10,360,10,1,Y,126.857709226,37.481037929,Y,Y,,광명경찰서,182,2021-10-26
