보호구역아이디,시도명,시군구명,읍면동명,대상시설명,보행량,시간대,조사위치,데이터기준일자
30,경기도,광명시,하안동,예솔유치원,32,8,정문,2021-11-22
30,경기도,광명시,하안동,예솔유치원,103,14,정문,2021-11-22
30,경기도,광명시,하안동,예솔유치원,26,15,정문,2021-11-22
30,경기도,광명시,하안동,예솔유치원,38,16,정문,2021-11-22
18,경기도,광명시,가학동,안서초등학교,75,8,정문,2021-11-22
18,경기도,광명시,가학동,안서초등학교,31,14,정문,2021-11-22
18,경기도,광명시,가학동,안서초등학교,28,15,정문,2021-11-22
18,경기도,광명시,가학동,안서초등학교,32,16,정문,2021-11-22
38,경기도,광명시,소하동,구름산유치원,135,8,정문,2021-11-23
38,경기도,광명시,소하동,구름산유치원,31,14,정문,2021-11-23
38,경기도,광명시,소하동,구름산유치원,73,15,정문,2021-11-23
38,경기도,광명시,소하동,구름산유치원,67,16,정문,2021-11-23
21,경기도,광명시,소하동,소하초등학교,1372,8,정문,2021-11-24
21,경기도,광명시,소하동,소하초등학교,130,14,정문,2021-11-24
21,경기도,광명시,소하동,소하초등학교,175,15,정문,2021-11-24
21,경기도,광명시,소하동,소하초등학교,282,16,정문,2021-11-24
29,경기도,광명시,가학동,세교유치원,21,8,정문,2021-11-24
29,경기도,광명시,가학동,세교유치원,52,14,정문,2021-11-24
29,경기도,광명시,가학동,세교유치원,8,15,정문,2021-11-24
29,경기도,광명시,가학동,세교유치원,38,16,정문,2021-11-24
22,경기도,광명시,소하동,구름산초등학교,1024,8,정문,2021-11-25
22,경기도,광명시,소하동,구름산초등학교,146,14,정문,2021-11-25
22,경기도,광명시,소하동,구름산초등학교,120,15,정문,2021-11-25
22,경기도,광명시,소하동,구름산초등학교,145,16,정문,2021-11-25
12,경기도,광명시,하안동,하안남초등학교,383,8,정문,2021-11-15
12,경기도,광명시,하안동,하안남초등학교,124,14,정문,2021-11-15
12,경기도,광명시,하안동,하안남초등학교,60,15,정문,2021-11-15
12,경기도,광명시,하안동,하안남초등학교,46,16,정문,2021-11-15
33,경기도,광명시,하안동,파랑새유치원,109,8,정문,2021-11-15
33,경기도,광명시,하안동,파랑새유치원,93,14,정문,2021-11-15
33,경기도,광명시,하안동,파랑새유치원,172,15,정문,2021-11-15
33,경기도,광명시,하안동,파랑새유치원,200,16,정문,2021-11-15
11,경기도,광명시,하안동,가림초등학교,442,8,정문,2021-11-16
11,경기도,광명시,하안동,가림초등학교,141,14,정문,2021-11-16
11,경기도,광명시,하안동,가림초등학교,133,15,정문,2021-11-16
11,경기도,광명시,하안동,가림초등학교,85,16,정문,2021-11-16
6,경기도,광명시,노온사동,온신초등학교,28,8,후문,2021-11-16
6,경기도,광명시,노온사동,온신초등학교,10,14,후문,2021-11-16
6,경기도,광명시,노온사동,온신초등학교,11,15,후문,2021-11-16
6,경기도,광명시,노온사동,온신초등학교,9,16,후문,2021-11-16
20,경기도,광명시,하안동,연서초등학교,349,8,정문,2021-11-19
20,경기도,광명시,하안동,연서초등학교,83,14,정문,2021-11-19
20,경기도,광명시,하안동,연서초등학교,78,15,정문,2021-11-19
20,경기도,광명시,하안동,연서초등학교,59,16,정문,2021-11-19
37,경기도,광명시,하안동,산들유치원,19,8,정문,2021-11-19
37,경기도,광명시,하안동,산들유치원,44,14,정문,2021-11-19
37,경기도,광명시,하안동,산들유치원,55,15,정문,2021-11-19
