보호구역 아이디,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,경도,위도,신호기설치방식,도로형태,주도로여부,관리번호,신호등구분,신호등색종류,신호등화방식,신호등화순서,신호등화시간,광원종류,신호제어방식,신호시간결정방식,점멸등운영여부,점멸등운영시작시각,점멸등운영종료시각,보행자작동신호기유무,잔여시간표시기유무,시각장애인용음향신호기유무,도로안내표지일련번호,관리기관명,관리기관 전화번호,데이터기준일자
32,광명시,시도,,안현로,양방향,경기도 광명시 안현로 59,경기도 광명시 하안동 13-3,126.877967453,37.466129119,3,1,Y,0032-T-0003,1,3,3,녹색+황색+적색,50+2+20,2,3,2,N,0,0,N,Y,N,,광명경찰서,182,2021-10-08
32,광명시,시도,,안현로,양방향,경기도 광명시 안현로 59,경기도 광명시 하안동 13-3,126.879729203,37.467224604,2,2,Y,0032-T-0005,2,2,2,녹색+적색,30+120,2,3,2,N,0,0,N,Y,Y,,광명경찰서,182,2021-10-08
32,광명시,시도,,안현로,양방향,경기도 광명시 안현로 59,경기도 광명시 하안동 13-3,126.879864281,37.467069043,2,2,Y,0032-T-0006,2,2,2,녹색+적색,25+55,2,3,2,N,0,0,N,Y,Y,,광명경찰서,182,2021-10-08
32,광명시,시도,,안현로,양방향,경기도 광명시 안현로 59,경기도 광명시 하안동 13-3,126.879778149,37.467385321,2,2,Y,0032-T-0007,2,2,2,녹색+적색,25+55,2,3,2,N,0,0,N,Y,Y,,광명경찰서,182,2021-10-08
32,광명시,시도,,안현로,양방향,경기도 광명시 안현로 59,경기도 광명시 하안동 13-3,126.879925331,37.467470573,2,2,Y,0032-T-0008,2,2,2,녹색+적색,25+55,2,3,2,N,0,0,N,Y,Y,,광명경찰서,182,2021-10-08
32,광명시,시도,,안현로,양방향,경기도 광명시 안현로 59,경기도 광명시 하안동 13-3,126.879970191,37.467116683,2,2,Y,0032-T-0009,2,2,2,녹색+적색,25+55,2,3,2,N,0,0,N,Y,Y,,광명경찰서,182,2021-10-08
32,광명시,시도,,안현로,양방향,경기도 광명시 안현로 59,경기도 광명시 하안동 13-3,126.880165883,37.46721487,2,2,Y,0032-T-0010,2,2,2,녹색+적색,25+55,2,3,2,N,0,0,N,Y,Y,,광명경찰서,182,2021-10-08
32,광명시,시도,,안현로,양방향,경기도 광명시 안현로 59,경기도 광명시 하안동 13-3,126.880165086,37.467261013,2,2,Y,0032-T-0011,2,2,2,녹색+적색,25+55,2,3,2,N,0,0,N,Y,Y,,광명경찰서,182,2021-10-08
32,광명시,시도,,안현로,양방향,경기도 광명시 안현로 59,경기도 광명시 하안동 13-3,126.880033174,37.467397109,2,2,Y,0032-T-0012,2,2,2,녹색+적색,25+55,2,3,2,N,0,0,N,Y,Y,,광명경찰서,182,2021-10-08
32,광명시,시도,,안현로,양방향,경기도 광명시 안현로 59,경기도 광명시 하안동 13-3,126.879772956,37.467248913,2,2,Y,0032-T-0013,2,2,2,녹색+적색,25+55,2,3,2,N,0,0,N,Y,Y,,광명경찰서,182,2021-10-08
32,광명시,시도,,안현로,양방향,경기도 광명시 안현로 59,경기도 광명시 하안동 13-3,126.880150375,37.467237711,2,2,Y,0032-T-0014,2,2,2,녹색+적색,25+55,2,3,2,N,0,0,N,Y,Y,,광명경찰서,182,2021-10-08
32,광명시,시도,,안현로,양방향,경기도 광명시 안현로 59,경기도 광명시 하안동 13-3,126.879929442,37.467102309,2,2,Y,0032-T-0015,2,2,2,녹색+적색,25+55,2,3,2,N,0,0,N,Y,Y,,광명경찰서,182,2021-10-08
32,광명시,시도,,안현로,양방향,경기도 광명시 안현로 59,경기도 광명시 하안동 13-3,126.879976506,37.467389818,2,2,Y,0032-T-0016,2,2,2,녹색+적색,25+55,2,3,2,N,0,0,N,Y,Y,,광명경찰서,182,2021-10-08
32,광명시,시도,,안현로,양방향,경기도 광명시 안현로 59,경기도 광명시 하안동 13-3,126.879781904,37.467154616,3,2,Y,0032-T-0017,1,4,3,적색+녹색화살표/녹색+황색,60+20+2,2,3,2,N,0,0,N,Y,N,,광명경찰서,182,2021-10-08
32,광명시,시도,,안현로,양방향,경기도 광명시 안현로 59,경기도 광명시 하안동 13-3,126.880027533,37.467190941,3,2,Y,0032-T-0018,1,4,4,적색+녹색화살표+녹색+황색,65+10+28+2,2,3,2,N,0,0,N,Y,N,,광명경찰서,182,2021-10-08
32,광명시,시도,,안현로,양방향,경기도 광명시 안현로 59,경기도 광명시 하안동 13-3,126.880110135,37.467320142,3,2,Y,0032-T-0019,1,4,3,적색+녹색화살표/녹색+황색,60+20+2,2,3,2,N,0,0,N,Y,N,,광명경찰서,182,2021-10-08
32,광명시,시도,,안현로,양방향,경기도 광명시 안현로 59,경기도 광명시 하안동 13-3,126.879855707,37.467423578,3,2,Y,0032-T-0020,1,4,4,적색+녹색화살표+녹색+황색,65+10+28+2,2,3,2,N,0,0,N,Y,N,,광명경찰서,182,2021-10-08
15,광명시,시도,,하안로,양방향,경기도 광명시 하안로 392,경기도 광명시 철산동 555,126.871746673,37.470654047,3,2,Y,0015-T-0013,1,3,3,녹색+황색+적색,48+3+29,2,3,2,N,0,0,N,Y,N,,광명경찰서,182,2021-10-08
15,광명시,시도,,하안로,양방향,경기도 광명시 하안로 392,경기도 광명시 철산동 555,126.874074961,37.469386571,3,2,Y,0015-T-0025,1,3,3,녹색+황색+적색,32+3+55,2,3,2,N,0,0,N,Y,N,,광명경찰서,182,2021-10-08
15,광명시,시도,,철망산로,양방향,경기도 광명시 하안로 392,경기도 광명시 철산동 555,126.873211479,37.468099088,3,2,Y,0015-T-0040,1,3,3,적색+녹색화살표+황색,55+32+2,2,3,2,N,0,0,N,Y,N,,광명경찰서,182,2021-10-08
15,광명시,시도,,철망산로,양방향,경기도 광명시 하안로 392,경기도 광명시 철산동 555,126.873197602,37.467995282,3,2,Y,0015-T-0041,1,4,3,적색+녹색화살표/녹색+황색,55+32+2,2,3,2,Y,00:00,06:00,N,Y,N,,광명경찰서,182,2021-10-08
15,광명시,시도,,철망산로,양방향,경기도 광명시 하안로 392,경기도 광명시 철산동 555,126.873079017,37.468046922,3,2,Y,0015-T-0042,1,3,3,녹색+황색+적색,55+3+30,2,3,2,Y,00:00,06:00,N,Y,N,,광명경찰서,182,2021-10-08
15,광명시,시도,,철망산로,양방향,경기도 광명시 하안로 392,경기도 광명시 철산동 555,126.873104019,37.467960194,2,2,Y,0015-T-0043,2,2,2,녹색+적색,30+120,2,3,2,N,0,0,N,Y,Y,,광명경찰서,182,2021-10-08
15,광명시,시도,,철망산로,양방향,경기도 광명시 하안로 392,경기도 광명시 철산동 555,126.872983204,37.468109443,2,2,Y,0015-T-0044,2,2,2,녹색+적색,30+120,2,3,2,N,0,0,N,Y,Y,,광명경찰서,182,2021-10-08
19,광명시,시도,,철망산로,양방향,경기도 광명시 철망산로 68,경기도 광명시 하안4동 23,126.875986401,37.469339276,2,2,Y,0019-T-0002,2,2,2,녹색+적색,30+120,2,3,2,N,0,0,N,Y,Y,,광명경찰서,182,2021-10-08
19,광명시,시도,,철망산로,양방향,경기도 광명시 철망산로 68,경기도 광명시 하안4동 23,126.876171764,37.469201737,2,2,Y,0019-T-0003,2,2,2,녹색+적색,30+120,2,3,2,N,0,0,N,Y,Y,,광명경찰서,182,2021-10-08
19,광명시,시도,,철망산로,양방향,경기도 광명시 철망산로 68,경기도 광명시 하안4동 23,126.875820139,37.469102969,3,2,Y,0019-T-0004,1,3,3,녹색+황색+적색,20+3+110,2,3,2,N,0,0,N,Y,N,,광명경찰서,182,2021-10-08
