관리기관,소재지 주소,일자,시간,교통량(대),속도(km),구간정보,소통정보(소통판정),도로구분,길이
화성시,경기도 화성시 동탄구 석우동 590-75,2021-10-08,09:00:00~10:00:00,1277,50,영내사거리 - 영천교삼거리 방면,원활,일반도로,
화성시,경기도 화성시 동탄구 석우동 590-75,2021-10-08,09:00:00~10:00:00,3,1,영천교삼거리 - 한림대병원사거리 방면,정체,일반도로,
화성시,경기도 화성시 동탄구 석우동 590-75,2021-10-08,09:00:00~10:00:00,799,21,한림대병원사거리 - 영천교삼거리 방면,정체,일반도로,
화성시,경기도 화성시 동탄구 석우동 632,2021-10-11,10:00:00~11:00:00,876,7,노작공원사거리 - 청계교사거리 방면,정체,일반도로,
화성시,경기도 화성시 동탄구 석우동 632,2021-10-11,10:00:00~11:00:00,295,16,동북교차로 - 청계교사거리 방면,정체,일반도로,
화성시,경기도 화성시 동탄구 석우동 632,2021-10-11,10:00:00~11:00:00,829,16,여울공원 - 청계교사거리 방면,정체,일반도로,
화성시,경기도 화성시 동탄구 석우동 632,2021-10-11,10:00:00~11:00:00,172,6,예당고교사거리 - 청계교사거리 방면,정체,일반도로,
화성시,경기도 화성시 동탄구 석우동 115,2021-10-12,11:00:00~12:00:00,1190,17,예당고교사거리 - 노작공원사거리 방면,정체,일반도로,
화성시,경기도 화성시 동탄구 석우동 115,2021-10-12,11:00:00~12:00:00,523,14,청계교사거리 - 노작공원사거리 방면,정체,일반도로,
화성시,경기도 화성시 동탄구 석우동 115,2021-10-12,11:00:00~12:00:00,788,16,KT삼거리 - 노작공원사거리 방면,정체,일반도로,
화성시,경기도 화성시 동탄구 석우동 115,2021-10-12,11:00:00~12:00:00,1347,16,잎새지하차도사거리 - 노작공원사거리 방면,정체,일반도로,
화성시,경기도 화성시 동탄구 반송동 290-2,2021-10-13,12:00:00~13:00:00,223,9,나루교사거리 - 국제고교사거리 방면,정체,일반도로,
