"행정구역","2025년_계_총인구수","2025년_계_연령구간인구수","2025년_계_0~4세","2025년_계_5~9세","2025년_계_10~14세","2025년_계_15~19세","2025년_계_20~24세","2025년_계_25~29세","2025년_계_30~34세","2025년_계_35~39세","2025년_계_40~44세","2025년_계_45~49세","2025년_계_50~54세","2025년_계_55~59세","2025년_계_60~64세","2025년_계_65~69세","2025년_계_70~74세","2025년_계_75~79세","2025년_계_80~84세","2025년_계_85~89세","2025년_계_90~94세","2025년_계_95~99세","2025년_계_100세 이상","2025년_남_총인구수","2025년_남_연령구간인구수","2025년_남_0~4세","2025년_남_5~9세","2025년_남_10~14세","2025년_남_15~19세","2025년_남_20~24세","2025년_남_25~29세","2025년_남_30~34세","2025년_남_35~39세","2025년_남_40~44세","2025년_남_45~49세","2025년_남_50~54세","2025년_남_55~59세","2025년_남_60~64세","2025년_남_65~69세","2025년_남_70~74세","2025년_남_75~79세","2025년_남_80~84세","2025년_남_85~89세","2025년_남_90~94세","2025년_남_95~99세","2025년_남_100세 이상","2025년_여_총인구수","2025년_여_연령구간인구수","2025년_여_0~4세","2025년_여_5~9세","2025년_여_10~14세","2025년_여_15~19세","2025년_여_20~24세","2025년_여_25~29세","2025년_여_30~34세","2025년_여_35~39세","2025년_여_40~44세","2025년_여_45~49세","2025년_여_50~54세","2025년_여_55~59세","2025년_여_60~64세","2025년_여_65~69세","2025년_여_70~74세","2025년_여_75~79세","2025년_여_80~84세","2025년_여_85~89세","2025년_여_90~94세","2025년_여_95~99세","2025년_여_100세 이상"
"경기도 광명시 (4121000000)","293,947","293,947","8,285","9,838","13,384","14,526","14,646","18,048","22,049","20,086","22,569","23,171","26,128","24,395","22,326","20,770","13,899","9,038","5,917","3,257","1,288","280","47","143,943","143,943","4,264","4,978","6,853","7,369","7,607","9,083","11,294","10,356","11,240","11,342","12,799","11,924","10,918","9,612","6,482","4,078","2,300","1,079","304","52","9","150,004","150,004","4,021","4,860","6,531","7,157","7,039","8,965","10,755","9,730","11,329","11,829","13,329","12,471","11,408","11,158","7,417","4,960","3,617","2,178","984","228","38"
"경기도 광명시 광명1동(4121051000)","9,919","9,919","546","380","377","351","438","599","1,190","1,111","982","776","743","771","581","460","287","171","93","52","8","3","0","4,836","4,836","282","198","183","157","221","276","584","575","520","382","330","373","281","218","127","81","37","10","0","1","0","5,083","5,083","264","182","194","194","217","323","606","536","462","394","413","398","300","242","160","90","56","42","8","2","0"
"경기도 광명시 광명2동(4121052000)","5,637","5,637","174","127","129","209","232","357","498","458","393","365","507","470","480","445","325","225","153","65","22","3","0","2,750","2,750","85","57","65","96","121","189","250","249","213","180","248","233","237","180","163","100","60","18","4","2","0","2,887","2,887","89","70","64","113","111","168","248","209","180","185","259","237","243","265","162","125","93","47","18","1","0"
"경기도 광명시 광명3동(4121054000)","9,083","9,083","82","108","196","265","366","519","618","434","478","564","760","843","993","964","755","501","378","179","62","15","3","4,402","4,402","37","55","93","138","201","266","355","239","268","310","388","401","488","411","317","214","149","59","13","0","0","4,681","4,681","45","53","103","127","165","253","263","195","210","254","372","442","505","553","438","287","229","120","49","15","3"
"경기도 광명시 광명4동(4121055000)","7,260","7,260","148","127","176","225","254","421","496","421","485","418","552","608","664","741","612","441","293","127","42","7","2","3,564","3,564","75","69","84","117","122","221","267","241","273","216","275","280","313","357","267","202","128","43","11","2","1","3,696","3,696","73","58","92","108","132","200","229","180","212","202","277","328","351","384","345","239","165","84","31","5","1"
"경기도 광명시 광명5동(4121056000)","11,379","11,379","214","253","424","501","530","660","688","638","756","833","1,020","961","1,062","1,036","718","503","338","167","62","13","2","5,547","5,547","106","128","216","244","303","352","389","318","385","432","480","482","468","489","324","232","126","55","15","3","0","5,832","5,832","108","125","208","257","227","308","299","320","371","401","540","479","594","547","394","271","212","112","47","10","2"
"경기도 광명시 광명6동(4121057000)","12,496","12,496","386","459","610","635","581","679","877","839","1,025","976","1,025","979","964","921","658","427","253","132","63","6","1","6,074","6,074","197","233","287","321","287","323","426","431","525","478","501","470","489","412","313","202","111","52","15","1","0","6,422","6,422","189","226","323","314","294","356","451","408","500","498","524","509","475","509","345","225","142","80","48","5","1"
"경기도 광명시 광명7동(4121058000)","25,355","25,355","935","887","979","1,019","1,134","1,535","2,300","2,088","2,111","1,885","1,999","1,974","1,884","1,786","1,219","806","451","241","101","17","4","12,458","12,458","476","449","489","513","610","778","1,136","1,102","1,097","964","976","924","898","814","572","365","182","85","24","2","2","12,897","12,897","459","438","490","506","524","757","1,164","986","1,014","921","1,023","1,050","986","972","647","441","269","156","77","15","2"
"경기도 광명시 철산1동(4121059000)","10,090","10,090","293","297","508","587","566","665","795","668","730","836","942","857","762","636","389","253","173","92","30","11","0","5,002","5,002","150","153","268","324","310","342","414","333","356","395","445","413","383","289","210","104","70","33","9","1","0","5,088","5,088","143","144","240","263","256","323","381","335","374","441","497","444","379","347","179","149","103","59","21","10","0"
"경기도 광명시 철산2동(4121060000)","15,169","15,169","667","621","604","621","703","887","1,191","1,363","1,299","1,100","1,228","1,263","1,177","1,065","651","362","204","108","39","15","1","7,709","7,709","346","300","316","336","357","450","582","717","685","543","624","640","620","553","324","181","78","48","6","3","0","7,460","7,460","321","321","288","285","346","437","609","646","614","557","604","623","557","512","327","181","126","60","33","12","1"
