ID_PRT,위도,경도,INST_PURPS,카테고리
0020-V-0001,37.465623139,126.881457535,어린이보호,생활안전CCTV
0021-V-0003,37.448623522,126.888016758,다목적,생활안전CCTV
0011-V-0001,37.457696439,126.880494905,다목적,생활안전CCTV
0038-V-0001,37.455971723,126.882181831,어린이보호,생활안전CCTV
0011-V-0002,37.458009606,126.880104845,다목적,생활안전CCTV
0011-V-0003,37.459008362,126.879224727,어린이보호,생활안전CCTV
0021-V-0001,37.449331438,126.886156068,다목적,생활안전CCTV
0012-V-0001,37.461006939,126.885590286,다목적,생활안전CCTV
0012-V-0002,37.460725538,126.884594559,어린이보호,생활안전CCTV
0022-V-0003,37.453547241,126.884667736,다목적,생활안전CCTV
0022-V-0004,37.452605782,126.885374339,다목적,생활안전CCTV
0021-V-0002,37.449856052,126.887869799,다목적,생활안전CCTV
0021-V-0005,37.445574696,126.888271086,다목적,생활안전CCTV
0022-V-0002,37.454257085,126.884259134,다목적,생활안전CCTV
0022-V-0001,37.45551001,126.883605276,다목적,생활안전CCTV
0021-V-0004,37.447678966,126.889733791,다목적,생활안전CCTV
0021-V-0006,37.447930223,126.888400436,다목적,생활안전CCTV
0037-V-0001,37.45543624,126.859754347,다목적,생활안전CCTV
0037-V-0002,37.45633187,126.860146663,다목적,생활안전CCTV
0018-V-0001,37.402056906,126.872418784,생활방범,생활안전CCTV
0018-V-0002,37.402058989,126.872140872,다목적,생활안전CCTV
0006-V-0001,37.442725198,126.845534576,다목적,생활안전CCTV
0025-V-0001,37.413230535,126.881730316,다목적,생활안전CCTV
0025-V-0002,37.414132165,126.882229214,다목적,생활안전CCTV
0025-V-0003,37.411508534,126.881980148,다목적,생활안전CCTV
0025-V-0004,37.414536052,126.88121955,다목적,생활안전CCTV
0025-V-0005,37.413912823,126.880981184,다목적,생활안전CCTV
0049-V-0001,37.432027316,126.877391971,다목적,생활안전CCTV
0049-V-0002,37.432482526,126.87727464,다목적,생활안전CCTV
0024-V-0001,37.434799959,126.885231317,다목적,생활안전CCTV
0024-V-0002,37.433544702,126.884604617,다목적,생활안전CCTV
0005-V-0001,37.439203156,126.880903206,생활방범,생활안전CCTV
0005-V-0002,37.438747327,126.879289594,생활방범,생활안전CCTV
0025-V-0006,37.415174528,126.881496186,다목적,생활안전CCTV
0025-V-0007,37.411994994,126.883234826,다목적,생활안전CCTV
0017-V-0001,37.463157788,126.874769305,다목적,생활안전CCTV
0017-V-0002,37.463725408,126.874299003,어린이보호,생활안전CCTV
0031-V-0002,37.461141622,126.876781736,다목적,생활안전CCTV
0031-V-0001,37.461397399,126.877911771,다목적,생활안전CCTV
0026-V-0001,37.463648256,126.870044932,어린이보호,생활안전CCTV
