°ü¸®¹øÈ£,À§µµ,°æµµ,Â÷·Î¼ö,Ä«Å×°í¸®
0037-W-0001,37.453277645,126.860487293,1,È¾´Üº¸µµ
0018-W-0001,37.402013566,126.872136055,2,È¾´Üº¸µµ
0018-W-0002,37.402059291,126.872033203,2,È¾´Üº¸µµ
0006-W-0001,37.44209734,126.84576679,2,È¾´Üº¸µµ
0006-W-0002,37.442697366,126.845595844,2,È¾´Üº¸µµ
0006-W-0003,37.442762764,126.845456965,2,È¾´Üº¸µµ
0006-W-0004,37.442841001,126.84556534,2,È¾´Üº¸µµ
0043-W-0001,37.469317261,126.853953392,4,È¾´Üº¸µµ
0043-W-0002,37.46967029,126.854686486,4,È¾´Üº¸µµ
0043-W-0003,37.47022084,126.855963491,4,È¾´Üº¸µµ
0043-W-0004,37.470184843,126.856356625,4,È¾´Üº¸µµ
0036-W-0001,37.479643474,126.857990204,1,È¾´Üº¸µµ
0001-W-0001,37.479719585,126.858021164,1,È¾´Üº¸µµ
0001-W-0002,37.48031534,126.858294759,1,È¾´Üº¸µµ
0001-W-0004,37.480747055,126.858493024,1,È¾´Üº¸µµ
0001-W-0003,37.480782982,126.858592942,1,È¾´Üº¸µµ
0001-W-0006,37.480843236,126.858554643,1,È¾´Üº¸µµ
0001-W-0005,37.480818146,126.858475388,1,È¾´Üº¸µµ
0001-W-0007,37.481095916,126.857504777,1,È¾´Üº¸µµ
0002-W-0001,37.47630324,126.852948856,6,È¾´Üº¸µµ
0002-W-0002,37.477506122,126.853580632,6,È¾´Üº¸µµ
0007-W-0003,37.477622036,126.84651478,1,È¾´Üº¸µµ
0007-W-0004,37.477832202,126.84618085,1,È¾´Üº¸µµ
0007-W-0002,37.477300432,126.847390822,1,È¾´Üº¸µµ
0007-W-0001,37.478747534,126.846271067,1,È¾´Üº¸µµ
0003-W-0001,37.470510948,126.846658033,1,È¾´Üº¸µµ
0003-W-0002,37.471168441,126.845649198,1,È¾´Üº¸µµ
0003-W-0004,37.4721083,126.84655532,1,È¾´Üº¸µµ
0003-W-0005,37.472224939,126.846534375,1,È¾´Üº¸µµ
0003-W-0006,37.472126703,126.846671572,1,È¾´Üº¸µµ
0003-W-0007,37.471749691,126.847241945,1,È¾´Üº¸µµ
0003-W-0008,37.471058357,126.848293296,1,È¾´Üº¸µµ
0003-W-0010,37.470643397,126.848919648,2,È¾´Üº¸µµ
0003-W-0011,37.470754238,126.848840546,3,È¾´Üº¸µµ
0013-W-0004,37.466301448,126.850638056,2,È¾´Üº¸µµ
0013-W-0002,37.466679852,126.85079446,2,È¾´Üº¸µµ
0013-W-0001,37.467123522,126.851146463,2,È¾´Üº¸µµ
0013-W-0005,37.467124153,126.852115412,4,È¾´Üº¸µµ
0013-W-0006,37.467127731,126.852399846,2,È¾´Üº¸µµ
0013-W-0007,37.46725761,126.852239682,2,È¾´Üº¸µµ
0013-W-0010,37.467130196,126.852257172,2,È¾´Üº¸µµ
0013-W-0009,37.467130196,126.852257172,2,È¾´Üº¸µµ
0013-W-0008,37.467194973,126.852890264,2,È¾´Üº¸µµ
0013-W-0003,37.466538274,126.850831579,2,È¾´Üº¸µµ
0003-W-0003,37.470720837,126.845535745,6,È¾´Üº¸µµ
0003-W-0009,37.470745485,126.848765488,1,È¾´Üº¸µµ
0027-W-0001,37.490611344,126.868242747,2,È¾´Üº¸µµ
0027-W-0002,37.490575774,126.867945954,2,È¾´Üº¸µµ
0027-W-0007,37.490592691,126.867863768,2,È¾´Üº¸µµ
0027-W-0006,37.490049827,126.867645331,2,È¾´Üº¸µµ
0014-W-0001,37.48795743,126.868085531,2,È¾´Üº¸µµ
0014-W-0002,37.487648942,126.868267302,2,È¾´Üº¸µµ
0014-W-0003,37.487594989,126.868433217,4,È¾´Üº¸µµ
0014-W-0004,37.487481357,126.868184987,4,È¾´Üº¸µµ
0014-W-0005,37.487423859,126.868344512,2,È¾´Üº¸µµ
0014-W-0006,37.48754044,126.868309226,4,È¾´Üº¸µµ
0014-W-0007,37.48755552,126.868331534,4,È¾´Üº¸µµ
0014-W-0008,37.486978005,126.867092286,4,È¾´Üº¸µµ
0014-W-0009,37.486861818,126.86862533,2,È¾´Üº¸µµ
0014-W-0010,37.486383687,126.868760162,2,È¾´Üº¸µµ
0009-W-0001,37.477539615,126.872710752,8,È¾´Üº¸µµ
0009-W-0002,37.477469495,126.872476787,8,È¾´Üº¸µµ
0009-W-0003,37.477733841,126.872468094,2,È¾´Üº¸µµ
0009-W-0004,37.477273943,126.872710353,3,È¾´Üº¸µµ
0009-W-0005,37.478232434,126.8722425,2,È¾´Üº¸µµ
0040-W-0001,37.477677972,126.868884387,2,È¾´Üº¸µµ
0015-W-0001,37.471239232,126.872802893,5,È¾´Üº¸µµ
0015-W-0002,37.470992717,126.872688843,4,È¾´Üº¸µµ
0015-W-0003,37.47101155,126.872420438,1,È¾´Üº¸µµ
0015-W-0004,37.470581469,126.871783542,4,È¾´Üº¸µµ
0015-W-0005,37.470416917,126.871743005,4,È¾´Üº¸µµ
0015-W-0006,37.470520369,126.873432168,3,È¾´Üº¸µµ
0015-W-0007,37.470359311,126.873367394,5,È¾´Üº¸µµ
0015-W-0008,37.469341558,126.874057478,4,È¾´Üº¸µµ
0015-W-0009,37.469252874,126.874252049,1,È¾´Üº¸µµ
0015-W-0010,37.468707757,126.87451022,6,È¾´Üº¸µµ
0015-W-0012,37.468427791,126.874482974,4,È¾´Üº¸µµ
0015-W-0011,37.46853627,126.874872876,5,È¾´Üº¸µµ
0015-W-0013,37.468396396,126.874809907,5,È¾´Üº¸µµ
0019-W-0001,37.469096779,126.875794712,4,È¾´Üº¸µµ
0019-W-0002,37.469268463,126.876084407,4,È¾´Üº¸µµ
0019-W-0003,37.469988347,126.877285672,4,È¾´Üº¸µµ
0035-W-0001,37.467274269,126.875735494,4,È¾´Üº¸µµ
0035-W-0002,37.467078663,126.875901829,4,È¾´Üº¸µµ
0035-W-0003,37.467122401,126.875702701,2,È¾´Üº¸µµ
0035-W-0004,37.467228175,126.875936111,2,È¾´Üº¸µµ
0032-W-0001,37.466108443,126.877909971,4,È¾´Üº¸µµ
0032-W-0002,37.467163246,126.879815625,4,È¾´Üº¸µµ
0032-W-0003,37.467444032,126.879836227,2,È¾´Üº¸µµ
0032-W-0005,37.467180201,126.880054064,2,È¾´Üº¸µµ
0032-W-0004,37.467311327,126.880080786,4,È¾´Üº¸µµ
0032-W-0007,37.46724621,126.87995108,4,È¾´Üº¸µµ
