관리번호,위도,경도,교육시설명칭,카테고리
0027-R-0003,37.490624399,126.868419328,예지유치원,도로적색표면
0027-R-0001,37.490373249,126.867857336,예지유치원,도로적색표면
0027-R-0002,37.489403463,126.867290049,예지유치원,도로적색표면
0014-R-0001,37.487781743,126.868135246,광명북초등학교,도로적색표면
0014-R-0002,37.487732564,126.868592949,광명북초등학교,도로적색표면
0014-R-0003,37.487360521,126.868435565,광명북초등학교,도로적색표면
0014-R-0004,37.486942114,126.868568618,광명북초등학교,도로적색표면
0014-R-0005,37.486687975,126.868707069,광명북초등학교,도로적색표면
0014-R-0006,37.486138553,126.868868832,광명북초등학교,도로적색표면
0009-R-0001,37.477725733,126.872845871,광성초등학교,도로적색표면
0009-R-0002,37.477265661,126.872198489,광성초등학교,도로적색표면
0040-R-0001,37.477534047,126.869001343,삼흥유치원,도로적색표면
0040-R-0002,37.477709078,126.868659966,삼흥유치원,도로적색표면
0015-R-0001,37.472066289,126.872885945,철산초등학교,도로적색표면
0015-R-0002,37.471574247,126.872806811,철산초등학교,도로적색표면
0015-R-0003,37.470742183,126.87315904,철산초등학교,도로적색표면
0015-R-0004,37.470169528,126.87355709,철산초등학교,도로적색표면
0015-R-0005,37.469610154,126.873817711,철산초등학교,도로적색표면
0015-R-0006,37.468912101,126.874364525,철산초등학교,도로적색표면
0015-R-0008,37.468299805,126.874158212,철산초등학교,도로적색표면
0015-R-0007,37.468246777,126.873669804,철산초등학교,도로적색표면
0019-R-0001,37.468769682,126.875146895,하일초등학교,도로적색표면
0019-R-0002,37.468861579,126.875492427,하일초등학교,도로적색표면
0019-R-0003,37.469503831,126.876392575,하일초등학교,도로적색표면
0035-R-0001,37.468137137,126.875063771,한마음유치원,도로적색표면
0035-R-0002,37.467559082,126.875414141,한마음유치원,도로적색표면
0035-R-0003,37.466975185,126.876076035,한마음유치원,도로적색표면
0032-R-0003,37.466274491,126.878183652,혜성유치원,도로적색표면
0032-R-0001,37.466989829,126.879578746,혜성유치원,도로적색표면
0032-R-0002,37.467496357,126.88041172,혜성유치원,도로적색표면
0044-R-0001,37.482136161,126.862170089,철산어린이집,도로적색표면
0016-R-0001,37.483069024,126.864107708,광명동초등학교,도로적색표면
0016-R-0002,37.483889247,126.864076206,광명동초등학교,도로적색표면
0016-R-0003,37.484239229,126.8642956,광명동초등학교,도로적색표면
0009-R-0003,37.477184712,126.872772322,광성초등학교,도로적색표면
0009-R-0004,37.477965882,126.872342436,광성초등학교,도로적색표면
0009-R-0005,37.478125786,126.872319154,광성초등학교,도로적색표면
0009-R-0006,37.4783669,126.872177271,광성초등학교,도로적색표면
