관리번호,위도,경도,카테고리
0032-T-0003,37.466129119,126.877967453,신호등
0032-T-0005,37.467224604,126.879729203,신호등
0032-T-0006,37.467069043,126.879864281,신호등
0032-T-0007,37.467385321,126.879778149,신호등
0032-T-0008,37.467470573,126.879925331,신호등
0032-T-0009,37.467116683,126.879970191,신호등
0032-T-0010,37.46721487,126.880165883,신호등
0032-T-0011,37.467261013,126.880165086,신호등
0032-T-0012,37.467397109,126.880033174,신호등
0032-T-0013,37.467248913,126.879772956,신호등
0032-T-0014,37.467237711,126.880150375,신호등
0032-T-0015,37.467102309,126.879929442,신호등
0032-T-0016,37.467389818,126.879976506,신호등
0032-T-0017,37.467154616,126.879781904,신호등
0032-T-0018,37.467190941,126.880027533,신호등
0032-T-0019,37.467320142,126.880110135,신호등
0032-T-0020,37.467423578,126.879855707,신호등
0015-T-0013,37.470654047,126.871746673,신호등
0015-T-0025,37.469386571,126.874074961,신호등
0015-T-0040,37.468099088,126.873211479,신호등
0015-T-0041,37.467995282,126.873197602,신호등
0015-T-0042,37.468046922,126.873079017,신호등
0015-T-0043,37.467960194,126.873104019,신호등
0015-T-0044,37.468109443,126.872983204,신호등
0019-T-0002,37.469339276,126.875986401,신호등
0019-T-0003,37.469201737,126.876171764,신호등
0019-T-0004,37.469102969,126.875820139,신호등
0012-T-0001,37.4616256,126.886301315,신호등
0012-T-0002,37.461482575,126.886482886,신호등
0012-T-0004,37.46115513,126.885616418,신호등
0012-T-0005,37.461215721,126.885570468,신호등
0012-T-0006,37.460660443,126.884833289,신호등
0012-T-0011,37.460596362,126.884821905,신호등
0012-T-0010,37.46056122,126.884764549,신호등
0012-T-0008,37.460579445,126.884825905,신호등
0012-T-0009,37.460617997,126.884874627,신호등
0012-T-0007,37.460603125,126.88485483,신호등
0012-T-0012,37.460526854,126.884720109,신호등
0012-T-0013,37.460536782,126.884732532,신호등
0012-T-0014,37.460545869,126.884763657,신호등
0012-T-0015,37.460674337,126.884611759,신호등
0012-T-0019,37.460705622,126.88462415,신호등
0012-T-0020,37.460740682,126.884689856,신호등
0012-T-0016,37.460712519,126.884597897,신호등
0012-T-0017,37.460726796,126.884611156,신호등
0012-T-0018,37.46070263,126.884579866,신호등
0012-T-0021,37.460762077,126.884676141,신호등
0012-T-0022,37.460770873,126.884702401,신호등
0012-T-0023,37.460790338,126.884744757,신호등
0012-T-0003,37.461492294,126.886501235,신호등
0011-T-0005,37.457994541,126.88003945,신호등
0011-T-0006,37.458020975,126.880086577,신호등
0011-T-0007,37.458023305,126.880113199,신호등
0011-T-0008,37.458048942,126.880131631,신호등
0011-T-0009,37.458065428,126.880197616,신호등
0021-T-0002,37.450198015,126.887833771,신호등
0021-T-0003,37.450211632,126.888014507,신호등
0021-T-0004,37.450098788,126.888161112,신호등
0021-T-0005,37.449743408,126.888017418,신호등
0021-T-0006,37.449707317,126.887963658,신호등
0021-T-0007,37.44973753,126.888154116,신호등
0021-T-0011,37.449731106,126.888165426,신호등
0021-T-0008,37.449610397,126.888008468,신호등
0021-T-0009,37.449602828,126.888170998,신호등
0021-T-0013,37.449475671,126.888001135,신호등
0021-T-0012,37.449494688,126.888147481,신호등
0021-T-0014,37.44909638,126.887979099,신호등
0021-T-0015,37.449062256,126.8881901,신호등
0021-T-0016,37.449009836,126.888108381,신호등
0021-T-0017,37.449009047,126.888181569,신호등
0021-T-0019,37.448971977,126.887998657,신호등
0021-T-0018,37.448941277,126.888201043,신호등
0021-T-0020,37.448614219,126.888063767,신호등
0021-T-0023,37.448618563,126.888119726,신호등
0021-T-0022,37.448612468,126.888026638,신호등
0021-T-0021,37.448573612,126.888223653,신호등
0021-T-0025,37.448079641,126.888069406,신호등
0021-T-0026,37.448043777,126.888254577,신호등
0021-T-0024,37.448027771,126.888115225,신호등
0021-T-0028,37.448033392,126.888161496,신호등
0021-T-0027,37.447982257,126.888078162,신호등
0021-T-0032,37.447933037,126.888079931,신호등
0021-T-0031,37.447918749,126.888272782,신호등
0021-T-0030,37.447964023,126.888304742,신호등
0021-T-0033,37.447442143,126.88812686,신호등
0021-T-0034,37.447451756,126.888312907,신호등
0021-T-0035,37.447390697,126.888167834,신호등
0021-T-0039,37.447393336,126.88823671,신호등
0021-T-0036,37.447324595,126.888136721,신호등
0021-T-0037,37.447417398,126.888357738,신호등
0021-T-0038,37.447261433,126.888381025,신호등
0021-T-0056,37.447225784,126.888326908,신호등
0021-T-0057,37.447256808,126.888137898,신호등
0021-T-0040,37.447316581,126.889930825,신호등
0021-T-0042,37.447324035,126.889955685,신호등
0021-T-0043,37.447356391,126.889998707,신호등
0021-T-0050,37.44734891,126.890109622,신호등
0021-T-0049,37.447389116,126.890142222,신호등
0021-T-0048,37.447446134,126.890094245,신호등
0021-T-0055,37.447562525,126.890068741,신호등
0021-T-0052,37.447522346,126.889959849,신호등
0021-T-0044,37.447507644,126.88982004,신호등
0021-T-0045,37.447515831,126.889841223,신호등
0021-T-0047,37.447461368,126.889867671,신호등
0021-T-0063,37.445784274,126.888267329,신호등
0021-T-0064,37.445760072,126.888268797,신호등
0021-T-0062,37.445765651,126.888261943,신호등
0021-T-0061,37.445803559,126.888314012,신호등
0021-T-0058,37.445761202,126.888452061,신호등
0021-T-0059,37.445709914,126.888439434,신호등
0021-T-0060,37.44570194,126.888434898,신호등
0021-T-0077,37.445740005,126.888378174,신호등
0021-T-0076,37.445727499,126.88844991,신호등
0021-T-0075,37.445702731,126.888448903,신호등
0021-T-0065,37.445757041,126.888303449,신호등
0021-T-0066,37.445727869,126.888305645,신호등
0021-T-0068,37.445609129,126.88827797,신호등
0021-T-0069,37.445602203,126.888278662,신호등
0021-T-0067,37.445634734,126.888278952,신호등
0021-T-0073,37.445601779,126.888450419,신호등
0021-T-0072,37.445629837,126.888455697,신호등
0021-T-0074,37.445611756,126.888453073,신호등
0021-T-0070,37.44561015,126.888339688,신호등
0021-T-0071,37.44557169,126.888406748,신호등
0021-T-0082,37.445197572,126.888302666,신호등
0021-T-0083,37.445131428,126.888226353,신호등
0021-T-0084,37.445141737,126.888239252,신호등
0021-T-0085,37.44489667,126.888230059,신호등
0021-T-0088,37.444970468,126.888299212,신호등
0021-T-0089,37.44484756,126.888391436,신호등
0021-T-0086,37.444892391,126.888295715,신호등
0021-T-0087,37.444849293,126.88830106,신호등
0021-T-0090,37.44480829,126.888605661,신호등
0021-T-0092,37.444852944,126.88864111,신호등
0021-T-0091,37.444847802,126.888605581,신호등
0021-T-0093,37.445105191,126.888658776,신호등
0021-T-0097,37.445051936,126.888553642,신호등
0021-T-0096,37.445135095,126.888474954,신호등
0021-T-0078,37.445356835,126.887042172,신호등
0021-T-0080,37.445205624,126.886844374,신호등
0021-T-0079,37.445335268,126.886921667,신호등
0021-T-0081,37.445238357,126.886975624,신호등
0021-T-0010,37.449587547,126.888095968,신호등
0021-T-0041,37.447332056,126.889943241,신호등
0021-T-0051,37.447371418,126.89011139,신호등
0021-T-0053,37.447565018,126.889964299,신호등
0021-T-0054,37.447550324,126.89000425,신호등
0021-T-0046,37.447533375,126.889832384,신호등
