관리번호,위도,경도,제한속도,카테고리
0043-C-0001,37.470247225,126.856016861,30,무인교통단속카메라
0002-C-0002,37.476521567,126.853160358,50,무인교통단속카메라
0002-C-0001,37.475554916,126.852650788,50,무인교통단속카메라
0001-C-0001,37.480761951,126.858525261,30,무인교통단속카메라
0014-C-0001,37.487610961,126.868567131,30,무인교통단속카메라
0009-C-0002,37.477504583,126.87281911,30,무인교통단속카메라
0015-C-0001,37.468921469,126.874261891,30,무인교통단속카메라
0021-C-0002,37.445117927,126.888581257,30,무인교통단속카메라
0012-C-0001,37.46076646,126.885185542,30,무인교통단속카메라
0021-C-0001,37.448804755,126.888221157,30,무인교통단속카메라
0023-C-0001,37.471138918,126.866636795,30,무인교통단속카메라
0023-C-0002,37.470330631,126.868642186,50,무인교통단속카메라
0025-C-0001,37.414824442,126.881608228,50,무인교통단속카메라
0025-C-0002,37.41513237,126.88142806,50,무인교통단속카메라
0005-C-0001,37.438796655,126.879227207,30,무인교통단속카메라
0024-C-0001,37.43186218,126.884148727,30,무인교통단속카메라
0003-C-0001,37.469909204,126.848576683,30,무인교통단속카메라
0003-C-0002,37.470084049,126.84892524,30,무인교통단속카메라
0013-C-0001,37.467174721,126.852075444,30,무인교통단속카메라
0013-C-0002,37.467074978,126.852380707,30,무인교통단속카메라
0002-C-0003,37.476295916,126.85280228,50,무인교통단속카메라
0015-C-0001,37.469512009,126.874063257,30,무인교통단속카메라
0009-C-0001,37.477749045,126.872389279,30,무인교통단속카메라
0004-C-0001,37.472259531,126.86545787,30,무인교통단속카메라
0016-C-0001,37.483602306,126.863972442,30,무인교통단속카메라
0007-C-0001,37.477666191,126.846340694,30,무인교통단속카메라
0010-C-0002,37.464004288,126.868354975,30,무인교통단속카메라
0010-C-0001,37.463789995,126.868588627,30,무인교통단속카메라
0017-C-0002,37.463770918,126.874057186,30,무인교통단속카메라
0017-C-0001,37.46388219,126.874451774,30,무인교통단속카메라
0011-C-0002,37.458152083,126.879857699,30,무인교통단속카메라
0011-C-0001,37.458138239,126.88031078,30,무인교통단속카메라
0012-C-0002,37.460656251,126.884492102,30,무인교통단속카메라
0012-C-0003,37.460638788,126.884918288,30,무인교통단속카메라
0020-C-0002,37.467206049,126.879677219,30,무인교통단속카메라
0020-C-0001,37.467274534,126.880210977,30,무인교통단속카메라
0019-C-0002,37.46916865,126.875681179,30,무인교통단속카메라
0019-C-0001,37.469154775,126.876089464,30,무인교통단속카메라
0022-C-0001,37.453282943,126.884678374,30,무인교통단속카메라
0022-C-0002,37.452639912,126.88532526,30,무인교통단속카메라
0021-C-0003,37.448880651,126.888017625,30,무인교통단속카메라
0021-C-0004,37.44914184,126.888174218,30,무인교통단속카메라
0005-C-0002,37.43826263,126.87918283,30,무인교통단속카메라
0024-C-0002,37.433478225,126.885432745,30,무인교통단속카메라
0006-C-0001,37.44279772,126.845645698,30,무인교통단속카메라
