관리번호,위도,경도,교육시설명,카테고리
0012-Y-0001,37.460498722,126.884727233,하안남초등학교,옐로카펫
0012-Y-0002,37.460719582,126.884545915,하안남초등학교,옐로카펫
0022-Y-0001,37.452481318,126.885107258,구름산초등학교,옐로카펫
0023-Y-0001,37.471309981,126.867922322,안현초등학교,옐로카펫
0043-Y-0001,37.469574607,126.854734374,예크어린이집,옐로카펫
0043-Y-0002,37.469760069,126.854614594,예크어린이집,옐로카펫
0043-Y-0003,37.469807815,126.854739894,예크어린이집,옐로카펫
0013-Y-0001,37.467077046,126.851157376,광문초등학교,옐로카펫
0007-Y-0001,37.477879436,126.846213218,광명서초등학교,옐로카펫
0007-Y-0002,37.477750389,126.846176932,광명서초등학교,옐로카펫
0025-Y-0001,37.415186811,126.881357095,빛가온초등학교,옐로카펫
0005-Y-0001,37.438388771,126.879487468,서면초등학교,옐로카펫
0019-Y-0001,37.46912636,126.876165978,하일초등학교,옐로카펫
0009-Y-0001,37.477766038,126.872601435,광성초등학교,옐로카펫
0009-Y-0002,37.478253926,126.872311965,광성초등학교,옐로카펫
0009-Y-0003,37.478207432,126.872166686,광성초등학교,옐로카펫
0009-Y-0004,37.477318263,126.872830839,광성초등학교,옐로카펫
0022-Y-0003,37.453386881,126.884782086,구름산초등학교,옐로카펫
0024-Y-0001,37.433109986,126.885361401,충현초등학교,옐로카펫
0022-Y-0002,37.452743573,126.884867324,구름산초등학교,옐로카펫
