동,총인구수,0~4세,5~9세,10~14세,어린이 총인구,어린이 비율(%)
고등동,11797,552,609,383,1544,13.088073238959058
구미동,44070,1127,1239,1811,4177,9.478103017926026
금곡동,26767,673,828,1002,2503,9.35106661187283
금광동,43046,1564,1577,1276,4417,10.261116015425358
단대동,14162,295,336,497,1128,7.964976698206468
도촌동,25878,714,1005,1359,3078,11.894273127753303
백현동,26316,731,937,1551,3219,12.232102143182855
복정동,10453,236,183,185,604,5.778245479766574
분당동,24396,533,807,1282,2622,10.74766355140187
산성동,4421,56,110,142,308,6.966749604161953
삼평동,23593,923,1095,1366,3384,14.343237400924004
상대원동,36419,596,682,1083,2361,6.4828798154809295
서현동,47922,1009,1736,2942,5687,11.867200868077292
성남동,31835,480,451,702,1633,5.129574367834145
수내동,41451,627,2068,3457,6152,14.841620226291283
수진동,25109,262,346,538,1146,4.564100521725278
시흥동,3548,64,60,69,193,5.439684329199549
신촌동,4511,206,223,200,629,13.943693194413656
신흥동,54351,1844,1692,1524,5060,9.309856304391824
야탑동,58707,1716,1822,2214,5752,9.797809460541332
양지동,8923,89,161,295,545,6.1078112742351225
운중동,38266,2013,2153,2153,6319,16.51335389118277
위례동,45473,1745,2348,2732,6825,15.008906384008093
은행동,30267,400,549,880,1829,6.042884990253411
이매동,37333,1021,1472,2187,4680,12.535826212734042
정자동,74647,1555,2501,3850,7906,10.59118249896178
중앙동,16585,681,624,601,1906,11.492312330419054
태평동,49641,576,704,1160,2440,4.915291795088737
판교동,26365,1085,1499,2016,4600,17.447373411720083
하대원동,19542,468,503,691,1662,8.504758980657048
