시설물명,위도,경도,도로안전표지,도로적색표면,무단횡단방지펜스,무인교통단속카메라,보호구역표지판,생활안전CCTV,신호등,옐로카펫,횡단보도,발생건수,사상자수,사망및중상자수,시설물_총계,위험도_비율,중상비율,cluster,cluster_label
중원초등학교,37.437855,127.167857,0,5,12,0,15,18,0,1,0,6,6,4,51,0.11538461538461539,0.5714285714285714,2,보통
중부초등학교,37.451546,127.164951,2,19,25,2,26,27,4,1,2,1,1,1,108,0.009174311926605505,0.5,0,안전
구미초등학교,37.337756,127.118398,6,17,27,1,30,5,17,1,6,6,6,6,110,0.05405405405405406,0.8571428571428571,0,안전
돌마초등학교,37.409099,127.130378,4,7,10,2,8,14,5,1,5,7,7,7,56,0.12280701754385964,0.875,2,보통
분당초등학교,37.378988,127.129653,2,3,12,2,11,4,5,1,3,12,12,0,43,0.2727272727272727,0.0,2,보통
하탑초등학교,37.407326,127.126613,6,6,23,2,14,13,7,1,5,13,15,7,77,0.16666666666666666,0.4375,0,안전
성남은행초등학교,37.461002,127.170901,3,10,2,1,23,11,1,1,3,7,7,3,55,0.125,0.375,2,보통
성남중앙초등학교,37.436255,127.143529,6,16,13,5,13,16,5,1,6,20,20,14,81,0.24390243902439024,0.6666666666666666,1,위험
단남초등학교,37.442905,127.161374,5,17,30,10,21,38,15,1,6,15,16,10,143,0.10416666666666667,0.5882352941176471,0,안전
대원초등학교,37.436671,127.155099,1,4,23,1,8,5,2,1,2,12,12,4,47,0.25,0.3076923076923077,2,보통
대일초등학교,37.438468,127.164185,1,6,15,1,15,37,1,1,1,10,11,7,78,0.12658227848101267,0.5833333333333334,2,보통
성남제일초등학교,37.438906,127.149609,4,30,34,5,70,16,12,0,4,10,10,7,175,0.056818181818181816,0.6363636363636364,0,안전
성남북초등학교,37.4515,127.151474,4,22,22,6,28,23,10,3,5,10,10,6,123,0.08064516129032258,0.5454545454545454,0,안전
성남수정초등학교,37.436212,127.132786,5,5,31,0,8,33,6,1,5,12,13,10,94,0.12631578947368421,0.7142857142857143,0,안전
수진초등학교,37.444944,127.133465,6,18,26,1,38,40,8,4,5,21,21,7,146,0.14285714285714285,0.3181818181818182,0,안전
단대초등학교,37.453611,127.157748,2,15,22,3,13,23,5,1,5,7,7,3,89,0.07777777777777778,0.375,0,안전
금상초등학교,37.443599,127.165995,5,10,8,8,15,41,12,2,3,4,4,2,104,0.0380952380952381,0.4,0,안전
상원초등학교,37.453884,127.162776,4,15,27,4,13,28,5,2,4,4,4,1,102,0.038834951456310676,0.2,0,안전
