image,lane_type,barrier
i-45abe09a420b47a3a46c2a72b28c2b23?skoid=ae506968-e136-4ce1-b90f-4723f7085af6&sktid=33e01921-4d64-4f8c-a055-5bdaffd5e33d&skt=2026-03-02T07%3A51%3A06Z&ske=2026-03-03T07%3A51%3A06Z&sks=b&skv=2021-08-06&sv=2021-08-06&spr=https&st=2026-03-02T07%3A51%3A06Z&se=2026-03-03T07%3A51%3A06Z&sr=b&sp=r&sig=uhP3rofbDWTi6WQh6tidSeixQ6JDTB%2BkH5CPQdWXSuM%3D,,barrier_no
i-3346b656818d4fc5834dc4aba5831f15?skoid=ae506968-e136-4ce1-b90f-4723f7085af6&sktid=33e01921-4d64-4f8c-a055-5bdaffd5e33d&skt=2026-03-02T07%3A51%3A06Z&ske=2026-03-03T07%3A51%3A06Z&sks=b&skv=2021-08-06&sv=2021-08-06&spr=https&st=2026-03-02T07%3A51%3A06Z&se=2026-03-03T07%3A51%3A06Z&sr=b&sp=r&sig=FoL71A3jWs%2Fn3dRWaQwZn0eS7V%2FX9NFRVukwtPP2x80%3D,,barrier_no
i-a4f15f9af6ca48d09ec31b45074bb577?skoid=ae506968-e136-4ce1-b90f-4723f7085af6&sktid=33e01921-4d64-4f8c-a055-5bdaffd5e33d&skt=2026-03-02T07%3A51%3A06Z&ske=2026-03-03T07%3A51%3A06Z&sks=b&skv=2021-08-06&sv=2021-08-06&spr=https&st=2026-03-02T07%3A51%3A06Z&se=2026-03-03T07%3A51%3A06Z&sr=b&sp=r&sig=Yiim2ZNbt2ezm4CIZcHDK3%2FITd00C9B2to6bPpagQzM%3D,,barrier_yes
i-1e159d5e1cda48618c2db1f614802a63?skoid=ae506968-e136-4ce1-b90f-4723f7085af6&sktid=33e01921-4d64-4f8c-a055-5bdaffd5e33d&skt=2026-03-02T07%3A51%3A06Z&ske=2026-03-03T07%3A51%3A06Z&sks=b&skv=2021-08-06&sv=2021-08-06&spr=https&st=2026-03-02T07%3A51%3A06Z&se=2026-03-03T07%3A51%3A06Z&sr=b&sp=r&sig=WGzzK8VZ%2BljvuR0F8AMM5uQ2ntVEohPKjdlGw4851q8%3D,,barrier_no
i-8f7a16c587d5447199f37449426f42f5?skoid=ae506968-e136-4ce1-b90f-4723f7085af6&sktid=33e01921-4d64-4f8c-a055-5bdaffd5e33d&skt=2026-03-02T07%3A51%3A06Z&ske=2026-03-03T07%3A51%3A06Z&sks=b&skv=2021-08-06&sv=2021-08-06&spr=https&st=2026-03-02T07%3A51%3A06Z&se=2026-03-03T07%3A51%3A06Z&sr=b&sp=r&sig=CMO4gYyfu1zukiTA706aCZ67F5zf1sDyJdGsmF4CUck%3D,,barrier_no
i-d99b51c79bc548fe9a230c3a8ed43333?skoid=ae506968-e136-4ce1-b90f-4723f7085af6&sktid=33e01921-4d64-4f8c-a055-5bdaffd5e33d&skt=2026-03-02T07%3A51%3A06Z&ske=2026-03-03T07%3A51%3A06Z&sks=b&skv=2021-08-06&sv=2021-08-06&spr=https&st=2026-03-02T07%3A51%3A06Z&se=2026-03-03T07%3A51%3A06Z&sr=b&sp=r&sig=xCTp%2FIIkS%2BtZPRUdP4CbkhWbH8CpkMuCi%2BfzS7zYDSk%3D,,barrier_no
i-c4760a3b21d443da993989b3d5c45db6?skoid=ae506968-e136-4ce1-b90f-4723f7085af6&sktid=33e01921-4d64-4f8c-a055-5bdaffd5e33d&skt=2026-03-02T07%3A51%3A06Z&ske=2026-03-03T07%3A51%3A06Z&sks=b&skv=2021-08-06&sv=2021-08-06&spr=https&st=2026-03-02T07%3A51%3A06Z&se=2026-03-03T07%3A51%3A06Z&sr=b&sp=r&sig=ADQwHQzUumD0p1sG%2BnqxHn8HD6zqyztyPwKuX33dBqU%3D,,barrier_no
i-44e436df0a3e4ae38a7e32b95ed038e2?skoid=ae506968-e136-4ce1-b90f-4723f7085af6&sktid=33e01921-4d64-4f8c-a055-5bdaffd5e33d&skt=2026-03-02T07%3A51%3A06Z&ske=2026-03-03T07%3A51%3A06Z&sks=b&skv=2021-08-06&sv=2021-08-06&spr=https&st=2026-03-02T07%3A51%3A06Z&se=2026-03-03T07%3A51%3A06Z&sr=b&sp=r&sig=Y7qyjwURUkUV1dmqVEDRgW0AFWliGoxaLR13LvYx76k%3D,,barrier_no
i-89f2097ce5e642a48e7f479ee0f0041c?skoid=ae506968-e136-4ce1-b90f-4723f7085af6&sktid=33e01921-4d64-4f8c-a055-5bdaffd5e33d&skt=2026-03-02T07%3A51%3A06Z&ske=2026-03-03T07%3A51%3A06Z&sks=b&skv=2021-08-06&sv=2021-08-06&spr=https&st=2026-03-02T07%3A51%3A06Z&se=2026-03-03T07%3A51%3A06Z&sr=b&sp=r&sig=Tx%2BdzshQnh2pIPvaozxP9%2FAauZgzxFsLcl7ZMRilqEQ%3D,,barrier_no
i-12621f9a1460433b9068ae3345328043?skoid=ae506968-e136-4ce1-b90f-4723f7085af6&sktid=33e01921-4d64-4f8c-a055-5bdaffd5e33d&skt=2026-03-02T07%3A51%3A06Z&ske=2026-03-03T07%3A51%3A06Z&sks=b&skv=2021-08-06&sv=2021-08-06&spr=https&st=2026-03-02T07%3A51%3A06Z&se=2026-03-03T07%3A51%3A06Z&sr=b&sp=r&sig=9%2BgyQTPTa%2B3U%2BehdcCzB1NnLVNGx%2Bx0jTpZMLFVPUOY%3D,,barrier_no
