image,p_wide,p_narrow,p_barrier_yes,p_barrier_no
AMI몬테소리손바닥어린이집_북쪽.png,0.6600753,0.34450328,0.38224038,0.61480176
AP어린이집_북쪽.png,0.9406718,0.06007904,0.8228049,0.17801243
EPS어린이집_북쪽.png,0.0045152605,0.99561465,0.0055216253,0.99437606
GC차일드케어어린이집_북쪽.png,0.76612806,0.22850004,0.6165681,0.38765633
LIG넥스원_어린이집_북쪽.png,0.79719377,0.2041198,0.85323244,0.15101942
가곡초등학교(병설)_북쪽.png,0.14331311,0.8581326,0.13131541,0.87123233
가남초등학교_북쪽.png,0.046566248,0.95384276,0.020106882,0.98017514
가납초등학교_북쪽.png,0.41721952,0.58024013,0.36252636,0.63916504
가능초등학교_북쪽.png,0.41890138,0.59005094,0.32278574,0.6779941
가람어린이집(해담은어린이집)_북쪽.png,0.6492014,0.3517715,0.49348468,0.5081044
가람유치원_북쪽.png,0.01593408,0.98417336,0.19875875,0.79987127
가람초등학교_북쪽.png,0.005146116,0.99490744,0.011816621,0.9884097
가림유치원_북쪽.png,0.59644383,0.40819854,0.6015013,0.39386454
가림초등학교_북쪽.png,0.9939864,0.006098062,0.83444315,0.16574398
가사초등학교_북쪽.png,0.1627953,0.8409869,0.1734857,0.8241278
가산어린이집_북쪽.png,0.7913265,0.21223637,0.3356861,0.66058487
가산초교_북쪽.png,0.40943402,0.58802605,0.020832032,0.9789908
가수초등학교_북쪽.png,0.48311704,0.51561445,0.32519677,0.67388976
가양초등학교_북쪽.png,0.018628657,0.98140717,0.07057521,0.928242
가연키즈어린이집_북쪽.png,0.44151893,0.5593351,0.17663833,0.8256471
가온유치원-1구간_북쪽.png,0.9262488,0.073159605,0.7942169,0.20600411
가온초교(병설)_북쪽.png,0.8725004,0.13043737,0.87595576,0.12597674
가온초교-1구간_북쪽.png,0.8788408,0.12260291,0.89083743,0.10869053
가좌초등학교_북쪽.png,0.7150981,0.29454595,0.37562242,0.62301624
가평마장초등학교_북쪽.png,0.0026434362,0.99741435,0.0043153763,0.9956271
가평어린이집_북쪽.png,0.15483204,0.8453254,0.13185218,0.8689147
가평초등학교_북쪽.png,0.77136564,0.23075184,0.6537942,0.34843713
가현도담유치원_북쪽.png,0.89748883,0.103370935,0.821903,0.18278626
가현초_북쪽.png,0.85582817,0.14632651,0.8254166,0.17868564
가현초병설유치원_북쪽.png,0.85582817,0.14632651,0.8254166,0.17868564
각골_초등학교_병설유치원_북쪽.png,0.6093651,0.38778478,0.486374,0.51294065
