관리아이디,위도,경도,보호구역아이디,카테고리
0001-F-0003,37.480922309,126.857973439,1,무단횡단방지펜스
0001-F-0002,37.480605964,126.858371977,1,무단횡단방지펜스
0001-F-0001,37.480019172,126.858102965,1,무단횡단방지펜스
0003-F-0001,37.471058389,126.845528202,3,무단횡단방지펜스
0003-F-0002,37.471364868,126.845848081,3,무단횡단방지펜스
0003-F-0003,37.471805253,126.84633441,3,무단횡단방지펜스
0003-F-0004,37.472358558,126.846096079,3,무단횡단방지펜스
0003-F-0005,37.472425521,126.846153381,3,무단횡단방지펜스
0003-F-0006,37.47219429,126.84663361,3,무단횡단방지펜스
0003-F-0007,37.471903642,126.846926342,3,무단횡단방지펜스
0003-F-0010,37.471379989,126.847732756,3,무단횡단방지펜스
0003-F-0008,37.471976363,126.846973838,3,무단횡단방지펜스
0003-F-0009,37.471437595,126.847784712,3,무단횡단방지펜스
0003-F-0014,37.470962994,126.848816185,3,무단횡단방지펜스
0003-F-0015,37.471462798,126.848920463,3,무단횡단방지펜스
0013-F-0001,37.466895482,126.851017594,13,무단횡단방지펜스
0013-F-0002,37.467062399,126.851653277,13,무단횡단방지펜스
0013-F-0004,37.467108373,126.852657016,13,무단횡단방지펜스
0013-F-0005,37.467152754,126.852976128,13,무단횡단방지펜스
0007-F-0001,37.477576692,126.846683978,7,무단횡단방지펜스
0007-F-0002,37.477774869,126.84637354,7,무단횡단방지펜스
0007-F-0004,37.47748707,126.846631914,7,무단횡단방지펜스
0007-F-0003,37.477666035,126.846321789,7,무단횡단방지펜스
0013-F-0003,37.467054599,126.852258279,13,무단횡단방지펜스
0003-F-0012,37.470869335,126.848504985,3,무단횡단방지펜스
0003-F-0011,37.470927813,126.848557372,3,무단횡단방지펜스
0003-F-0013,37.470662621,126.848817986,3,무단횡단방지펜스
0002-F-0001,37.475736865,126.854522503,2,무단횡단방지펜스
0003-F-0016,37.470247567,126.846964237,3,무단횡단방지펜스
0041-F-0001,37.436876192,126.879781796,41,무단횡단방지펜스
0041-F-0002,37.436890228,126.879518684,41,무단횡단방지펜스
0041-F-0003,37.437448299,126.879842832,41,무단횡단방지펜스
0041-F-0004,37.437254823,126.8795867,41,무단횡단방지펜스
0041-F-0005,37.43763522,126.879530944,41,무단횡단방지펜스
0005-F-0001,37.438071544,126.879593027,5,무단횡단방지펜스
0005-F-0002,37.437806787,126.879455926,5,무단횡단방지펜스
0005-F-0003,37.437954506,126.879371978,5,무단횡단방지펜스
0005-F-0004,37.438311897,126.879177074,5,무단횡단방지펜스
0005-F-0005,37.438999257,126.87883328,5,무단횡단방지펜스
0005-F-0006,37.439046078,126.879070896,5,무단횡단방지펜스
0039-F-0001,37.415194733,126.887537235,39,무단횡단방지펜스
0039-F-0002,37.415296411,126.887290508,39,무단횡단방지펜스
0039-F-0003,37.416010479,126.887997788,39,무단횡단방지펜스
0039-F-0004,37.416099057,126.887747655,39,무단횡단방지펜스
0039-F-0005,37.416878097,126.888482932,39,무단횡단방지펜스
0039-F-0006,37.416952961,126.888238482,39,무단횡단방지펜스
0039-F-0007,37.41753643,126.888869762,39,무단횡단방지펜스
0039-F-0008,37.417895993,126.889064256,39,무단횡단방지펜스
0039-F-0009,37.417836676,126.888730335,39,무단횡단방지펜스
0039-F-0010,37.418048849,126.889541809,39,무단횡단방지펜스
0039-F-0011,37.418145611,126.889562948,39,무단횡단방지펜스
0039-F-0012,37.418572278,126.888263421,39,무단횡단방지펜스
0025-F-0001,37.413640826,126.885497512,25,무단횡단방지펜스
0025-F-0002,37.414331011,126.88370097,25,무단횡단방지펜스
0025-F-0003,37.413995689,126.883921908,25,무단횡단방지펜스
0025-F-0004,37.414487183,126.882517182,25,무단횡단방지펜스
0025-F-0005,37.414652949,126.882001361,25,무단횡단방지펜스
0025-F-0006,37.414798057,126.882285814,25,무단횡단방지펜스
0025-F-0007,37.415480869,126.882096452,25,무단횡단방지펜스
0025-F-0009,37.415371109,126.880420691,25,무단횡단방지펜스
0025-F-0010,37.415137429,126.880373196,25,무단횡단방지펜스
0025-F-0011,37.414239879,126.881090423,25,무단횡단방지펜스
0025-F-0012,37.414041516,126.881190112,25,무단횡단방지펜스
0025-F-0013,37.413308793,126.880607892,25,무단횡단방지펜스
0025-F-0014,37.413412966,126.881075311,25,무단횡단방지펜스
0025-F-0015,37.413284593,126.881434159,25,무단횡단방지펜스
0025-F-0016,37.413071521,126.882056872,25,무단횡단방지펜스
0025-F-0017,37.413568215,126.882561208,25,무단횡단방지펜스
0025-F-0018,37.411673361,126.882811687,25,무단횡단방지펜스
0025-F-0019,37.411713874,126.882760013,25,무단횡단방지펜스
0025-F-0020,37.411694943,126.881773027,25,무단횡단방지펜스
0025-F-0021,37.411581623,126.881793239,25,무단횡단방지펜스
0027-F-0001,37.490553676,126.868166961,27,무단횡단방지펜스
0027-F-0002,37.490585078,126.868629214,27,무단횡단방지펜스
0027-F-0003,37.490338645,126.867716433,27,무단횡단방지펜스
0027-F-0004,37.489677626,126.86738529,27,무단횡단방지펜스
0014-F-0001,37.488361974,126.86752023,14,무단횡단방지펜스
0014-F-0002,37.487776492,126.868075742,14,무단횡단방지펜스
0014-F-0003,37.487850688,126.868260066,14,무단횡단방지펜스
0014-F-0004,37.487942816,126.868886312,14,무단횡단방지펜스
0014-F-0005,37.487109698,126.868465717,14,무단횡단방지펜스
0014-F-0006,37.486588214,126.868625031,14,무단횡단방지펜스
0014-F-0007,37.486307361,126.868853477,14,무단횡단방지펜스
0014-F-0008,37.487362186,126.867665821,14,무단횡단방지펜스
0014-F-0009,37.486994244,126.866838801,14,무단횡단방지펜스
0014-F-0010,37.486766591,126.866360391,14,무단횡단방지펜스
0014-F-0011,37.486688923,126.866766382,14,무단횡단방지펜스
0014-F-0012,37.486916618,126.867283554,14,무단횡단방지펜스
0014-F-0013,37.487160684,126.867821222,14,무단횡단방지펜스
0009-F-0001,37.477907089,126.873098735,9,무단횡단방지펜스
0009-F-0002,37.477481724,126.873326863,9,무단횡단방지펜스
0009-F-0003,37.477602148,126.872111529,9,무단횡단방지펜스
0009-F-0004,37.477213231,126.872438771,9,무단횡단방지펜스
0040-F-0001,37.477550763,126.869040504,40,무단횡단방지펜스
0009-F-0010,37.477011204,126.872890082,9,무단횡단방지펜스
0009-F-0011,37.477043894,126.872759178,9,무단횡단방지펜스
0015-F-0001,37.471795956,126.872638777,15,무단횡단방지펜스
0015-F-0002,37.471748512,126.872888543,15,무단횡단방지펜스
0015-F-0003,37.471137407,126.872709946,15,무단횡단방지펜스
0015-F-0004,37.471018732,126.872574567,15,무단횡단방지펜스
0015-F-0005,37.470911527,126.872360544,15,무단횡단방지펜스
0015-F-0006,37.47074723,126.871994495,15,무단횡단방지펜스
0015-F-0007,37.470512736,126.871330614,15,무단횡단방지펜스
0015-F-0008,37.470688221,126.872236352,15,무단횡단방지펜스
0015-F-0009,37.470362253,126.871351516,15,무단횡단방지펜스
0015-F-0010,37.470897142,126.873141545,15,무단횡단방지펜스
0015-F-0011,37.469891187,126.873828697,15,무단횡단방지펜스
0015-F-0012,37.468989061,126.874457228,15,무단횡단방지펜스
0015-F-0013,37.46864718,126.874693772,15,무단횡단방지펜스
0015-F-0014,37.470654315,126.873038575,15,무단횡단방지펜스
0015-F-0015,37.469787059,126.873608628,15,무단횡단방지펜스
0015-F-0016,37.468929677,126.874201128,15,무단횡단방지펜스
0015-F-0017,37.468318391,126.873766171,15,무단횡단방지펜스
0015-F-0018,37.46798151,126.872508408,15,무단횡단방지펜스
0015-F-0019,37.467766341,126.872306514,15,무단횡단방지펜스
0015-F-0020,37.46789945,126.872820925,15,무단횡단방지펜스
0015-F-0021,37.46804339,126.873416224,15,무단횡단방지펜스
0015-F-0022,37.468147706,126.873811579,15,무단횡단방지펜스
0015-F-0023,37.468298713,126.874319224,15,무단횡단방지펜스
0019-F-0001,37.468933852,126.875299548,19,무단횡단방지펜스
0019-F-0002,37.469249687,126.875836853,19,무단횡단방지펜스
0019-F-0003,37.469718027,126.876620417,19,무단횡단방지펜스
0019-F-0004,37.469623365,126.876883513,19,무단횡단방지펜스
0019-F-0005,37.469366781,126.876468171,19,무단횡단방지펜스
0019-F-0006,37.469113764,126.87603934,19,무단횡단방지펜스
0019-F-0007,37.468762055,126.875448868,19,무단횡단방지펜스
0035-F-0001,37.467844884,126.875407687,35,무단횡단방지펜스
0035-F-0002,37.466690548,126.876387175,35,무단횡단방지펜스
0035-F-0003,37.466575703,126.87619185,35,무단횡단방지펜스
0035-F-0004,37.467628005,126.875277703,35,무단횡단방지펜스
0035-F-0005,37.468195336,126.874804822,35,무단횡단방지펜스
0032-F-0001,37.466009243,126.87750744,32,무단횡단방지펜스
0032-F-0002,37.466244366,126.877958759,32,무단횡단방지펜스
0032-F-0003,37.466757647,126.878913029,32,무단횡단방지펜스
0032-F-0004,37.466551683,126.878944825,32,무단횡단방지펜스
0032-F-0005,37.465952251,126.877824398,32,무단횡단방지펜스
0032-F-0006,37.465835591,126.877604355,32,무단횡단방지펜스
0032-F-0007,37.465727918,126.877413514,32,무단횡단방지펜스
0016-F-0001,37.482963848,126.863724765,16,무단횡단방지펜스
0016-F-0002,37.482976203,126.863921468,16,무단횡단방지펜스
0016-F-0003,37.482978804,126.864153936,16,무단횡단방지펜스
0016-F-0004,37.482833079,126.864471395,16,무단횡단방지펜스
0016-F-0005,37.48332745,126.863930494,16,무단횡단방지펜스
0016-F-0006,37.483611746,126.863967806,16,무단횡단방지펜스
0016-F-0007,37.483907295,126.864008717,16,무단횡단방지펜스
0016-F-0008,37.483299,126.864057689,16,무단횡단방지펜스
0016-F-0009,37.483844427,126.864141111,16,무단횡단방지펜스
0020-F-0001,37.465567984,126.881611944,20,무단횡단방지펜스
0020-F-0002,37.465649889,126.881465167,20,무단횡단방지펜스
0020-F-0003,37.465882128,126.881407848,20,무단횡단방지펜스
0020-F-0004,37.466086054,126.881234247,20,무단횡단방지펜스
0020-F-0005,37.466432103,126.88093358,20,무단횡단방지펜스
0020-F-0006,37.466123207,126.881049356,20,무단횡단방지펜스
0033-F-0001,37.460946632,126.881288021,33,무단횡단방지펜스
0033-F-0002,37.460827975,126.881103711,33,무단횡단방지펜스
0012-F-0001,37.461423674,126.88590796,12,무단횡단방지펜스
0012-F-0002,37.46100126,126.88512941,12,무단횡단방지펜스
0012-F-0003,37.461064872,126.885703917,12,무단횡단방지펜스
0012-F-0004,37.460419307,126.884506023,12,무단횡단방지펜스
0012-F-0005,37.460591061,126.884372692,12,무단횡단방지펜스
0011-F-0001,37.458562549,126.88061986,11,무단횡단방지펜스
0011-F-0002,37.458341415,126.880670019,11,무단횡단방지펜스
0011-F-0003,37.4579005,126.880222361,11,무단횡단방지펜스
0011-F-0004,37.457930079,126.880316133,11,무단횡단방지펜스
0011-F-0005,37.457487403,126.880577804,11,무단횡단방지펜스
0011-F-0006,37.457551921,126.88064114,11,무단횡단방지펜스
0011-F-0007,37.457748558,126.879576908,11,무단횡단방지펜스
0011-F-0008,37.457922901,126.87945047,11,무단횡단방지펜스
0038-F-0001,37.455698589,126.88140009,38,무단횡단방지펜스
0038-F-0002,37.455785886,126.881633101,38,무단횡단방지펜스
0038-F-0003,37.455857556,126.881834196,38,무단횡단방지펜스
0038-F-0004,37.455949769,126.88207417,38,무단횡단방지펜스
0038-F-0005,37.455985089,126.88217046,38,무단횡단방지펜스
0038-F-0006,37.455811656,126.882271466,38,무단횡단방지펜스
0038-F-0007,37.45562016,126.882381909,38,무단횡단방지펜스
0022-F-0001,37.454773839,126.883384021,22,무단횡단방지펜스
0022-F-0002,37.455049507,126.883237596,22,무단횡단방지펜스
0022-F-0003,37.455495509,126.883518779,22,무단횡단방지펜스
0022-F-0004,37.455456309,126.88339426,22,무단횡단방지펜스
0022-F-0005,37.455078734,126.884177783,22,무단횡단방지펜스
0022-F-0006,37.45535454,126.884029471,22,무단횡단방지펜스
0022-F-0007,37.454448548,126.884099839,22,무단횡단방지펜스
0022-F-0008,37.454509311,126.883951461,22,무단횡단방지펜스
0022-F-0009,37.454046985,126.884263969,22,무단횡단방지펜스
0022-F-0010,37.453641275,126.88445818,22,무단횡단방지펜스
0022-F-0011,37.453662236,126.8845536,22,무단횡단방지펜스
0022-F-0012,37.453116424,126.884918114,22,무단횡단방지펜스
0022-F-0013,37.453268296,126.884738684,22,무단횡단방지펜스
0022-F-0014,37.452975964,126.884862882,22,무단횡단방지펜스
0022-F-0015,37.453108227,126.885678473,22,무단횡단방지펜스
0022-F-0016,37.452374702,126.88434063,22,무단횡단방지펜스
0021-F-0001,37.449291678,126.8881528,21,무단횡단방지펜스
0021-F-0002,37.449277961,126.887974974,21,무단횡단방지펜스
0021-F-0003,37.449019313,126.888172313,21,무단횡단방지펜스
0021-F-0004,37.448321702,126.888050716,21,무단횡단방지펜스
0021-F-0005,37.448327455,126.888231167,21,무단횡단방지펜스
0021-F-0006,37.447664959,126.888105521,21,무단횡단방지펜스
0021-F-0007,37.447678684,126.888291924,21,무단횡단방지펜스
0021-F-0008,37.447426254,126.888600425,21,무단횡단방지펜스
0021-F-0009,37.447324333,126.889124456,21,무단횡단방지펜스
0021-F-0010,37.447465321,126.889389749,21,무단횡단방지펜스
0021-F-0011,37.447188353,126.888145859,21,무단횡단방지펜스
0021-F-0012,37.446656539,126.888369435,21,무단횡단방지펜스
