동별,만15세미만_인구수
위례동,7103.0
운중동,6249.0
판교동,4749.0
신흥2동,4075.0
서현1동,3891.0
삼평동,3556.0
도촌동,3324.0
백현동,3318.0
정자1동,3303.0
이매1동,3220.0
금광1동,2890.0
분당동,2721.0
구미동,2682.0
금곡동,2569.0
야탑3동,2373.0
수내1동,2262.0
정자3동,2164.0
수내2동,2128.0
서현2동,2075.0
중앙동,1990.0
수내3동,1938.0
야탑2동,1840.0
상대원1동,1784.0
성남동,1721.0
하대원동,1702.0
금광2동,1686.0
이매2동,1658.0
야탑1동,1646.0
구미1동,1635.0
고등동,1595.0
정자동,1421.0
은행2동,1307.0
단대동,1232.0
정자2동,1199.0
수진2동,825.0
태평2동,817.0
은행1동,739.0
태평4동,688.0
태평3동,684.0
신촌동,652.0
상대원3동,642.0
양지동,639.0
태평1동,578.0
복정동,575.0
신흥1동,542.0
신흥3동,506.0
수진1동,420.0
산성동,343.0
상대원2동,189.0
시흥동,185.0
