,mean,std,min,max,skewness,kurtosis,zero_ratio,skew_판정
도로안전표지,0.0,0.0,0.0,0.0,0.0,0.0,1.0,대칭
도로적색표면,6.490196078431373,4.369771385414152,0.0,19.0,1.0001363428689913,0.7162871371034552,0.058823529411764705,강하게 치우침
무단횡단방지펜스,11.686274509803921,10.402865366961992,0.0,41.0,1.0688580845467064,0.9002122763475184,0.1568627450980392,강하게 치우침
무인교통단속카메라,1.5490196078431373,1.0642128638612876,0.0,4.0,0.3849961954936632,-0.02413438230779974,0.17647058823529413,대칭
보호구역표지판,0.0,0.0,0.0,0.0,0.0,0.0,1.0,대칭
생활안전CCTV,5.823529411764706,6.208722517081727,0.0,27.0,1.993278082120842,3.624366264361496,0.058823529411764705,강하게 치우침
신호등,19.941176470588236,21.240915012970493,0.0,93.0,1.6429460569695442,2.553699045231863,0.13725490196078433,강하게 치우침
옐로카펫,0.6274509803921569,1.0190345296156649,0.0,4.0,1.9999430005098162,3.8020003161038463,0.6078431372549019,강하게 치우침
횡단보도,10.549019607843137,8.30256279829354,0.0,32.0,1.001495290600471,0.5705163572864085,0.0196078431372549,강하게 치우침
어린이 비율(%),10.278801625515554,2.279135796539835,3.337378640776699,14.630225080385854,-1.2292419171286961,3.5137750716347234,0.0,강하게 치우침
