대상시설명,소재지지번주소,위도_스쿨존,경도_스쿨존,사고지역위치명,사고유형구분,사고년도,위도_사고,경도_사고,발생건수,사상자수,사망자수,중상자수,경상자수,부상자수,직선거리(m)
구미초등학교,경기도 성남시 분당구 구미동 215,37.337756,127.118398,경기도 성남시 분당구 구미동(놀부보쌈(분당구미점) 부근),보행노인사고다발지,2015,37.33662292,127.1166172,3,3,0,3,0,0,201.6458604
구미초등학교,경기도 성남시 분당구 구미동 215,37.337756,127.118398,경기도 성남시 분당구 구미동(무지개사거리 부근),보행노인사고다발지,2012,37.33719812,127.1160949,3,3,0,3,0,0,212.853637
금광2동제2어린이집,경기도 성남시 중원구 금광동 3386,37.448432,127.163031,경기도 성남시 중원구 금광동(금광카센타 부근),보행어린이사고다발지,2015,37.4481107,127.1637142,3,3,0,2,1,0,70.09914087
금빛초등학교,경기도 성남시 수정구 태평동 7289,37.447331,127.140567,경기도 성남시 수정구 태평동(금빛초교 부근),보행어린이사고다발지,2016,37.44819862,127.1409687,2,2,1,0,1,0,102.785854
금빛초등학교,경기도 성남시 수정구 태평동 7289,37.447331,127.140567,경기도 성남시 수정구 태평동(금빛초교 부근),보행어린이사고다발지,2020,37.4484906,127.1401106,3,3,0,0,3,0,135.0897843
금빛초등학교,경기도 성남시 수정구 태평동 7289,37.447331,127.140567,경기도 성남시 수정구 태평동(태평2동행정복지센터 부근),보행노인사고다발지,2017,37.44758958,127.1388888,5,5,0,3,2,0,150.9140224
금빛초등학교,경기도 성남시 수정구 태평동 7289,37.447331,127.140567,경기도 성남시 수정구 태평동(예일병원사거리 부근),보행노인사고다발지,2015,37.4450521,127.1403254,3,3,0,2,1,0,254.2981329
금상초등학교,경기도 성남시 중원구 금광동 1645,37.443599,127.165995,경기도 성남시 중원구 금광동(성남남부경찰서A 부근),무단횡단사고다발지,2015,37.44247473,127.1682492,4,4,0,2,1,1,235.0176301
꾸러기유치원,경기도 성남시 분당구 이매동 99,37.403847,127.127335,경기도 성남시 분당구 이매동(하탑사거리 부근),자전거사고다발지,2019,37.40546222,127.1281647,4,5,0,2,3,0,193.9810877
늘사랑어린이집,경기도 성남시 분당구 야탑동 536,37.408334,127.122855,경기도 성남시 분당구 야탑동(야탑교 부근),자전거사고다발지,2022,37.40818227,127.1246484,4,5,0,2,2,1,159.2982795
다솜유치원,경기도 성남시 중원구 금광동 3490,37.447962,127.163685,경기도 성남시 중원구 금광동(금광카센타 부근),보행어린이사고다발지,2015,37.4481107,127.1637142,3,3,0,2,1,0,16.73441033
단남초등학교,경기도 성남시 중원구 금광동 210,37.442905,127.161374,경기도 성남시 중원구 중앙동(반석제일교회 부근),보행노인사고다발지,2013,37.44334155,127.1585968,4,4,1,3,0,0,249.9414697
단남초등학교,경기도 성남시 중원구 금광동 210,37.442905,127.161374,경기도 성남시 중원구 금광동(썬빌라 부근),보행어린이사고다발지,2013,37.44492032,127.1597483,3,3,0,1,2,0,266.113407
단남초등학교,경기도 성남시 중원구 금광동 210,37.442905,127.161374,경기도 성남시 중원구 금광동(금상로사거리 부근),보행노인사고다발지,2020,37.44124473,127.1635972,4,4,0,2,2,0,269.4556809
단남초등학교,경기도 성남시 중원구 금광동 210,37.442905,127.161374,경기도 성남시 중원구 상대원동(금상로771 부근),보행노인사고다발지,2019,37.44041529,127.1624801,4,5,0,3,2,0,293.561229
단대초등학교,경기도 성남시 수정구 단대동 77,37.453611,127.157748,경기도 성남시 수정구 양지동(단대동우체국 부근),보행어린이사고다발지,2012,37.45422231,127.1604543,4,4,0,1,3,0,248.3712782
단대초등학교,경기도 성남시 수정구 단대동 77,37.453611,127.157748,경기도 성남시 수정구 단대동(남한산성입구역 부근),보행노인사고다발지,2018,37.45211378,127.1599305,3,3,1,1,1,0,254.6223603
대원초등학교,경기도 성남시 중원구 상대원동 4251,37.436671,127.155099,경기도 성남시 중원구 은행동(상대원시장앞 부근),보행어린이사고다발지,2018,37.43617758,127.1581869,4,4,0,1,2,1,278.1024757
대원초등학교,경기도 성남시 중원구 상대원동 4251,37.436671,127.155099,경기도 성남시 중원구 상대원동(상대원시장앞 부근),보행노인사고다발지,2013,37.43607247,127.1581895,4,4,1,0,3,0,280.8654996
대원초등학교,경기도 성남시 중원구 상대원동 4251,37.436671,127.155099,경기도 성남시 중원구 상대원동(상대원시장앞 부근),보행노인사고다발지,2014,37.43747046,127.1581768,4,4,1,1,2,0,285.9134208
대일초등학교,경기도 성남시 중원구 상대원동 2511,37.438468,127.164185,경기도 성남시 중원구 상대원동(우리집부동산 부근),보행어린이사고다발지,2012,37.43878398,127.1657125,3,3,0,1,2,0,139.3636912
대일초등학교,경기도 성남시 중원구 상대원동 2511,37.438468,127.164185,경기도 성남시 중원구 상대원동(슬리민속학원 부근),보행노인사고다발지,2015,37.4390601,127.1656078,3,3,2,1,0,0,141.8257626
대일초등학교,경기도 성남시 중원구 상대원동 2511,37.438468,127.164185,경기도 성남시 중원구 상대원동(금상로771 부근),보행노인사고다발지,2019,37.44041529,127.1624801,4,5,0,3,2,0,263.7078497
돌마초등학교,경기도 성남시 분당구 야탑동 515,37.409099,127.130378,경기도 성남시 분당구 야탑동((주)이랜드뉴코아아울렛야탑점 부근),보행노인사고다발지,2012,37.41028564,127.1275703,3,3,0,3,0,0,280.9044288
돌마초등학교,경기도 성남시 분당구 야탑동 515,37.409099,127.130378,경기도 성남시 분당구 야탑동(야탑역 부근),보행노인사고다발지,2017,37.41138599,127.1288057,4,4,1,3,0,0,289.7485242
리플플러스어린이집,경기도 성남시 수정구 태평동 6151-3,37.44181,127.128384,경기도 성남시 수정구 수진동(태평역사거리 부근),보행노인사고다발지,2015,37.43998413,127.1275708,8,8,0,5,2,1,215.3477117
리플플러스어린이집,경기도 성남시 수정구 태평동 6151-3,37.44181,127.128384,경기도 성남시 수정구 태평동(세븐일레븐 성남태평점 부근),보행노인사고다발지,2018,37.43939236,127.1279867,4,4,1,1,2,0,271.108003
리플플러스어린이집,경기도 성남시 수정구 태평동 6151-3,37.44181,127.128384,경기도 성남시 수정구 수진동(태평역사거리 부근),보행노인사고다발지,2014,37.43943022,127.1275829,6,7,0,5,2,0,273.9082422
미래유치원,경기도 성남시 수정구 산성동 2120,37.452885,127.150066,경기도 성남시 수정구 신흥동(보건소삼거리 부근),보행노인사고다발지,2012,37.45349978,127.1496162,3,3,0,2,1,0,79.0545276
미래유치원,경기도 성남시 수정구 산성동 2120,37.452885,127.150066,경기도 성남시 수정구 산성동(산성역사거리 부근),보행노인사고다발지,2016,37.45430127,127.1496995,4,4,0,3,1,0,160.7706947
미래유치원,경기도 성남시 수정구 산성동 2120,37.452885,127.150066,경기도 성남시 수정구 신흥동(산성동행정복지센터 부근),보행노인사고다발지,2018,37.45164212,127.1483978,4,4,1,1,2,0,201.9517845
미래유치원,경기도 성남시 수정구 산성동 2120,37.452885,127.150066,경기도 성남시 수정구 신흥동(보건소삼거리 부근),보행어린이사고다발지,2012,37.45097278,127.1508564,3,3,0,2,1,0,223.7838681
미래유치원,경기도 성남시 수정구 산성동 2120,37.452885,127.150066,경기도 성남시 수정구 신흥동 신흥주공아파트 부근,보행노인사고다발지,2014,37.45275312,127.1474115,3,3,1,2,0,0,234.7779787
분당초등학교,경기도 성남시 분당구 서현동 92-1,37.378988,127.129653,경기도 성남시 분당구 서현동(분당초교 부근),보행어린이사고다발지,2022,37.37835713,127.1320421,3,3,0,0,1,2,222.4512245
분당초등학교,경기도 성남시 분당구 서현동 92-1,37.378988,127.129653,경기도 성남시 분당구 서현동(분당초교 부근),보행어린이사고다발지,2022,37.37835713,127.1320421,3,3,0,0,1,2,222.4512245
분당초등학교,경기도 성남시 분당구 서현동 92-1,37.378988,127.129653,경기도 성남시 분당구 서현동(분당초교 부근),보행어린이사고다발지,2022,37.37835713,127.1320421,3,3,0,0,1,2,222.4512245
분당초등학교,경기도 성남시 분당구 서현동 92-1,37.378988,127.129653,경기도 성남시 분당구 서현동(분당초교 부근),보행어린이사고다발지,2022,37.37835713,127.1320421,3,3,0,0,1,2,222.4512245
뽀뽀뽀유치원,경기도 성남시 분당구 야탑동 207-2,37.415425,127.138017,경기도 성남시 분당구 야탑동(중탑삼거리 부근),보행노인사고다발지,2017,37.41471459,127.1386547,3,3,1,2,0,0,97.01531983
산성어린이집,경기도 성남시 수정구 산성동 2115,37.453007,127.150387,경기도 성남시 수정구 신흥동(보건소삼거리 부근),보행노인사고다발지,2012,37.45349978,127.1496162,3,3,0,2,1,0,87.36079441
산성어린이집,경기도 성남시 수정구 산성동 2115,37.453007,127.150387,경기도 성남시 수정구 산성동(산성역사거리 부근),보행노인사고다발지,2016,37.45430127,127.1496995,4,4,0,3,1,0,156.1882427
산성어린이집,경기도 성남시 수정구 산성동 2115,37.453007,127.150387,경기도 성남시 수정구 신흥동(보건소삼거리 부근),보행어린이사고다발지,2012,37.45097278,127.1508564,3,3,0,2,1,0,229.958827
산성어린이집,경기도 성남시 수정구 산성동 2115,37.453007,127.150387,경기도 성남시 수정구 신흥동(산성동행정복지센터 부근),보행노인사고다발지,2018,37.45164212,127.1483978,4,4,1,1,2,0,232.0912241
산성어린이집,경기도 성남시 수정구 산성동 2115,37.453007,127.150387,경기도 성남시 수정구 신흥동 신흥주공아파트 부근,보행노인사고다발지,2014,37.45275312,127.1474115,3,3,1,2,0,0,264.1675752
상원초등학교,경기도 성남시 중원구 은행동 421,37.453884,127.162776,경기도 성남시 수정구 양지동(단대동우체국 부근),보행어린이사고다발지,2012,37.45422231,127.1604543,4,4,0,1,3,0,208.3630483
서현어린이집,경기도 성남시 분당구 서현동 89-4,37.382447,127.126079,경기도 성남시 분당구 서현동(중앙공원로39번길49 부근),보행노인사고다발지,2019,37.38307375,127.1245303,3,4,0,2,2,0,153.5607346
서현어린이집,경기도 성남시 분당구 서현동 89-4,37.382447,127.126079,경기도 성남시 분당구 서현동(시범단지한양아파트후문 부근),보행노인사고다발지,2018,37.38324981,127.1245355,6,6,0,3,3,0,162.9947305
서현어린이집,경기도 성남시 분당구 서현동 89-4,37.382447,127.126079,경기도 성남시 분당구 서현동(서현초교 부근),보행어린이사고다발지,2017,37.38160918,127.1283904,3,3,0,3,0,0,224.4713106
서현초등학교,경기도 성남시 분당구 서현동 87-1,37.382576,127.12855,경기도 성남시 분당구 서현동(서현초교 부근),보행어린이사고다발지,2017,37.38160918,127.1283904,3,3,0,3,0,0,108.4263969
선경유치원,경기도 성남시 중원구 은행동 1932-6,37.450411,127.162262,경기도 성남시 중원구 금광동(우리치과의원 부근),보행어린이사고다발지,2017,37.45064803,127.160521,4,6,0,3,3,0,155.9308864
선경유치원,경기도 성남시 중원구 은행동 1932-6,37.450411,127.162262,경기도 성남시 중원구 은행동(중부초교 부근),스쿨존내어린이사고다발지,2017,37.45073123,127.1650319,1,1,1,0,0,0,247.092711
선경유치원,경기도 성남시 중원구 은행동 1932-6,37.450411,127.162262,경기도 성남시 수정구 단대동(남한산성입구역 부근),보행노인사고다발지,2018,37.45211378,127.1599305,3,3,1,1,1,0,279.657505
선경유치원,경기도 성남시 중원구 은행동 1932-6,37.450411,127.162262,경기도 성남시 중원구 금광동(금광카센타 부근),보행어린이사고다발지,2015,37.4481107,127.1637142,3,3,0,2,1,0,286.1090143
성남동초등학교,경기도 성남시 중원구 금광동 3365,37.449215,127.162178,경기도 성남시 중원구 금광동(금광카센타 부근),보행어린이사고다발지,2015,37.4481107,127.1637142,3,3,0,2,1,0,182.9442294
성남동초등학교,경기도 성남시 중원구 금광동 3365,37.449215,127.162178,경기도 성남시 중원구 금광동(우리치과의원 부근),보행어린이사고다발지,2017,37.45064803,127.160521,4,6,0,3,3,0,216.3028473
성남북초등학교,경기도 성남시 수정구 산성동 2137,37.4515,127.151474,경기도 성남시 수정구 신흥동(보건소삼거리 부근),보행어린이사고다발지,2012,37.45097278,127.1508564,3,3,0,2,1,0,80.05648212
성남북초등학교,경기도 성남시 수정구 산성동 2137,37.4515,127.151474,경기도 성남시 수정구 신흥동(산성동행정복지센터 부근),보행노인사고다발지,2018,37.45164212,127.1483978,4,4,1,1,2,0,272.0080814
성남북초등학교,경기도 성남시 수정구 산성동 2137,37.4515,127.151474,경기도 성남시 수정구 신흥동(보건소삼거리 부근),보행노인사고다발지,2012,37.45349978,127.1496162,3,3,0,2,1,0,276.2973636
성남수정초등학교,경기도 성남시 수정구 수진동 4347,37.436212,127.132786,경기도 성남시 수정구 수진동(샛별오피스텔 부근),보행노인사고다발지,2017,37.43569437,127.1341335,2,2,1,1,0,0,132.1655921
