대상시설명,조명개수
갈보리어린이집,64
건영장안유치원,139
검단초등학교,228
고등나래 유치원,414
구미동어린이집,565
구미초등학교,439
금광2동제2어린이집,49
금빛초등학교,295
금상초등학교,330
꾸러기유치원,148
꿈터 유치원,126
낙생초등학교,1318
내정초등학교,256
늘사랑어린이집,193
늘푸른초등학교,594
다솜어린이집,351
다솜유치원,119
단남초등학교,174
단대어린이집,193
단대초등학교,79
당촌초등학교,119
대원초등학교,487
대일초등학교,350
대하초등학교,124
도촌유치원,108
도촌초등학교,12
돌마초등학교,215
리플플러스어린이집,525
미금초등학교,248
미래유치원,59
배성유치원,117
백현초등학교,289
보듬이나눔이어린이집,182
보평초등학교,575
복정2어린이집,337
복정어린이집,392
복정초등학교,10
분당어린이집,348
분당중앙유치원,61
분당초등학교,234
불곡초등학교,106
불정초등학교,233
뽀뽀뽀유치원,95
산성3어린이집,193
산성어린이집,232
산운초등학교,642
삼평어린이집,648
상대원초등학교,212
상원초등학교,349
상탑초등학교,112
샛별유치원,145
서광어린이집,107
서당초등학교,153
서울국제학교,324
서현어린이집,333
서현초등학교,299
선경유치원,82
성남동초등학교,61
성남매송초등학교,85
성남북초등학교,95
성남생명숲어린이집,252
성남서초등학교,723
성남송현초등학교,361
성남수정초등학교,521
성남신기초등학교,146
성남신흥초등학교,115
성남양지초등학교,227
성남어린이집,70
성남여수초등학교,113
성남은행초등학교,309
성남장안초등학교,246
성남정자초등학교,360
성남제일초등학교,87
성남중앙초등학교,223
성남초등학교,362
성남혜은학교,56
성남화랑초등학교,251
성마르코유치원,328
성모 유치원,245
성수초등학교,635
성은특수학교,245
성체유치원,450
성현어린이집,480
세화유치원,198
수내동어린이집,409
수내초등학교,153
수진초등학교,167
신백현초등학교,391
신흥성모유치원,73
신흥제2어린이집,108
신흥제3어린이집,314
아름다운유치원,253
아이세상 어린이집,179
안말초등학교,193
안촌 유치원,290
야탑초등학교,585
양영초등학교,221
예림어린이집,138
예원유치원,123
오리초등학교,103
왕남초등학교,578
운중초등학교,416
운중하나어린이집,220
위례고운초등학교,31
위례중앙초등학교,87
위례하늘유치원,9
위례한빛초등학교,37
은서유치원,124
은솔유치원,74
은혜유치원,238
이매초등학교,133
이솔유치원,114
중부초등학교,215
중앙동어린이집,131
중원초등학교,216
중탑초등학교,209
즐거운유치원,392
창조유치원,187
청솔초등학교,172
초림초등학교,170
케이디엘피어학원,394
탄천초등학교,157
태평초등학교,202
판교대장초등학교,31
판교샘유치원,164
판교어린이집,102
판교제2어린이집,299
판교초등학교,317
푸르니이매어린이집,35
하대원어린이집,107
하원초등학교,213
하탑초등학교,98
한솔초등학교,153
한양어린이집,247
해나유치원,491
혜성유치원,195
휴맥스어린이집,158
희망대초등학교,166
희영유치원,211
