보호구역아이디,관리번호,시도명,시군구명,도로종류,도로노선번호,도로명,도로노선방향,소재지도로명주소,소재지지번주소,경도,위도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치년도,관리기관명,관리기관전화번호,데이터기준일자
43,0043-C-0001,경기도,광명시,시도,,도덕로,3,경기도 광명시 도덕로 78,경기도 광명시 광명동 732-1,126.856016861,37.470247225,예크어린이집 앞,1+2+3,30,,0,어린이보호구역,,광명경찰서,182,2021-10-08
2,0002-C-0002,경기도,광명시,시도,,광명로,3,경기도 광명시 광명로 866-9,경기도 광명시 광명동 295-58,126.853160358,37.476521567,광명남초등학교 앞,1+2+3,50,,0,어린이보호구역,,광명경찰서,182,2021-10-18
2,0002-C-0001,경기도,광명시,시도,,광명로,3,경기도 광명시 광명로 866-9,경기도 광명시 광명동 295-58,126.852650788,37.475554916,광명남초등학교 앞,1+2+3,50,,0,어린이보호구역,,광명경찰서,182,2021-10-18
1,0001-C-0001,경기도,광명시,시도,,광이로,3,경기도 광명시 광이로 21,경기도 광명시 광명동 135-1,126.858525261,37.480761951,광명초등학교 앞,1+2+3+4,30,,0,어린이보호구역,,광명경찰서,182,2021-10-26
14,0014-C-0001,경기도,광명시,시도,,시청로,3,경기도 광명시 시청로138번길 8,경기도 광명시 철산동 87,126.868567131,37.487610961,광명북초등학교 시청로 4거리 신호등 주변에 위치,1+2,30,,0,어린이보호구역,,광명경찰서,182,2021-10-08
9,0009-C-0002,경기도,광명시,시도,,철산로,3,경기도 광명시 철산로 59,경기도 광명시 철산동 243,126.87281911,37.477504583,철산3동 행정복지센터 근처,1+2,30,,0,어린이보호구역,,광명경찰서,182,2021-10-08
15,0015-C-0001,경기도,광명시,시도,,하안로,3,경기도 광명시 하안로 392,경기도 광명시 철산동 555,126.874261891,37.468921469,철산초등학교 정문 앞,1+2,30,,0,어린이보호구역,,광명경찰서,182,2021-10-08
21,0021-C-0002,경기도,광명시,시도,,소하일로,3,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,126.888581257,37.445117927,교회사거리 골든클래스 아파트 앞,4,30,,0,어린이보호구역,,광명경찰서,182,2021-10-26
12,0012-C-0001,경기도,광명시,시도,,금당로,3,경기도 광명시 금당로 71,경기도 광명시 하안동 111,126.885185542,37.46076646,"하안남초등학교 정문 인근, 1301동 중간지점",4,30,,0,어린이보호구역,,광명경찰서,182,2021-10-14
21,0021-C-0001,경기도,광명시,시도,,소하일로,3,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,126.888221157,37.448804755,소하초 정문 인근,4,30,,0,어린이보호구역,,광명경찰서,182,2021-10-26
23,0023-C-0001,경기도,광명시,시도,,도덕공원로,3,경기도 광명시 도덕공원로 5,경기도 광명시 하안1동 864-1,126.866636795,37.471138918,철산푸르지오 앞 사거리,1,30,,0,어린이보호구역,,광명경찰서,182,2021-10-14
23,0023-C-0002,경기도,광명시,시도,,도덕공원로,3,경기도 광명시 도덕공원로 5,경기도 광명시 하안1동 864-1,126.868642186,37.470330631,제일은행 삼거리,1,50,,0,어린이보호구역,,광명경찰서,182,2021-10-14
