구명,동명,총인구수,0~4세,5~9세,10~14세,어린이인구_0_14,어린이비율(%)
분당구,수내2동,10381,172,755,1125,2052,19.77
분당구,판교동,26365,1085,1499,2016,4600,17.45
분당구,운중동,38266,2013,2153,2153,6319,16.51
수정구,위례동,45473,1745,2348,2732,6825,15.01
중원구,금광1동,19608,1147,1079,622,2848,14.52
분당구,삼평동,23593,923,1095,1366,3384,14.34
분당구,수내3동,13191,171,575,1118,1864,14.13
수정구,신촌동,4511,206,223,200,629,13.94
수정구,고등동,11797,552,609,383,1544,13.09
수정구,신흥2동,31635,1621,1410,1078,4109,12.99
분당구,이매1동,24537,737,977,1389,3103,12.65
분당구,수내1동,17879,284,738,1214,2236,12.51
분당구,이매2동,12796,284,495,798,1577,12.32
분당구,정자3동,16467,434,659,923,2016,12.24
분당구,백현동,26316,731,937,1551,3219,12.23
분당구,서현1동,30649,613,1118,1962,3693,12.05
중원구,도촌동,25878,714,1005,1359,3078,11.89
분당구,서현2동,17273,396,618,980,1994,11.54
중원구,중앙동,16585,681,624,601,1906,11.49
분당구,야탑2동,15564,336,618,808,1762,11.32
분당구,정자1동,30247,527,1066,1730,3323,10.99
분당구,분당동,24396,533,807,1282,2622,10.75
분당구,구미1동,16089,471,459,666,1596,9.92
분당구,정자동,13750,278,437,647,1362,9.91
분당구,야탑1동,16525,462,529,590,1581,9.57
분당구,금곡동,26767,673,828,1002,2503,9.35
분당구,구미동,27981,656,780,1145,2581,9.22
분당구,야탑3동,26618,918,675,816,2409,9.05
중원구,하대원동,19542,468,503,691,1662,8.5
분당구,정자2동,14183,316,339,550,1205,8.5
수정구,단대동,14162,295,336,497,1128,7.96
중원구,은행1동,9289,162,199,314,675,7.27
중원구,상대원1동,22454,431,467,696,1594,7.1
수정구,산성동,4421,56,110,142,308,6.97
중원구,금광2동,23438,417,498,654,1569,6.69
중원구,상대원2동,2911,41,50,91,182,6.25
수정구,양지동,8923,89,161,295,545,6.11
수정구,복정동,10453,236,183,185,604,5.78
수정구,태평4동,10906,127,174,328,629,5.77
중원구,은행2동,20978,238,350,566,1154,5.5
수정구,시흥동,3548,64,60,69,193,5.44
수정구,수진2동,14334,185,241,346,772,5.39
수정구,태평2동,13628,186,212,326,724,5.31
중원구,상대원3동,11054,124,165,296,585,5.29
수정구,태평3동,11585,130,178,295,603,5.21
중원구,성남동,31835,480,451,702,1633,5.13
수정구,신흥3동,10670,122,143,198,463,4.34
수정구,신흥1동,12046,101,139,248,488,4.05
수정구,태평1동,13522,133,140,211,484,3.58
수정구,수진1동,10775,77,105,192,374,3.47
