연번,위도,경도,보호구역아이디,시군구명,대상시설명,관할경찰서명,데이터기준일자
1,37.439089,127.167933,성남-01-001,성남시 중원구,중원초등학교,성남중원경찰서,2022-08-11
2,37.437812,127.166879,성남-01-001,성남시 중원구,중원초등학교,성남중원경찰서,2022-08-11
3,37.447141,127.169039,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
4,37.447462,127.170661,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
5,37.447587,127.171229,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
6,37.446468,127.169145,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
7,37.445922,127.168612,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
8,37.446941,127.168733,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
9,37.446808,127.168117,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
10,37.450273,127.166021,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
11,37.450552,127.166049,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
12,37.451208,127.167226,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
13,37.450971,127.166197,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
14,37.451314,127.165587,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
15,37.450812,127.165391,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
16,37.450617,127.164501,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
17,37.450371,127.163342,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
18,37.450228,127.162615,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
19,37.450165,127.162703,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
20,37.450312,127.163511,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
21,37.450435,127.164003,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
22,37.449973,127.166251,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
23,37.442788,127.180991,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
24,37.443542,127.181289,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
25,37.443841,127.180657,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
26,37.443861,127.179727,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
27,37.442061,127.179124,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
28,37.441789,127.180463,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
29,37.442624,127.180501,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
30,37.441142,127.179128,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
31,37.414012,127.157085,성남-01-005,성남시 중원구,도촌초등학교,성남중원경찰서,2022-08-04
32,37.413908,127.157723,성남-01-005,성남시 중원구,도촌초등학교,성남중원경찰서,2022-08-04
33,37.414355,127.158859,성남-01-005,성남시 중원구,도촌초등학교,성남중원경찰서,2022-08-04
34,37.413981,127.158715,성남-01-005,성남시 중원구,도촌초등학교,성남중원경찰서,2022-08-04
35,37.413628,127.158358,성남-01-005,성남시 중원구,도촌초등학교,성남중원경찰서,2022-08-04
36,37.413902,127.158503,성남-01-005,성남시 중원구,도촌초등학교,성남중원경찰서,2022-08-04
37,37.413467,127.158722,성남-01-005,성남시 중원구,도촌초등학교,성남중원경찰서,2022-08-04
38,37.413431,127.158637,성남-01-005,성남시 중원구,도촌초등학교,성남중원경찰서,2022-08-04
39,37.413775,127.157698,성남-01-005,성남시 중원구,도촌초등학교,성남중원경찰서,2022-08-04
40,37.336415,127.117008,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
41,37.337682,127.116245,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
42,37.340018,127.116077,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
43,37.338495,127.116029,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
44,37.338054,127.113597,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
45,37.338054,127.115642,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
