무인교통단속카메라관리번호,도로종류,도로노선번호,도로노선명,소재지지번주소,위도,경도,설치장소,설치연도
수정신흥1-D-1,기타,,시민로,경기도 성남시 수정구 신흥동 5180,37.442751,127.142565,샤르망아파트,2006
수정신흥1-D-2,기타,,수정로,경기도 성남시 수정구 신흥동 5528,37.44273,127.138668,성남중앙신협본점,2006
수정신흥1-D-3,기타,,산성대로,경기도 성남시 수정구 신흥동 6912,37.438597,127.141886,SK엔크린 LPG,2006
수정신흥2-D-1,기타,,희망로,경기도 성남시 수정구 신흥동 139-3,37.450373,127.151741,수정노인종합복지관 주차장입구,2009
수정신흥2-D-2,기타,,수정로,경기도 성남시 수정구 신흥2동 30-2,37.450341,127.14645,산성역자이2단지,2020
수정신흥2-D-3,기타,,수정로,경기도 성남시 수정구 신흥2동 125,37.45043,127.14674,교통섬,2020
수정신흥2-D-4,기타,,수정로,경기도 성남시 수정구 신흥동 464,37.448539,127.152126,산성역자이푸르지오3단지,2024
수정신흥2-D-5,기타,,수정로,경기도 성남시 수정구 신흥동 248,37.449985,127.15023,산성역자이푸르지오 4단지 인근 사거리,2024
수정신흥2-D-6,기타,,수정로,경기도 성남시 수정구 신흥동 941,37.449971,127.147145,산성역자이푸르지오 2단지 출입구,2024
수정신흥2-D-7,기타,,공원로,경기도 성남시 수정구 신흥동 2015,37.44555,127.148825,두산아파트앞 사거리,2024
수정신흥2-D-8,기타,,희망로,경기도 성남시 수정구 신흥동 148,37.450312,127.151898,성남혜은학교 앞 버스정류장,2024
수정신흥2-D-9,기타,,수정로,경기도 성남시 수정구 신흥동 185,37.450807,127.148757,신흥2동행정복지센터 인근 삼거리,2024
수정신흥2-D-10,기타,,수정로,경기도 성남시 수정구 신흥동 1741-25,37.448262,127.145517,산성역자이푸르지오 1단지 출입구,2024
수정신흥2-A-10,기타,,공원로,경기도 성남시 수정구 신흥동 76-1,37.44935,127.14324,성남여자중학교 인근,2024
수정신흥2-A-24,기타,,공원로,경기도 성남시 수정구 신흥2동 1232-2,37.445971,127.149381,경기도교육청성남도서관 입구,2021
수정신흥2-A-4,기타,,공원로,경기도 성남시 수정구 신흥2동 89번지,37.44667,127.14936,신흥성당앞 삼거리,2021
수정신흥2-A-26,기타,,공원로,경기도 성남시 수정구 신흥2동 89번지,37.449078,127.143242,성모유치원,2018
수정신흥2-E-1,기타,,산성대로,경기도 성남시 수정구 신흥동 2463-4,37.443741,127.152815,롯데시네마 앞,2009
수정신흥3-D-1,기타,,산성대로,경기도 성남시 수정구 신흥동 2482,37.442365,127.149905,성남우체국앞,2006
수정신흥3-D-2,기타,,산성대로,경기도 성남시 수정구 신흥동 2495,37.441666,127.148494,신흥역4번출구,2006
수정신흥3-D-3,기타,,시민로,경기도 성남시 수정구 신흥동 3778,37.441109,127.144062,스타시티주창장입구,2006
수정신흥3-D-4,기타,,산성대로,경기도 성남시 수정구 신흥동 4223-2,37.44009,127.144501,신흥사거리,2009
수정신흥3-D-5,기타,,산성대로269번길,경기도 성남시 수정구신흥3동 4124,37.441356,127.146447,성남청년지원센터,2020
수정태평1-D-1,일반국도,3번,성남대로,경기도 성남시 수정구 태평동 6111,37.443891,127.127355,태평고개사거리,2006
수정태평1-D-2,기타,,수정로,경기도 성남시 수정구 태평동 6459,37.440206,127.12873,태평역2번출구,2009
수정태평1-D-3,일반국도,3번,성남대로,경기도 성남시 수정구 태평동 6973,37.440052,127.127332,태평역6번출구,2006
수정태평1-D-4,기타,,수정로,경기도 성남시 수정구 태평동 6425,37.441035,127.131487,중앙시장사거리,2020
수정태평2-D-1,기타,,시민로,경기도 성남시 수정구 태평동 288-16,37.450558,127.138315,강일마트 앞,2006
수정태평2-D-2,기타,,수정로,경기도 성남시 수정구 태평2동 3309,37.443834,127.138397,성남시의료원,2021
수정태평3-D-1,기타,,수정로,경기도 성남시 수정구 태평동 3677,37.441681,127.133584,중앙시장,2006
수정태평3-D-2,기타,,제일로,경기도 성남시 수정구 태평동 6416,37.441881,127.131161,현대시장입구,2006
수정태평3-D-3,기타,,수정로,경기도 성남시 수정구 태평동 3681,37.441398,127.132117,성남중앙공설시장입구,2020
수정태평3-D-4,기타,,남문로,경기도 성남시 수정구 태평동 4304,37.444825,127.130011,한전사거리,2023
수정태평3-A-1,기타,,남문로,경기도 성남시 수정구 태평동 3743,37.444954,127.131681,태평초등학교 정문,2013
수정태평3-A-9,기타,,태평로,경기도 성남시 수정구 태평동 7343,37.448243,127.129489,성남서초등학교 정문,2022
수정태평3-A-21,기타,,태평로,경기도 성남시 수정구 태평동 5090-1,37.44797,127.12851,성남서초등학교,2022
수정태평4-D-1,기타,,수정로,경기도 성남시 수정구 태평동 7339-4,37.444593,127.143015,숯골사거리,2006
수정태평4-D-2,기타,,태평로,경기도 성남시 수정구 태평동 25-1,37.451656,127.140582,현충탑앞,2023
수정태평4-A-5,기타,,남문로,경기도 성남시 수정구 태평동 7290,37.447863,127.140886,금빛초등학교 후문,2013
수정태평4-A-17,기타,,남문로,경기도 성남시 수정구 태평4동 7289,37.44745,127.13892,금빛초등학교 정문,2021
수정태평4-A-20,기타,,수정로,경기도 성남시 수정구 태평4동 7362,37.44571,127.14499,성남초등학교 정문,2021
수정수진1-D-1,기타,,수정로,경기도 성남시 수정구 수진동 5,37.441765,127.135465,수진1동 5 주변,2006
수정수진1-D-2,기타,,수정로,경기도 성남시 수정구 수진동 56,37.44073,127.132218,중앙시장사거리,2020
수정수진1-A-41,기타,,탄리로,경기도 성남시 수정구 수진1동 587,37.441399,127.136427,수정커뮤니티센터 앞,2022
수정수진2-D-1,기타,,수정로,경기도 성남시 수정구 수진동 2962,37.440198,127.130177,통계청,2006
수정수진2-D-2,일반국도,3번,성남대로,경기도 성남시 수정구 수진동 3013,37.438543,127.128377,예농빌딩,2009
수정수진2-D-3,기타,,제일로,경기도 성남시 수정구 수진동 3399,37.439421,127.132293,수진동현대아파트,2006
수정수진2-D-4,기타,,산성대로,경기도 성남시 수정구 수진동 4538,37.439361,127.127461,정풍빌딩,2009
수정수진2-D-5,일반국도,3번,성남대로,경기도 성남시 수정구 수진동 4612,37.436131,127.128017,모란고개버스정류장,2006
수정수진2-D-6,기타,,제일로,경기도 성남시 수정구 수진동 2929,37.440642,127.131692,SR프라자,2016
