연번,구,동,관리번호,지번주소,도로명주소,설치일자,카메라대수,위도,경도
0,수정구,신흥1동,수정신흥1-A-1,신흥1동 6497번지,수정남로84번길 24-1 (신흥동),2009,5.0,37.439615,127.138008
1,수정구,신흥1동,수정신흥1-A-2,신흥1동 6598번지,탄리로16번길 3-8 (신흥동),2009,4.0,37.43897,127.13956
2,수정구,신흥1동,수정신흥1-A-3,신흥1동 5095번지,시민로163번길 19 (신흥동),2009,5.0,37.442144,127.14138
3,수정구,신흥1동,수정신흥1-A-4,신흥1동 4326번지,산성대로225번길 16 (신흥동),2009,5.0,37.439805,127.141888
4,수정구,신흥1동,수정신흥1-A-5,신흥1동 4900번지,탄리로52번길 32 (신흥동),2009,4.0,37.440745,127.140138
5,수정구,신흥1동,수정신흥1-A-6,신흥1동 4669번지,시민로145번길 16-14 (신흥동),2009,5.0,37.441122,127.142066
6,수정구,신흥1동,수정신흥1-A-7,신흥1동 4224번지,산성대로 241 (신흥동),2009,5.0,37.440008,127.143811
7,수정구,신흥1동,수정신흥1-A-8,신흥1동 5544-1번지,수정로154번길 8 (신흥동),2009,5.0,37.441737,127.137535
8,수정구,신흥1동,수정신흥1-A-9,신흥1동 6077번지,탄리로52번길 12 (신흥동),2012,5.0,37.440932,127.137909
9,수정구,신흥1동,수정신흥1-A-10,신흥1동 5514번지,수정로180번길 3 (신흥동),2013,5.0,37.442849,127.140006
10,수정구,신흥1동,수정신흥1-A-11,신흥1동 6926번지,산성대로215번길 7 (신흥동),2013,5.0,37.438513,127.140835
11,수정구,신흥1동,수정신흥1-A-12,신흥1동 6284번지,탄리로30번길 15-1 (신흥동),2013,5.0,37.439546,127.139669
12,수정구,신흥1동,수정신흥1-A-13,신흥1동 4579번지,수정남로132번길 25 (신흥동),2013,5.0,37.440843,127.142982
13,수정구,신흥1동,수정신흥1-A-14,신흥1동 5319-3번지,시민로163번길 26 (신흥동),2014,5.0,37.442062,127.140387
14,수정구,신흥1동,수정신흥1-A-15,신흥1동 5534-1번지,수정로162번길 6 (신흥동),2015,5.0,37.44231,127.13821
15,수정구,신흥1동,수정신흥1-A-16,신흥1동 5481번지,수정로188번길 7 (신흥동),2016,5.0,37.44284,127.14112
16,수정구,신흥1동,수정신흥1-A-17,신흥1동 6593번지,탄리로 16 (신흥동),2016,5.0,37.43886,127.13957
17,수정구,신흥1동,수정신흥1-A-18,신흥1동 4916번지,시민로155번길 18 (신흥동),2017-12,5.0,37.44151,127.14158
18,수정구,신흥1동,수정신흥1-A-19,신흥1동 5755번지,수정남로98번길 9 (신흥동),2017-12,5.0,37.44142,127.1388
19,수정구,신흥1동,수정신흥1-A-20,신흥1동 5055번지,수정로170번길 19-3 (신흥동),2018-07,5.0,37.44152,127.13986
20,수정구,신흥1동,수정신흥1-A-21,신흥1동 6407번지,탄리로42번길 12 (신흥동),2018-07,5.0,37.44013,127.13823
21,수정구,신흥1동,수정신흥1-A-22,신흥1동 4503번지,시민로139번길 3 (신흥동),2018-07,5.0,37.44043,127.14362
22,수정구,신흥1동,수정신흥1-A-23,신흥1동 4945번지,수정로 180번길 23,2018-10,5.0,37.44129,127.14073
23,수정구,신흥1동,수정신흥1-A-24,신흥1동 5189번지,"시민로 165 (신흥동, 샤르망)",2018-10,5.0,37.44243,127.14227
24,수정구,신흥1동,수정신흥1-A-25,신흥1동 6926번지,산성대로215번길 7 (신흥동),2019-04,4.0,37.43902,127.14112
25,수정구,신흥1동,수정신흥1-A-26,신흥1동 4245번지,산성대로225번길 6 (신흥동),2019-04,5.0,37.43927,127.14232
26,수정구,신흥1동,수정신흥1-A-27,신흥1동 4546번지,시민로155번길 5 (신흥동),2019-09,5.0,37.44192,127.1429
27,수정구,신흥1동,수정신흥1-A-28,신흥1동 6676번지,탄리로16번길 11 (신흥동),2019-09,5.0,37.43901,127.14039
28,수정구,신흥1동,수정신흥1-A-29,신흥1동 4500번지,산성대로241번길 16 (신흥동),2019-09,5.0,37.44095,127.14337
29,수정구,신흥1동,수정신흥1-A-30,신흥1동 5617,수정남로 103-2,2020-07,5.0,37.44226,127.139163
30,수정구,신흥1동,수정신흥1-A-31,신흥1동 6295,탄리로42번길 22,2020-07,5.0,37.440246,127.139363
31,수정구,신흥1동,수정신흥1-A-32,신흥1동 4826,산성대로225번길 27-1,2020-07,5.0,37.440885,127.141154
32,수정구,신흥1동,수정신흥1-A-33,신흥1동 5180,시민로 165,2020-07,5.0,37.442695,127.142158
33,수정구,신흥1동,수정신흥1-A-34,신흥1동 4900,탄리로52번길 32,2020-12,4.0,37.44109,127.140231
34,수정구,신흥1동,수정신흥1-A-35,신흥1동 5481번지,수정구 수정로188번길 7,2021-06,5.0,37.443103,127.141009
35,수정구,신흥1동,수정신흥1-A-36,신흥1동 5490,시민로175번길 8-1,2021-12,4.0,37.4434,127.14175
36,수정구,신흥1동,수정신흥1-A-37,신흥1동 5688,수정로170번길 14,2022-07,5.0,37.441975,127.139533
37,수정구,신흥1동,수정신흥1-A-38,신흥1동 6729,탄리로30번길 34,2022-08,5.0,37.44044,127.141461
38,수정구,신흥1동,수정신흥1-A-39,신흥1동 6540,탄리로 30번길6-1,2022-08,4.0,37.439242,127.138706
39,수정구,신흥1동,수정신흥1-A-40,신흥1동 5652,수정로 170번길 12,2023-06,3.0,37.442137,127.139298
40,수정구,신흥1동,수정신흥1-A-41,신흥1동 5045,수정로 180번길 17,2023-06,5.0,37.441797,127.140534
41,수정구,신흥1동,수정신흥1-A-42,신흥1동 4407,산성대로 225번길 20-16,2023-06,5.0,37.440472,127.142194
42,수정구,신흥1동,수정신흥1-A-43,신흥1동 5659,수정남로98번길 3,2024-10,5.0,37.441894,127.138686
43,수정구,신흥1동,수정신흥1-A-44,신흥1동 6932-2,탄리로 12-1,2024-10,4.0,37.438527,127.139743
44,수정구,신흥2동,수정신흥2-A-1,신흥2동 2024번지,공원로370번길 30 (신흥동),2009,5.0,37.444985,127.150824
45,수정구,신흥2동,수정신흥2-A-2,신흥2동 6956,,2021-06,4.0,37.451105,127.146177
46,수정구,신흥2동,수정신흥2-A-4,신흥2동 1232번지,공원로370번길 29 (신흥동),2009,3.0,37.446667,127.149359
47,수정구,신흥2동,수정신흥2-A-5,신흥2동 37번지,수정로279번길 3 (신흥동),2009,4.0,37.449397,127.145009
48,수정구,신흥2동,수정신흥2-A-6,신흥2동 30번지,수정로 283 (신흥동),2009,6.0,37.450147,127.144902
49,수정구,신흥2동,수정신흥2-A-7,신흥2동 2344번지,공원로370번길 26 (신흥동),2009,3.0,37.44864,127.14981
50,수정구,신흥2동,수정신흥2-A-8,신흥2동 2024번지,"공원로 360 (신흥동, 두산아파트)",2009,3.0,37.44704,127.15215
51,수정구,신흥2동,수정신흥2-A-9,신흥2동 950,수정구 수정로 282,2021-06,6.0,37.44944,127.146309
52,수정구,신흥2동,수정신흥2-A-10,신흥2동 76-1번지,"수정로251번길 32 (신흥동, 신원빌리지)",2009,4.0,37.449348,127.143239
53,수정구,신흥2동,수정신흥2-A-11,신흥2동 110-3번지,수정로251번길 8-1 (신흥동),2012,4.0,37.447433,127.14471
54,수정구,신흥2동,수정신흥2-A-13,신흥2동 6950,,2024-10,3.0,37.455169,127.149695
55,수정구,신흥2동,수정신흥2-A-14,신흥2동 2457-4,,2023-02,5.0,37.44629,127.155437
56,수정구,신흥2동,수정신흥2-A-15,신흥2동 32,수정로 277,2023-06,4.0,37.449634,127.146202
57,수정구,신흥2동,수정신흥2-A-16,신흥2동 2460-4,,2022-01,5.0,37.44633,127.15449
58,수정구,신흥2동,수정신흥2-A-17,신흥2동 2460-4,,2022-01,5.0,37.44663,127.15372
59,수정구,신흥2동,수정신흥2-A-18,신흥2동 2460-4,,2022-01,5.0,37.44676,127.15332
60,수정구,신흥2동,수정신흥2-A-19,신흥2동 2460-4,,2022-01,5.0,37.44732,127.15406
61,수정구,신흥2동,수정신흥2-A-20,신흥2동 80번지,"수정로251번길 22-1 (신흥동, 신원빌리지)",2016,3.0,37.44863,127.14381
62,수정구,신흥2동,수정신흥2-A-21,신흥2동 37번지,수정로279번길 5 (신흥동),2016,5.0,37.4496,127.14524
63,수정구,신흥2동,수정신흥2-A-22,신흥2동 2460-4,,2022-01,5.0,37.445923,127.15225
64,수정구,신흥2동,수정신흥2-A-23,신흥2동 2460-4,,2022-01,5.0,37.446,127.15389
65,수정구,신흥2동,수정신흥2-A-24,신흥2동 2024번지,"공원로 360 (신흥동, 두산아파트)",2018-07,4.0,37.44597,127.14938
66,수정구,신흥2동,수정신흥2-A-25,신흥2동 48번지,"공원로436번길 10 (신흥동, 현대빌리지)",2018-07,4.0,37.44954,127.1437
67,수정구,신흥2동,수정신흥2-A-26,신흥2동 89번지, ,2018-10,5.0,37.44869,127.14313
68,수정구,신흥2동,수정신흥2-A-27,신흥2동 53-10번지,수정로257번길 12-9 (신흥동),2019-04,4.0,37.44896,127.14493
69,수정구,신흥2동,수정신흥2-A-28,신흥2동 86-2번지,공원로418번길 7 (신흥동),2019-09,4.0,37.44814,127.14472
70,수정구,신흥2동,수정신흥2-A-29,신흥2동 2463-1번지,산성대로 341 (신흥동),2019-09,4.0,37.44469,127.15313
71,수정구,신흥2동,수정신흥2-A-30,신흥2동 109번지,수정로257번길 1 (신흥동),2019-09,4.0,37.44768,127.14519
72,수정구,신흥2동,수정신흥2-A-31,신흥2동 47-1번지,시민로155번길 5 (신흥동),2019-12,6.0,37.44925,127.14272
73,수정구,신흥2동,수정신흥2-A-32,신흥동 2440,,2024-10,3.0,37.447472,127.153657
74,수정구,신흥2동,수정신흥2-A-34,신흥2동 6-1,,2020-10,4.0,37.454536,127.144362
75,수정구,신흥2동,수정신흥2-A-35,신흥2동 5-2,,2020-10,4.0,37.454807,127.1449
76,수정구,신흥2동,수정신흥2-A-36,신흥2동 4-2,,2020-10,4.0,37.454229,127.14617
77,수정구,신흥2동,수정신흥2-A-37,신흥2동 10,,2020-10,4.0,37.4554,127.149343
78,수정구,신흥2동,수정신흥2-A-38,신흥2동 10,,2020-10,4.0,37.455904,127.149736
79,수정구,신흥2동,수정신흥2-A-40,신흥2동 922,수정로288번길 3-7,2020-07,3.0,37.450308,127.147343
80,수정구,신흥2동,수정신흥2-A-41,신흥2동 2460-4,,2022-01,5.0,37.445798,127.15311
81,수정구,신흥2동,수정신흥2-A-42,신흥2동 2460-4,,2022-01,5.0,37.445458,127.15311
82,수정구,신흥2동,수정신흥2-A-43,신흥2동 2460-4,,2022-01,5.0,37.44663,127.15457
83,수정구,신흥2동,수정신흥2-A-44,신흥2동 2460-4,,2022-01,5.0,37.446183,127.15325
84,수정구,신흥2동,수정신흥2-A-45,신흥2동 2460-4,,2022-01,5.0,37.446283,127.15273
85,수정구,신흥2동,수정신흥2-A-46,신흥2동 2344,공원로370번길 30,2021-12,5.0,37.44741,127.14986
86,수정구,신흥2동,수정신흥2-A-47,신흥2동 2344,공원로370번길 30,2021-12,4.0,37.44805,127.15087
87,수정구,신흥2동,수정신흥2-A-48,신흥2동 6956,포레스티아 산책로,2023-06,4.0,37.453204,127.144393
88,수정구,신흥2동,수정신흥2-A-49,신흥2동 6956,포레스티아 산책로,2023-06,4.0,37.452319,127.145253
89,수정구,신흥2동,수정신흥2-A-50,신흥동 126,,2024-07,4.0,37.451665,127.149942
90,수정구,신흥2동,수정신흥2-A-51,신흥동 137,,2024-07,4.0,37.450619,127.151486
91,수정구,신흥2동,수정신흥2-A-52,신흥동 153,,2024-07,4.0,37.449441,127.15306
92,수정구,신흥2동,수정신흥2-A-53,신흥동 828,,2024-07,4.0,37.451082,127.148322
93,수정구,신흥2동,수정신흥2-A-54,신흥동 185,,2024-07,5.0,37.450803,127.148898
94,수정구,신흥2동,수정신흥2-A-55,신흥동 464,,2024-07,5.0,37.448334,127.152487
95,수정구,신흥2동,수정신흥2-A-56,신흥동 2440,,2024-07,3.0,37.44831,127.153306
96,수정구,신흥2동,수정신흥2-A-57,신흥동 24-2,,2024-07,4.0,37.449354,127.14624
97,수정구,신흥2동,수정신흥2-A-58,신흥동 24-2,,2024-07,4.0,37.449616,127.14746
98,수정구,신흥2동,수정신흥2-A-59,신흥동 24-2,,2024-07,5.0,37.449254,127.14789
99,수정구,신흥2동,수정신흥2-A-60,신흥동 1223,,2024-07,4.0,37.44833,127.14843
100,수정구,신흥2동,수정신흥2-A-61,신흥동 1741-8,,2024-07,3.0,37.448243,127.145514
101,수정구,신흥2동,수정신흥2-A-62,신흥동 1745-1,,2024-07,5.0,37.446387,127.145635
102,수정구,신흥2동,수정신흥2-A-63,신흥동 1748-1,,2024-07,3.0,37.445909,127.146323
103,수정구,신흥2동,수정신흥2-A-64,신흥동 1940,,2024-07,3.0,37.445979,127.147778
104,수정구,신흥2동,수정신흥2-A-65,신흥동 2019,,2024-07,4.0,37.445401,127.148644
105,수정구,신흥2동,수정신흥2-A-66,신흥동 2009,,2024-07,3.0,37.445033,127.148118
106,수정구,신흥2동,수정신흥2-A-67,신흥동 478,,2024-07,3.0,37.446775,127.147884
