대상시설명,위도,경도,소재지도로명주소,CCTV_300m,CCTV_500m,최근접_CCTV_거리,무인카메라_300m,무인카메라_500m,최근접_무인카메라_거리,표지판_300m,표지판_500m,최근접_표지판_거리,도로안전표지_300m,도로안전표지_500m,최근접_도로안전표지_거리,신호등_300m,신호등_500m,최근접_신호등_거리,횡단보도_300m,횡단보도_500m,최근접_횡단보도_거리,옐로카펫_300m,옐로카펫_500m,최근접_옐로카펫_거리,도로적색표면_300m,도로적색표면_500m,최근접_도로적색표면_거리,울타리_펜스_300m,울타리_펜스_500m,최근접_울타리_펜스_거리,CCTV설치여부,CCTV설치대수,보호구역도로폭,관할경찰서,안전시설_총합_300m,안전시설_총합_500m,시설_다양성_300m
중원초등학교,37.437855,127.167857,경기도 성남시 중원구 사기막골로31번길 46,18,48,85.6,0,1,443.2,15,22,76.5,0,4,443.3,0,4,380.2,0,4,387.8,1,2,0.0,5,11,86.5,12,24,76.7,1,3,0.0,성남중원경찰서,51,120,5
하원초등학교,37.446255,127.170236,경기도 성남시 중원구 광명로 396,16,45,41.9,2,5,117.3,15,23,91.6,6,10,0.0,10,17,0.1,6,10,0.1,2,4,0.0,7,15,99.2,21,32,84.8,1,2,0.0,성남중원경찰서,85,161,9
중부초등학교,37.451546,127.164951,경기도 성남시 중원구 자혜로 55,27,87,42.7,2,6,0.1,26,48,52.3,2,7,116.0,4,12,116.2,2,7,116.2,1,4,0.0,19,39,61.8,25,57,70.8,1,4,0.0,성남중원경찰서,108,267,9
상대원초등학교,37.442382,127.181591,경기도 성남시 중원구 순환로 214번길 16,5,14,75.2,1,2,0.1,21,22,51.4,2,4,187.9,3,5,119.7,2,6,183.3,1,1,0.0,8,8,69.6,30,30,48.2,1,3,0.0,성남중원경찰서,73,92,9
도촌초등학교,37.41473,127.158024,경기도 성남시 중원구 도촌남로 99,6,11,95.1,1,1,167.6,10,10,79.5,5,8,2.0,5,9,2.1,5,7,2.1,1,1,0.0,9,9,84.7,26,26,79.8,1,4,0.0,성남중원경찰서,68,82,9
구미초등학교,37.337756,127.118398,경기도 성남시 분당구 미금로22번길 25,5,17,60.2,1,2,0.1,30,36,50.2,6,14,3.1,17,19,108.7,6,13,0.1,1,2,0.0,17,21,44.8,27,30,39.3,1,3,0.0,분당경찰서,110,154,9
내정초등학교,37.372402,127.122264,경기도 성남시 분당구 내정로 174번길 19,13,36,28.7,4,5,76.3,6,19,24.4,1,8,129.5,10,12,243.1,1,8,128.1,1,1,0.0,2,5,91.6,4,19,27.6,1,2,15.0,분당경찰서,42,113,9
돌마초등학교,37.409099,127.130378,경기도 성남시 분당구 야탑로97번길 7,14,44,39.6,2,7,0.0,8,23,70.1,4,13,74.1,5,18,74.1,5,16,74.1,1,2,0.0,7,12,77.3,10,20,68.8,1,3,0.0,분당경찰서,56,155,9
미금초등학교,37.347422,127.115303,경기도 성남시 분당구 미금로 151,8,35,26.5,1,3,2.9,15,33,63.0,3,8,193.5,10,15,124.0,5,10,0.3,2,4,0.0,9,15,97.6,16,26,53.6,1,5,30.0,분당경찰서,69,149,9
백현초등학교,37.372193,127.111168,경기도 성남시 분당구 백현로 144번길 26,18,38,63.9,1,5,133.8,13,28,37.7,3,9,55.7,8,14,131.4,3,11,55.6,1,1,0.0,11,21,83.5,21,32,41.9,1,2,8.0,분당경찰서,79,159,9
분당초등학교,37.378988,127.129653,경기도 성남시 분당구 중앙공원로 32번길 20,4,17,53.4,2,4,0.0,11,21,43.2,2,6,226.7,5,16,268.7,3,6,226.8,1,2,0.0,3,10,65.6,12,25,38.8,1,3,9.0,분당경찰서,43,107,9
성남여수초등학교,37.419449,127.133081,경기도 성남시 중원구 여수울로 37,11,20,58.7,3,4,54.8,26,29,53.9,4,9,91.5,5,12,91.6,4,9,91.6,1,1,0.0,16,16,56.4,36,36,59.3,1,5,0.0,성남중원경찰서,106,136,9
탄천초등학교,37.361599,127.115645,경기도 성남시 분당구 내정로 20,16,27,67.7,3,5,67.7,8,19,55.1,5,14,86.4,8,15,137.6,7,14,86.4,1,2,0.0,8,15,64.1,16,29,60.0,1,3,30.0,분당경찰서,72,140,9
하탑초등학교,37.407326,127.126613,경기도 성남시 분당구 양현로 262,13,35,36.9,2,6,0.0,14,23,95.2,6,14,0.0,7,17,0.0,5,15,0.0,1,2,0.0,6,12,113.7,23,39,94.2,1,3,12.0,분당경찰서,77,163,9
늘푸른초등학교,37.358334,127.105671,경기도 성남시 분당구 백궁로 247,6,15,59.4,1,3,0.0,10,11,20.7,5,12,0.0,4,10,29.1,5,12,0.0,2,2,0.0,9,9,35.3,16,17,21.7,1,3,20.0,분당경찰서,58,91,9
보평초등학교,37.396039,127.117758,경기도 성남시 분당구 동판교로 154,17,41,47.3,2,4,46.7,8,10,53.3,5,14,3.7,7,13,87.4,4,12,0.2,1,1,0.0,15,16,34.1,16,16,28.8,1,6,0.0,분당경찰서,75,127,9
산운초등학교,37.389753,127.079005,경기도 성남시 분당구 판교로117번길 11,23,63,40.9,5,5,85.2,19,25,108.9,5,10,1.7,7,10,180.6,4,10,92.5,1,1,0.0,23,27,87.4,18,24,83.9,1,9,0.0,분당경찰서,105,175,9
운중초등학교,37.392419,127.06894,경기도 성남시 분당구 운중로 45번길 8,23,45,50.7,2,2,82.5,16,22,55.1,7,9,0.0,4,7,186.0,7,8,0.2,1,1,0.0,30,33,41.3,34,37,41.8,1,10,0.0,분당경찰서,124,164,9
낙생초등학교,37.394357,127.098914,경기도 성남시 분당구 서판교로74번길 11,19,39,41.3,2,2,5.9,15,23,37.0,7,11,5.8,13,15,50.8,7,12,5.9,1,1,0.0,14,18,46.6,23,30,34.2,1,12,0.0,분당경찰서,101,151,9
신백현초등학교,37.387579,127.111751,경기도 성남시 분당구 판교역로14번길 42,22,51,36.6,0,4,302.4,16,21,56.3,5,14,0.0,6,12,72.0,6,14,0.0,2,3,0.0,8,13,35.2,35,54,31.6,1,3,0.0,분당경찰서,100,186,8
성남화랑초등학교,37.390224,127.115888,경기도 성남시 분당구 동판교로 77,6,32,80.1,2,5,137.1,8,14,81.0,5,12,134.0,8,10,96.1,4,13,134.0,1,3,0.0,6,11,89.6,20,35,68.7,1,1,26.0,분당경찰서,60,135,9
성남은행초등학교,37.461002,127.170901,경기도 성남시 중원구 순환로 447번길 11,11,37,77.1,1,1,268.3,23,23,29.0,3,3,244.7,1,3,287.6,3,3,244.6,1,1,0.0,10,10,35.1,2,2,119.3,1,4,0.0,성남중원경찰서,55,83,9
성남중앙초등학교,37.436255,127.143529,경기도 성남시 중원구 원터로 94번길 7,16,53,37.3,5,9,113.3,13,49,34.5,6,11,0.0,5,14,2.6,6,11,2.6,1,1,0.0,16,32,39.5,13,29,45.5,1,5,0.0,성남중원경찰서,81,209,9
단남초등학교,37.442905,127.161374,경기도 성남시 중원구 광명로 300번길 25,38,117,47.0,10,16,87.9,21,42,69.8,5,12,126.9,15,24,37.4,6,18,127.0,1,3,0.0,17,28,66.6,30,48,70.4,1,2,6.0,성남중원경찰서,143,308,9
대원초등학교,37.436671,127.155099,경기도 성남시 중원구 희망로343번길 24,5,34,196.5,1,4,255.1,8,28,24.9,1,3,247.0,2,6,255.1,2,3,255.1,1,1,0.0,4,14,26.8,23,40,23.9,1,6,0.0,성남중원경찰서,47,133,9
대일초등학교,37.438468,127.164185,경기도 성남시 중원구 금상로 55번길 22,37,100,63.4,1,6,235.2,15,34,70.5,1,5,272.6,1,9,272.5,1,5,272.5,1,2,0.0,6,22,72.0,15,31,60.8,1,3,0.0,성남중원경찰서,78,214,9
대하초등학교,37.431908,127.151304,경기도 성남시 중원구 시민로 14,14,32,29.3,1,4,85.8,17,22,42.7,2,7,97.3,2,7,97.4,2,6,129.9,1,1,0.0,8,11,67.6,12,15,41.8,1,3,0.0,성남중원경찰서,59,105,9
성남제일초등학교,37.438906,127.149609,경기도 성남시 중원구 광명로 184번길 23,16,52,66.1,5,14,119.2,70,85,97.1,4,12,194.0,12,20,104.9,4,12,194.0,0,0,544.7,30,41,106.3,34,47,97.4,1,2,0.0,성남중원경찰서,175,283,8
성남북초등학교,37.4515,127.151474,경기도 성남시 수정구 희망로534번길 3,23,60,58.7,6,11,2.1,28,40,49.6,4,7,0.0,10,20,0.1,5,9,0.1,3,4,0.0,22,35,43.5,22,30,36.8,1,6,0.0,성남수정경찰서,123,216,9
성남수정초등학교,37.436212,127.132786,경기도 성남시 수정구 제일로 123번길 9,33,97,15.5,0,6,320.2,8,13,10.5,5,9,79.9,6,10,121.2,5,8,80.1,1,1,0.0,5,16,64.3,31,38,3.1,1,6,0.0,성남수정경찰서,94,198,8
수진초등학교,37.444944,127.133465,경기도 성남시 수정구 탄리로 95번길 16,40,116,23.8,1,10,157.5,38,50,24.4,6,15,56.1,8,22,56.1,5,13,56.1,4,4,0.0,18,23,111.8,26,40,30.5,1,10,0.0,성남수정경찰서,146,293,9
