시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭
초등학교,중원초등학교,경기도 성남시 중원구 사기막골로31번길 46,경기도 성남시 중원구 상대원동 153,37.437855,127.167857,성남중원경찰서,Y,3,4~6
초등학교,하원초등학교,경기도 성남시 중원구 광명로 396,경기도 성남시 중원구 금광동 2412,37.446255,127.170236,성남중원경찰서,Y,2,4~12
초등학교,중부초등학교,경기도 성남시 중원구 자혜로 55,경기도 성남시 중원구 은행동 1932-7,37.451546,127.164951,성남중원경찰서,Y,4,8~12
초등학교,상대원초등학교,경기도 성남시 중원구 순환로 214번길 16,경기도 성남시 중원구 상대원동 54,37.442382,127.181591,성남중원경찰서,Y,3,4~8
초등학교,도촌초등학교,경기도 성남시 중원구 도촌남로 99,경기도 성남시 중원구 도촌동 646,37.41473,127.158024,성남중원경찰서,Y,4,8~14
초등학교,구미초등학교,경기도 성남시 분당구 미금로22번길 25,경기도 성남시 분당구 구미동 215,37.337756,127.118398,분당경찰서,Y,3,15~30
초등학교,내정초등학교,경기도 성남시 분당구 내정로 174번길 19,경기도 성남시 분당구 수내동 57,37.372402,127.122264,분당경찰서,Y,2,15
초등학교,돌마초등학교,경기도 성남시 분당구 야탑로97번길 7,경기도 성남시 분당구 야탑동 515,37.409099,127.130378,분당경찰서,Y,3,7~18
초등학교,미금초등학교,경기도 성남시 분당구 미금로 151,경기도 성남시 분당구 구미동 68,37.347422,127.115303,분당경찰서,Y,5,30
초등학교,백현초등학교,경기도 성남시 분당구 백현로 144번길 26,경기도 성남시 분당구 정자동 76,37.372193,127.111168,분당경찰서,Y,2,8
초등학교,분당초등학교,경기도 성남시 분당구 중앙공원로 32번길 20,경기도 성남시 분당구 서현동 92-1,37.378988,127.129653,분당경찰서,Y,3,9
초등학교,성남여수초등학교,경기도 성남시 중원구 여수울로 37,경기도 성남시 중원구 여수동 577,37.419449,127.133081,성남중원경찰서,Y,5,18~23
초등학교,탄천초등학교,경기도 성남시 분당구 내정로 20,경기도 성남시 분당구 정자동 195,37.361599,127.115645,분당경찰서,Y,3,30
초등학교,하탑초등학교,경기도 성남시 분당구 양현로 262,경기도 성남시 분당구 야탑동 531,37.407326,127.126613,분당경찰서,Y,3,12
초등학교,늘푸른초등학교,경기도 성남시 분당구 백궁로 247,경기도 성남시 분당구 정자동 178-5,37.358334,127.105671,분당경찰서,Y,3,20
초등학교,보평초등학교,경기도 성남시 분당구 동판교로 154,경기도 성남시 분당구 삼평동 743,37.396039,127.117758,분당경찰서,Y,6,12~26
초등학교,산운초등학교,경기도 성남시 분당구 판교로117번길 11,경기도 성남시 분당구 운중동 927,37.389753,127.079005,분당경찰서,Y,9,8~13
초등학교,운중초등학교,경기도 성남시 분당구 운중로 45번길 8,경기도 성남시 분당구 운중동 893,37.392419,127.06894,분당경찰서,Y,10,8~31
초등학교,낙생초등학교,경기도 성남시 분당구 서판교로74번길 11,경기도 성남시 분당구 판교동 551,37.394357,127.098914,분당경찰서,Y,12,9~22
초등학교,신백현초등학교,경기도 성남시 분당구 판교역로14번길 42,경기도 성남시 분당구 백현동 559,37.387579,127.111751,분당경찰서,Y,3,15~32
초등학교,성남화랑초등학교,경기도 성남시 분당구 동판교로 77,경기도 성남시 분당구 백현동 547,37.390224,127.115888,분당경찰서,Y,1,26
초등학교,성남은행초등학교,경기도 성남시 중원구 순환로 447번길 11,경기도 성남시 중원구 은행동 652,37.461002,127.170901,성남중원경찰서,Y,4,4~6
초등학교,성남중앙초등학교,경기도 성남시 중원구 원터로 94번길 7,경기도 성남시 중원구 성남동 2580,37.436255,127.143529,성남중원경찰서,Y,5,4~8
초등학교,단남초등학교,경기도 성남시 중원구 광명로 300번길 25,경기도 성남시 중원구 금광동 210,37.442905,127.161374,성남중원경찰서,Y,2,6
초등학교,대원초등학교,경기도 성남시 중원구 희망로343번길 24,경기도 성남시 중원구 상대원동 4251,37.436671,127.155099,성남중원경찰서,Y,6,4~6
초등학교,대일초등학교,경기도 성남시 중원구 금상로 55번길 22,경기도 성남시 중원구 상대원동 2511,37.438468,127.164185,성남중원경찰서,Y,3,4~5
