설치장소,설치도로명주소,설치지번주소,설치개소수,설치연도,위도,경도
태평초등학교,경기도 성남시 수정구 남문로32번길 7,경기도 성남시 수정구 태평동 3743,1,2016,37.444953,127.131694
늘푸른초등학교,경기도 성남시 분당구 정자일로 87,경기도 성남시 분당구 정자동 178-5,1,2016,37.358334,127.105671
오리초등학교,경기도 성남시 분당구 미금로 121,경기도 성남시 분당구 구미동 115,1,2016,37.344351,127.115379
상원초등학교,경기도 성남시 중원구 은행로 6,경기도 성남시 중원구 은행동 421,1,2017,37.453884,127.162776
금상초등학교,경기도 성남시 중원구 금상로 97 금상초등학교,경기도 성남시 중원구 금광동 1645,1,2017,37.443599,127.165995
미금초등학교,경기도 성남시 분당구 미금로 151,경기도 성남시 분당구 구미동 68,1,2017,37.347422,127.115303
성남북초등학교,경기도 성남시 수정구 희망로534번길 3,경기도 성남시 수정구 산성동 2137,2,2019,37.4515,127.151474
성남혜은학교,경기도 성남시 수정구 희망로518번길 8,경기도 성남시 수정구 단대동 192,1,2019,37.450396,127.153922
성남초등학교 ,경기도 성남시 수정구 공원로 436번길 17,경기도 성남시 수정구 신흥동 81-9,1,2020,37.446085,127.144145
신백현초등학교,경기도 성남시 분당구 판교역로 14번길 42 ,경기도 성남시 분당구 백현동 556-3,1,2020,37.387579,127.111751
중탑초등학교,경기도 성남시 분당구 매화로 72-1,경기도 성남시 분당구 야탑동 488-5,1,2021,37.413924,127.139686
하원초등학교,경기도 성남시 중원구 광명로 396,경기도 성남시 중원구 금광동 4853,1,2021,37.446255,127.170236
도촌초등학교,경기도 성남시 중원구 도촌남로 99,경기도 성남시 중원구 도촌동 717,1,2021,37.41473,127.158024
희망대초등학교,경기도 성남시 공원로 370번길 29,경기도 성남시 수정구 신흥동 1232-2,1,2021,37.447498,127.149115
화랑초등학교,경기도 성남시 분당구 동판교로 77,경기도 성남시 분당구 백현동 547,1,2021,37.390224,127.115888
정자초등학교,경기도 성남시 분당구 분당수서로 442,경기도 성남시 분당구 정자동6-2,1,2021,37.374517,127.104912
운중초등학교,경기도 성남시 분당구 운중로 45번길 8,경기도 성남시 분당구 운중동 893,1,2021,37.392419,127.06894
중앙초등학교,경기도 성남시 분당구 원터로 94번길 7,경기도 성남시 중원구 성남동 2580,1,2021,37.436255,127.143529
수진초등학교,경기도 성남시 수정구 탄리로 95번길 16,경기도 성남시 수정구 태평3동 3756,1,2021,37.444944,127.133465
금빛초등학교,경기도 성남시 수정구 남문로 112,경기도 성남시 수정구 태평4동 7289,1,2021,37.447331,127.140567
복정초등학교,경기도 성남시 수정구 성남대로 1480번길 25,경기도 성남시 수정구 복정동 665,1,2021,37.46247,127.130386
