연번,위도,경도,보호구역아이디,시군구명,대상시설명,관할경찰서명,데이터기준일자
1,37.438974,127.167652,성남-01-001,성남시 중원구,중원초등학교,성남중원경찰서,2022-08-11
2,37.438866,127.167363,성남-01-001,성남시 중원구,중원초등학교,성남중원경찰서,2022-08-11
3,37.438718,127.166987,성남-01-001,성남시 중원구,중원초등학교,성남중원경찰서,2022-08-11
4,37.438597,127.166671,성남-01-001,성남시 중원구,중원초등학교,성남중원경찰서,2022-08-11
5,37.438482,127.166524,성남-01-001,성남시 중원구,중원초등학교,성남중원경찰서,2022-08-11
6,37.438392,127.166581,성남-01-001,성남시 중원구,중원초등학교,성남중원경찰서,2022-08-11
7,37.438085,127.166766,성남-01-001,성남시 중원구,중원초등학교,성남중원경찰서,2022-08-11
8,37.437948,127.166847,성남-01-001,성남시 중원구,중원초등학교,성남중원경찰서,2022-08-11
9,37.437589,127.167056,성남-01-001,성남시 중원구,중원초등학교,성남중원경찰서,2022-08-11
10,37.437272,127.167247,성남-01-001,성남시 중원구,중원초등학교,성남중원경찰서,2022-08-11
11,37.437181,127.167303,성남-01-001,성남시 중원구,중원초등학교,성남중원경찰서,2022-08-11
12,37.446947,127.168375,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
13,37.447071,127.168358,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
14,37.447109,127.168584,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
15,37.447207,127.169084,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
16,37.447086,127.169075,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
17,37.447402,127.170139,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
18,37.447531,127.170801,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
19,37.447455,127.170822,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
20,37.447569,127.171444,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
21,37.447727,127.172188,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
22,37.447326,127.170718,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
23,37.447071,127.169536,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
24,37.446982,127.169112,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
25,37.446743,127.169089,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
26,37.446306,127.169232,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
27,37.445971,127.169344,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
28,37.446911,127.168761,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
29,37.446879,127.168621,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
30,37.446865,127.168566,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
31,37.446834,127.168411,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
32,37.446794,127.168211,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
33,37.450728,127.166024,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
34,37.450841,127.166069,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
35,37.450865,127.166177,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
36,37.451296,127.165689,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
37,37.450888,127.165555,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
38,37.450808,127.165244,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
39,37.450792,127.165092,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
40,37.450682,127.164645,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
41,37.450121,127.162591,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
42,37.450554,127.164707,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
43,37.450621,127.165006,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
44,37.450677,127.165298,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
45,37.450733,127.165597,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
46,37.449874,127.166135,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
47,37.449989,127.166096,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
48,37.442751,127.180784,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
49,37.442736,127.181276,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
50,37.443062,127.181331,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
51,37.443387,127.181342,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
52,37.443666,127.181354,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
53,37.443876,127.181159,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
54,37.443883,127.180923,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
55,37.443888,127.180663,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
56,37.443895,127.180361,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
57,37.443905,127.179982,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
58,37.443923,127.179521,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
59,37.442599,127.179303,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
60,37.442331,127.179277,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
61,37.442001,127.179248,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
62,37.441714,127.179222,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
63,37.441281,127.178985,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
64,37.441505,127.178839,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
65,37.441663,127.178464,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
66,37.442156,127.180538,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
67,37.441438,127.180155,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
68,37.441551,127.180161,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
69,37.441515,127.179898,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
70,37.441486,127.179545,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
71,37.441391,127.179661,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
72,37.441365,127.179412,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
73,37.440757,127.179114,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
74,37.441141,127.179008,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
75,37.441113,127.179163,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
76,37.441304,127.179194,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
77,37.441498,127.179019,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
78,37.414057,127.157423,성남-01-005,성남시 중원구,도촌초등학교,성남중원경찰서,2022-08-04
79,37.414014,127.157557,성남-01-005,성남시 중원구,도촌초등학교,성남중원경찰서,2022-08-04
80,37.413919,127.157831,성남-01-005,성남시 중원구,도촌초등학교,성남중원경찰서,2022-08-04
81,37.413815,127.158073,성남-01-005,성남시 중원구,도촌초등학교,성남중원경찰서,2022-08-04
82,37.413788,127.158392,성남-01-005,성남시 중원구,도촌초등학교,성남중원경찰서,2022-08-04
83,37.413956,127.158514,성남-01-005,성남시 중원구,도촌초등학교,성남중원경찰서,2022-08-04
84,37.414334,127.158778,성남-01-005,성남시 중원구,도촌초등학교,성남중원경찰서,2022-08-04
85,37.414591,127.158962,성남-01-005,성남시 중원구,도촌초등학교,성남중원경찰서,2022-08-04
86,37.414791,127.159098,성남-01-005,성남시 중원구,도촌초등학교,성남중원경찰서,2022-08-04
87,37.414976,127.159228,성남-01-005,성남시 중원구,도촌초등학교,성남중원경찰서,2022-08-04
88,37.414924,127.159298,성남-01-005,성남시 중원구,도촌초등학교,성남중원경찰서,2022-08-04
89,37.414973,127.159421,성남-01-005,성남시 중원구,도촌초등학교,성남중원경찰서,2022-08-04
90,37.414821,127.159315,성남-01-005,성남시 중원구,도촌초등학교,성남중원경찰서,2022-08-04
91,37.414663,127.159207,성남-01-005,성남시 중원구,도촌초등학교,성남중원경찰서,2022-08-04
92,37.414658,127.159106,성남-01-005,성남시 중원구,도촌초등학교,성남중원경찰서,2022-08-04
93,37.414395,127.159052,성남-01-005,성남시 중원구,도촌초등학교,성남중원경찰서,2022-08-04
