시군구명,도로명,소재지도로명주소,소재지지번주소,횡단보도관리번호,횡단보도종류,고원식적용여부,위도,경도,차로수,횡단보도폭,횡단보도연장,보행자신호등유무,교통섬유무,점자블록유무,집중조명시설유무
성남시 수정구,성남대로,경기도 성남시 수정구 성남대로 1197 (수진동),경기도 성남시 수정구 수진동 4587,수정-1,1,N,37.43669,127.127883,5,8.0,50.0,Y,N,Y,
성남시 수정구,성남대로,경기도 성남시 수정구 성남대로 1227 (수진동),경기도 성남시 수정구 수진동 4538,수정-2,1,N,37.439368,127.127408,5,8.0,50.0,Y,N,Y,
성남시 수정구,성남대로,경기도 성남시 수정구 성남대로 1259 (태평동),경기도 성남시 수정구 태평동 6812,수정-3,1,N,37.442287,127.126662,5,8.0,50.0,Y,N,Y,
성남시 수정구,성남대로,경기도 성남시 수정구 성남대로 1275-1 (태평동),경기도 성남시 수정구 태평동 6795,수정-4,1,N,37.443795,127.126664,5,8.0,50.0,Y,N,Y,
성남시 수정구,성남대로,,경기도 성남시 수정구 태평동 7138,수정-5,1,N,37.44787,127.126743,5,8.0,50.0,Y,N,Y,
성남시 수정구,성남대로,,경기도 성남시 수정구 복정동 624-4,수정-6,1,N,37.450519,127.126646,5,8.0,50.0,Y,N,Y,
성남시 수정구,성남대로,,경기도 성남시 수정구 복정동 662,수정-7,1,N,37.462699,127.126446,5,8.0,50.0,Y,N,Y,
성남시 수정구,성남대로,경기도 성남시 수정구 성남대로 1414 (복정동),경기도 성남시 수정구 복정동 693,수정-8,1,N,37.456115,127.126816,5,8.0,50.0,Y,N,Y,
성남시 수정구,성남대로,,경기도 성남시 수정구 복정동 683,수정-9,1,N,37.459789,127.126443,5,8.0,50.0,Y,N,Y,
성남시 수정구,성남대로,,경기도 성남시 수정구 복정동 277,수정-10,1,N,37.465464,127.126347,5,8.0,50.0,Y,N,Y,
성남시 수정구,제일로,,경기도 성남시 수정구 수진동 4510-3,수정-11,1,N,37.435348,127.134084,2,6.0,20.0,Y,Y,Y,
성남시 수정구,제일로,경기도 성남시 수정구 제일로 111 (수진동),경기도 성남시 수정구 수진동 4417,수정-12,1,N,37.436645,127.133511,2,6.0,20.0,Y,N,Y,
