관리번호,위도,경도,교육시설명칭,카테고리
0050-S-0003,126.849386837,37.475753687,엄지창의어린이집,보호구역표지판
0050-S-0002,126.849765786,37.475875529,엄지창의어린이집,보호구역표지판
0050-S-0001,126.850029133,37.475576034,엄지창의어린이집,보호구역표지판
0050-S-0004,126.849609713,37.475536237,엄지창의어린이집,보호구역표지판
0048-S-0001,126.851092728,37.47825205,광명푸른숲어린이집,보호구역표지판
0028-S-0002,126.852204461,37.468652943,예림유치원,보호구역표지판
0028-S-0001,126.852204732,37.468514927,예림유치원,보호구역표지판
0028-S-0004,126.853105397,37.469001489,예림유치원,보호구역표지판
0043-S-0005,126.856632175,37.470095679,예크어린이집,보호구역표지판
0001-S-0003,126.857492124,37.481105673,광명초등학교,보호구역표지판
0001-S-0001,126.858620596,37.4809088,광명초등학교,보호구역표지판
0002-S-0004,126.852413666,37.474999021,광명남초등학교,보호구역표지판
0002-S-0005,126.853711398,37.477787005,광명남초등학교,보호구역표지판
0002-S-0001,126.85469592,37.475923195,광명남초등학교,보호구역표지판
0007-S-0004,126.846160261,37.477869372,광명서초등학교,보호구역표지판
0007-S-0003,126.848153281,37.477040523,광명서초등학교,보호구역표지판
0007-S-0001,126.846165589,37.478709232,광명서초등학교,보호구역표지판
0007-S-0002,126.849233538,37.477912657,광명서초등학교,보호구역표지판
0003-S-0001,126.848205635,37.469451709,광일초등학교,보호구역표지판
0003-S-0002,126.847005492,37.469542854,광일초등학교,보호구역표지판
0003-S-0006,126.845432357,37.471070241,광일초등학교,보호구역표지판
0003-S-0009,126.845709497,37.472545263,광일초등학교,보호구역표지판
0003-S-0012,126.849067827,37.471808057,광일초등학교,보호구역표지판
0003-S-0010,126.848869297,37.470640715,광일초등학교,보호구역표지판
0013-S-0002,126.850757769,37.466006359,광문초등학교,보호구역표지판
0013-S-0001,126.850981793,37.46765405,광문초등학교,보호구역표지판
0013-S-0003,126.85206507,37.467836583,광문초등학교,보호구역표지판
0003-S-0004,126.847291641,37.470088805,광일초등학교,보호구역표지판
0003-S-0007,126.845946951,37.471506063,광일초등학교,보호구역표지판
0001-S-0002,126.858449558,37.480785149,광명초등학교,보호구역표지판
0043-S-0001,126.853944241,37.469272391,예크어린이집,보호구역표지판
0043-S-0002,126.854668621,37.46955562,예크어린이집,보호구역표지판
0043-S-0003,126.85537233,37.469881498,예크어린이집,보호구역표지판
0043-S-0004,126.855973223,37.470128455,예크어린이집,보호구역표지판
0002-S-0002,126.854375102,37.475378085,광명남초등학교,보호구역표지판
0002-S-0003,126.854129142,37.474737472,광명남초등학교,보호구역표지판
