시설물명,위도,경도,카테고리
최고속도제한 표지_0,37.43669,127.127883,도로안전표지
최고속도제한 표지_1,37.439368,127.127408,도로안전표지
최고속도제한 표지_2,37.442288,127.126662,도로안전표지
최고속도제한 표지_3,37.443795,127.126665,도로안전표지
최고속도제한 표지_4,37.447842,127.126238,도로안전표지
최고속도제한 표지_5,37.451234,127.129394,도로안전표지
최고속도제한 표지_6,37.46233,127.126439,도로안전표지
최고속도제한 표지_7,37.456117,127.126817,도로안전표지
최고속도제한 표지_8,37.459762,127.126442,도로안전표지
최고속도제한 표지_9,37.465464,127.126347,도로안전표지
직진금지 표지_10,37.443735,127.126695,도로안전표지
좌회전금지 표지_11,37.443735,127.126695,도로안전표지
우회전 표지_12,37.443735,127.126695,도로안전표지
횡단보도 표지_13,37.435349,127.134086,도로안전표지
횡단보도 표지_14,37.436644,127.133509,도로안전표지
우회전금지 표지_15,37.437627,127.133507,도로안전표지
횡단보도 표지_16,37.438714,127.132523,도로안전표지
횡단보도 표지_17,37.44242,127.130916,도로안전표지
횡단보도 표지_18,37.443202,127.130922,도로안전표지
시간 표지_19,37.443682,127.130317,도로안전표지
횡단보도 표지_20,37.445038,127.130089,도로안전표지
횡단보도 표지_21,37.445979,127.129272,도로안전표지
횡단보도 표지_22,37.446954,127.129459,도로안전표지
직진금지 표지_23,37.427587,127.116253,도로안전표지
횡단보도 표지_24,37.420191,127.117228,도로안전표지
횡단보도 표지_25,37.418497,127.117574,도로안전표지
횡단보도 표지_26,37.415516,127.115009,도로안전표지
횡단보도 표지_27,37.414371,127.113601,도로안전표지
횡단보도 표지_28,37.411138,127.114024,도로안전표지
횡단보도 표지_29,37.4400490854,127.1217699613,도로안전표지
유턴 표지_30,37.440327,127.121596,도로안전표지
유턴 표지_31,37.439386,127.125725,도로안전표지
횡단보도 표지_32,37.441036,127.131488,도로안전표지
유턴 표지_33,37.440903,127.130706,도로안전표지
횡단보도 표지_34,37.442357,127.135852,도로안전표지
유턴 표지_35,37.441632,127.133243,도로안전표지
유턴 표지_36,37.442861,127.139103,도로안전표지
유턴 표지_37,37.444286,127.141411,도로안전표지
횡단보도 표지_38,37.444755,127.144205,도로안전표지
유턴 표지_39,37.445899,127.145645,도로안전표지
유턴 표지_40,37.448051,127.145079,도로안전표지
횡단보도 표지_41,37.448641,127.145871,도로안전표지
유턴 표지_42,37.454143,127.144239,도로안전표지
유턴 표지_43,37.452211,127.150069,도로안전표지
유턴 표지_44,37.450764,127.145928,도로안전표지
유턴 표지_45,37.456662,127.15072,도로안전표지
횡단보도 표지_46,37.456526,127.149942,도로안전표지
유턴 표지_47,37.458877,127.153989,도로안전표지
유턴 표지_48,37.461437,127.154143,도로안전표지
위험 표지_49,37.4625008211,127.155745,도로안전표지
위험 표지_50,37.4397463249,127.128474055,도로안전표지
회전 교차로 표지_51,37.4403304619,127.1206204905,도로안전표지
진입금지 표지_52,37.447525,127.145131,도로안전표지
주정차금지 표지_53,37.4485718813,127.1444540217,도로안전표지
유턴 표지_54,37.422137,127.105824,도로안전표지
유턴 표지_55,37.420905,127.104023,도로안전표지
유턴 표지_56,37.421762,127.116831,도로안전표지
횡단보도 표지_57,37.438573,127.139027,도로안전표지
횡단보도 표지_58,37.439656,127.137203,도로안전표지
횡단보도 표지_59,37.447862,127.140889,도로안전표지
횡단보도 표지_60,37.446172,127.13406,도로안전표지
신호준수 표지_61,37.439067,127.1374739377,도로안전표지
최고속도제한 표지_62,37.442986,127.150889,도로안전표지
유턴 표지_63,37.444042,127.149669,도로안전표지
유턴 표지_64,37.444842,127.148081,도로안전표지
최고속도제한 표지_65,37.445609,127.146589,도로안전표지
유턴 표지_66,37.447138,127.144454,도로안전표지
유턴 표지_67,37.448688,127.143081,도로안전표지
최고속도제한 표지_68,37.449638,127.144273,도로안전표지
위험 표지_69,37.449077,127.143242,도로안전표지
횡단보도 표지_70,37.444545,127.153096,도로안전표지
횡단보도 표지_71,37.449545,127.1438867923,도로안전표지
유턴 표지_72,37.445191,127.155621,도로안전표지
최고속도제한 표지_73,37.448193,127.157972,도로안전표지
최고속도제한 표지_74,37.4451431532,127.1566878859,도로안전표지
횡단보도 표지_75,37.453351,127.159145,도로안전표지
최고속도제한 표지_76,37.454132,127.160507,도로안전표지
최고속도제한 표지_77,37.458079,127.163839,도로안전표지
횡단보도 표지_78,37.458079,127.163839,도로안전표지
최고속도제한 표지_79,37.458079,127.163839,도로안전표지
최고속도제한 표지_80,37.460978,127.165147,도로안전표지
횡단보도 표지_81,37.463074,127.168954,도로안전표지
최고속도제한 표지_82,37.463074,127.168954,도로안전표지
회전 교차로 표지_83,37.463173,127.170446,도로안전표지
비보호좌회전 표지_84,37.4514998414,127.151474,도로안전표지
비보호좌회전 표지_85,37.450643,127.152082,도로안전표지
비보호좌회전 표지_86,37.450397,127.153922,도로안전표지
시간 표지_87,37.449415,127.153884,도로안전표지
최고속도제한 표지_88,37.449114,127.154109,도로안전표지
최고속도제한 표지_89,37.447296,127.155263,도로안전표지
최고속도제한 표지_90,37.446818,127.154276,도로안전표지
시간 표지_91,37.442732,127.12924,도로안전표지
시간 표지_92,37.445769,127.133557,도로안전표지
횡단보도 표지_93,37.445341,127.133073,도로안전표지
횡단보도 표지_94,37.446873,127.13584,도로안전표지
시간 표지_95,37.446893,127.137415,도로안전표지
시간 표지_96,37.447347,127.140558,도로안전표지
시간 표지_97,37.448078,127.140532,도로안전표지
횡단보도 표지_98,37.456613,127.160264,도로안전표지
시간 표지_99,37.4571998465,127.159673,도로안전표지
시간 표지_100,37.458569,127.158501,도로안전표지
시간 표지_101,37.460916,127.157407,도로안전표지
시간 표지_102,37.462233,127.159245,도로안전표지
위험 표지_103,37.466739,127.12464,도로안전표지
시간 표지_104,37.451613,127.121482,도로안전표지
시간 표지_105,37.447175,127.119588,도로안전표지
시간 표지_106,37.444709,127.119413,도로안전표지
비보호좌회전 표지_107,37.454001,127.11881,도로안전표지
횡단보도 표지_108,37.435935,127.119699,도로안전표지
비보호좌회전 표지_109,37.448322,127.129569,도로안전표지
진입금지 표지_110,37.448002,127.128514,도로안전표지
비보호좌회전 표지_111,37.447866,127.128019,도로안전표지
횡단보도 표지_112,37.444769169,127.1175900955,도로안전표지
최고속도제한 표지_113,37.407983,127.09786,도로안전표지
최고속도제한 표지_114,37.408684,127.096133,도로안전표지
최고속도제한 표지_115,37.407695,127.097734,도로안전표지
최고속도제한 표지_116,37.408518,127.098711,도로안전표지
최고속도제한 표지_117,37.417472,127.081451,도로안전표지
