시설물명,위도,경도,카테고리
CCTV_수정신흥1-A-1,37.439615,127.138008,생활안전CCTV
CCTV_수정신흥1-A-2,37.43897,127.13956,생활안전CCTV
CCTV_수정신흥1-A-3,37.442144,127.14138,생활안전CCTV
CCTV_수정신흥1-A-4,37.439805,127.141888,생활안전CCTV
CCTV_수정신흥1-A-5,37.440745,127.140138,생활안전CCTV
CCTV_수정신흥1-A-6,37.441122,127.142066,생활안전CCTV
CCTV_수정신흥1-A-7,37.440008,127.143811,생활안전CCTV
CCTV_수정신흥1-A-8,37.441737,127.137535,생활안전CCTV
CCTV_수정신흥1-A-9,37.440932,127.137909,생활안전CCTV
CCTV_수정신흥1-A-10,37.442849,127.140006,생활안전CCTV
CCTV_수정신흥1-A-11,37.438513,127.140835,생활안전CCTV
CCTV_수정신흥1-A-12,37.439546,127.139669,생활안전CCTV
CCTV_수정신흥1-A-13,37.440843,127.142982,생활안전CCTV
CCTV_수정신흥1-A-14,37.442062,127.140387,생활안전CCTV
CCTV_수정신흥1-A-15,37.44231,127.13821,생활안전CCTV
CCTV_수정신흥1-A-16,37.44284,127.14112,생활안전CCTV
CCTV_수정신흥1-A-17,37.43886,127.13957,생활안전CCTV
CCTV_수정신흥1-A-18,37.44151,127.14158,생활안전CCTV
CCTV_수정신흥1-A-19,37.44142,127.1388,생활안전CCTV
CCTV_수정신흥1-A-20,37.44152,127.13986,생활안전CCTV
CCTV_수정신흥1-A-21,37.44013,127.13823,생활안전CCTV
CCTV_수정신흥1-A-22,37.44043,127.14362,생활안전CCTV
CCTV_수정신흥1-A-23,37.44129,127.14073,생활안전CCTV
CCTV_수정신흥1-A-24,37.44243,127.14227,생활안전CCTV
CCTV_수정신흥1-A-25,37.43902,127.14112,생활안전CCTV
CCTV_수정신흥1-A-26,37.43927,127.14232,생활안전CCTV
CCTV_수정신흥1-A-27,37.44192,127.1429,생활안전CCTV
CCTV_수정신흥1-A-28,37.43901,127.14039,생활안전CCTV
CCTV_수정신흥1-A-29,37.44095,127.14337,생활안전CCTV
CCTV_수정신흥1-A-30,37.44226,127.139163,생활안전CCTV
CCTV_수정신흥1-A-31,37.440246,127.139363,생활안전CCTV
CCTV_수정신흥1-A-32,37.440885,127.141154,생활안전CCTV
CCTV_수정신흥1-A-33,37.442695,127.142158,생활안전CCTV
CCTV_수정신흥1-A-34,37.44109,127.140231,생활안전CCTV
CCTV_수정신흥1-A-35,37.443103,127.141009,생활안전CCTV
CCTV_수정신흥1-A-36,37.4434,127.14175,생활안전CCTV
CCTV_수정신흥1-A-37,37.441975,127.139533,생활안전CCTV
CCTV_수정신흥1-A-38,37.44044,127.141461,생활안전CCTV
CCTV_수정신흥1-A-39,37.439242,127.138706,생활안전CCTV
CCTV_수정신흥1-A-40,37.442137,127.139298,생활안전CCTV
CCTV_수정신흥1-A-41,37.441797,127.140534,생활안전CCTV
CCTV_수정신흥1-A-42,37.440472,127.142194,생활안전CCTV
CCTV_수정신흥1-A-43,37.441894,127.138686,생활안전CCTV
CCTV_수정신흥1-A-44,37.438527,127.139743,생활안전CCTV
CCTV_수정신흥2-A-1,37.444985,127.150824,생활안전CCTV
CCTV_수정신흥2-A-2,37.451105,127.146177,생활안전CCTV
CCTV_수정신흥2-A-4,37.446667,127.149359,생활안전CCTV
CCTV_수정신흥2-A-5,37.449397,127.145009,생활안전CCTV
CCTV_수정신흥2-A-6,37.450147,127.144902,생활안전CCTV
CCTV_수정신흥2-A-7,37.44864,127.14981,생활안전CCTV
CCTV_수정신흥2-A-8,37.44704,127.15215,생활안전CCTV
CCTV_수정신흥2-A-9,37.44944,127.146309,생활안전CCTV
CCTV_수정신흥2-A-10,37.449348,127.143239,생활안전CCTV
CCTV_수정신흥2-A-11,37.447433,127.14471,생활안전CCTV
CCTV_수정신흥2-A-13,37.455169,127.149695,생활안전CCTV
CCTV_수정신흥2-A-14,37.44629,127.155437,생활안전CCTV
CCTV_수정신흥2-A-15,37.449634,127.146202,생활안전CCTV
CCTV_수정신흥2-A-16,37.44633,127.15449,생활안전CCTV
CCTV_수정신흥2-A-17,37.44663,127.15372,생활안전CCTV
CCTV_수정신흥2-A-18,37.44676,127.15332,생활안전CCTV
CCTV_수정신흥2-A-19,37.44732,127.15406,생활안전CCTV
CCTV_수정신흥2-A-20,37.44863,127.14381,생활안전CCTV
CCTV_수정신흥2-A-21,37.4496,127.14524,생활안전CCTV
CCTV_수정신흥2-A-22,37.445923,127.15225,생활안전CCTV
CCTV_수정신흥2-A-23,37.446,127.15389,생활안전CCTV
CCTV_수정신흥2-A-24,37.44597,127.14938,생활안전CCTV
CCTV_수정신흥2-A-25,37.44954,127.1437,생활안전CCTV
CCTV_수정신흥2-A-26,37.44869,127.14313,생활안전CCTV
CCTV_수정신흥2-A-27,37.44896,127.14493,생활안전CCTV
CCTV_수정신흥2-A-28,37.44814,127.14472,생활안전CCTV
CCTV_수정신흥2-A-29,37.44469,127.15313,생활안전CCTV
CCTV_수정신흥2-A-30,37.44768,127.14519,생활안전CCTV
CCTV_수정신흥2-A-31,37.44925,127.14272,생활안전CCTV
CCTV_수정신흥2-A-32,37.447472,127.153657,생활안전CCTV
CCTV_수정신흥2-A-34,37.454536,127.144362,생활안전CCTV
CCTV_수정신흥2-A-35,37.454807,127.1449,생활안전CCTV
CCTV_수정신흥2-A-36,37.454229,127.14617,생활안전CCTV
CCTV_수정신흥2-A-37,37.4554,127.149343,생활안전CCTV
CCTV_수정신흥2-A-38,37.455904,127.149736,생활안전CCTV
CCTV_수정신흥2-A-40,37.450308,127.147343,생활안전CCTV
CCTV_수정신흥2-A-41,37.445798,127.15311,생활안전CCTV
CCTV_수정신흥2-A-42,37.445458,127.15311,생활안전CCTV
CCTV_수정신흥2-A-43,37.44663,127.15457,생활안전CCTV
CCTV_수정신흥2-A-44,37.446183,127.15325,생활안전CCTV
CCTV_수정신흥2-A-45,37.446283,127.15273,생활안전CCTV
CCTV_수정신흥2-A-46,37.44741,127.14986,생활안전CCTV
CCTV_수정신흥2-A-47,37.44805,127.15087,생활안전CCTV
CCTV_수정신흥2-A-48,37.453204,127.144393,생활안전CCTV
CCTV_수정신흥2-A-49,37.452319,127.145253,생활안전CCTV
CCTV_수정신흥2-A-50,37.451665,127.149942,생활안전CCTV
CCTV_수정신흥2-A-51,37.450619,127.151486,생활안전CCTV
CCTV_수정신흥2-A-52,37.449441,127.15306,생활안전CCTV
CCTV_수정신흥2-A-53,37.451082,127.148322,생활안전CCTV
CCTV_수정신흥2-A-54,37.450803,127.148898,생활안전CCTV
CCTV_수정신흥2-A-55,37.448334,127.152487,생활안전CCTV
CCTV_수정신흥2-A-56,37.44831,127.153306,생활안전CCTV
CCTV_수정신흥2-A-57,37.449354,127.14624,생활안전CCTV
CCTV_수정신흥2-A-58,37.449616,127.14746,생활안전CCTV
CCTV_수정신흥2-A-59,37.449254,127.14789,생활안전CCTV
CCTV_수정신흥2-A-60,37.44833,127.14843,생활안전CCTV
CCTV_수정신흥2-A-61,37.448243,127.145514,생활안전CCTV
CCTV_수정신흥2-A-62,37.446387,127.145635,생활안전CCTV
CCTV_수정신흥2-A-63,37.445909,127.146323,생활안전CCTV
CCTV_수정신흥2-A-64,37.445979,127.147778,생활안전CCTV
CCTV_수정신흥2-A-65,37.445401,127.148644,생활안전CCTV
CCTV_수정신흥2-A-66,37.445033,127.148118,생활안전CCTV
CCTV_수정신흥2-A-67,37.446775,127.147884,생활안전CCTV
CCTV_수정신흥2-A-68,37.448892,127.149022,생활안전CCTV
CCTV_수정신흥2-A-69,37.449366,127.150983,생활안전CCTV
CCTV_수정신흥2-A-70,37.445835,127.147781,생활안전CCTV
CCTV_수정신흥2-A-71,37.445373,127.147497,생활안전CCTV
CCTV_수정신흥2-A-72,37.445282,127.14822,생활안전CCTV
CCTV_수정신흥2-A-73,37.450761,127.148726,생활안전CCTV
CCTV_수정신흥2-A-74,37.450632,127.148581,생활안전CCTV
CCTV_수정신흥2-A-75,37.448316,127.151978,생활안전CCTV
CCTV_수정신흥2-D-5,37.449985,127.15023,생활안전CCTV
CCTV_수정신흥3-A-1,37.440774,127.146991,생활안전CCTV
CCTV_수정신흥3-A-2,37.440296,127.145406,생활안전CCTV
CCTV_수정신흥3-A-3,37.44224,127.14385,생활안전CCTV
CCTV_수정신흥3-A-4,37.444979,127.14503,생활안전CCTV
CCTV_수정신흥3-A-5,37.443506,127.148462,생활안전CCTV
CCTV_수정신흥3-A-6,37.441803,127.149547,생활안전CCTV
CCTV_수정신흥3-A-7,37.443692,127.145124,생활안전CCTV
CCTV_수정신흥3-A-8,37.443294,127.142801,생활안전CCTV
CCTV_수정신흥3-A-9,37.442937,127.145693,생활안전CCTV
CCTV_수정신흥3-A-10,37.443075,127.144079,생활안전CCTV
CCTV_수정신흥3-A-11,37.44167,127.144189,생활안전CCTV
CCTV_수정신흥3-A-12,37.443582,127.149577,생활안전CCTV
CCTV_수정신흥3-A-13,37.44396,127.14378,생활안전CCTV
CCTV_수정신흥3-A-14,37.44396,127.14378,생활안전CCTV
CCTV_수정신흥3-A-15,37.44261,127.14902,생활안전CCTV
CCTV_수정신흥3-A-16,37.44304,127.14647,생활안전CCTV
CCTV_수정신흥3-A-17,37.44251,127.14774,생활안전CCTV
CCTV_수정신흥3-A-18,37.44318,127.14972,생활안전CCTV
CCTV_수정신흥3-A-19,37.44407,127.14471,생활안전CCTV
CCTV_수정신흥3-A-20,37.44469,127.14611,생활안전CCTV
CCTV_수정신흥3-A-21,37.44535,127.14596,생활안전CCTV
CCTV_수정신흥3-A-22,37.44444,127.14783,생활안전CCTV
CCTV_수정신흥3-A-23,37.44348,127.14324,생활안전CCTV
CCTV_수정신흥3-A-24,37.44434,127.1469,생활안전CCTV
CCTV_수정신흥3-A-25,37.443587,127.145859,생활안전CCTV
CCTV_수정신흥3-A-26,37.44456,127.14573,생활안전CCTV
CCTV_수정신흥3-A-27,37.443826,127.14935,생활안전CCTV
CCTV_수정신흥3-A-28,37.443533,127.147179,생활안전CCTV
CCTV_수정신흥3-A-29,37.443302,127.150641,생활안전CCTV
CCTV_수정신흥3-A-30,37.441833,127.148146,생활안전CCTV
CCTV_수정신흥3-A-31,37.44173,127.14552,생활안전CCTV
CCTV_수정신흥3-A-32,37.442542,127.146737,생활안전CCTV
CCTV_수정신흥3-A-33,37.44169,127.14642,생활안전CCTV
CCTV_수정신흥3-A-34,37.44157,127.14605,생활안전CCTV
CCTV_수정신흥3-A-35,37.44214,127.14662,생활안전CCTV
CCTV_수정신흥3-A-36,37.444351,127.143275,생활안전CCTV
CCTV_수정신흥3-A-37,37.440839,127.14521,생활안전CCTV
CCTV_수정신흥3-A-38,37.44105,127.144551,생활안전CCTV
CCTV_수정신흥3-A-39,37.442064,127.146238,생활안전CCTV
CCTV_수정신흥3-A-40,37.444187,127.142797,생활안전CCTV
CCTV_수정태평1-A-1,37.443117,127.126226,생활안전CCTV
CCTV_수정태평1-A-2,37.44259,127.1275,생활안전CCTV
CCTV_수정태평1-A-3,37.447047,127.127873,생활안전CCTV
CCTV_수정태평1-A-4,37.440484,127.129008,생활안전CCTV
CCTV_수정태평1-A-5,37.445357,127.12646,생활안전CCTV
CCTV_수정태평1-A-6,37.445856,127.128686,생활안전CCTV
CCTV_수정태평1-A-7,37.445007,127.128031,생활안전CCTV
CCTV_수정태평1-A-8,37.441394,127.130523,생활안전CCTV
CCTV_수정태평1-A-9,37.440248,127.126179,생활안전CCTV
CCTV_수정태평1-A-10,37.443413,127.12906,생활안전CCTV
CCTV_수정태평1-A-11,37.442559,127.129175,생활안전CCTV
CCTV_수정태평1-A-12,37.441529,127.124793,생활안전CCTV
CCTV_수정태평1-A-13,37.441529,127.124793,생활안전CCTV
CCTV_수정태평1-A-14,37.44007,127.12444,생활안전CCTV
CCTV_수정태평1-A-15,37.44311,127.12795,생활안전CCTV
CCTV_수정태평1-A-16,37.44074,127.12591,생활안전CCTV
CCTV_수정태평1-A-17,37.44175,127.12892,생활안전CCTV
CCTV_수정태평1-A-18,37.44489,127.12729,생활안전CCTV
CCTV_수정태평1-A-19,37.44118,127.12831,생활안전CCTV
CCTV_수정태평1-A-20,37.44536,127.12914,생활안전CCTV
CCTV_수정태평1-A-21,37.44287,127.13028,생활안전CCTV
CCTV_수정태평1-A-22,37.44026,127.12718,생활안전CCTV
CCTV_수정태평1-A-23,37.44116,127.13121,생활안전CCTV
CCTV_수정태평1-A-24,37.444,127.12932,생활안전CCTV
CCTV_수정태평1-A-25,37.4412,127.12517,생활안전CCTV
CCTV_수정태평1-A-26,37.44748,127.127804,생활안전CCTV
CCTV_수정태평1-A-27,37.444363,127.128593,생활안전CCTV
CCTV_수정태평1-A-28,37.442507,127.12584,생활안전CCTV
CCTV_수정태평1-A-29,37.44211,127.130235,생활안전CCTV
CCTV_수정태평1-A-30,37.44392,127.12859,생활안전CCTV
CCTV_수정태평1-A-31,37.44404,127.12453,생활안전CCTV
CCTV_수정태평1-A-32,37.44575,127.1281,생활안전CCTV
CCTV_수정태평1-A-33,37.44434,127.1253,생활안전CCTV
CCTV_수정태평1-A-34,37.445243,127.128773,생활안전CCTV
CCTV_수정태평1-A-35,37.440276,127.126825,생활안전CCTV
CCTV_수정태평1-A-36,37.443466,127.12752,생활안전CCTV
CCTV_수정태평1-A-37,37.443992,127.126852,생활안전CCTV
CCTV_수정태평1-A-38,37.441201,127.129861,생활안전CCTV
CCTV_수정태평1-A-39,37.440608,127.121525,생활안전CCTV
CCTV_수정태평1-A-40,37.440083,127.121723,생활안전CCTV
CCTV_수정태평1-A-41,37.440988,127.121597,생활안전CCTV
CCTV_수정태평1-A-42,37.440959,127.121968,생활안전CCTV
CCTV_수정태평1-A-43,37.441131,127.121762,생활안전CCTV
CCTV_수정태평1-A-44,37.441153,127.12167,생활안전CCTV
CCTV_수정태평1-A-45,37.441559,127.121674,생활안전CCTV
CCTV_수정태평1-A-46,37.441522,127.121613,생활안전CCTV
CCTV_수정태평1-A-47,37.442198,127.121634,생활안전CCTV
CCTV_수정태평1-A-48,37.441968,127.121938,생활안전CCTV
CCTV_수정태평1-A-49,37.441786,127.122384,생활안전CCTV
CCTV_수정태평1-A-50,37.440996,127.120553,생활안전CCTV
CCTV_수정태평1-A-51,37.441117,127.120999,생활안전CCTV
CCTV_수정태평1-A-52,37.441419,127.120876,생활안전CCTV
CCTV_수정태평1-A-53,37.449114,127.118716,생활안전CCTV
CCTV_수정태평1-A-54,37.442165,127.11891,생활안전CCTV
CCTV_수정태평1-A-55,37.440313,127.127553,생활안전CCTV
CCTV_수정태평1-A-56,37.4408,127.12846,생활안전CCTV
CCTV_수정태평1-A-58,37.444929,127.126046,생활안전CCTV
CCTV_수정태평2-A-1,37.44674,127.13526,생활안전CCTV
CCTV_수정태평2-A-2,37.446706,127.137772,생활안전CCTV
CCTV_수정태평2-A-3,37.447927,127.13562,생활안전CCTV
CCTV_수정태평2-A-4,37.444616,127.136178,생활안전CCTV
CCTV_수정태평2-A-5,37.444087,127.138437,생활안전CCTV
CCTV_수정태평2-A-6,37.443226,127.136838,생활안전CCTV
CCTV_수정태평2-A-7,37.449802,127.13473,생활안전CCTV
CCTV_수정태평2-A-8,37.445383,127.138807,생활안전CCTV
CCTV_수정태평2-A-9,37.448433,127.137378,생활안전CCTV
CCTV_수정태평2-A-10,37.449199,127.137583,생활안전CCTV
CCTV_수정태평2-A-11,37.44664,127.136203,생활안전CCTV
CCTV_수정태평2-A-12,37.448493,127.134882,생활안전CCTV
CCTV_수정태평2-A-13,37.447502,127.133992,생활안전CCTV
CCTV_수정태평2-A-14,37.44937,127.13592,생활안전CCTV
CCTV_수정태평2-A-15,37.44563,127.13713,생활안전CCTV
CCTV_수정태평2-A-16,37.4492,127.13506,생활안전CCTV
CCTV_수정태평2-A-17,37.4432,127.1392,생활안전CCTV
CCTV_수정태평2-A-18,37.44778,127.13878,생활안전CCTV
CCTV_수정태평2-A-19,37.44966,127.13686,생활안전CCTV
CCTV_수정태평2-A-20,37.44626,127.13842,생활안전CCTV
CCTV_수정태평2-A-21,37.44771,127.13662,생활안전CCTV
CCTV_수정태평2-A-22,37.4506,127.13744,생활안전CCTV
CCTV_수정태평2-A-23,37.44865,127.13345,생활안전CCTV
CCTV_수정태평2-A-24,37.444023,127.137103,생활안전CCTV
CCTV_수정태평2-A-25,37.448424,127.133828,생활안전CCTV
CCTV_수정태평2-A-26,37.44804,127.133716,생활안전CCTV
CCTV_수정태평2-A-27,37.446502,127.134402,생활안전CCTV
CCTV_수정태평2-A-28,37.447014,127.134525,생활안전CCTV
CCTV_수정태평2-A-29,37.447135,127.135005,생활안전CCTV
CCTV_수정태평2-A-30,37.447407,127.135387,생활안전CCTV
CCTV_수정태평2-A-31,37.447632,127.134746,생활안전CCTV
CCTV_수정태평2-A-32,37.448268,127.134474,생활안전CCTV
CCTV_수정태평2-A-33,37.44658,127.13828,생활안전CCTV
CCTV_수정태평2-A-34,37.44572,127.13869,생활안전CCTV
CCTV_수정태평2-A-35,37.44508,127.13788,생활안전CCTV
CCTV_수정태평2-A-36,37.44527,127.135352,생활안전CCTV
CCTV_수정태평2-A-37,37.444003,127.136018,생활안전CCTV
CCTV_수정태평2-A-38,37.444005,127.14059,생활안전CCTV
CCTV_수정태평2-A-39,37.448623,127.135321,생활안전CCTV
CCTV_수정태평2-A-40,37.448966,127.136651,생활안전CCTV
CCTV_수정태평2-A-41,37.449058,127.13635,생활안전CCTV
CCTV_수정태평2-A-42,37.448609,127.136241,생활안전CCTV
CCTV_수정태평2-A-43,37.44848,127.135869,생활안전CCTV
CCTV_수정태평2-A-44,37.448149,127.136261,생활안전CCTV
CCTV_수정태평2-A-45,37.448195,127.138316,생활안전CCTV
CCTV_수정태평2-A-46,37.44723,127.13799,생활안전CCTV
CCTV_수정태평2-A-47,37.450258,127.137508,생활안전CCTV
CCTV_수정태평2-A-48,37.449784,127.13591,생활안전CCTV
CCTV_수정태평2-A-49,37.449177,127.133939,생활안전CCTV
CCTV_수정태평2-A-50,37.447151,127.136457,생활안전CCTV
CCTV_수정태평2-A-51,37.447378,127.137344,생활안전CCTV
CCTV_수정태평2-A-52,37.450097,127.137673,생활안전CCTV
CCTV_수정태평2-A-53,37.446327,127.137364,생활안전CCTV
CCTV_수정태평2-A-54,37.44433,127.135047,생활안전CCTV
CCTV_수정태평2-A-55,37.44921,127.13735,생활안전CCTV
CCTV_수정태평2-A-56,37.44638,127.13546,생활안전CCTV
CCTV_수정태평2-A-57,37.4493,127.13283,생활안전CCTV
CCTV_수정태평2-A-58,37.45103,127.13351,생활안전CCTV
CCTV_수정태평2-A-59,37.442668,127.137444,생활안전CCTV
CCTV_수정태평2-A-60,37.442769,127.136512,생활안전CCTV
CCTV_수정태평2-A-61,37.447866,127.135251,생활안전CCTV
CCTV_수정태평2-A-62,37.448678,127.138343,생활안전CCTV
CCTV_수정태평2-A-63,37.45087,127.132751,생활안전CCTV
CCTV_수정태평2-A-64,37.445237,127.136359,생활안전CCTV
CCTV_수정태평2-A-65,37.443454,127.137454,생활안전CCTV
CCTV_수정태평2-A-66,37.443246,127.135646,생활안전CCTV
CCTV_수정태평2-A-67,37.447558,127.136111,생활안전CCTV
CCTV_수정태평2-A-68,37.450035,127.135543,생활안전CCTV
CCTV_수정태평3-A-1,37.445291,127.131724,생활안전CCTV
CCTV_수정태평3-A-2,37.444516,127.130683,생활안전CCTV
CCTV_수정태평3-A-3,37.445046,127.133702,생활안전CCTV
CCTV_수정태평3-A-4,37.443573,127.13257,생활안전CCTV
CCTV_수정태평3-A-5,37.446605,127.131146,생활안전CCTV
CCTV_수정태평3-A-6,37.448042,127.132204,생활안전CCTV
CCTV_수정태평3-A-7,37.44713,127.12934,생활안전CCTV
CCTV_수정태평3-A-8,37.443008,127.134088,생활안전CCTV
CCTV_수정태평3-A-9,37.448213,127.129368,생활안전CCTV
CCTV_수정태평3-A-10,37.44263,127.13481,생활안전CCTV
CCTV_수정태평3-A-11,37.445778,127.133345,생활안전CCTV
CCTV_수정태평3-A-12,37.448307,127.132164,생활안전CCTV
CCTV_수정태평3-A-13,37.443505,127.134824,생활안전CCTV
CCTV_수정태평3-A-14,37.442145,127.133202,생활안전CCTV
CCTV_수정태평3-A-15,37.44592,127.13236,생활안전CCTV
CCTV_수정태평3-A-16,37.446212,127.129828,생활안전CCTV
CCTV_수정태평3-A-17,37.446073,127.13428,생활안전CCTV
CCTV_수정태평3-A-18,37.446412,127.132201,생활안전CCTV
CCTV_수정태평3-A-19,37.444311,127.132208,생활안전CCTV
CCTV_수정태평3-A-20,37.444032,127.134163,생활안전CCTV
CCTV_수정태평3-A-21,37.447972,127.12851,생활안전CCTV
CCTV_수정태평3-A-22,37.44543,127.13071,생활안전CCTV
CCTV_수정태평3-A-23,37.44808,127.13136,생활안전CCTV
CCTV_수정태평3-A-24,37.44237,127.13399,생활안전CCTV
CCTV_수정태평3-A-25,37.44759,127.12961,생활안전CCTV
CCTV_수정태평3-A-26,37.44724,127.13315,생활안전CCTV
CCTV_수정태평3-A-27,37.44709,127.13038,생활안전CCTV
CCTV_수정태평3-A-28,37.44318,127.13142,생활안전CCTV
CCTV_수정태평3-A-29,37.44529,127.13428,생활안전CCTV
CCTV_수정태평3-A-30,37.44616,127.1332,생활안전CCTV
CCTV_수정태평3-A-31,37.44783,127.13057,생활안전CCTV
CCTV_수정태평3-A-32,37.44183,127.13333,생활안전CCTV
CCTV_수정태평3-A-33,37.44404,127.13134,생활안전CCTV
CCTV_수정태평3-A-34,37.4424,127.13144,생활안전CCTV
CCTV_수정태평3-A-35,37.44169,127.13283,생활안전CCTV
CCTV_수정태평3-A-36,37.443825,127.133388,생활안전CCTV
CCTV_수정태평3-A-37,37.446656,127.12917,생활안전CCTV
CCTV_수정태평3-A-38,37.445621,127.130088,생활안전CCTV
CCTV_수정태평3-A-39,37.442893,127.132409,생활안전CCTV
CCTV_수정태평3-A-40,37.447736,127.132499,생활안전CCTV
CCTV_수정태평3-A-41,37.44226,127.13218,생활안전CCTV
CCTV_수정태평3-A-42,37.445762,127.131544,생활안전CCTV
CCTV_수정태평3-A-43,37.446007,127.1317,생활안전CCTV
CCTV_수정태평3-A-44,37.447949,127.133163,생활안전CCTV
CCTV_수정태평3-A-45,37.441116,127.131889,생활안전CCTV
CCTV_수정태평3-A-46,37.444582,127.13464,생활안전CCTV
CCTV_수정태평3-A-47,37.446006,127.13089,생활안전CCTV
CCTV_수정태평3-A-48,37.442995,127.134705,생활안전CCTV
CCTV_수정태평3-A-49,37.447302,127.131077,생활안전CCTV
