시설물명,위도,경도,카테고리
중원초등학교,37.437855,127.167857,어린이보호구역
하원초등학교,37.446255,127.170236,어린이보호구역
중부초등학교,37.451546,127.164951,어린이보호구역
상대원초등학교,37.442382,127.181591,어린이보호구역
도촌초등학교,37.41473,127.158024,어린이보호구역
구미초등학교,37.337756,127.118398,어린이보호구역
내정초등학교,37.372402,127.122264,어린이보호구역
돌마초등학교,37.409099,127.130378,어린이보호구역
미금초등학교,37.347422,127.115303,어린이보호구역
백현초등학교,37.372193,127.111168,어린이보호구역
분당초등학교,37.378988,127.129653,어린이보호구역
성남여수초등학교,37.419449,127.133081,어린이보호구역
탄천초등학교,37.361599,127.115645,어린이보호구역
하탑초등학교,37.407326,127.126613,어린이보호구역
늘푸른초등학교,37.358334,127.105671,어린이보호구역
보평초등학교,37.396039,127.117758,어린이보호구역
산운초등학교,37.389753,127.079005,어린이보호구역
운중초등학교,37.392419,127.06894,어린이보호구역
낙생초등학교,37.394357,127.098914,어린이보호구역
신백현초등학교,37.387579,127.111751,어린이보호구역
성남화랑초등학교,37.390224,127.115888,어린이보호구역
성남은행초등학교,37.461002,127.170901,어린이보호구역
성남중앙초등학교,37.436255,127.143529,어린이보호구역
단남초등학교,37.442905,127.161374,어린이보호구역
대원초등학교,37.436671,127.155099,어린이보호구역
대일초등학교,37.438468,127.164185,어린이보호구역
대하초등학교,37.431908,127.151304,어린이보호구역
성남제일초등학교,37.438906,127.149609,어린이보호구역
성남북초등학교,37.4515,127.151474,어린이보호구역
성남수정초등학교,37.436212,127.132786,어린이보호구역
수진초등학교,37.444944,127.133465,어린이보호구역
희망대초등학교,37.447498,127.149115,어린이보호구역
성남서초등학교,37.448545,127.129403,어린이보호구역
성남신흥초등학교,37.450552,127.143485,어린이보호구역
단대초등학교,37.453611,127.157748,어린이보호구역
복정초등학교,37.46247,127.130386,어린이보호구역
성남양지초등학교,37.459218,127.160884,어린이보호구역
위례고운초등학교,37.471437,127.145794,어린이보호구역
위례한빛초등학교,37.465766,127.147017,어린이보호구역
위례푸른초등학교,37.470731,127.150981,어린이보호구역
위례중앙초등학교,37.471899,127.135874,어린이보호구역
금상초등학교,37.443599,127.165995,어린이보호구역
상원초등학교,37.453884,127.162776,어린이보호구역
불정초등학교,37.361254,127.119496,어린이보호구역
상탑초등학교,37.406207,127.145695,어린이보호구역
서현초등학교,37.382576,127.12855,어린이보호구역
성남신기초등학교,37.366582,127.11106,어린이보호구역
성남장안초등학교,37.372662,127.144459,어린이보호구역
안말초등학교,37.393154,127.125984,어린이보호구역
야탑초등학교,37.416616,127.125627,어린이보호구역
오리초등학교,37.344351,127.115379,어린이보호구역
이매초등학교,37.39721,127.126493,어린이보호구역
청솔초등학교,37.354657,127.1141,어린이보호구역
당촌초등학교,37.373689,127.131262,어린이보호구역
한솔초등학교,37.366777,127.118015,어린이보호구역
수내초등학교,37.367765,127.124663,어린이보호구역
성남송현초등학교,37.405458,127.116346,어린이보호구역
판교초등학교,37.387282,127.091443,어린이보호구역
성남동초등학교,37.449215,127.162178,어린이보호구역
태평초등학교,37.444953,127.131694,어린이보호구역
성수초등학교,37.433766,127.127238,어린이보호구역
금빛초등학교,37.447331,127.140567,어린이보호구역
왕남초등학교,37.428469,127.098687,어린이보호구역
성남초등학교,37.446085,127.144145,어린이보호구역
검단초등학교,37.429483,127.144034,어린이보호구역
불곡초등학교,37.340984,127.11973,어린이보호구역
서당초등학교,37.374602,127.134587,어린이보호구역
성남매송초등학교,37.402183,127.122403,어린이보호구역
성남정자초등학교,37.374517,127.104912,어린이보호구역
양영초등학교,37.37466,127.140091,어린이보호구역
중탑초등학교,37.413924,127.139686,어린이보호구역
초림초등학교,37.376826,127.117592,어린이보호구역
판교대장초등학교,37.368279,127.069713,어린이보호구역
미래유치원,37.452885,127.150066,어린이보호구역
성체유치원,37.439656,127.137203,어린이보호구역
신흥성모유치원,37.449077,127.143242,어린이보호구역
은솔유치원,37.467824,127.138154,어린이보호구역
위례새초롱유치원,37.469683,127.147866,어린이보호구역
위례하늘유치원,37.467037,127.151134,어린이보호구역
고등나래 유치원,37.426969,127.096496,어린이보호구역
은서유치원,37.443605,127.134977,어린이보호구역
선경유치원,37.450411,127.162262,어린이보호구역
예원유치원,37.435032,127.143201,어린이보호구역
다솜유치원,37.447962,127.163685,어린이보호구역
도촌유치원,37.413897,127.149775,어린이보호구역
아름다운유치원,37.367591,127.125773,어린이보호구역
안촌 유치원,37.368171,127.110392,어린이보호구역
세화유치원,37.372737,127.136164,어린이보호구역
분당중앙유치원,37.373451,127.141671,어린이보호구역
꿈터 유치원,37.347269,127.113122,어린이보호구역
배성유치원,37.405999,127.142401,어린이보호구역
이솔유치원,37.352756,127.112602,어린이보호구역
성모 유치원,37.340099,127.124419,어린이보호구역
판교샘유치원,37.392021,127.072039,어린이보호구역
건영장안유치원,37.371127,127.140849,어린이보호구역
뽀뽀뽀유치원,37.415425,127.138017,어린이보호구역
창조유치원,37.359154,127.124992,어린이보호구역
해나유치원,37.390831,127.09829,어린이보호구역
꾸러기유치원,37.403847,127.127335,어린이보호구역
샛별유치원,37.371468,127.129754,어린이보호구역
성마르코유치원,37.410832,127.133182,어린이보호구역
은혜유치원,37.360908,127.111946,어린이보호구역
숲리라유치원,37.469683,127.147866,어린이보호구역
즐거운유치원,37.351408,127.111941,어린이보호구역
희영유치원,37.388294,127.114186,어린이보호구역
혜성유치원,37.444509,127.160252,어린이보호구역
단대어린이집,37.449645,127.155665,어린이보호구역
산성어린이집,37.453007,127.150387,어린이보호구역
성남어린이집,37.447702,127.141485,어린이보호구역
성현어린이집,37.438454,127.138715,어린이보호구역
신흥제2어린이집,37.449202,127.144413,어린이보호구역
리플플러스어린이집,37.44181,127.128384,어린이보호구역
한양어린이집,37.435594,127.1281,어린이보호구역
신흥제3어린이집,37.443531,127.148854,어린이보호구역
복정어린이집,37.461129,127.130488,어린이보호구역
복정2어린이집,37.463264,127.129126,어린이보호구역
아이세상 어린이집,37.4422,127.134779,어린이보호구역
다솜어린이집,37.434004,127.166096,어린이보호구역
중앙동어린이집,37.442671,127.156555,어린이보호구역
금광2동제2어린이집,37.448432,127.163031,어린이보호구역
하대원어린이집,37.427838,127.149429,어린이보호구역
서광어린이집,37.405702,127.14948,어린이보호구역
분당어린이집,37.368598,127.143274,어린이보호구역
판교어린이집,37.385948,127.088207,어린이보호구역
서현어린이집,37.382447,127.126079,어린이보호구역
성남생명숲어린이집,37.371025,127.115253,어린이보호구역
갈보리어린이집,37.390494,127.132889,어린이보호구역
휴맥스어린이집,37.370358,127.095881,어린이보호구역
늘사랑어린이집,37.408334,127.122855,어린이보호구역
삼평어린이집,37.406109,127.115836,어린이보호구역
판교제2어린이집,37.391851,127.090871,어린이보호구역
수내동어린이집,37.379099,127.114714,어린이보호구역
구미동어린이집,37.344538,127.112319,어린이보호구역
예림어린이집,37.450823,127.157599,어린이보호구역
보듬이나눔이어린이집,37.4065,127.151955,어린이보호구역
운중하나어린이집,37.389574,127.072072,어린이보호구역
푸르니이매어린이집,37.3938,127.13236,어린이보호구역
성남혜은학교,37.450396,127.153922,어린이보호구역
성은특수학교,37.409122,127.143952,어린이보호구역
서울국제학교,37.465792,127.128438,어린이보호구역
케이디엘피어학원,37.389127,127.124549,어린이보호구역
산성3어린이집,37.460461,127.155653,어린이보호구역
