,안전시설명,소재지도로명주소,소재지지번주소,위도,경도,현존주소여부
0,우리자동차운전학원,경기도 가평군 가평읍 태봉두밀로 34-71,경기도 가평군 가평읍 상색리 171-38번지,37.8045692526,127.4867885978,S
1,경희대튼튼체육관,경기도 가평군 가평읍 석봉로 146,경기도 가평군 가평읍 읍내리 329-21번지,37.8281479041,127.5116247916,S
2,CU가평군청점,경기도 가평군 가평읍 석봉로 175,경기도 가평군 가평읍 읍내리 495-30번지,37.8305905907,127.5103410681,S
3,GS25가평군청점,경기도 가평군 가평읍 석봉로 163,경기도 가평군 가평읍 읍내리 495-32번지,37.8297162878,127.5106364007,S
4,다래향,경기도 가평군 가평읍 향교로 4,경기도 가평군 가평읍 읍내리 535번지,37.829653226,127.5102954827,S
5,GS25 가평코아루점,경기도 가평군 가평읍 석봉로191번길 18,경기도 가평군 가평읍 읍내리 583-1번지 GS25 가평코아루점,37.8319878218,127.5078639131,S
6,용인대태권도아카데미,경기도 가평군 가평읍 석봉로191번길 16,경기도 가평군 가평읍 읍내리 584-7번지,37.8322041238,127.5080684885,S
7,북면어린이집,경기도 가평군 북면 석장모루길 10,경기도 가평군 북면 이곡리 11-6번지,37.8793606849,127.5469974701,S
8,IGA마트은선점,경기도 가평군 북면 가화로 943,경기도 가평군 북면 이곡리 67-19번지,37.8802262915,127.5461110511,S
9,모범약국,경기도 가평군 상면 청군로 696,경기도 가평군 상면 임초리 412-5번지,37.773963778,127.3720961687,S
10,이마트24 아침고요수목원2호점,경기도 가평군 상면 청군로 697,경기도 가평군 상면 임초리 417-3번지 이마트24 아침고요수목원2호점,37.7739182304,127.3716533986,S
11,설악현무체육관,경기도 가평군 설악면 자잠로 28-8,경기도 가평군 설악면 신천리 443-7번지,37.6796272332,127.4896799853,S
12,GS25편의점,경기도 가평군 설악면 신천중앙로 129,경기도 가평군 설악면 신천리 458-4번지,37.6778605952,127.4895328042,S
13,용한약국,경기도 가평군 설악면 신천중앙로132번길 3,경기도 가평군 설악면 신천리 466-3번지,37.6781760323,127.4891812048,S
14,또래분식,경기도 가평군 조종면 조종새싹로 34,경기도 가평군 조종면 현리 233-12번지,37.8217884601,127.3497206181,S
