종류,시설명,지정년월,권역,지역,리,도로명주소,데이터기준일자
초등학교,해운초등학교,2004-11-04,만세구,서신면,궁평리,화성시 만세구 서신면 궁평항로 1374-6,2026-02-01
초등학교,서신초등학교,2004-11-04,만세구,서신면,매화리,화성시 만세구 서신면 매화3길 17,2026-02-01
초등학교,마산초등학교,2005-11-08,만세구,송산면,마산리,화성시 만세구 송산면 송산포도로 582,2026-02-01
초등학교,고정초등학교,2005-11-08,만세구,송산면,고정리,화성시 만세구 송산면 공룡로 326,2026-02-01
초등학교,송산초등학교,2005-11-08,만세구,송산면,사강리,화성시 만세구 송산면 사강시장길 15-9,2026-02-01
초등학교,청원초등학교,2005-11-08,만세구,마도면,청원리,화성시 만세구 마도면 해운로 794,2026-02-01
초등학교,마도초등학교,2005-11-08,만세구,마도면,석교리,화성시 만세구 마도면 석교로 157,2026-02-01
초등학교,동양초등학교,2005-11-08,만세구,남양읍,남양리,화성시 만세구 남양읍 시청로45번길 11,2026-02-01
초등학교,남양초등학교,2005-11-08,만세구,남양읍,남양리,화성시 만세구 남양읍 남양시장로55번길 7,2026-02-01
초등학교,활초초등학교,2005-11-08,만세구,남양읍,신남리,화성시 만세구 남양읍 안석길111번길 106,2026-02-01
초등학교,청룡초등학교,2003-11-06,효행구,비봉면,청요리,화성시 효행구 비봉면 주석로 610,2026-02-01
초등학교,비봉초등학교,2005-11-08,효행구,비봉면,양노리,화성시 효행구 비봉면 양노로 71,2026-02-01
초등학교,매송초등학교,2003-11-06,효행구,매송면,원평리,화성시 효행구 매송면 화성로 2403,2026-02-01
초등학교,봉담초등학교,2005-11-08,효행구,봉담읍,상리,화성시 효행구 봉담읍 진등3길 15,2026-02-01
초등학교,수영초등학교,2008-02-15,효행구,봉담읍,수영리,화성시 효행구 봉담읍 수영로 63,2026-02-01
초등학교,상봉초등학교,2007-10-28,효행구,봉담읍,동화리,화성시 효행구 봉담읍 상봉길 52,2026-02-01
초등학교,동화초등학교,2007-09-18,효행구,봉담읍,동화리,화성시 효행구 봉담읍 동화새터길 130,2026-02-01
초등학교,와우초등학교,2007-09-04,효행구,봉담읍,와우리,화성시 효행구 봉담읍 식골길 14,2026-02-01
초등학교,수기초등학교,2005-08-16,효행구,봉담읍,수기리,화성시 효행구 봉담읍 수기웃말길 27,2026-02-01
초등학교,갈담초등학교,2002-11-07,효행구,봉담읍,유리,화성시 효행구 봉담읍 갈담초교길 24,2026-02-01
초등학교,팔탄초등학교,2003-11-06,만세구,팔탄면,구장리,화성시 만세구 팔탄면 마당바위로31번길 6,2026-02-01
초등학교,팔탄초대방분교,2002-11-07,만세구,팔탄면,노하리,화성시 만세구 팔탄면 노하길 398,2026-02-01
