구분, 초등학교 , 일반유치원 ,병설유치원,특수학교,어린이집,학원,외국인학교_대안학교_국제학교_제12조1항4호,조례로 정하는 시설 장소
서울,605,348,142,28,467,53,15,0
부산,304,257,91,16,128,3,4,0
대구,243,181,128,10,161,1,0,0
인천,269,154,0,9,190,12,6,1
광주,156,94,119,7,128,0,2,0
 대전 ,156,84,83,6,124,1,0,0
울산,123,87,66,3,43,2,0,0
세종,55,44,20,2,11,0,0,0
경기남부,992,428,791,20,464,9,9,0
경기북부,382,129,293,10,165,5,1,0
강원,334,81,233,18,77,0,1,1
충북,267,54,231,13,157,0,0,0
충남,414,115,341,12,149,0,2,0
전북,413,105,325,10,99,1,0,0
전남,430,63,364,5,174,0,0,0
경북,475,164,416,7,113,0,0,0
경남,523,156,384,10,129,1,1,1
제주,118,17,104,3,90,0,5,0
