SIGUN_NM,SIGUN_CD,STATION_NM_INFO,STATION_ID,STATION_MANAGE_NO,STATION_DIV_NM,JURISD_INST_NM,LOCPLC_LOC,ENG_STATION_NM_INFO,WGS84_LOGT,WGS84_LAT
광주시,41610,검복리마운틴앞,234000706,38702,노변정류장,경기도 광주시,,Geombok-ri Mountain,127.2114833,37.4617833
광주시,41610,남한산성마을회관,234000705,38703,노변정류장,경기도 광주시,,Namhansanseong Community Center,127.1874333,37.4774667
광주시,41610,망월사.장경사,234000703,38704,노변정류장,경기도 광주시,,"Mangwolsa, Janggyeongsa",127.1937833,37.4741
광주시,41610,큰골,234000700,38566,노변정류장,경기도 광주시,,Keungol,127.2003833,37.4711667
광주시,41610,망월사.장경사,234000702,38705,노변정류장,경기도 광주시,,"Mangwolsa, Janggyeongsa",127.1938,37.4741833
화성시,41590,은장공단,233000256,37117,노변정류장,경기도 화성시,경기도 화성시 마도면,Eunjang Industrial Complex ,126.7900667,37.1980667
화성시,41590,하내연수원,233001905,37938,노변정류장,경기도 화성시,경기도 화성시 서신면,Hanae Education & Training Institute ,126.6898,37.1844167
화성시,41590,언창공단,233002044,55018,노변정류장,경기도 화성시,경기도 화성시 팔탄면,Eonchang Industrial Complex,126.8823,37.1933333
화성시,41590,남양성지,233000841,36015,노변정류장,경기도 화성시,,Namyang seongji,126.8149833,37.20735
화성시,41590,천등3리,233001464,37060,노변정류장,경기도 화성시,경기도 화성시 송산면,Cheondeung 3-ri,126.71205,37.2430167
화성시,41590,쌍정2리,233000280,37079,노변정류장,경기도 화성시,경기도 화성시 송산면,Ssangjeong 2-ri,126.72995,37.2345667
화성시,41590,고정2리,233000285,37096,노변정류장,경기도 화성시,경기도 화성시 송산면,Gojeong 2-ri,126.7458333,37.2485667
화성시,41590,정보화마을,233001474,37092,노변정류장,경기도 화성시,경기도 화성시 송산면,Information Village,126.74465,37.2437167
화성시,41590,정보화마을,233000284,37090,노변정류장,경기도 화성시,경기도 화성시 송산면,Jeongbohwa Maeul (Information Village),126.74465,37.2438333
화성시,41590,고정4리,233000282,37087,노변정류장,경기도 화성시,경기도 화성시 송산면,Gojeong 4-ri,126.7385,37.2394167
화성시,41590,쌍정리,233000279,37070,노변정류장,경기도 화성시,경기도 화성시 송산면,Ssangjeong-ri,126.7240833,37.2308167
화성시,41590,창곡주유소앞,233002050,55019,노변정류장,경기도 화성시,경기도 화성시 팔탄면,Changgok Gas Station   ,126.8907833,37.1746333
화성시,41590,삼화1리,233001269,37144,노변정류장,경기도 화성시,경기도 화성시 정남면,Samhwa 1-ri,126.8560667,37.2514333
화성시,41590,양노3리,233003082,55393,노변정류장,경기도 화성시,경기도 화성시 비봉면,Yangno 3-ri,126.8577167,37.2267667
화성시,41590,남전2리종점,233000215,37128,노변정류장,경기도 화성시,경기도 화성시 비봉면,Namjeon 2-ri Bus Terminal ,126.8316167,37.2447167
화성시,41590,삼괴중고교,233002088,55067,노변정류장,경기도 화성시,경기도 화성시 우정읍,Samgoe Middle & High School,126.8209833,37.0884333
화성시,41590,진우아파트,233002078,55050,노변정류장,경기도 화성시,경기도 화성시 봉담읍,Jinu Apartment,126.9311833,37.16205
화성시,41590,청요3리,233000560,37212,노변정류장,경기도 화성시,경기도 화성시 비봉면,Cheongyo 3-ri ,126.8860833,37.2007833
화성시,41590,야목2리,233001274,37202,노변정류장,경기도 화성시,경기도 화성시 매송면,Yamok 2-ri,126.8813667,37.26375
화성시,41590,궁평해수욕장,233001255,37025,노변정류장,경기도 화성시,경기도 화성시 서신면,Gungpyeong Beach,126.6911,37.1240833
화성시,41590,궁평항,233000330,37022,노변정류장,경기도 화성시,경기도 화성시 서신면,Gungpyeonghang Port ,126.68435,37.1167833
화성시,41590,삼성전자,233000112,36395,노변정류장,경기도 화성시,경기도 화성시 반월동,"Samsung Electronics Co., Ltd. ",127.0625833,37.2237333
화성시,41590,황계동,233000697,36321,노변정류장,경기도 화성시,경기도 화성시 황계동,Hwaggye-dong,127.0195833,37.21795
화성시,41590,수영오거리.방송통신대입구,233000839,36146,노변정류장,경기도 화성시,경기도 화성시 봉담읍,"Suyeong Ogeori, Korea National Open University ",126.9616833,37.2370333
화성시,41590,대진화학,233000838,36135,노변정류장,경기도 화성시,경기도 화성시 봉담읍,Daejin Chemical ,126.9542167,37.2259167
화성시,41590,봉담읍사무소,233000836,36123,노변정류장,경기도 화성시,경기도 화성시 봉담읍,Bongdam-eup Office,126.9493,37.2204167
의정부시,41150,구보충대앞,207506090,,,,,,127.0797333,37.7332833
의정부시,41150,삼부아파트,207506080,,,,,,127.05815,37.7409333
의정부시,41150,윗갓바위,207000235,8314,노변정류장,경기도 의정부시,경기도 의정부시 고산동,Witgatbawi,127.1171333,37.7452833
의정부시,41150,아랫갓바위,207000234,8312,노변정류장,경기도 의정부시,경기도 의정부시 고산동,Araetgatbawi,127.1150333,37.7429
의정부시,41150,가잿말,207000233,8309,노변정류장,경기도 의정부시,경기도 의정부시 고산동,Gajaetmal ,127.1127833,37.7392667
의정부시,41150,뱀골,207000232,8307,노변정류장,경기도 의정부시,경기도 의정부시 고산동,Baemgol,127.1115,37.7380667
의정부시,41150,고산초교,207000229,8303,노변정류장,경기도 의정부시,경기도 의정부시 고산동,Gosan Elementary School ,127.1060667,37.7307
의정부시,41150,흥선동행정복지센터,207000504,8524,노변정류장,경기도 의정부시,경기도 의정부시 가능동,Geonbo Supermarket,127.03065,37.7469833
의정부시,41150,고산동정자마을,207000227,8295,노변정류장,경기도 의정부시,경기도 의정부시 고산동,Gosan-dong Jeongja Maeul ,127.1003667,37.7286833
의정부시,41150,원머루마을,207000226,8294,노변정류장,경기도 의정부시,경기도 의정부시 고산동,Wonmeoru Maeul ,127.0979333,37.7285333
의정부시,41150,흥선역,207000509,8526,노변정류장,경기도 의정부시,경기도 의정부시 의정부동,Heungseon Station ,127.03775,37.7434
의정부시,41150,시청.소방서,207000359,8045,노변정류장,경기도 의정부시,경기도 의정부시 의정부동,"City Hall, Fire Station ",127.0351333,37.7376833
양주시,41630,복지사거리.태영아파트,235000268,39306,노변정류장,경기도 양주시,경기도 양주시 백석읍,"Bokji Sageori, Taeyoung Apartment ",126.9926833,37.78685
양주시,41630,동화세아아파트,235000266,39246,노변정류장,경기도 양주시,경기도 양주시 백석읍,Donghwa SeA Apartment ,126.9840667,37.7860833
양주시,41630,창조교회,235000265,39221,노변정류장,경기도 양주시,경기도 양주시 백석읍,Changju Church ,126.97915,37.7843167
