연번,보호구역아이디,시설종류,대상시설명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관리기관전화번호,관할경찰서명,CCTV설치여부,CCTV설치대수,데이터기준일자,이미지명,비고
"1",성남-01-001,초등학교,중원초등학교,경기도,성남시 중원구,"41133",경기도 성남시 중원구 사기막골로31번길 46,경기도 성남시 중원구 상대원동 153,37.4386010000,127.1673010000,경기도 성남시청,"031-729-3672",성남중원경찰서,Y,"3","2022-08-11",성남-01-001-B-01.jpeg,""
"2",성남-01-002,초등학교,하원초등학교,경기도,성남시 중원구,"41133",경기도 성남시 중원구 광명로 396,경기도 성남시 중원구 금광동 2412,37.4463010000,127.1698010000,경기도 성남시청,"031-729-3672",성남중원경찰서,Y,"2","2022-08-25",성남-01-002-B-01.jpeg,""
"3",성남-01-003,초등학교,중부초등학교,경기도,성남시 중원구,"41133",경기도 성남시 중원구 자혜로 55,경기도 성남시 중원구 은행동 1932-7,37.4515460000,127.1649510000,경기도 성남시청,"031-729-3672",성남중원경찰서,Y,"4","2022-08-25",성남-01-003-B-01.jpeg,""
"4",성남-01-004,초등학교,상대원초등학교,경기도,성남시 중원구,"41133",경기도 성남시 중원구 순환로214번길 16,경기도 성남시 중원구 상대원동 54,37.4423820000,127.1815910000,경기도 성남시청,"031-729-3672",성남중원경찰서,Y,"3","2022-08-04",성남-01-004-B-01.jpeg,""
"5",성남-01-005,초등학교,도촌초등학교,경기도,성남시 중원구,"41133",경기도 성남시 중원구 도촌남로 99,경기도 성남시 중원구 도촌동 646,37.4145130000,127.1579690000,경기도 성남시청,"031-729-3672",성남중원경찰서,Y,"4","2022-08-04",성남-01-005-B-01.jpeg,""
"6",성남-01-006,초등학교,구미초등학교,경기도,성남시 분당구,"41135",경기도 성남시 분당구 미금로22번길 25,경기도 성남시 분당구 구미동 215,37.3377560000,127.1183980000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"3","2022-08-26",성남-01-006-B-01.jpeg,""
"7",성남-01-007,초등학교,내정초등학교,경기도,성남시 분당구,"41135",경기도 성남시 분당구 내정로174번길 19,경기도 성남시 분당구 수내동 57,37.3731160000,127.1218260000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"2","2022-08-29",성남-01-007-B-01.jpeg,""
"8",성남-01-008,초등학교,돌마초등학교,경기도,성남시 분당구,"41135",경기도 성남시 분당구 야탑로96번길 7,경기도 성남시 분당구 야탑동 515,37.4090990000,127.1303780000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"3","2022-07-27",성남-01-008-B-01.jpeg,""
"9",성남-01-009,초등학교,성남미금초등학교,경기도,성남시 분당구,"41135",경기도 성남시 분당구 미금로 151,경기도 성남시 분당구 구미동 68,37.3474220000,127.1153030000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"5","2022-08-17",성남-01-009-B-01.jpeg,미금초등학교에서 명칭변경
"10",성남-01-010,초등학교,백현초등학교,경기도,성남시 분당구,"41135",경기도 성남시 분당구 백현로144번길 26,경기도 성남시 분당구 정자동 76,37.3721810000,127.1109530000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"2","2022-08-25",성남-01-010-B-01.jpeg,""
