연번,위도,경도,보호구역아이디,시도명,시군구명,대상시설명,관할경찰서명,데이터기준일자,이미지명,비고
"1",37.4389740000,127.1676520000,성남-01-001,경기도,성남시 중원구,중원초등학교,성남중원경찰서,"2022-08-11",성남-01-001-A-01.jpeg,""
"2",37.4388660000,127.1673630000,성남-01-001,경기도,성남시 중원구,중원초등학교,성남중원경찰서,"2022-08-11",성남-01-001-A-02.jpeg,""
"3",37.4387180000,127.1669870000,성남-01-001,경기도,성남시 중원구,중원초등학교,성남중원경찰서,"2022-08-11",성남-01-001-A-03.jpeg,""
"4",37.4385970000,127.1666710000,성남-01-001,경기도,성남시 중원구,중원초등학교,성남중원경찰서,"2022-08-11",성남-01-001-A-04.jpeg,""
"5",37.4384820000,127.1665240000,성남-01-001,경기도,성남시 중원구,중원초등학교,성남중원경찰서,"2022-08-11",성남-01-001-A-05.jpeg,""
"6",37.4383920000,127.1665810000,성남-01-001,경기도,성남시 중원구,중원초등학교,성남중원경찰서,"2022-08-11",성남-01-001-A-06.jpeg,""
"7",37.4380850000,127.1667660000,성남-01-001,경기도,성남시 중원구,중원초등학교,성남중원경찰서,"2022-08-11",성남-01-001-A-07.jpeg,""
"8",37.4379480000,127.1668470000,성남-01-001,경기도,성남시 중원구,중원초등학교,성남중원경찰서,"2022-08-11",성남-01-001-A-08.jpeg,""
"9",37.4375890000,127.1670560000,성남-01-001,경기도,성남시 중원구,중원초등학교,성남중원경찰서,"2022-08-11",성남-01-001-A-09.jpeg,""
"10",37.4372720000,127.1672470000,성남-01-001,경기도,성남시 중원구,중원초등학교,성남중원경찰서,"2022-08-11",성남-01-001-A-10.jpeg,""
"11",37.4371810000,127.1673030000,성남-01-001,경기도,성남시 중원구,중원초등학교,성남중원경찰서,"2022-08-11",성남-01-001-A-11.jpeg,""
"12",37.4469470000,127.1683750000,성남-01-002,경기도,성남시 중원구,하원초등학교,성남중원경찰서,"2022-08-25",성남-01-002-A-01.jpeg,""
"13",37.4470710000,127.1683580000,성남-01-002,경기도,성남시 중원구,하원초등학교,성남중원경찰서,"2022-08-25",성남-01-002-A-02.jpeg,""
