보호구역아이디,시도명,시군구명,읍면동명,관리번호,교육시설명칭,관할경찰서명,경도,위도,데이터기준일자
27,경기도,광명시,철산동,0027-R-0003,예지유치원,광명경찰서,126.868419328,37.490624399,2021-10-08
27,경기도,광명시,철산동,0027-R-0001,예지유치원,광명경찰서,126.867857336,37.490373249,2021-10-08
27,경기도,광명시,철산동,0027-R-0002,예지유치원,광명경찰서,126.867290049,37.489403463,2021-10-08
14,경기도,광명시,철산동,0014-R-0001,광명북초등학교,광명경찰서,126.868135246,37.487781743,2021-10-08
14,경기도,광명시,철산동,0014-R-0002,광명북초등학교,광명경찰서,126.868592949,37.487732564,2021-10-08
14,경기도,광명시,철산동,0014-R-0003,광명북초등학교,광명경찰서,126.868435565,37.487360521,2021-10-08
14,경기도,광명시,철산동,0014-R-0004,광명북초등학교,광명경찰서,126.868568618,37.486942114,2021-10-08
14,경기도,광명시,철산동,0014-R-0005,광명북초등학교,광명경찰서,126.868707069,37.486687975,2021-10-08
14,경기도,광명시,철산동,0014-R-0006,광명북초등학교,광명경찰서,126.868868832,37.486138553,2021-10-08
9,경기도,광명시,철산동,0009-R-0001,광성초등학교,광명경찰서,126.872845871,37.477725733,2021-10-08
9,경기도,광명시,철산동,0009-R-0002,광성초등학교,광명경찰서,126.872198489,37.477265661,2021-10-08
40,경기도,광명시,철산동,0040-R-0001,삼흥유치원,광명경찰서,126.869001343,37.477534047,2021-10-08
40,경기도,광명시,철산동,0040-R-0002,삼흥유치원,광명경찰서,126.868659966,37.477709078,2021-10-08
15,경기도,광명시,철산동,0015-R-0001,철산초등학교,광명경찰서,126.872885945,37.472066289,2021-10-08
15,경기도,광명시,철산동,0015-R-0002,철산초등학교,광명경찰서,126.872806811,37.471574247,2021-10-08
15,경기도,광명시,철산동,0015-R-0003,철산초등학교,광명경찰서,126.87315904,37.470742183,2021-10-08
15,경기도,광명시,철산동,0015-R-0004,철산초등학교,광명경찰서,126.87355709,37.470169528,2021-10-08
15,경기도,광명시,철산동,0015-R-0005,철산초등학교,광명경찰서,126.873817711,37.469610154,2021-10-08
15,경기도,광명시,철산동,0015-R-0006,철산초등학교,광명경찰서,126.874364525,37.468912101,2021-10-08
15,경기도,광명시,철산동,0015-R-0008,철산초등학교,광명경찰서,126.874158212,37.468299805,2021-10-08
15,경기도,광명시,철산동,0015-R-0007,철산초등학교,광명경찰서,126.873669804,37.468246777,2021-10-08
19,경기도,광명시,하안동,0019-R-0001,하일초등학교,광명경찰서,126.875146895,37.468769682,2021-10-08
19,경기도,광명시,하안동,0019-R-0002,하일초등학교,광명경찰서,126.875492427,37.468861579,2021-10-08
19,경기도,광명시,하안동,0019-R-0003,하일초등학교,광명경찰서,126.876392575,37.469503831,2021-10-08
35,경기도,광명시,하안동,0035-R-0001,한마음유치원,광명경찰서,126.875063771,37.468137137,2021-10-08
35,경기도,광명시,하안동,0035-R-0002,한마음유치원,광명경찰서,126.875414141,37.467559082,2021-10-08
35,경기도,광명시,하안동,0035-R-0003,한마음유치원,광명경찰서,126.876076035,37.466975185,2021-10-08
32,경기도,광명시,하안동,0032-R-0003,혜성유치원,광명경찰서,126.878183652,37.466274491,2021-10-08
32,경기도,광명시,하안동,0032-R-0001,혜성유치원,광명경찰서,126.879578746,37.466989829,2021-10-08
32,경기도,광명시,하안동,0032-R-0002,혜성유치원,광명경찰서,126.88041172,37.467496357,2021-10-08
44,경기도,광명시,철산동,0044-R-0001,철산어린이집,광명경찰서,126.862170089,37.482136161,2021-11-15
16,경기도,광명시,철산동,0016-R-0001,광명동초등학교,광명경찰서,126.864107708,37.483069024,2021-11-15
16,경기도,광명시,철산동,0016-R-0002,광명동초등학교,광명경찰서,126.864076206,37.483889247,2021-11-15
16,경기도,광명시,철산동,0016-R-0003,광명동초등학교,광명경찰서,126.8642956,37.484239229,2021-11-15
9,경기도,광명시,철산동,0009-R-0003,광성초등학교,광명경찰서,126.872772322,37.477184712,2021-11-25
9,경기도,광명시,철산동,0009-R-0004,광성초등학교,광명경찰서,126.872342436,37.477965882,2021-11-25
9,경기도,광명시,철산동,0009-R-0005,광성초등학교,광명경찰서,126.872319154,37.478125786,2021-11-25
9,경기도,광명시,철산동,0009-R-0006,광성초등학교,광명경찰서,126.872177271,37.4783669,2021-11-25
9,경기도,광명시,철산동,0009-R-0007,광성초등학교,광명경찰서,126.87190151,37.478891953,2021-11-25
17,경기도,광명시,하안동,0017-R-0001,하안초등학교,광명경찰서,126.874883724,37.462967705,2021-10-14
17,경기도,광명시,하안동,0017-R-0002,하안초등학교,광명경찰서,126.874455468,37.463453311,2021-10-14
17,경기도,광명시,하안동,0017-R-0003,하안초등학교,광명경찰서,126.873982428,37.463490571,2021-10-14
17,경기도,광명시,하안동,0017-R-0004,하안초등학교,광명경찰서,126.874414139,37.464074875,2021-10-14
31,경기도,광명시,하안동,0031-R-0003,예원유치원,광명경찰서,126.87706479,37.461017749,2021-10-14
26,경기도,광명시,하안동,0026-R-0001,가림유치원,광명경찰서,126.869997803,37.463772731,2021-10-14
26,경기도,광명시,하안동,0026-R-0002,가림유치원,광명경찰서,126.869109641,37.46385434,2021-10-14
26,경기도,광명시,하안동,0026-R-0003,가림유치원,광명경찰서,126.868031019,37.463922173,2021-10-14
26,경기도,광명시,하안동,0026-R-0004,가림유치원,광명경찰서,126.867172236,37.464096258,2021-10-14
26,경기도,광명시,하안동,0026-R-0005,가림유치원,광명경찰서,126.866190675,37.463890494,2021-10-14
10,경기도,광명시,하안동,0010-R-0002,하안북초등학교,광명경찰서,126.867103699,37.465370576,2021-10-14
10,경기도,광명시,하안동,0010-R-0003,하안북초등학교,광명경찰서,126.866874246,37.465394351,2021-10-14
10,경기도,광명시,하안동,0010-R-0004,하안북초등학교,광명경찰서,126.865300969,37.466091295,2021-10-14
46,경기도,광명시,철산동,0046-R-0001,홍익어린이집,광명경찰서,126.865386025,37.473392933,2021-10-14
47,경기도,광명시,철산동,0046-R-0009,홍익어린이집,광명경찰서,126.864737326,37.47372612,2021-10-14
46,경기도,광명시,철산동,0046-R-0006,홍익어린이집,광명경찰서,126.864266557,37.474911927,2021-10-14
46,경기도,광명시,철산동,0046-R-0007,홍익어린이집,광명경찰서,126.864094428,37.475097698,2021-10-14
1,경기도,광명시,철산동,0004-R-0003,광덕초등학교,광명경찰서,126.866812089,37.473375808,2021-10-14
