보호구역아이디,시도명,시군구명,읍면동명,도로명,소재지도로명주소,소재지지번주소,관리아이디,연장,경도,위도,관리기관명,관리기관전화번호,데이터기준일자
1,경기도,광명시,광명동,광이로,경기도 광명시 광이로 21,경기도 광명시 광명동 135-1,0001-F-0003,169,126.857973439,37.480922309,광명시청,1688-3399,2021-10-26
1,경기도,광명시,광명동,광이로,경기도 광명시 광이로 21,경기도 광명시 광명동 135-1,0001-F-0002,61,126.858371977,37.480605964,광명시청,1688-3399,2021-10-26
1,경기도,광명시,광명동,광이로,경기도 광명시 광이로 21,경기도 광명시 광명동 135-1,0001-F-0001,127,126.858102965,37.480019172,광명시청,1688-3399,2021-10-26
3,경기도,광명시,광명동,목감로,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,0003-F-0001,41,126.845528202,37.471058389,광명시청,1688-3399,2021-10-26
3,경기도,광명시,광명동,목감로,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,0003-F-0002,33,126.845848081,37.471364868,광명시청,1688-3399,2021-10-26
3,경기도,광명시,광명동,목감로,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,0003-F-0003,85,126.84633441,37.471805253,광명시청,1688-3399,2021-10-26
3,경기도,광명시,광명동,목감로,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,0003-F-0004,80,126.846096079,37.472358558,광명시청,1688-3399,2021-10-26
3,경기도,광명시,광명동,목감로,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,0003-F-0005,85,126.846153381,37.472425521,광명시청,1688-3399,2021-10-26
3,경기도,광명시,광명동,목감로,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,0003-F-0006,21,126.84663361,37.47219429,광명시청,1688-3399,2021-10-26
3,경기도,광명시,광명동,목감로,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,0003-F-0007,64,126.846926342,37.471903642,광명시청,1688-3399,2021-10-26
3,경기도,광명시,광명동,목감로,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,0003-F-0010,115,126.847732756,37.471379989,광명시청,1688-3399,2021-10-26
3,경기도,광명시,광명동,목감로,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,0003-F-0008,67,126.846973838,37.471976363,광명시청,1688-3399,2021-10-26
3,경기도,광명시,광명동,목감로,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,0003-F-0009,116,126.847784712,37.471437595,광명시청,1688-3399,2021-10-26
3,경기도,광명시,광명동,목감로,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,0003-F-0014,34,126.848816185,37.470962994,광명시청,1688-3399,2021-10-26
3,경기도,광명시,광명동,목감로,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,0003-F-0015,80,126.848920463,37.471462798,광명시청,1688-3399,2021-10-26
13,경기도,광명시,광명동,덕단이로,경기도 광명시 덕단이로 29,경기도 광명시 광명동 735,0013-F-0001,44,126.851017594,37.466895482,광명시청,1688-3399,2021-10-26
13,경기도,광명시,광명동,덕단이로,경기도 광명시 덕단이로 29,경기도 광명시 광명동 735,0013-F-0002,80,126.851653277,37.467062399,광명시청,1688-3399,2021-10-26
13,경기도,광명시,광명동,덕단이로,경기도 광명시 덕단이로 29,경기도 광명시 광명동 735,0013-F-0004,43,126.852657016,37.467108373,광명시청,1688-3399,2021-10-26
13,경기도,광명시,광명동,덕단이로,경기도 광명시 덕단이로 29,경기도 광명시 광명동 735,0013-F-0005,17,126.852976128,37.467152754,광명시청,1688-3399,2021-10-26
7,경기도,광명시,광명동,너부대로,경기도 광명시 너부대로 5,경기도 광명시 광명동 219,0007-F-0001,27,126.846683978,37.477576692,광명시청,1688-3399,2021-10-18
7,경기도,광명시,광명동,너부대로,경기도 광명시 너부대로 5,경기도 광명시 광명동 219,0007-F-0002,36,126.84637354,37.477774869,광명시청,1688-3399,2021-10-18
7,경기도,광명시,광명동,너부대로,경기도 광명시 너부대로 5,경기도 광명시 광명동 219,0007-F-0004,33,126.846631914,37.47748707,광명시청,1688-3399,2021-10-18
7,경기도,광명시,광명동,너부대로,경기도 광명시 너부대로 5,경기도 광명시 광명동 219,0007-F-0003,32,126.846321789,37.477666035,광명시청,1688-3399,2021-10-18
13,경기도,광명시,광명동,덕단이로,경기도 광명시 덕단이로 29,경기도 광명시 광명동 735,0013-F-0003,27,126.852258279,37.467054599,광명시청,1688-3399,2021-10-26
3,경기도,광명시,광명동,목감로,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,0003-F-0012,69,126.848504985,37.470869335,광명시청,1688-3399,2021-10-26
3,경기도,광명시,광명동,목감로,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,0003-F-0011,64,126.848557372,37.470927813,광명시청,1688-3399,2021-10-26
3,경기도,광명시,광명동,목감로,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,0003-F-0013,22,126.848817986,37.470662621,광명시청,1688-3399,2021-10-26
2,경기도,광명시,광명동,광명로,경기도 광명시 광명로 866-9,경기도 광명시 광명동 295-58,0002-F-0001,58,126.854522503,37.475736865,광명시청,1688-3399,2021-10-18
3,경기도,광명시,광명동,목감로,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,0003-F-0016,74,126.846964237,37.470247567,광명시청,1688-3399,2021-11-17
41,경기도,광명시,소하동,기아로,경기도 광명시 기아로5번길 3,경기도 광명시 소하동 900-3,0041-F-0001,23,126.879781796,37.436876192,광명시청,1688-3399,2021-11-26
41,경기도,광명시,소하동,기아로,경기도 광명시 기아로5번길 3,경기도 광명시 소하동 900-3,0041-F-0002,13,126.879518684,37.436890228,광명시청,1688-3399,2021-11-26
41,경기도,광명시,소하동,기아로,경기도 광명시 기아로5번길 3,경기도 광명시 소하동 900-3,0041-F-0003,54,126.879842832,37.437448299,광명시청,1688-3399,2021-11-26
41,경기도,광명시,소하동,기아로,경기도 광명시 기아로5번길 3,경기도 광명시 소하동 900-3,0041-F-0004,54,126.8795867,37.437254823,광명시청,1688-3399,2021-11-26
41,경기도,광명시,소하동,기아로,경기도 광명시 기아로5번길 3,경기도 광명시 소하동 900-3,0041-F-0005,11,126.879530944,37.43763522,광명시청,1688-3399,2021-11-26
5,경기도,광명시,소하동,오리로,경기도 광명시 오리로 402,경기도 광명시 소하동 904,0005-F-0001,53,126.879593027,37.438071544,광명시청,1688-3399,2021-11-26
5,경기도,광명시,소하동,오리로,경기도 광명시 오리로 402,경기도 광명시 소하동 904,0005-F-0002,9,126.879455926,37.437806787,광명시청,1688-3399,2021-11-26
5,경기도,광명시,소하동,오리로,경기도 광명시 오리로 402,경기도 광명시 소하동 904,0005-F-0003,11,126.879371978,37.437954506,광명시청,1688-3399,2021-11-26
5,경기도,광명시,소하동,오리로,경기도 광명시 오리로 402,경기도 광명시 소하동 904,0005-F-0004,15,126.879177074,37.438311897,광명시청,1688-3399,2021-11-26
5,경기도,광명시,소하동,오리로,경기도 광명시 오리로 402,경기도 광명시 소하동 904,0005-F-0005,81,126.87883328,37.438999257,광명시청,1688-3399,2021-11-26
5,경기도,광명시,소하동,오리로,경기도 광명시 오리로 402,경기도 광명시 소하동 904,0005-F-0006,77,126.879070896,37.439046078,광명시청,1688-3399,2021-11-26
39,경기도,광명시,일직동,새빛공원로,경기도 광명시 새빛공원로 54,경기도 광명시 일직동 517-4,0039-F-0001,40,126.887537235,37.415194733,광명시청,1688-3399,2021-11-27
39,경기도,광명시,일직동,새빛공원로,경기도 광명시 새빛공원로 54,경기도 광명시 일직동 517-4,0039-F-0002,37,126.887290508,37.415296411,광명시청,1688-3399,2021-11-27
39,경기도,광명시,일직동,새빛공원로,경기도 광명시 새빛공원로 54,경기도 광명시 일직동 517-4,0039-F-0003,74,126.887997788,37.416010479,광명시청,1688-3399,2021-11-27
39,경기도,광명시,일직동,새빛공원로,경기도 광명시 새빛공원로 54,경기도 광명시 일직동 517-4,0039-F-0004,72,126.887747655,37.416099057,광명시청,1688-3399,2021-11-27
39,경기도,광명시,일직동,새빛공원로,경기도 광명시 새빛공원로 54,경기도 광명시 일직동 517-4,0039-F-0005,106,126.888482932,37.416878097,광명시청,1688-3399,2021-11-27
39,경기도,광명시,일직동,새빛공원로,경기도 광명시 새빛공원로 54,경기도 광명시 일직동 517-4,0039-F-0006,104,126.888238482,37.416952961,광명시청,1688-3399,2021-11-27
39,경기도,광명시,일직동,새빛공원로,경기도 광명시 새빛공원로 54,경기도 광명시 일직동 517-4,0039-F-0007,22,126.888869762,37.41753643,광명시청,1688-3399,2021-11-27
39,경기도,광명시,일직동,새빛공원로,경기도 광명시 새빛공원로 54,경기도 광명시 일직동 517-4,0039-F-0008,36,126.889064256,37.417895993,광명시청,1688-3399,2021-11-27
39,경기도,광명시,일직동,새빛공원로,경기도 광명시 새빛공원로 54,경기도 광명시 일직동 517-4,0039-F-0009,75,126.888730335,37.417836676,광명시청,1688-3399,2021-11-27
39,경기도,광명시,일직동,새빛공원로,경기도 광명시 새빛공원로 54,경기도 광명시 일직동 517-4,0039-F-0010,45,126.889541809,37.418048849,광명시청,1688-3399,2021-11-27
39,경기도,광명시,일직동,새빛공원로,경기도 광명시 새빛공원로 54,경기도 광명시 일직동 517-4,0039-F-0011,42,126.889562948,37.418145611,광명시청,1688-3399,2021-11-27
39,경기도,광명시,일직동,새빛공원로,경기도 광명시 새빛공원로 54,경기도 광명시 일직동 517-4,0039-F-0012,121,126.888263421,37.418572278,광명시청,1688-3399,2021-11-27
25,경기도,광명시,일직동,양달로,경기도 광명시 양달로10번길 8,경기도 광명시 일직동 377,0025-F-0001,79,126.885497512,37.413640826,광명시청,1688-3399,2021-11-26
25,경기도,광명시,일직동,양달로,경기도 광명시 양달로10번길 8,경기도 광명시 일직동 377,0025-F-0002,110,126.88370097,37.414331011,광명시청,1688-3399,2021-11-26
25,경기도,광명시,일직동,양달로,경기도 광명시 양달로10번길 8,경기도 광명시 일직동 377,0025-F-0003,69,126.883921908,37.413995689,광명시청,1688-3399,2021-11-26
25,경기도,광명시,일직동,양달로,경기도 광명시 양달로10번길 8,경기도 광명시 일직동 377,0025-F-0004,51,126.882517182,37.414487183,광명시청,1688-3399,2021-11-26
25,경기도,광명시,일직동,양달로,경기도 광명시 양달로10번길 8,경기도 광명시 일직동 377,0025-F-0005,20,126.882001361,37.414652949,광명시청,1688-3399,2021-11-26
