보호구역아이디,시도명,시군구명,읍면동명,관리번호,교육시설명칭,관할경찰서명,위도,경도,데이터기준일자
50,경기도,광명시,광명동,0050-S-0003,엄지창의어린이집,광명경찰서,126.849386837,37.475753687,2021-10-18
50,경기도,광명시,광명동,0050-S-0002,엄지창의어린이집,광명경찰서,126.849765786,37.475875529,2021-10-18
50,경기도,광명시,광명동,0050-S-0001,엄지창의어린이집,광명경찰서,126.850029133,37.475576034,2021-10-18
50,경기도,광명시,광명동,0050-S-0004,엄지창의어린이집,광명경찰서,126.849609713,37.475536237,2021-10-18
48,경기도,광명시,광명동,0048-S-0001,광명푸른숲어린이집,광명경찰서,126.851092728,37.47825205,2021-10-18
28,경기도,광명시,광명동,0028-S-0002,예림유치원,광명경찰서,126.852204461,37.468652943,2021-10-26
28,경기도,광명시,광명동,0028-S-0001,예림유치원,광명경찰서,126.852204732,37.468514927,2021-10-26
28,경기도,광명시,광명동,0028-S-0004,예림유치원,광명경찰서,126.853105397,37.469001489,2021-10-26
43,경기도,광명시,광명동,0043-S-0005,예크어린이집,광명경찰서,126.856632175,37.470095679,2021-10-26
1,경기도,광명시,광명동,0001-S-0003,광명초등학교,광명경찰서,126.857492124,37.481105673,2021-10-26
1,경기도,광명시,광명동,0001-S-0001,광명초등학교,광명경찰서,126.858620596,37.4809088,2021-10-26
2,경기도,광명시,광명동,0002-S-0004,광명남초등학교,광명경찰서,126.852413666,37.474999021,2021-10-18
2,경기도,광명시,광명동,0002-S-0005,광명남초등학교,광명경찰서,126.853711398,37.477787005,2021-10-18
2,경기도,광명시,광명동,0002-S-0001,광명남초등학교,광명경찰서,126.85469592,37.475923195,2021-10-18
7,경기도,광명시,광명동,0007-S-0004,광명서초등학교,광명경찰서,126.846160261,37.477869372,2021-10-18
7,경기도,광명시,광명동,0007-S-0003,광명서초등학교,광명경찰서,126.848153281,37.477040523,2021-10-18
7,경기도,광명시,광명동,0007-S-0001,광명서초등학교,광명경찰서,126.846165589,37.478709232,2021-10-18
7,경기도,광명시,광명동,0007-S-0002,광명서초등학교,광명경찰서,126.849233538,37.477912657,2021-10-18
3,경기도,광명시,광명동,0003-S-0001,광일초등학교,광명경찰서,126.848205635,37.469451709,2021-10-26
3,경기도,광명시,광명동,0003-S-0002,광일초등학교,광명경찰서,126.847005492,37.469542854,2021-10-26
3,경기도,광명시,광명동,0003-S-0006,광일초등학교,광명경찰서,126.845432357,37.471070241,2021-10-26
3,경기도,광명시,광명동,0003-S-0009,광일초등학교,광명경찰서,126.845709497,37.472545263,2021-10-26
3,경기도,광명시,광명동,0003-S-0012,광일초등학교,광명경찰서,126.849067827,37.471808057,2021-10-26
3,경기도,광명시,광명동,0003-S-0010,광일초등학교,광명경찰서,126.848869297,37.470640715,2021-10-26
13,경기도,광명시,광명동,0013-S-0002,광문초등학교,광명경찰서,126.850757769,37.466006359,2021-10-26
13,경기도,광명시,광명동,0013-S-0001,광문초등학교,광명경찰서,126.850981793,37.46765405,2021-10-26
13,경기도,광명시,광명동,0013-S-0003,광문초등학교,광명경찰서,126.85206507,37.467836583,2021-10-26
3,경기도,광명시,광명동,0003-S-0004,광일초등학교,광명경찰서,126.847291641,37.470088805,2021-10-26
3,경기도,광명시,광명동,0003-S-0007,광일초등학교,광명경찰서,126.845946951,37.471506063,2021-10-26
1,경기도,광명시,광명동,0001-S-0002,광명초등학교,광명경찰서,126.858449558,37.480785149,2021-10-26
43,경기도,광명시,광명동,0043-S-0001,예크어린이집,광명경찰서,126.853944241,37.469272391,2021-10-26
43,경기도,광명시,광명동,0043-S-0002,예크어린이집,광명경찰서,126.854668621,37.46955562,2021-10-26
43,경기도,광명시,광명동,0043-S-0003,예크어린이집,광명경찰서,126.85537233,37.469881498,2021-10-26
43,경기도,광명시,광명동,0043-S-0004,예크어린이집,광명경찰서,126.855973223,37.470128455,2021-10-26
2,경기도,광명시,광명동,0002-S-0002,광명남초등학교,광명경찰서,126.854375102,37.475378085,2021-10-18
2,경기도,광명시,광명동,0002-S-0003,광명남초등학교,광명경찰서,126.854129142,37.474737472,2021-10-18
28,경기도,광명시,광명동,0028-S-0003,예림유치원,광명경찰서,126.852853403,37.468730106,2021-10-26
7,경기도,광명시,광명동,0007-S-0005,광명서초등학교,광명경찰서,126.846274372,37.478707286,2021-10-18
7,경기도,광명시,광명동,0007-S-0006,광명서초등학교,광명경찰서,126.847676014,37.47833805,2021-10-18
7,경기도,광명시,광명동,0007-S-0007,광명서초등학교,광명경찰서,126.847404692,37.478035605,2021-10-18
7,경기도,광명시,광명동,0007-S-0008,광명서초등학교,광명경찰서,126.847641105,37.477267538,2021-10-18
7,경기도,광명시,광명동,0007-S-0009,광명서초등학교,광명경찰서,126.84667035,37.477487928,2021-10-18
13,경기도,광명시,광명동,0013-S-0006,광문초등학교,광명경찰서,126.8509169,37.466773089,2021-10-26
3,경기도,광명시,광명동,0003-S-0003,광일초등학교,광명경찰서,126.845853951,37.470757863,2021-10-26
3,경기도,광명시,광명동,0003-S-0005,광일초등학교,광명경찰서,126.846678385,37.470529081,2021-10-26
3,경기도,광명시,광명동,0003-S-0008,광일초등학교,광명경찰서,126.846597317,37.472063075,2021-10-26
3,경기도,광명시,광명동,0003-S-0011,광일초등학교,광명경찰서,126.848934479,37.470796411,2021-10-26
3,경기도,광명시,광명동,0003-S-0013,광일초등학교,광명경찰서,126.848824529,37.470840052,2021-10-26
20,경기도,광명시,하안동,0020-S-0002,연서초등학교,광명경찰서,126.881385292,37.465272586,2021-10-01
20,경기도,광명시,하안동,0020-S-0001,연서초등학교,광명경찰서,126.881622329,37.465411023,2021-10-01
20,경기도,광명시,하안동,0020-S-0004,연서초등학교,광명경찰서,126.880134047,37.466950267,2021-10-01
