보호구역아이디,시도명,시군구명,읍면동명,관리번호,교육시설명,관할경찰서명,경도,위도,데이터기준일자
12,경기도,광명시,하안동,0012-Y-0001,하안남초등학교,광명경찰서,126.884727233,37.460498722,2021-10-14
12,경기도,광명시,하안동,0012-Y-0002,하안남초등학교,광명경찰서,126.884545915,37.460719582,2021-10-14
22,경기도,광명시,소하동,0022-Y-0001,구름산초등학교,광명경찰서,126.885107258,37.452481318,2021-10-26
23,경기도,광명시,하안동,0023-Y-0001,안현초등학교,광명경찰서,126.867922322,37.471309981,2021-11-16
43,경기도,광명시,광명동,0043-Y-0001,예크어린이집,광명경찰서,126.854734374,37.469574607,2021-10-26
43,경기도,광명시,광명동,0043-Y-0002,예크어린이집,광명경찰서,126.854614594,37.469760069,2021-10-26
43,경기도,광명시,광명동,0043-Y-0003,예크어린이집,광명경찰서,126.854739894,37.469807815,2021-10-26
13,경기도,광명시,광명동,0013-Y-0001,광문초등학교,광명경찰서,126.851157376,37.467077046,2021-10-26
7,경기도,광명시,광명동,0007-Y-0001,광명서초등학교,광명경찰서,126.846213218,37.477879436,2021-10-18
7,경기도,광명시,광명동,0007-Y-0002,광명서초등학교,광명경찰서,126.846176932,37.477750389,2021-10-18
25,경기도,광명시,일직동,0025-Y-0001,빛가온초등학교,광명경찰서,126.881357095,37.415186811,2021-11-26
5,경기도,광명시,소하동,0005-Y-0001,서면초등학교,광명경찰서,126.879487468,37.438388771,2021-11-26
19,경기도,광명시,하안동,0019-Y-0001,하일초등학교,광명경찰서,126.876165978,37.46912636,2021-10-25
9,경기도,광명시,철산동,0009-Y-0001,광성초등학교,광명경찰서,126.872601435,37.477766038,2021-11-24
9,경기도,광명시,철산동,0009-Y-0002,광성초등학교,광명경찰서,126.872311965,37.478253926,2021-11-24
9,경기도,광명시,철산동,0009-Y-0003,광성초등학교,광명경찰서,126.872166686,37.478207432,2021-11-24
9,경기도,광명시,철산동,0009-Y-0004,광성초등학교,광명경찰서,126.872830839,37.477318263,2021-11-25
22,경기도,광명시,소하동,0022-Y-0003,구름산초등학교,광명경찰서,126.884782086,37.453386881,2021-12-29
24,경기도,광명시,소하동,0024-Y-0001,충현초등학교,광명경찰서,126.885361401,37.433109986,2021-12-29
22,경기도,광명시,소하동,0022-Y-0002,구름산초등학교,광명경찰서,126.884867324,37.452743573,2021-12-29

