보호구역 아이디,시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,관리번호,횡단보도종류,자전거횡단도겸용여부,고원식 적용여부,경도,위도,차로수,횡단보도폭,횡단보도연장,보행자신호등유무,보행자작동신호기유무,음향신호기설치여부,녹색신호시간,적색신호시간,교통섬유무,보도턱낮춤여부,점자블록유무,집중조명시설유무,관리기관명,관리기관 전화번호,데이터기준일자
37,경기도,광명시,밤일안로,경기도 광명시 밤일안로42번길 37,경기도 광명시 하안동 463,0037-W-0001,1,N,N,126.860487293,37.453277645,1,4,6,N,N,N,30,60,N,N,N,N,광명경찰서,182,2021-11-23
18,경기도,광명시,가학로,경기도 광명시 가학로 247-55,경기도 광명시 가학동 1053-2,0018-W-0001,1,N,N,126.872136055,37.402013566,2,4,9,Y,N,Y,20,70,N,Y,Y,Y,광명경찰서,182,2021-11-23
18,경기도,광명시,가학로,경기도 광명시 가학로 247-55,경기도 광명시 가학동 1053-2,0018-W-0002,1,N,N,126.872033203,37.402059291,2,4,9,N,N,N,30,60,N,N,N,N,광명경찰서,182,2021-11-23
6,경기도,광명시,범안로,경기도 광명시 범안로 657,경기도 광명시 노온사동 361-2,0006-W-0001,1,N,N,126.84576679,37.44209734,2,4,9,Y,N,Y,20,70,N,Y,Y,Y,광명경찰서,182,2021-11-23
6,경기도,광명시,범안로,경기도 광명시 범안로 657,경기도 광명시 노온사동 361-2,0006-W-0002,1,N,N,126.845595844,37.442697366,2,4,9,Y,N,Y,20,70,N,Y,Y,Y,광명경찰서,182,2021-11-23
6,경기도,광명시,범안로,경기도 광명시 범안로 657,경기도 광명시 노온사동 361-2,0006-W-0003,1,N,N,126.845456965,37.442762764,2,4,9,Y,N,Y,20,70,N,Y,Y,Y,광명경찰서,182,2021-11-23
6,경기도,광명시,범안로,경기도 광명시 범안로 657,경기도 광명시 노온사동 361-2,0006-W-0004,1,N,N,126.84556534,37.442841001,2,4,9,Y,N,Y,20,70,N,Y,Y,Y,광명경찰서,182,2021-11-23
43,경기도,광명시,도덕로,경기도 광명시 도덕로 78,경기도 광명시 광명동 732-1,0043-W-0001,1,N,Y,126.853953392,37.469317261,4,4,22,Y,Y,Y,25,50,N,Y,Y,Y,광명경찰서,182,2021-10-26
43,경기도,광명시,도덕로,경기도 광명시 도덕로 78,경기도 광명시 광명동 732-1,0043-W-0002,1,N,N,126.854686486,37.46967029,4,4,20,N,N,N,30,60,N,Y,Y,N,광명경찰서,182,2021-10-26
43,경기도,광명시,도덕로,경기도 광명시 도덕로 78,경기도 광명시 광명동 732-1,0043-W-0003,1,N,Y,126.855963491,37.47022084,4,4,20,Y,Y,Y,25,50,N,Y,N,N,광명경찰서,182,2021-10-26
43,경기도,광명시,도덕로,경기도 광명시 도덕로 78,경기도 광명시 광명동 732-1,0043-W-0004,1,N,Y,126.856356625,37.470184843,4,4,19,N,N,N,30,60,N,Y,Y,Y,광명경찰서,182,2021-10-26
36,경기도,광명시,광이로,경기도 광명시 광이로 9-2,경기도 광명시 광명동 156-11,0036-W-0001,1,N,N,126.857990204,37.479643474,1,4,7,N,N,N,30,60,N,Y,N,N,광명경찰서,182,2021-10-26
1,경기도,광명시,광이로,경기도 광명시 광이로 21,경기도 광명시 광명동 135-1,0001-W-0001,1,N,N,126.858021164,37.479719585,1,4,8,N,N,N,30,60,N,Y,N,N,광명경찰서,182,2021-10-26
1,경기도,광명시,광이로,경기도 광명시 광이로 21,경기도 광명시 광명동 135-1,0001-W-0002,1,N,N,126.858294759,37.48031534,1,4,8,N,N,N,30,60,N,Y,N,N,광명경찰서,182,2021-10-26
1,경기도,광명시,광이로,경기도 광명시 광이로 21,경기도 광명시 광명동 135-1,0001-W-0004,1,N,N,126.858493024,37.480747055,1,4,8,N,N,N,30,60,N,Y,N,Y,광명경찰서,182,2021-10-26
1,경기도,광명시,광이로,경기도 광명시 광이로 21,경기도 광명시 광명동 135-1,0001-W-0003,1,N,N,126.858592942,37.480782982,1,4,6,N,N,N,30,60,N,Y,N,Y,광명경찰서,182,2021-10-26
1,경기도,광명시,광이로,경기도 광명시 광이로 21,경기도 광명시 광명동 135-1,0001-W-0006,1,N,N,126.858554643,37.480843236,1,4,8,N,N,N,30,60,N,Y,N,Y,광명경찰서,182,2021-10-26
1,경기도,광명시,광이로,경기도 광명시 광이로 21,경기도 광명시 광명동 135-1,0001-W-0005,1,N,N,126.858475388,37.480818146,1,4,8,N,N,N,30,60,N,Y,N,N,광명경찰서,182,2021-10-26
1,경기도,광명시,광이로,경기도 광명시 광이로 21,경기도 광명시 광명동 135-1,0001-W-0007,1,N,N,126.857504777,37.481095916,1,4,8,N,N,N,30,60,N,Y,N,Y,광명경찰서,182,2021-10-26
2,경기도,광명시,광명로,경기도 광명시 광명로 866-9,경기도 광명시 광명동 295-58,0002-W-0001,1,N,N,126.852948856,37.47630324,6,4,24,Y,Y,Y,30,120,N,Y,Y,N,광명경찰서,182,2021-10-18
2,경기도,광명시,광명로,경기도 광명시 광명로 866-9,경기도 광명시 광명동 295-58,0002-W-0002,1,N,N,126.853580632,37.477506122,6,4,24,Y,Y,Y,30,120,N,Y,Y,N,광명경찰서,182,2021-10-18
7,경기도,광명시,너부대로,경기도 광명시 너부대로 5,경기도 광명시 광명동 219,0007-W-0003,1,N,Y,126.84651478,37.477622036,1,4,11,N,N,N,30,60,N,Y,Y,N,광명경찰서,182,2021-10-18
7,경기도,광명시,너부대로,경기도 광명시 너부대로 5,경기도 광명시 광명동 219,0007-W-0004,1,N,Y,126.84618085,37.477832202,1,4,12,N,N,N,30,60,N,Y,Y,N,광명경찰서,182,2021-10-18
7,경기도,광명시,너부대로,경기도 광명시 너부대로 5,경기도 광명시 광명동 219,0007-W-0002,1,N,N,126.847390822,37.477300432,1,4,10,N,N,N,30,60,N,Y,Y,Y,광명경찰서,182,2021-10-18
7,경기도,광명시,너부대로,경기도 광명시 너부대로 5,경기도 광명시 광명동 219,0007-W-0001,1,N,N,126.846271067,37.478747534,1,4,8,N,N,N,30,60,N,Y,Y,Y,광명경찰서,182,2021-10-18
3,경기도,광명시,목감로,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,0003-W-0001,1,N,N,126.846658033,37.470510948,1,4,6,N,N,N,30,60,N,Y,N,Y,광명경찰서,182,2021-10-26
3,경기도,광명시,목감로,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,0003-W-0002,1,N,Y,126.845649198,37.471168441,1,4,9,N,N,N,30,60,N,Y,Y,N,광명경찰서,182,2021-10-26
3,경기도,광명시,목감로,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,0003-W-0004,1,N,N,126.84655532,37.4721083,1,4,7,N,N,N,30,60,N,Y,Y,N,광명경찰서,182,2021-10-26
3,경기도,광명시,목감로,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,0003-W-0005,1,N,N,126.846534375,37.472224939,1,4,12,N,N,N,30,60,N,Y,Y,N,광명경찰서,182,2021-10-26
3,경기도,광명시,목감로,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,0003-W-0006,1,N,N,126.846671572,37.472126703,1,4,12,N,N,N,30,60,N,Y,Y,N,광명경찰서,182,2021-10-26
