연번,위도,경도,보호구역아이디,시도명,시군구명,대상시설명,관할경찰서명,데이터기준일자,이미지명,비고
"1",37.4390890000,127.1679330000,성남-01-001,경기도,성남시 중원구,중원초등학교,성남중원경찰서,"2022-08-11",성남-01-001-F-01.jpeg,""
"2",37.4378120000,127.1668790000,성남-01-001,경기도,성남시 중원구,중원초등학교,성남중원경찰서,"2022-08-11",성남-01-001-F-02.jpeg,""
"3",37.4471410000,127.1690390000,성남-01-002,경기도,성남시 중원구,하원초등학교,성남중원경찰서,"2022-08-25",성남-01-002-F-01.jpeg,""
"4",37.4474620000,127.1706610000,성남-01-002,경기도,성남시 중원구,하원초등학교,성남중원경찰서,"2022-08-25",성남-01-002-F-02.jpeg,""
"5",37.4475870000,127.1712290000,성남-01-002,경기도,성남시 중원구,하원초등학교,성남중원경찰서,"2022-08-25",성남-01-002-F-03.jpeg,""
"6",37.4464680000,127.1691450000,성남-01-002,경기도,성남시 중원구,하원초등학교,성남중원경찰서,"2022-08-25",성남-01-002-F-04.jpeg,""
"7",37.4459220000,127.1686120000,성남-01-002,경기도,성남시 중원구,하원초등학교,성남중원경찰서,"2022-08-25",성남-01-002-F-05.jpeg,""
"8",37.4469410000,127.1687330000,성남-01-002,경기도,성남시 중원구,하원초등학교,성남중원경찰서,"2022-08-25",성남-01-002-F-06.jpeg,""
"9",37.4468080000,127.1681170000,성남-01-002,경기도,성남시 중원구,하원초등학교,성남중원경찰서,"2022-08-25",성남-01-002-F-07.jpeg,""
"10",37.4502730000,127.1660210000,성남-01-003,경기도,성남시 중원구,중부초등학교,성남중원경찰서,"2022-08-25",성남-01-003-F-01.jpeg,""
"11",37.4505520000,127.1660490000,성남-01-003,경기도,성남시 중원구,중부초등학교,성남중원경찰서,"2022-08-25",성남-01-003-F-02.jpeg,""
"12",37.4512080000,127.1672260000,성남-01-003,경기도,성남시 중원구,중부초등학교,성남중원경찰서,"2022-08-25",성남-01-003-F-03.jpeg,""
"13",37.4509710000,127.1661970000,성남-01-003,경기도,성남시 중원구,중부초등학교,성남중원경찰서,"2022-08-25",성남-01-003-F-04.jpeg,""
"14",37.4513140000,127.1655870000,성남-01-003,경기도,성남시 중원구,중부초등학교,성남중원경찰서,"2022-08-25",성남-01-003-F-05.jpeg,""
