연번,위도,경도,보호구역아이디,시도명,시군구명,대상시설명,관할경찰서명,데이터기준일자,이미지명,비고
"1",37.4384890000,127.1683820000,성남-01-001,경기도,성남시 중원구,중원초등학교,성남중원경찰서,"2022-08-11",성남-01-001-C-01.jpeg,""
"2",37.4390750000,127.1680280000,성남-01-001,경기도,성남시 중원구,중원초등학교,성남중원경찰서,"2022-08-11",성남-01-001-C-02.jpeg,""
"3",37.4390390000,127.1680390000,성남-01-001,경기도,성남시 중원구,중원초등학교,성남중원경찰서,"2022-08-11",성남-01-001-C-03.jpeg,""
"4",37.4390230000,127.1677790000,성남-01-001,경기도,성남시 중원구,중원초등학교,성남중원경찰서,"2022-08-11",성남-01-001-C-04.jpeg,""
"5",37.4385450000,127.1665580000,성남-01-001,경기도,성남시 중원구,중원초등학교,성남중원경찰서,"2022-08-11",성남-01-001-C-05.jpeg,""
"6",37.4384910000,127.1665240000,성남-01-001,경기도,성남시 중원구,중원초등학교,성남중원경찰서,"2022-08-11",성남-01-001-C-06.jpeg,""
"7",37.4383920000,127.1665830000,성남-01-001,경기도,성남시 중원구,중원초등학교,성남중원경찰서,"2022-08-11",성남-01-001-C-07.jpeg,""
"8",37.4381710000,127.1667120000,성남-01-001,경기도,성남시 중원구,중원초등학교,성남중원경찰서,"2022-08-11",성남-01-001-C-08.jpeg,""
"9",37.4375080000,127.1671090000,성남-01-001,경기도,성남시 중원구,중원초등학교,성남중원경찰서,"2022-08-11",성남-01-001-C-09.jpeg,""
"10",37.4369520000,127.1674610000,성남-01-001,경기도,성남시 중원구,중원초등학교,성남중원경찰서,"2022-08-11",성남-01-001-C-10.jpeg,""
"11",37.4471510000,127.1687780000,성남-01-002,경기도,성남시 중원구,하원초등학교,성남중원경찰서,"2022-08-25",성남-01-002-C-01.jpeg,""
"12",37.4472850000,127.1695290000,성남-01-002,경기도,성남시 중원구,하원초등학교,성남중원경찰서,"2022-08-25",성남-01-002-C-02.jpeg,""
"13",37.4473030000,127.1696110000,성남-01-002,경기도,성남시 중원구,하원초등학교,성남중원경찰서,"2022-08-25",성남-01-002-C-03.jpeg,""
"14",37.4473660000,127.1696650000,성남-01-002,경기도,성남시 중원구,하원초등학교,성남중원경찰서,"2022-08-25",성남-01-002-C-04.jpeg,""
"15",37.4473590000,127.1699170000,성남-01-002,경기도,성남시 중원구,하원초등학교,성남중원경찰서,"2022-08-25",성남-01-002-C-05.jpeg,""
"16",37.4478710000,127.1723110000,성남-01-002,경기도,성남시 중원구,하원초등학교,성남중원경찰서,"2022-08-25",성남-01-002-C-06.jpeg,""
"17",37.4470380000,127.1693560000,성남-01-002,경기도,성남시 중원구,하원초등학교,성남중원경찰서,"2022-08-25",성남-01-002-C-07.jpeg,""
"18",37.4468650000,127.1690480000,성남-01-002,경기도,성남시 중원구,하원초등학교,성남중원경찰서,"2022-08-25",성남-01-002-C-08.jpeg,""
"19",37.4458210000,127.1693230000,성남-01-002,경기도,성남시 중원구,하원초등학교,성남중원경찰서,"2022-08-25",성남-01-002-C-09.jpeg,""
"20",37.4460310000,127.1692380000,성남-01-002,경기도,성남시 중원구,하원초등학교,성남중원경찰서,"2022-08-25",성남-01-002-C-10.jpeg,""
"21",37.4457450000,127.1679440000,성남-01-002,경기도,성남시 중원구,하원초등학교,성남중원경찰서,"2022-08-25",성남-01-002-C-11.jpeg,""
"22",37.4457830000,127.1678530000,성남-01-002,경기도,성남시 중원구,하원초등학교,성남중원경찰서,"2022-08-25",성남-01-002-C-12.jpeg,""
"23",37.4469210000,127.1688190000,성남-01-002,경기도,성남시 중원구,하원초등학교,성남중원경찰서,"2022-08-25",성남-01-002-C-13.jpeg,""
"24",37.4469730000,127.1690540000,성남-01-002,경기도,성남시 중원구,하원초등학교,성남중원경찰서,"2022-08-25",성남-01-002-C-14.jpeg,""
"25",37.4467610000,127.1680820000,성남-01-002,경기도,성남시 중원구,하원초등학교,성남중원경찰서,"2022-08-25",성남-01-002-C-15.jpeg,""
"26",37.4501080000,127.1660520000,성남-01-003,경기도,성남시 중원구,중부초등학교,성남중원경찰서,"2022-08-25",성남-01-003-C-01.jpeg,""
"27",37.4508450000,127.1660960000,성남-01-003,경기도,성남시 중원구,중부초등학교,성남중원경찰서,"2022-08-25",성남-01-003-C-02.jpeg,""
"28",37.4512750000,127.1674190000,성남-01-003,경기도,성남시 중원구,중부초등학교,성남중원경찰서,"2022-08-25",성남-01-003-C-03.jpeg,""
"29",37.4509660000,127.1660430000,성남-01-003,경기도,성남시 중원구,중부초등학교,성남중원경찰서,"2022-08-25",성남-01-003-C-04.jpeg,""
"30",37.4509130000,127.1656470000,성남-01-003,경기도,성남시 중원구,중부초등학교,성남중원경찰서,"2022-08-25",성남-01-003-C-05.jpeg,""
"31",37.4509890000,127.1661220000,성남-01-003,경기도,성남시 중원구,중부초등학교,성남중원경찰서,"2022-08-25",성남-01-003-C-06.jpeg,""
"32",37.4507570000,127.1660080000,성남-01-003,경기도,성남시 중원구,중부초등학교,성남중원경찰서,"2022-08-25",성남-01-003-C-07.jpeg,""
"33",37.4514180000,127.1655210000,성남-01-003,경기도,성남시 중원구,중부초등학교,성남중원경찰서,"2022-08-25",성남-01-003-C-08.jpeg,""
"34",37.4509810000,127.1657290000,성남-01-003,경기도,성남시 중원구,중부초등학교,성남중원경찰서,"2022-08-25",성남-01-003-C-09.jpeg,""
"35",37.4508550000,127.1654150000,성남-01-003,경기도,성남시 중원구,중부초등학교,성남중원경찰서,"2022-08-25",성남-01-003-C-10.jpeg,""
"36",37.4507880000,127.1651070000,성남-01-003,경기도,성남시 중원구,중부초등학교,성남중원경찰서,"2022-08-25",성남-01-003-C-11.jpeg,""
"37",37.4501020000,127.1625090000,성남-01-003,경기도,성남시 중원구,중부초등학교,성남중원경찰서,"2022-08-25",성남-01-003-C-12.jpeg,""
"38",37.4501060000,127.1625320000,성남-01-003,경기도,성남시 중원구,중부초등학교,성남중원경찰서,"2022-08-25",성남-01-003-C-13.jpeg,""
"39",37.4504820000,127.1643630000,성남-01-003,경기도,성남시 중원구,중부초등학교,성남중원경찰서,"2022-08-25",성남-01-003-C-14.jpeg,""
"40",37.4498380000,127.1663230000,성남-01-003,경기도,성남시 중원구,중부초등학교,성남중원경찰서,"2022-08-25",성남-01-003-C-15.jpeg,""
"41",37.4500580000,127.1662440000,성남-01-003,경기도,성남시 중원구,중부초등학교,성남중원경찰서,"2022-08-25",성남-01-003-C-16.jpeg,""
"42",37.4500310000,127.1662580000,성남-01-003,경기도,성남시 중원구,중부초등학교,성남중원경찰서,"2022-08-25",성남-01-003-C-17.jpeg,""
"43",37.4428420000,127.1809510000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-C-01.jpeg,""
"44",37.4427360000,127.1812020000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-C-02.jpeg,""
"45",37.4427360000,127.1812160000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-C-03.jpeg,""
"46",37.4434930000,127.1812240000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-C-04.jpeg,""
"47",37.4439210000,127.1797110000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-C-05.jpeg,""
"48",37.4425210000,127.1790810000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-C-06.jpeg,""
"49",37.4425090000,127.1793030000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-C-07.jpeg,""
"50",37.4415630000,127.1792110000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-C-08.jpeg,""
"51",37.4416110000,127.1790470000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-C-09.jpeg,""
"52",37.4414940000,127.1789620000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-C-10.jpeg,""
"53",37.4428610000,127.1805840000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-C-11.jpeg,""
"54",37.4428610000,127.1805690000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-C-12.jpeg,""
"55",37.4428540000,127.1805840000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-C-13.jpeg,""
"56",37.4427910000,127.1794340000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-C-14.jpeg,""
"57",37.4424440000,127.1804310000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-C-15.jpeg,""
"58",37.4421260000,127.1805450000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-C-16.jpeg,""
"59",37.4414510000,127.1804420000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-C-17.jpeg,""
"60",37.4414460000,127.1804590000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-C-18.jpeg,""
"61",37.4414510000,127.1804140000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-C-19.jpeg,""
"62",37.4413710000,127.1795270000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-C-20.jpeg,""
"63",37.4407250000,127.1791040000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-C-21.jpeg,""
"64",37.4416640000,127.1780830000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-C-22.jpeg,""
"65",37.4140170000,127.1568340000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-C-01.jpeg,""
"66",37.4137580000,127.1583320000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-C-02.jpeg,""
"67",37.4142740000,127.1587180000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-C-03.jpeg,""
"68",37.4148340000,127.1591320000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-C-04.jpeg,""
"69",37.4150860000,127.1593070000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-C-05.jpeg,""
"70",37.4146580000,127.1592050000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-C-06.jpeg,""
"71",37.4142240000,127.1589330000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-C-07.jpeg,""
"72",37.4133920000,127.1590010000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-C-08.jpeg,""
"73",37.4138520000,127.1586410000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-C-09.jpeg,""
"74",37.4137410000,127.1585530000,성남-01-005,경기도,성남시 중원구,도촌초등학교,성남중원경찰서,"2022-08-04",성남-01-005-C-10.jpeg,""
"75",37.3342960000,127.1182970000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-C-01.jpeg,""
"76",37.3356420000,127.1175820000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-C-02.jpeg,""
"77",37.3356780000,127.1175540000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-C-03.jpeg,""
"78",37.3359530000,127.1177380000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-C-04.jpeg,""
"79",37.3359560000,127.1177350000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-C-05.jpeg,""
"80",37.3355690000,127.1180640000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-C-06.jpeg,""
"81",37.3365820000,127.1169820000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-C-07.jpeg,""
"82",37.3364040000,127.1166920000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-C-08.jpeg,""
