무인교통단속카메라관리번호,시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자
수정신흥1-D-1,경기도,성남시,기타,,시민로,3,"경기도 성남시 수정구 시민로 165 (신흥동, 샤르망)",경기도 성남시 수정구 신흥동 5180,37.442751,127.142565,샤르망아파트,4,0,,,2,2006,경기도 성남시청,031-729-8743,2025-11-11
수정신흥1-D-2,경기도,성남시,기타,,수정로,3,경기도 성남시 수정구 수정로 168 (신흥동),경기도 성남시 수정구 신흥동 5528,37.44273,127.138668,성남중앙신협본점,4,0,,,,2006,경기도 성남시청,031-729-8743,2025-11-11
수정신흥1-D-3,경기도,성남시,기타,,산성대로,3,경기도 성남시 수정구 산성대로 217 (신흥동),경기도 성남시 수정구 신흥동 6912,37.438597,127.141886,SK엔크린 LPG,4,0,,,,2006,경기도 성남시청,031-729-8743,2025-11-11
수정신흥2-D-1,경기도,성남시,기타,,희망로,3,경기도 성남시 수정구 희망로 527 (신흥동),경기도 성남시 수정구 신흥동 139-3,37.450373,127.151741,수정노인종합복지관 주차장입구,4,0,,,2,2009,경기도 성남시청,031-729-8743,2025-11-11
수정신흥2-D-2,경기도,성남시,기타,,수정로,3,경기도 성남시 수정구 수정로 287,경기도 성남시 수정구 신흥2동 30-2,37.450341,127.14645,산성역자이2단지,4,0,,,,2020,경기도 성남시청,031-729-8743,2025-11-11
수정신흥2-D-3,경기도,성남시,기타,,수정로,3,경기도 성남시 수정구 수정로 318 앞,경기도 성남시 수정구 신흥2동 125,37.45043,127.14674,교통섬,4,0,,,,2020,경기도 성남시청,031-729-8743,2025-11-11
수정신흥2-D-4,경기도,성남시,기타,,수정로,3,,경기도 성남시 수정구 신흥동 464,37.448539,127.152126,산성역자이푸르지오3단지,4,0,,,2,2024,경기도 성남시청,031-729-8743,2025-11-11
수정신흥2-D-5,경기도,성남시,기타,,수정로,3,,경기도 성남시 수정구 신흥동 248,37.449985,127.15023,산성역자이푸르지오 4단지 인근 사거리,4,0,,,2,2024,경기도 성남시청,031-729-8743,2025-11-11
수정신흥2-D-6,경기도,성남시,기타,,수정로,3,,경기도 성남시 수정구 신흥동 941,37.449971,127.147145,산성역자이푸르지오 2단지 출입구,4,0,,,,2024,경기도 성남시청,031-729-8743,2025-11-11
수정신흥2-D-7,경기도,성남시,기타,,공원로,3,,경기도 성남시 수정구 신흥동 2015,37.44555,127.148825,두산아파트앞 사거리,4,0,,,2,2024,경기도 성남시청,031-729-8743,2025-11-11
수정신흥2-D-8,경기도,성남시,기타,,희망로,3,,경기도 성남시 수정구 신흥동 148,37.450312,127.151898,성남혜은학교 앞 버스정류장,4,0,,,2,2024,경기도 성남시청,031-729-8743,2025-11-11
수정신흥2-D-9,경기도,성남시,기타,,수정로,3,,경기도 성남시 수정구 신흥동 185,37.450807,127.148757,신흥2동행정복지센터 인근 삼거리,4,0,,,2,2024,경기도 성남시청,031-729-8743,2025-11-11
수정신흥2-D-10,경기도,성남시,기타,,수정로,3,,경기도 성남시 수정구 신흥동 1741-25,37.448262,127.145517,산성역자이푸르지오 1단지 출입구,4,0,,,,2024,경기도 성남시청,031-729-8743,2025-11-11
