시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,신호기설치방식,도로형태,주도로여부,신호등관리번호,신호등구분,신호등색종류,신호등화방식,신호등화순서,신호등화시간,광원종류,신호제어방식,신호시간결정방식,점멸등운영여부,점멸등운영시작시각,점멸등운영종료시각,보행자작동신호기유무,잔여시간표시기유무,시각장애인용음향신호기유무,도로안내표지일련번호,관리기관명,관리기관전화번호,데이터기준일자
경기도,성남시 수정구,시도,,성남대로,3,,경기도 성남시 수정구 수진동 4588,37.436497,127.127947,3,1,Y,101001,1,3,3,녹색+황색+적색,147+3+50,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,성남대로,3,,경기도 성남시 수정구 수진동 4538,37.439361,127.127421,3,2,Y,101002,1,4,5,녹색+황색+적색/녹색화살표+적색/황색+적색,67+3+27+3+90,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,성남대로,3,,경기도 성남시 수정구 태평동 6812,37.442287,127.126662,3,2,Y,101003,1,4,4,녹색+녹색/녹색화살표+황색+적색,90+42+3+65,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,성남대로,3,,경기도 성남시 수정구 태평동 6111,37.443818,127.127355,3,2,Y,101004,1,4,5,녹색+황색+적색/녹색화살표+적색/황색+적색,107+3+42+3+55,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,성남대로,3,,경기도 성남시 수정구 태평동 7138-3,37.447842,127.126239,3,2,Y,101005,1,4,5,녹색+황색+적색/녹색화살표+적색/황색+적색,127+3+44+3+23,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,성남대로,3,,경기도 성남시 수정구 복정동 624-1,37.451235,127.129394,3,2,Y,101006,1,4,5,녹색+황색+적색/녹색화살표+적색/황색+적색,127+3+49+3+18,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,성남대로,3,,경기도 성남시 수정구 복정동 713,37.453486,127.126978,3,1,Y,101007,1,3,3,녹색+황색+적색,97+3+50,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,성남대로,3,,경기도 성남시 수정구 복정동 693,37.456115,127.126816,3,2,Y,101008,1,4,4,녹색+녹색/녹색화살표+황색+적색,130+17+3+50,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,성남대로,3,,경기도 성남시 수정구 복정동 446-19,37.460106,127.125580,3,2,Y,101009,1,4,5,녹색+황색+적색/녹색화살표+적색/황색+적색,92+3+22+3+80,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,성남대로,3,,경기도 성남시 수정구 복정동 268-12,37.465628,127.126083,3,2,Y,101010,1,4,4,녹색+녹색/녹색화살표+황색+적색,40+72+3+85,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
