시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
어린이집,시립팽성남산어린이집,경기도 평택시 팽성읍 팽성남산4길 6,경기도 평택시 팽성읍 남산리 406-21,36.957647,127.059532,경기도 평택시청,평택경찰서,Y,3,,2025-07-01
어린이집,성남어린이집,경기도 성남시 수정구 시민로222번길 6,경기도 성남시 수정구 태평동 7292,37.447702,127.141485,경기도 성남시청,성남수정경찰서,Y,1,,2025-11-11
특수학교,성남혜은학교,경기도 성남시 수정구 희망로518번길 8,경기도 성남시 수정구 단대동 192,37.450396,127.153922,경기도 성남시청,성남수정경찰서,Y,4,,2025-11-11
초등학교,성남동초등학교,경기도 성남시 중원구 자혜로 32번길 10,경기도 성남시 중원구 금광동 3365,37.449215,127.162178,경기도 성남시청,성남중원경찰서,Y,5,,2025-11-11
초등학교,성남매송초등학교,경기도 성남시 분당구 탄천로 97,경기도 성남시 분당구 이매동 136,37.402183,127.122403,경기도 성남시청,분당경찰서,Y,3,,2025-11-11
초등학교,성남정자초등학교,경기도 성남시 분당구 분당수서로 442,경기도 성남시 분당구 정자동 6-2,37.374517,127.104912,경기도 성남시청,분당경찰서,Y,2,,2025-11-11
초등학교,성남화랑초등학교,경기도 성남시 분당구 동판교로 77,경기도 성남시 분당구 백현동 547,37.390224,127.115888,경기도 성남시청,분당경찰서,Y,1,,2025-11-11
초등학교,성남중앙초등학교,경기도 성남시 중원구 원터로 94번길 7,경기도 성남시 중원구 성남동 2580,37.436255,127.143529,경기도 성남시청,성남중원경찰서,Y,5,,2025-11-11
초등학교,성남제일초등학교,경기도 성남시 중원구 광명로 184번길 23,경기도 성남시 중원구 중앙동 2970,37.438906,127.149609,경기도 성남시청,성남중원경찰서,Y,2,,2025-11-11
초등학교,성남북초등학교,경기도 성남시 수정구 희망로534번길 3,경기도 성남시 수정구 산성동 2137,37.451500,127.151474,경기도 성남시청,성남수정경찰서,Y,6,,2025-11-11
초등학교,성남수정초등학교,경기도 성남시 수정구 제일로 123번길 9,경기도 성남시 수정구 수진동 4347,37.436212,127.132786,경기도 성남시청,성남수정경찰서,Y,6,,2025-11-11
초등학교,성남서초등학교,경기도 성남시 수정구 태평로 19,경기도 성남시 수정구 태평동 5090-1,37.448545,127.129403,경기도 성남시청,성남수정경찰서,Y,4,,2025-11-11
초등학교,성남신흥초등학교,경기도 성남시 수정구 공원로 436번길 17,경기도 성남시 수정구 신흥동 47-3,37.450552,127.143485,경기도 성남시청,성남수정경찰서,Y,2,,2025-11-11
초등학교,성남양지초등학교,경기도 성남시 수정구 논골로 36번길 33,경기도 성남시 수정구 양지동 386,37.459218,127.160884,경기도 성남시청,성남수정경찰서,Y,3,,2025-11-11
초등학교,성남장안초등학교,경기도 성남시 분당구 장안로 51번길 10,경기도 성남시 분당구 분당동 91,37.372662,127.144459,경기도 성남시청,분당경찰서,Y,3,,2025-11-11
초등학교,성남여수초등학교,경기도 성남시 중원구 여수울로 37,경기도 성남시 중원구 여수동 577,37.419449,127.133081,경기도 성남시청,성남중원경찰서,Y,5,,2025-11-11
초등학교,성남은행초등학교,경기도 성남시 중원구 순환로 447번길 11,경기도 성남시 중원구 은행동 652,37.461002,127.170901,경기도 성남시청,성남중원경찰서,Y,4,,2025-11-11
초등학교,성남송현초등학교,경기도 성남시 분당구 동판교로 258,경기도 성남시 분당구 삼평동 710,37.405458,127.116346,경기도 성남시청,분당경찰서,Y,5,,2025-11-11
초등학교,성남신기초등학교,경기도 성남시 분당구 황새울로 74,경기도 성남시 분당구 정자동 89,37.366582,127.111060,경기도 성남시청,분당경찰서,Y,3,,2025-11-11
초등학교,성남초등학교,경기도 성남시 수정구 수정로 233,경기도 성남시 수정구 태평동 7326,37.446085,127.144145,경기도 성남시청,성남수정경찰서,Y,4,,2025-11-11
어린이집,성남생명숲어린이집,경기도 성남시 분당구 내정로119번길 2,경기도 성남시 분당구 정자동 52,37.371025,127.115253,경기도 성남시청,분당경찰서,Y,1,,2025-11-11

