시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
초등학교,광주광명초등학교,경기도 광주시 문형산길 7,경기도 광주시 신현동 365번지,37.35960841,127.1608022,경기도 광주시청,경기광주경찰서,Y,,,2026-01-28
초등학교,양벌초등학교,경기도 광주시 양벌로 195-15,경기도 광주시 양벌동 290-20번지,37.37921357,127.2562011,경기도 광주시청,경기광주경찰서,Y,,,2026-01-28
초등학교,오포초등학교,경기도 광주시 추자길 28-7,경기도 광주시 추자동 500번지,37.36109191,127.2155591,경기도 광주시청,경기광주경찰서,Y,,,2026-01-28
초등학교,광주매곡초등학교,경기도 광주시 양벌로 303-5,경기도 광주시 양벌동 557-1번지,37.37247775,127.2483189,경기도 광주시청,경기광주경찰서,Y,,,2026-01-28
초등학교,광주도평초등학교,경기도 광주시 초월읍 현산로 89-16,경기도 광주시 초월읍 도평리 219-10번지,37.39642361,127.2893617,경기도 광주시청,경기광주경찰서,Y,,,2026-01-28
초등학교,도곡초등학교,경기도 광주시 초월읍 경충대로 1033-13,경기도 광주시 초월읍 쌍동리 182번지,37.37087265,127.2996044,경기도 광주시청,경기광주경찰서,Y,,,2026-01-28
초등학교,선동초등학교,경기도 광주시 초월읍 동막골길 5,경기도 광주시 초월읍 선동리 274-9번지,37.37809776,127.3175471,경기도 광주시청,경기광주경찰서,Y,,,2026-01-28
초등학교,곤지암초등학교,경기도 광주시 곤지암읍 곤지암로 70-13,경기도 광주시 곤지암읍 곤지암리 453-2번지,37.34966605,127.3381324,경기도 광주시청,경기광주경찰서,Y,,,2026-01-28
초등학교,만선초등학교,경기도 광주시 곤지암읍 상탑길 9,경기도 광주시 곤지암읍 만선리 8-4번지,37.36640135,127.4111207,경기도 광주시청,경기광주경찰서,Y,,,2026-01-28
초등학교,도궁초등학교,경기도 광주시 도척면 도척윗로 270,경기도 광주시 도척면 도웅리 125번지,37.33465201,127.312489,경기도 광주시청,경기광주경찰서,Y,,,2026-01-28
초등학교,도수초등학교,경기도 광주시 퇴촌면 도수길 11,경기도 광주시 퇴촌면 도수리 605-1번지,37.47181284,127.3182693,경기도 광주시청,경기광주경찰서,Y,,,2026-01-28
초등학교,광지원초등학교,경기도 광주시 남한산성면 회안대로 1386,경기도 광주시 남한산성면 광지원리 209-1번지,37.46389607,127.2517359,경기도 광주시청,경기광주경찰서,Y,,,2026-01-28
초등학교,남한산초등학교,경기도 광주시 남한산성면 남한산성로 770,경기도 광주시 남한산성면 산성리 373번지,37.47868193,127.1860788,경기도 광주시청,경기광주경찰서,Y,,,2026-01-28
초등학교,경안초등학교,경기도 광주시 경안로 163,경기도 광주시 경안동 152-101번지,37.41151823,127.2477602,경기도 광주시청,경기광주경찰서,Y,,,2026-01-28
초등학교,탄벌초등학교,경기도 광주시 이배재로 20-12,경기도 광주시 탄벌동 27-44번지,37.42011267,127.248563,경기도 광주시청,경기광주경찰서,Y,,,2026-01-28
초등학교,광남초등학교,경기도 광주시 고불로46번길 15,경기도 광주시 중대동 16-66번지,37.39401569,127.2304609,경기도 광주시청,경기광주경찰서,Y,,,2026-01-28
유치원,양벌한솔유치원,경기도 광주시 양벌로 145-10,경기도 광주시 양벌동 249-3번지,37.38401003,127.2551939,경기도 광주시청,경기광주경찰서,Y,,,2026-01-28
유치원,하은유치원,경기도 광주시 행정타운로138번길 1-19,경기도 광주시 회덕동 304-5번지,37.42772458,127.2428755,경기도 광주시청,경기광주경찰서,Y,,,2026-01-28
유치원,한솔유치원,경기도 광주시 경안안길40번길 19-13,경기도 광주시 경안동 161-25번지,37.41095451,127.2526572,경기도 광주시청,경기광주경찰서,Y,,,2026-01-28
유치원,세화몬테소리유치원,경기도 광주시 중앙로 352-6,경기도 광주시 송정동 421-1번지,37.4303244,127.2607361,경기도 광주시청,경기광주경찰서,Y,,,2026-01-28
초등학교,벌원초등학교,경기도 광주시 회안대로 621-36,경기도 광주시 탄벌동 527-23번지,37.40944583,127.2368704,경기도 광주시청,경기광주경찰서,Y,,,2026-01-28
초등학교,구성초등학교,경기도 용인시 기흥구 구성로 51,경기도 용인시 기흥구 마북동 333,37.2956668,127.1153666,경기도 용인시 기흥구청 교통과,용인서부경찰서,Y,3,,2025-12-30
초등학교,어정초등학교,경기도 용인시 기흥구 어정로 155,경기도 용인시 기흥구 중동 614-3,37.27695642,127.1474013,경기도 용인시 기흥구청 교통과,용인동부경찰서,Y,1,,2025-12-30
초등학교,신갈초등학교,경기도 용인시 기흥구 신갈로 76,경기도 용인시 기흥구 신갈동 56,37.27380452,127.1067493,경기도 용인시 기흥구청 교통과,용인동부경찰서,Y,2,,2025-12-30
초등학교,기흥초등학교,경기도 용인시 기흥구 공세로82번길 5,경기도 용인시 기흥구 공세동 200-3,37.23191888,127.1098018,경기도 용인시 기흥구청 교통과,용인동부경찰서,Y,1,,2025-12-30
초등학교,보라초등학교,경기도 용인시 기흥구 금화로105번길 33,경기도 용인시 기흥구 상갈동 51-1,37.2639581,127.1072727,경기도 용인시 기흥구청 교통과,용인동부경찰서,Y,1,,2025-12-30
초등학교,산양초등학교,경기도 용인시 기흥구 산양로 2,경기도 용인시 기흥구 신갈동162,37.28379756,127.108563,경기도 용인시 기흥구청 교통과,용인동부경찰서,Y,1,,2025-12-30
초등학교,상갈초등학교,경기도 용인시 기흥구 금화로58번길 17,경기도 용인시 기흥구 상갈동 462,37.26425129,127.1109979,경기도 용인시 기흥구청 교통과,용인동부경찰서,Y,1,,2025-12-30
초등학교,마성초등학교,경기도 용인시 기흥구 용구대로2360번길 29,경기도 용인시 기흥구 마북동 635,37.29743042,127.1131933,경기도 용인시 기흥구청 교통과,용인서부경찰서,Y,1,,2025-12-30
