순번(NO),구분(LAMP),일련번호(SER),위도(LATITUDE),경도(LONGITUDE)
1,2,고기로-1,37.35232718,127.0829319
2,2,고기로-2,37.35232718,127.0829319
3,2,고기로-3,37.35232718,127.0829319
4,2,구미로-1,37.34381245,127.1246926
5,2,구미로-2,37.34381245,127.1246926
6,2,구미로-3,37.34548922,127.1260162
7,2,구미로-4,37.34548922,127.1260162
8,2,구미로-5,37.34548922,127.1260162
9,2,구미로-6,37.34548922,127.1260162
10,2,구미로-7,37.339909,127.1099424
11,2,구미로-8,37.339909,127.1099424
12,2,구미로-9,37.339909,127.1099424
13,2,구미로-1,37.34002273,127.1276595
14,2,구미로-2,37.33992989,127.1272881
15,2,구미로-3,37.33913601,127.1271619
16,2,구미로-4,37.34095274,127.1193876
17,2,구미로-5,37.33907804,127.1266321
18,2,구미로-6,37.33935519,127.1263355
19,2,구미로-7,37.33955066,127.1259608
20,2,구미로-8,37.33967622,127.1258803
21,2,구미로-9,37.33988345,127.125878
22,2,구미로-10,37.33988345,127.125878
23,2,구미로-11,37.33970508,127.1261283
24,2,구미로-12,37.33946422,127.1264584
25,2,구미로-13,37.33991423,127.1263854
26,2,구미로-14,37.33999773,127.1267118
27,2,구미로-15,37.34303086,127.1274554
28,2,구미로-16,37.34256067,127.1272351
29,2,구미로-17,37.34208912,127.1280532
30,2,구미로-18,37.34208912,127.1280532
31,2,구미로-19,37.34165962,127.1284644
32,2,구미로-20,37.34145289,127.1285345
33,2,구미로-21,37.34159892,127.1275623
34,2,구미로-22,37.34123586,127.1272053
35,2,구미로-23,37.34359115,127.1276747
36,2,궁내로-2,37.37006135,127.0994935
37,2,궁내로-3,37.37025141,127.0996041
38,2,궁내로-4,37.37025141,127.0996041
39,2,궁내로-5,37.3707927,127.099688
40,2,궁내로-6,37.37123041,127.1003715
41,2,궁내로-7,37.37171102,127.1007722
42,2,궁내로-8,37.37171102,127.1007722
43,2,궁내로-9,37.37136203,127.1010925
44,2,궁내로-10,37.37025141,127.0996041
45,2,궁내로-11,37.37025141,127.0996041
46,2,궁내로-12,37.37025141,127.0996041
47,2,궁내로-13,37.37025141,127.0996041
48,2,궁내로-14,37.3701837,127.0978098
49,2,궁내로-15,37.37022352,127.0994916
50,2,궁내로-16,37.3701237,127.0970315
51,2,궁내로-17,37.37066982,127.1001185
52,2,궁내로-18,37.37066982,127.1001185
53,2,궁내로-19,37.3705931,127.1006952
54,2,궁내로-20,37.37024246,127.0972446
55,2,궁내로-21,37.37024246,127.0972446
56,2,궁내로-22,37.37024246,127.0972446
57,2,궁내로-23,37.37055144,127.0964054
58,2,궁내로-24,37.36979927,127.0946645
59,2,궁내로-25,37.36979927,127.0946645
60,2,궁내로-26,37.37078365,127.0925978
61,2,궁내로-27,37.37048494,127.0924208
62,2,궁내로-28,37.37053623,127.0920589
63,2,궁내로-29,37.37053623,127.0920589
64,2,궁내로-30,37.37025005,127.0935188
65,2,궁내로-31,37.37024798,127.0932478
66,2,궁내로-32,37.37104354,127.0935883
67,2,궁내로-33,37.37072991,127.0938178
68,2,궁내로-34,37.37072991,127.0938178
69,2,궁내로-35,37.37160356,127.092588
70,2,궁내로-36,37.37160356,127.092588
71,2,궁내로-37,37.37115939,127.0922433
72,2,궁내로-38,37.37025141,127.0996041
73,2,궁내로-39,37.36860945,127.1005269
74,2,궁내로-40,37.36860945,127.1005269
75,2,궁내로-41,37.37025141,127.0996041
76,2,궁내로-42,37.37025141,127.0996041
77,2,내정로-1,37.3695955,127.1129906
78,2,내정로-2,37.36960341,127.1128438
79,2,내정로-3,37.36985688,127.1129989
80,2,내정로-4,37.3714423,127.1129351
81,2,내정로-5,37.37077728,127.1143767
82,2,내정로-6,37.37173856,127.1139929
83,2,내정로-7,37.37189325,127.1141943
84,2,내정로-8,37.37246267,127.1120198
85,2,내정로-9,37.37277231,127.1124565
86,2,내정로-10,37.37119049,127.1154106
87,2,내정로-11,37.3712053,127.1149814
88,2,내정로-12,37.37233955,127.1148326
89,2,내정로-13,37.37363058,127.1139594
90,2,내정로-14,37.37179466,127.1154713
91,2,느티로-1,37.36853989,127.1128111
92,2,느티로-2,37.36853989,127.1128111
93,2,느티로-3,37.36853989,127.1128111
94,2,느티로-4,37.36983503,127.1100863
95,2,느티로-5,37.37020357,127.1111658
96,2,느티로-6,37.37001114,127.110739
97,2,느티로-7,37.37020622,127.110319
98,2,느티로-8,37.36909901,127.1104675
99,2,느티로-9,37.36909644,127.1113256
100,2,느티로-10,37.36878959,127.1112615
101,2,느티로-11,37.36878959,127.1112615
102,2,느티로-12,37.3690933,127.1109079
103,2,느티로-13,37.36922235,127.1100935
104,2,느티로-14,37.3694469,127.1111973
105,2,느티로-15,37.36946161,127.1107568
106,2,느티로-16,37.36946268,127.1121003
107,2,느티로-17,37.36853989,127.1128111
108,2,느티로-18,37.36946703,127.1114793
109,2,느티로-19,37.36998052,127.111462
110,2,느티로-20,37.37021051,127.1120915
111,2,느티로-21,37.37021478,127.1114592
112,2,느티로-22,37.37059328,127.111466
113,2,느티로-23,37.37090889,127.1114962
114,2,느티로-24,37.37101735,127.1115401
115,2,느티로-25,37.37124294,127.1115826
116,2,느티로-26,37.36908417,127.1120935
117,2,느티로-27,37.37000104,127.1129972
118,2,느티로-28,37.36923992,127.1136384
119,2,느티로-29,37.36945151,127.1130149
120,2,느티로-30,37.37022637,127.1130058
121,2,느티로-31,37.37001385,127.1135051
122,2,느티로-32,37.3700072,127.1138213
123,2,느티로-33,37.37079442,127.1130556
124,2,느티로-34,37.36878443,127.1129776
125,2,느티로-35,37.36878443,127.1129776
126,2,느티로-36,37.36909576,127.1136288
127,2,느티로-37,37.36909094,127.1129966
128,2,느티로-38,37.36922617,127.1130063
129,2,느티로-39,37.36902066,127.1144425
130,2,느티로-40,37.36924414,127.1142028
131,2,대왕판교로-1,37.3578842,127.1013997
132,2,대왕판교로-2,37.3453819,127.1020226
133,2,대왕판교로-3,37.34581058,127.1027059
134,2,대왕판교로-4,37.34614387,127.1026907
135,2,대왕판교로-5,37.34750618,127.1029115
136,2,대왕판교로-6,37.34802043,127.1029957
137,2,대왕판교로-7,37.34802043,127.1029957
138,2,대왕판교로-8,37.34802043,127.1029957
139,2,대왕판교로-9,37.34802043,127.1029957
140,2,대왕판교로-10,37.34802043,127.1029957
141,2,대왕판교로-11,37.34802043,127.1029957
142,2,대왕판교로-12,37.34802043,127.1029957
143,2,대왕판교로-13,37.34667367,127.1024474
144,2,돌마로-1,37.37798509,127.1387039
145,2,돌마로-2,37.37746677,127.139297
146,2,돌마로-3,37.37944452,127.1374226
147,2,돌마로-4,37.37927465,127.1376052
148,2,동막로-1,37.35115119,127.0893461
149,2,동막로-2,37.35115119,127.0893461
150,2,동막로-3,37.35115119,127.0893461
151,2,동막로-4,37.35177294,127.0811778
152,2,동막로-5,37.35137116,127.0804942
153,2,동막로-6,37.35151454,127.0815534
154,2,동막로-7,37.35151454,127.0815534
155,2,동막로-8,37.35139566,127.0813291
156,2,동막로-9,37.35248231,127.0855149
157,2,동막로-10,37.35248231,127.0855149
158,2,동막로-11,37.35248231,127.0855149
159,2,동막로-12,37.35248231,127.0855149
160,2,동막로-13,37.35248231,127.0855149
161,2,동막로-14,37.35248231,127.0855149
162,2,동막로-15,37.35350962,127.085525
163,2,동막로-16,37.35350962,127.085525
164,2,동막로-17,37.35350962,127.085525
165,2,동막로-18,37.35350962,127.085525
166,2,동막로-19,37.35532469,127.0836969
167,2,동막로-20,37.35532469,127.0836969
168,2,동막로-21,37.35532469,127.0836969
169,2,동막로-22,37.35712371,127.0832913
170,2,동막로-23,37.35718031,127.083618
171,2,동막로-24,37.35654961,127.0836256
172,2,동막로-25,37.35711076,127.0839462
173,2,동막로-26,37.35711076,127.0839462
174,2,동막로-27,37.35638575,127.0845758
175,2,동막로-28,37.35647404,127.083175
176,2,동막로-29,37.35647404,127.083175
177,2,동막로-30,37.35594295,127.0844119
178,2,동막로-31,37.35688413,127.0826056
179,2,동막로-32,37.35688413,127.0826056
180,2,동막로-33,37.35736673,127.0820918
181,2,동막로-34,37.35738755,127.0812901
182,2,동막로-35,37.35770701,127.0818168
183,2,동막로-36,37.35770701,127.0818168
184,2,동막로-37,37.35770701,127.0818168
185,2,동막로-38,37.35968184,127.0808445
186,2,동막로-39,37.35968184,127.0808445
187,2,동막로-40,37.35968184,127.0808445
188,2,동막로-41,37.35968184,127.0808445
189,2,동막로-42,37.35968184,127.0808445
190,2,동막로-43,37.35871978,127.0799531
191,2,동막로-44,37.35907038,127.0798473
192,2,동막로-45,37.35907038,127.0798473
193,2,동막로-46,37.34923501,127.0897529
194,2,동막로-47,37.34954837,127.0894896
195,2,동막로-48,37.34928067,127.0898314
196,2,동막로-49,37.34982248,127.0911567
197,2,동막로-50,37.34982248,127.0911567
198,2,동막로-51,37.34773423,127.0926266
199,2,동막로-52,37.34773423,127.0926266
200,2,동막로-53,37.34773423,127.0926266
201,2,동막로-54,37.34773423,127.0926266
202,2,동막로-55,37.34773423,127.0926266
203,2,동막로-56,37.34773423,127.0926266
204,2,동막로-57,37.34773423,127.0926266
205,2,동막로-58,37.34773423,127.0926266
206,2,동막로-59,37.34773423,127.0926266
207,2,동막로-60,37.35115119,127.0893461
208,2,동막로-61,37.35115119,127.0893461
209,2,동원북로-1,37.35115119,127.0893461
210,2,동원북로-2,37.3458254,127.0987216
211,2,동원북로-3,37.34549038,127.0973261
212,2,동원북로-4,37.34549038,127.0973261
213,2,동원북로-5,37.34549038,127.0973261
214,2,매화로-1,37.41150077,127.1319272
215,2,매화로-2,37.41150077,127.1319272
216,2,매화로-3,37.41162312,127.1326375
217,2,매화로-4,37.41156311,127.1330561
218,2,매화로-5,37.4108433,127.1331653
219,2,매화로-6,37.4108433,127.1331653
220,2,매화로-7,37.41091703,127.1321938
221,2,매화로-8,37.41091703,127.1321938
222,2,매화로-9,37.41091703,127.1321938
223,2,매화로-10,37.41096943,127.1319672
224,2,매화로-11,37.4109591,127.1317866
225,2,매화로-12,37.4109591,127.1317866
226,2,매화로-13,37.41100085,127.1325656
227,2,매화로-14,37.41127628,127.1332628
228,2,매화로-15,37.41127628,127.1332628
229,2,매화로-16,37.4115646,127.1332595
230,2,매화로-17,37.41097513,127.1352092
231,2,매화로-18,37.41073475,127.1356073
232,2,매화로-19,37.41098886,127.1346216
233,2,매화로-20,37.410982,127.1349154
234,2,매화로-21,37.4115068,127.1352144
235,2,매화로-22,37.41207111,127.1359874
236,2,매화로-23,37.41207111,127.1359874
237,2,매화로-24,37.41151326,127.1348641
238,2,매화로-25,37.41271779,127.1332349
239,2,매화로-26,37.41301521,127.1332428
240,2,매화로-27,37.41249889,127.1353386
241,2,매화로-28,37.41272719,127.1357539
242,2,매화로-29,37.41274721,127.1347935
243,2,문정로-1,37.38264795,127.1517833
244,2,문정로-2,37.38266775,127.1520315
245,2,문정로-3,37.38276184,127.1513304
246,2,발이봉남로-1,37.36460515,127.1265513
247,2,발이봉남로-2,37.36383811,127.1276214
248,2,발이봉남로-3,37.36298913,127.1285795
249,2,발이봉남로-4,37.36298913,127.1285795
250,2,발이봉남로-5,37.36288201,127.1287162
251,2,발이봉남로-6,37.36288201,127.1287162
252,2,발이봉남로-7,37.36532829,127.126859
253,2,발이봉남로-8,37.36406965,127.1260269
254,2,발이봉남로-9,37.36471785,127.1271709
255,2,발이봉남로-10,37.36394467,127.1261864
256,2,발이봉남로-11,37.36444189,127.1264064
257,2,발이봉남로-12,37.36416133,127.1262403
258,2,발이봉남로-13,37.36444697,127.127095
259,2,발이봉남로-14,37.36444697,127.127095
260,2,발이봉남로-15,37.3642137,127.1272332
261,2,발이봉남로-16,37.36451979,127.1271958
262,2,발이봉남로-17,37.36461405,127.1277592
263,2,발이봉남로-18,37.36409732,127.1273361
264,2,발이봉남로-19,37.36393639,127.1275073
265,2,발이봉남로-20,37.36430646,127.1275934
266,2,발이봉남로-21,37.36410455,127.1283182
267,2,발이봉남로-22,37.3639951,127.1281388
268,2,발이봉남로-23,37.36350739,127.1279864
269,2,발이봉남로-24,37.36381282,127.1278587
270,2,발이봉남로-25,37.36341796,127.1280778
271,2,발이봉남로-26,37.3637488,127.1289545
272,2,발이봉남로-27,37.36324818,127.1282717
273,2,발이봉남로-28,37.36354842,127.1286633
274,2,발이봉남로-29,37.36326242,127.1289827
275,2,발이봉남로-30,37.36594607,127.1263213
276,2,발이봉남로-31,37.36309131,127.128996
277,2,발이봉남로-32,37.36322796,127.1291976
278,2,발이봉남로-33,37.36508145,127.1251572
279,2,발이봉남로-34,37.36545077,127.1263609
280,2,발이봉남로-35,37.36468584,127.1252747
281,2,발이봉남로-36,37.36508653,127.1258458
282,2,발이봉로-1,37.36513697,127.1277983
283,2,발이봉로-2,37.36468688,127.1278599
284,2,발이봉로-3,37.36458877,127.1279965
285,2,발이봉로-4,37.36432063,127.1282931
286,2,발이봉로-5,37.36432063,127.1282931
287,2,발이봉로-6,37.36347181,127.1292738
288,2,발이봉로-7,37.3633646,127.1293992
289,2,발이봉로-8,37.36588364,127.1276316
290,2,발이봉로-9,37.36514963,127.1282949
291,2,발이봉로-10,37.36545714,127.1284494
