"행정구역","2025년_계_총인구수","2025년_계_연령구간인구수","2025년_계_0~4세","2025년_계_5~9세","2025년_계_10~14세","2025년_계_15~19세","2025년_계_20~24세","2025년_계_25~29세","2025년_계_30~34세","2025년_계_35~39세","2025년_계_40~44세","2025년_계_45~49세","2025년_계_50~54세","2025년_계_55~59세","2025년_계_60~64세","2025년_계_65~69세","2025년_계_70~74세","2025년_계_75~79세","2025년_계_80~84세","2025년_계_85~89세","2025년_계_90~94세","2025년_계_95~99세","2025년_계_100세 이상","2025년_남_총인구수","2025년_남_연령구간인구수","2025년_남_0~4세","2025년_남_5~9세","2025년_남_10~14세","2025년_남_15~19세","2025년_남_20~24세","2025년_남_25~29세","2025년_남_30~34세","2025년_남_35~39세","2025년_남_40~44세","2025년_남_45~49세","2025년_남_50~54세","2025년_남_55~59세","2025년_남_60~64세","2025년_남_65~69세","2025년_남_70~74세","2025년_남_75~79세","2025년_남_80~84세","2025년_남_85~89세","2025년_남_90~94세","2025년_남_95~99세","2025년_남_100세 이상","2025년_여_총인구수","2025년_여_연령구간인구수","2025년_여_0~4세","2025년_여_5~9세","2025년_여_10~14세","2025년_여_15~19세","2025년_여_20~24세","2025년_여_25~29세","2025년_여_30~34세","2025년_여_35~39세","2025년_여_40~44세","2025년_여_45~49세","2025년_여_50~54세","2025년_여_55~59세","2025년_여_60~64세","2025년_여_65~69세","2025년_여_70~74세","2025년_여_75~79세","2025년_여_80~84세","2025년_여_85~89세","2025년_여_90~94세","2025년_여_95~99세","2025년_여_100세 이상"
"경기도 성남시 (4113000000)","905,794","905,794","23,841","30,320","40,148","41,087","43,103","62,368","70,957","63,471","69,998","70,926","76,604","74,082","68,102","62,239","41,579","29,584","20,154","11,537","4,468","1,071","155","447,380","447,380","12,224","15,421","20,581","20,836","21,698","31,953","37,121","32,303","34,997","34,941","37,902","36,980","33,207","30,286","19,560","13,181","8,484","4,206","1,232","228","39","458,414","458,414","11,617","14,899","19,567","20,251","21,405","30,415","33,836","31,168","35,001","35,985","38,702","37,102","34,895","31,953","22,019","16,403","11,670","7,331","3,236","843","116"
"경기도 성남시 수정구 (4113100000)","232,389","232,389","5,925","6,772","7,725","8,232","11,269","16,716","19,010","16,532","17,230","16,596","18,667","19,533","19,158","18,123","12,454","8,765","5,591","2,839","991","234","27","117,449","117,449","3,039","3,434","3,886","4,164","5,771","8,887","10,252","8,817","9,154","8,718","9,684","9,999","9,584","8,745","5,823","3,915","2,290","987","249","45","6","114,940","114,940","2,886","3,338","3,839","4,068","5,498","7,829","8,758","7,715","8,076","7,878","8,983","9,534","9,574","9,378","6,631","4,850","3,301","1,852","742","189","21"
"경기도 성남시 수정구 신흥1동(4113151000)","12,046","12,046","101","139","248","322","517","900","947","677","753","827","1,111","1,176","1,203","1,200","787","541","340","187","59","10","1","6,439","6,439","53","72","128","163","263","496","587","401","433","504","645","694","633","579","374","212","144","45","10","3","0","5,607","5,607","48","67","120","159","254","404","360","276","320","323","466","482","570","621","413","329","196","142","49","7","1"
"경기도 성남시 수정구 신흥2동(4113152000)","31,635","31,635","1,621","1,410","1,078","1,122","1,353","1,760","2,766","3,165","2,872","2,222","2,294","2,450","2,316","2,078","1,414","859","498","246","83","24","4","15,368","15,368","810","727","543","544","678","901","1,286","1,620","1,514","1,108","1,037","1,134","1,068","964","670","415","229","94","22","4","0","16,267","16,267","811","683","535","578","675","859","1,480","1,545","1,358","1,114","1,257","1,316","1,248","1,114","744","444","269","152","61","20","4"
"경기도 성남시 수정구 신흥3동(4113153000)","10,670","10,670","122","143","198","285","486","846","919","609","677","716","989","1,032","1,064","982","609","462","328","147","41","14","1","5,735","5,735","68","68","95","150","258","452","519","369","401","402","570","580","595","501","293","208","143","47","13","3","0","4,935","4,935","54","75","103","135","228","394","400","240","276","314","419","452","469","481","316","254","185","100","28","11","1"
"경기도 성남시 수정구 태평1동(4113154000)","13,522","13,522","133","140","211","337","941","1,296","1,128","746","765","824","1,030","1,177","1,217","1,177","868","722","475","246","73","15","1","7,005","7,005","60","63","109","179","480","734","639","444","433","465","573","642","603","578","390","313","187","93","16","4","0","6,517","6,517","73","77","102","158","461","562","489","302","332","359","457","535","614","599","478","409","288","153","57","11","1"
"경기도 성남시 수정구 태평2동(4113155000)","13,628","13,628","186","212","326","427","686","1,108","1,150","823","819","861","1,153","1,273","1,248","1,158","803","635","434","218","86","20","2","6,872","6,872","83","105","159","224","358","613","654","460","457","453","595","658","620","564","341","265","172","64","24","3","0","6,756","6,756","103","107","167","203","328","495","496","363","362","408","558","615","628","594","462","370","262","154","62","17","2"
"경기도 성남시 수정구 태평3동(4113156000)","11,585","11,585","130","178","295","375","530","802","836","622","692","760","986","1,182","1,171","1,145","739","569","329","187","45","11","1","5,951","5,951","65","89","143","191","266","468","491","340","377","393","518","607","643","572","351","238","118","65","11","5","0","5,634","5,634","65","89","152","184","264","334","345","282","315","367","468","575","528","573","388","331","211","122","34","6","1"
"경기도 성남시 수정구 태평4동(4113156100)","10,906","10,906","127","174","328","437","574","890","865","550","621","740","994","1,008","961","907","627","475","356","180","78","13","1","5,616","5,616","65","95","167","229","285","479","540","304","341","393","527","526","497","448","285","207","134","70","23","1","0","5,290","5,290","62","79","161","208","289","411","325","246","280","347","467","482","464","459","342","268","222","110","55","12","1"
"경기도 성남시 수정구 수진1동(4113157000)","10,775","10,775","77","105","192","247","394","788","758","561","570","636","921","1,127","1,220","1,169","843","549","378","165","66","6","3","5,742","5,742","38","52","96","134","233","447","457","344","353","357","503","615","685","581","390","245","145","53","12","1","1","5,033","5,033","39","53","96","113","161","341","301","217","217","279","418","512","535","588","453","304","233","112","54","5","2"
