설립구분명,시설명,전화번호,소재지지번주소,소재지도로명주소,소재지우편번호,WGS84위도,WGS84경도
공립,가림초등학교,02-803-3329,경기도 광명시 하안동 297번지,경기도 광명시 금당로 11-7,14305,37.4584044165,126.8783776034
공립,가평마장초등학교,031-582-2756,경기도 가평군 가평읍 마장리 357번지,경기도 가평군 가평읍 각담말길 15,12409,37.8601442011,127.5147333644
공립,가평초등학교,031-582-2491,경기도 가평군 가평읍 읍내리 553번지,경기도 가평군 가평읍 향교로 23,12417,37.8312307248,127.5077388301
공립,대성초등학교,031-584-0621,경기도 가평군 청평면 대성리 399-16번지,경기도 가평군 청평면 경춘로 75,12457,37.6831245680,127.3777074399
공립,목동초등학교,031-581-0615,경기도 가평군 북면 이곡리 13-45번지,경기도 가평군 북면 석장모루길 13,12407,37.8793061516,127.5481231897
공립,미원초등학교,031-584-7708,경기도 가평군 설악면 신천리 439-2번지,경기도 가평군 설악면 신천중앙로120번길 11,12465,37.6794380819,127.4912903881
공립,미원초등학교위곡분교장,031-584-7727,경기도 가평군 설악면 위곡리 718-1번지,경기도 가평군 설악면 한서로 233,12463,37.6706223032,127.5153308179
공립,방일초등학교,031-584-7214,경기도 가평군 설악면 방일리 50번지,경기도 가평군 설악면 양방가루재길 76,12472,37.6294138645,127.4996033734
공립,상면초등학교,031-585-2084,경기도 가평군 상면 임초리 445-3번지,경기도 가평군 상면 청군로 700-22,12447,37.7760988726,127.3711386348
공립,상색초등학교,031-582-4306,경기도 가평군 가평읍 상색리 171-2번지,경기도 가평군 가평읍 태봉두밀로 34-31,12426,37.8055875407,127.4850844248
공립,연하초등학교,031-585-2006,경기도 가평군 상면 연하리 452-1번지,경기도 가평군 상면 비룡로 2199-19,12444,37.8032569875,127.3425334840
공립,율길초등학교,031-585-0585,경기도 가평군 상면 율길리 454-1번지,경기도 가평군 상면 청군로 2090,12441,37.8375670843,127.2887731118
공립,조종초등학교,031-585-0582,경기도 가평군 조종면 현리 276번지,경기도 가평군 조종면 조종새싹로 13-9,12437,37.8215170629,127.3489371645
공립,청평초등학교,031-584-0280,경기도 가평군 청평면 청평리 395번지,경기도 가평군 청평면 잠곡로 27,12452,37.7378730806,127.4218694661
공립,덕은초등학교,02-3158-5581,경기도 고양시 덕양구 화전동 274-6번지,경기도 고양시 덕양구 중앙로176번길 18-4,10538,37.6031621200,126.8717937994
공립,덕이초등학교,031-914-2118,경기도 고양시 일산서구 덕이동 528번지,경기도 고양시 일산서구 덕이로 104,10236,37.6927623519,126.7483808524
공립,무원초등학교,031-972-9517,경기도 고양시 덕양구 행신동 696번지,경기도 고양시 덕양구 무원로 47,10521,37.6177147248,126.8316952112
공립,문촌초등학교,031-912-0144,경기도 고양시 일산서구 주엽동 24번지,경기도 고양시 일산서구 주엽로 168,10388,37.6733703699,126.7604829938
공립,문화초등학교,031-912-2102,경기도 고양시 일산서구 주엽동 37번지,경기도 고양시 일산서구 강선로 123,10375,37.6748727426,126.7672492512
공립,백마초등학교,031-901-1678,경기도 고양시 일산동구 마두동 718번지,경기도 고양시 일산동구 일산로 230,10417,37.6578830584,126.7908842107
공립,백마초등학교장항분교장,031-301-2004,,,,,
공립,백양초등학교,031-971-0093,경기도 고양시 덕양구 화정동 990번지,경기도 고양시 덕양구 화신로 238,10499,37.6322511528,126.8361210409
공립,벽제초등학교,031-963-7984,경기도 고양시 일산동구 사리현동 122-2번지,경기도 고양시 일산동구 공릉천로 13,10260,37.6956369485,126.8433715516
공립,삼송초등학교,031-966-7963,경기도 고양시 덕양구 원흥동 675번지,경기도 고양시 덕양구 세솔로 150,10557,37.6541788766,126.8822814481
공립,성라초등학교,031-966-4205,경기도 고양시 덕양구 성사동 732번지,경기도 고양시 덕양구 호국로716번길 13-19,10469,37.6527885436,126.8338296650
공립,성사초등학교,031-965-2163,경기도 고양시 덕양구 성사동 716번지,경기도 고양시 덕양구 호국로834번길 89,10466,37.6578010753,126.8436822512
공립,성석초등학교,031-977-7198,경기도 고양시 일산동구 문봉동 203-6번지,경기도 고양시 일산동구 문봉길 110,10257,37.7073756506,126.8123649276
공립,성저초등학교,031-915-0211,경기도 고양시 일산서구 대화동 2006번지,경기도 고양시 일산서구 성저로 92,10369,37.6847345183,126.7573760870
공립,소만초등학교,031-770-9601,경기도 고양시 덕양구 행신동 780번지,경기도 고양시 덕양구 화신로 48,10529,37.6175875628,126.8395261286
공립,송포초등학교,031-923-0008,경기도 고양시 일산서구 가좌동 355-1번지,경기도 고양시 일산서구 송산로 379,10210,37.6858139926,126.7207326132
공립,일산은행초등학교,031-969-2793,경기도 고양시 일산동구 식사동 916번지,경기도 고양시 일산동구 은행마을로 70,10304,37.6692692513,126.8064576030
공립,신능초등학교,031-973-0084,경기도 고양시 덕양구 행신동 1005번지,경기도 고양시 덕양구 충장로123번길 37,10513,37.6241477930,126.8312636618
공립,신원초등학교,02-381-5171,경기도 고양시 덕양구 신원동 601번지,경기도 고양시 덕양구 신원3로 21,10567,37.6677896261,126.8858650848
공립,안곡초등학교,031-976-1624,경기도 고양시 일산동구 중산동 161-3번지,경기도 고양시 일산동구 중산로 142,10334,37.6847960348,126.7818612573
공립,오마초등학교,031-912-2123,경기도 고양시 일산서구 주엽동 33번지,경기도 고양시 일산서구 주엽로 214,10375,37.6770545591,126.7630092833
공립,용두초등학교,02-387-1053,경기도 고양시 덕양구 용두동 14번지,경기도 고양시 덕양구 용두로121번길 20,10549,37.6215806334,126.8932710886
공립,원당초등학교,031-969-6661,경기도 고양시 덕양구 주교동 313-8번지,경기도 고양시 덕양구 마상로107번길 13,10298,37.6623669347,126.8349458909
공립,원중초등학교,031-966-3003,경기도 고양시 일산동구 식사동 1571번지,경기도 고양시 일산동구 위시티3로 67,10324,37.6750676384,126.8146590125
공립,율동초등학교,031-913-0384,경기도 고양시 일산동구 정발산동 1117번지,경기도 고양시 일산동구 산두로 223,10357,37.6754671166,126.7788667453
공립,장성초등학교,031-915-0273,경기도 고양시 일산서구 대화동 2210번지,경기도 고양시 일산서구 일산로 738,10376,37.6779617889,126.7496528788
공립,가람초등학교,031-973-0323,경기도 고양시 덕양구 행신동 926번지,경기도 고양시 덕양구 행신로311번길 78,10493,37.6237044763,126.8421916943
공립,강선초등학교,031-911-6214,경기도 고양시 일산서구 주엽동 64번지,경기도 고양시 일산서구 강선로 77,10388,37.6712241973,126.7646430975
공립,고봉초등학교,031-976-8104,경기도 고양시 일산동구 중산동 1554-1번지,경기도 고양시 일산동구 중산로 280,10331,37.6961481587,126.7826024966
공립,고양백석초등학교,031-901-4231,경기도 고양시 일산동구 백석동 1188번지,경기도 고양시 일산동구 강촌로 140,10419,37.6521305505,126.7890457544
공립,고양신일초등학교,031-912-2071,경기도 고양시 일산서구 일산동 1075번지,경기도 고양시 일산서구 강선로 183,10374,37.6795367525,126.7708323252
공립,고양초등학교,031-962-0323,경기도 고양시 덕양구 고양동 236번지,경기도 고양시 덕양구 혜음로13번길 22-7,10275,37.7030308560,126.8997545751
공립,고양화수초등학교,031-966-4035,경기도 고양시 덕양구 화정동 860번지,경기도 고양시 덕양구 화수로 25,10472,37.6453824143,126.8327282802
공립,고양화정초등학교,031-970-1961,경기도 고양시 덕양구 화정동 942번지,경기도 고양시 덕양구 화신로 333,10501,37.6340062612,126.8261432142
공립,낙민초등학교,031-902-1323,경기도 고양시 일산동구 마두동 795번지,경기도 고양시 일산동구 강석로 134,10415,37.6539057511,126.7800616016
공립,내유초등학교,031-962-8109,경기도 고양시 덕양구 내유동 431-7번지,경기도 고양시 덕양구 통일로 1132,10264,37.7156040505,126.8520339053
공립,냉천초등학교,031-902-3414,경기도 고양시 일산동구 마두동 830번지,경기도 고양시 일산동구 산두로 99,10407,37.6667027671,126.7856979713
공립,대곡초등학교,031-962-5491,경기도 고양시 덕양구 대장동 226-2번지,경기도 고양시 덕양구 대주로 138-50,10456,37.6411577245,126.8127604023
공립,대화초등학교,031-911-0002,경기도 고양시 일산서구 대화동 1643번지,경기도 고양시 일산서구 송포로 50,10218,37.6715685764,126.7324022569
공립,주엽초등학교,031-912-0034,경기도 고양시 일산서구 주엽동 100번지,경기도 고양시 일산서구 강선로 29,10385,37.6673649682,126.7615063681
공립,중산초등학교,031-977-4194,경기도 고양시 일산동구 중산동 1575-3번지,경기도 고양시 일산동구 탄중로 373,10332,37.6904395778,126.7835535238
공립,지도초등학교,031-973-2165,경기도 고양시 덕양구 화정동 1132번지,경기도 고양시 덕양구 성신로 49,10504,37.6282812216,126.8337991519
공립,지축초등학교,02-381-5166,,,,,
공립,토당초등학교,031-972-9450,경기도 고양시 덕양구 토당동 409-12번지,경기도 고양시 덕양구 행신로 90,10520,37.6171339479,126.8262501932
공립,풍산초등학교,031-908-8471,경기도 고양시 일산동구 풍동 1284번지,경기도 고양시 일산동구 숲속마을로 51,10307,37.6668322176,126.7967404693
