구별,동,인구수_계,인구수_남,인구수_여,19세 이상_계,19세 이상_남,19세 이상_여,65세 이상_계,65세 이상_남자,65세 이상_여자,세대수,재외국민,데이터기준일자
수정구,신흥1동         ,11999,6416,5583,11277,6041,5236,3142,1377,1765,7417,19,2026-01-31
수정구,신흥2동         ,31620,15355,16265,26664,12853,13811,5248,2426,2822,12302,49,2026-01-31
수정구,신흥3동         ,10632,5718,4914,9957,5373,4584,2616,1227,1389,6436,9,2026-01-31
수정구,태평1동         ,13508,7011,6497,12791,6659,6132,3599,1591,2008,8214,22,2026-01-31
수정구,태평2동         ,13600,6853,6747,12562,6350,6212,3388,1453,1935,7525,17,2026-01-31
수정구,태평3동         ,11542,5918,5624,10640,5469,5171,3038,1365,1673,6309,15,2026-01-31
수정구,태평4동         ,10878,5606,5272,9921,5099,4822,2648,1172,1476,5909,16,2026-01-31
수정구,수진1동         ,10749,5734,5015,10186,5444,4742,3199,1439,1760,6678,12,2026-01-31
수정구,수진2동         ,14282,7198,7084,13184,6632,6552,3991,1816,2175,7465,32,2026-01-31
수정구,단대동          ,14126,6932,7194,12572,6114,6458,3313,1428,1885,6505,24,2026-01-31
수정구,산성동          ,4396,2198,2198,3942,1954,1988,1129,478,651,2083,22,2026-01-31
수정구,양지동          ,8868,4347,4521,8031,3924,4107,2204,958,1246,4232,10,2026-01-31
수정구,복정동          ,11873,6573,5300,10716,5980,4736,1439,673,766,7252,17,2026-01-31
수정구,위례동          ,45374,21940,23434,36774,17625,19149,7257,3355,3902,18732,122,2026-01-31
수정구,신촌동          ,4484,2371,2113,3707,1961,1746,622,292,330,2000,14,2026-01-31
수정구,고등동          ,11784,5767,6017,9956,4854,5102,1825,828,997,5304,35,2026-01-31
수정구,시흥동          ,3558,1914,1644,3304,1793,1511,732,354,378,2158,22,2026-01-31
중원구,성남동          ,31793,16602,15191,29442,15420,14022,7215,3328,3887,18401,51,2026-01-31
중원구,중앙동          ,16565,8418,8147,14235,7220,7015,3277,1490,1787,7521,16,2026-01-31
중원구,금광1동         ,19571,9617,9954,16333,7995,8338,2939,1335,1604,8242,16,2026-01-31
중원구,금광2동         ,23317,11534,11783,21096,10414,10682,5358,2400,2958,11830,39,2026-01-31
중원구,은행1동         ,9277,4572,4705,8303,4064,4239,1935,850,1085,4407,8,2026-01-31
중원구,은행2동         ,20848,10246,10602,19142,9377,9765,5301,2280,3021,10670,50,2026-01-31
중원구,상대원1동       ,22388,11652,10736,20230,10549,9681,5337,2420,2917,11534,21,2026-01-31
중원구,상대원2동       ,2905,1502,1403,2636,1352,1284,739,356,383,1521,8,2026-01-31
중원구,상대원3동       ,11022,5808,5214,10166,5377,4789,3005,1449,1556,6279,14,2026-01-31
중원구,하대원동        ,19502,9752,9750,17245,8600,8645,4405,2086,2319,8339,33,2026-01-31
중원구,도촌동          ,25828,12482,13346,21651,10292,11359,4779,2107,2672,10830,60,2026-01-31
분당구,분당동          ,24398,12013,12385,20584,10028,10556,4373,2003,2370,10047,90,2026-01-31
분당구,수내1동         ,17912,8549,9363,14746,6904,7842,2607,1065,1542,7906,120,2026-01-31
분당구,수내2동         ,10368,5085,5283,7608,3696,3912,1264,576,688,3191,44,2026-01-31
분당구,수내3동         ,13234,6556,6678,10444,5161,5283,1581,720,861,5130,30,2026-01-31
분당구,정자동          ,13736,6971,6765,11803,5996,5807,2371,1131,1240,6230,56,2026-01-31
분당구,정자1동         ,30290,14373,15917,25561,12006,13555,4364,2012,2352,14057,274,2026-01-31
분당구,정자2동         ,14150,6710,7440,12448,5824,6624,2879,1138,1741,7229,60,2026-01-31
분당구,정자3동         ,16452,7919,8533,13628,6513,7115,2554,1102,1452,6615,80,2026-01-31
분당구,서현1동         ,30603,14830,15773,25312,12144,13168,4546,2073,2473,12653,177,2026-01-31
분당구,서현2동         ,17302,8507,8795,14438,7008,7430,2828,1310,1518,6563,64,2026-01-31
분당구,이매1동         ,24600,11999,12601,20278,9746,10532,4017,1853,2164,9039,92,2026-01-31
분당구,이매2동         ,12747,6255,6492,10459,5053,5406,2446,1196,1250,4357,48,2026-01-31
분당구,야탑1동         ,16526,8144,8382,14507,7111,7396,3451,1601,1850,7559,60,2026-01-31
분당구,야탑2동         ,15588,7397,8191,13131,6170,6961,3543,1620,1923,5998,80,2026-01-31
분당구,야탑3동         ,26601,13089,13512,23476,11499,11977,5528,2417,3111,12706,61,2026-01-31
분당구,금곡동,26341,12906,13435,23382,10853,12529,5801,2526,3275,8968,162,2026-01-31
분당구,구미동,23550,11405,12145,24522,11485,13037,6124,2698,3426,9092,161,2026-01-31
분당구,구미1동,26243,12495,13748,13874,6646,7228,2839,1296,1543,10521,78,2026-01-31
분당구,판교동          ,26747,12590,14157,20283,9782,10501,3088,1497,1591,12009,106,2026-01-31
분당구,삼평동          ,16065,7766,8299,19070,9140,9930,3218,1461,1757,6920,53,2026-01-31
분당구,백현동          ,27943,13203,14740,21966,10275,11691,4199,1871,2328,12643,106,2026-01-31
분당구,운중동          ,38475,18738,19737,30529,14696,15833,4611,2214,2397,14031,168,2026-01-31
