연번,설치장소,설치도로명주소,설치지번주소,설치개소수,설치연도,관리기관전화번호,데이터기준일
1,태평초등학교,경기도 성남시 수정구 남문로32번길 7,경기도 성남시 수정구 태평동 3743,1,2016,031-729-3672,2025-06-17
2,늘푸른초등학교,경기도 성남시 분당구 정자일로 87,경기도 성남시 분당구 정자동 178-5,1,2016,031-729-3672,2025-06-17
3,오리초등학교,경기도 성남시 분당구 미금로 121,경기도 성남시 분당구 구미동 115,1,2016,031-729-3672,2025-06-17
4,상원초등학교,경기도 성남시 중원구 은행로 6,경기도 성남시 중원구 은행동 421,1,2017,031-729-3672,2025-06-17
5,금상초등학교,경기도 성남시 중원구 금상로 97 금상초등학교,경기도 성남시 중원구 금광동 1645,1,2017,031-729-3672,2025-06-17
6,미금초등학교,경기도 성남시 분당구 미금로 151,경기도 성남시 분당구 구미동 68,1,2017,031-729-3672,2025-06-17
7,성남북초등학교,경기도 성남시 수정구 희망로534번길 3,경기도 성남시 수정구 산성동 2137,2,2019,031-729-3672,2025-06-17
8,성남혜은학교,경기도 성남시 수정구 희망로518번길 8,경기도 성남시 수정구 단대동 192,1,2019,031-729-3672,2025-06-17
9,성남초등학교 ,경기도 성남시 수정구 공원로 436번길 17,경기도 성남시 수정구 신흥동 81-9,1,2020,031-729-3672,2025-06-17
10,신백현초등학교,경기도 성남시 분당구 판교역로 14번길 42 ,경기도 성남시 분당구 백현동 556-3,1,2020,031-729-3672,2025-06-17
11,중탑초등학교,경기도 성남시 분당구 매화로 72-1,경기도 성남시 분당구 야탑동 488-5,1,2021,031-729-3672,2025-06-17
12,하원초등학교,경기도 성남시 중원구 광명로 396,경기도 성남시 중원구 금광동 4853,1,2021,031-729-3672,2025-06-17
13,도촌초등학교,경기도 성남시 중원구 도촌남로 99,경기도 성남시 중원구 도촌동 717,1,2021,031-729-3672,2025-06-17
14,희망대초등학교,경기도 성남시 공원로 370번길 29,경기도 성남시 수정구 신흥동 1232-2,1,2021,031-729-3672,2025-06-17
15,화랑초등학교,경기도 성남시 분당구 동판교로 77,경기도 성남시 분당구 백현동 547,1,2021,031-729-3672,2025-06-17
16,정자초등학교,경기도 성남시 분당구 분당수서로 442,경기도 성남시 분당구 정자동6-2,1,2021,031-729-3672,2025-06-17
17,운중초등학교,경기도 성남시 분당구 운중로 45번길 8,경기도 성남시 분당구 운중동 893,1,2021,031-729-3672,2025-06-17
18,중앙초등학교,경기도 성남시 분당구 원터로 94번길 7,경기도 성남시 중원구 성남동 2580,1,2021,031-729-3672,2025-06-17
19,수진초등학교,경기도 성남시 수정구 탄리로 95번길 16,경기도 성남시 수정구 태평3동 3756,1,2021,031-729-3672,2025-06-17
20,금빛초등학교,경기도 성남시 수정구 남문로 112,경기도 성남시 수정구 태평4동 7289,1,2021,031-729-3672,2025-06-17
21,복정초등학교,경기도 성남시 수정구 성남대로 1480번길 25,경기도 성남시 수정구 복정동 665,1,2021,031-729-3672,2025-06-17
22,은행초등학교,경기도 성남시 중원구 순환로 447번길 11,경기도 성남시 중원구 은행2동 652,1,2021,031-729-3672,2025-06-17
23,검단초등학교,경기도 성남시 중원구 원터로 25,경기도 성남시 중원구 하대원동 123,1,2021,031-729-3672,2025-06-17
