,zoneCode,zoneName,blockName,blockType,longitude,latitude
2,41450MX2019001,하남교산 공공주택지구,중3,교육시설,127.19550322082576,37.51727120899192
39,41450MX2019001,하남교산 공공주택지구,유7,교육시설,127.19497206946772,37.50058712311004
72,41450MX2019001,하남교산 공공주택지구,초3,교육시설,127.21016658988006,37.526538912447606
143,41450MX2019001,하남교산 공공주택지구,유2,교육시설,127.20945448582272,37.52586914708818
183,41450MX2019001,하남교산 공공주택지구,초8,교육시설,127.19485127814704,37.49969286099835
189,41450MX2019001,하남교산 공공주택지구,유6,교육시설,127.18821855624697,37.5015564343209
200,41450MX2019001,하남교산 공공주택지구,초7,교육시설,127.1907129338144,37.50175069666824
223,41450MX2019001,하남교산 공공주택지구,초5,교육시설,127.194272299425,37.51727000103482
236,41450MX2019001,하남교산 공공주택지구,초1,교육시설,127.21845264790116,37.53430979937178
275,41450MX2019001,하남교산 공공주택지구,고4,교육시설,127.1880465747253,37.50326494715824
280,41450MX2019001,하남교산 공공주택지구,고3,교육시설,127.22128825753856,37.53256569865902
310,41450MX2019001,하남교산 공공주택지구,유3,교육시설,127.19982489410272,37.52516044639781
340,41450MX2019001,하남교산 공공주택지구,중4,교육시설,127.18971782223916,37.50060439300044
343,41450MX2019001,하남교산 공공주택지구,초4,교육시설,127.20054049572424,37.52461389375449
440,41450MX2019001,하남교산 공공주택지구,유4,교육시설,127.19321274113436,37.51838546995518
446,41450MX2019001,하남교산 공공주택지구,고2,교육시설,127.19847222272156,37.51271282388757
484,41450MX2019001,하남교산 공공주택지구,유5,교육시설,127.19971144928728,37.5137891273021
495,41450MX2019001,하남교산 공공주택지구,중1,교육시설,127.2202111561338,37.53322027144894
496,41450MX2019001,하남교산 공공주택지구,유1,교육시설,127.21964704321738,37.533902693084286
499,41450MX2019001,하남교산 공공주택지구,고1,교육시설,127.21100713587327,37.52791876719599
521,41450MX2019001,하남교산 공공주택지구,유8,교육시설,127.20705928351816,37.52060365310092
532,41450MX2019001,하남교산 공공주택지구,중2,교육시설,127.20344705673482,37.52319338737357
605,41450MX2019001,하남교산 공공주택지구,초6,교육시설,127.1984948047067,37.5138219634186
733,41450MX2019001,하남교산 공공주택지구,특1,교육시설,127.21049596292195,37.53229855202876
