시설물명,위도,경도,파일경로,상태
중원초등학교,37.437855,127.167857,./roadview_images/image_2-2/중원초등학교.png,성공
하원초등학교,37.446255,127.170236,./roadview_images/image_2-2/하원초등학교.png,성공
중부초등학교,37.451546,127.164951,./roadview_images/image_2-2/중부초등학교.png,성공
상대원초등학교,37.442382,127.181591,./roadview_images/image_2-2/상대원초등학교.png,성공
도촌초등학교,37.41473,127.158024,./roadview_images/image_2-2/도촌초등학교.png,성공
구미초등학교,37.337756,127.118398,./roadview_images/image_2-2/구미초등학교.png,성공
내정초등학교,37.372402,127.122264,./roadview_images/image_2-2/내정초등학교.png,성공
돌마초등학교,37.409099,127.130378,,로드뷰없음
미금초등학교,37.347422,127.115303,./roadview_images/image_2-2/미금초등학교.png,성공
백현초등학교,37.372193,127.111168,./roadview_images/image_2-2/백현초등학교.png,성공
