시설물명,위도,경도,도로안전표지,도로적색표면,무단횡단방지펜스,무인교통단속카메라,보호구역표지판,생활안전CCTV,신호등,옐로카펫,횡단보도
중원초등학교,37.437855,127.167857,0,5,12,0,15,18,0,1,0
하원초등학교,37.446255,127.170236,6,7,21,2,15,16,10,2,6
중부초등학교,37.451546,127.164951,2,19,25,2,26,27,4,1,2
상대원초등학교,37.442382,127.181591,2,8,30,1,21,5,3,1,2
도촌초등학교,37.41473,127.158024,5,9,26,1,10,6,5,1,5
구미초등학교,37.337756,127.118398,6,17,27,1,30,5,17,1,6
내정초등학교,37.372402,127.122264,1,2,4,4,6,13,10,1,1
돌마초등학교,37.409099,127.130378,4,7,10,2,8,14,5,1,5
미금초등학교,37.347422,127.115303,3,9,16,1,15,8,10,2,5
백현초등학교,37.372193,127.111168,3,11,21,1,13,18,8,1,3
분당초등학교,37.378988,127.129653,2,3,12,2,11,4,5,1,3
성남여수초등학교,37.419449,127.133081,4,16,36,3,26,11,5,1,4
탄천초등학교,37.361599,127.115645,5,8,16,3,8,16,8,1,7
하탑초등학교,37.407326,127.126613,6,6,23,2,14,13,7,1,5
늘푸른초등학교,37.358334,127.105671,5,9,16,1,10,6,4,2,5
보평초등학교,37.396039,127.117758,5,15,16,2,8,17,7,1,4
산운초등학교,37.389753,127.079005,5,23,18,5,19,23,7,1,4
운중초등학교,37.392419,127.06894,7,30,34,2,16,23,4,1,7
낙생초등학교,37.394357,127.098914,7,14,23,2,15,19,13,1,7
신백현초등학교,37.387579,127.111751,5,8,35,0,16,22,6,2,6
성남화랑초등학교,37.390224,127.115888,5,6,20,2,8,6,8,1,4
성남은행초등학교,37.461002,127.170901,3,10,2,1,23,11,1,1,3
성남중앙초등학교,37.436255,127.143529,6,16,13,5,13,16,5,1,6
단남초등학교,37.442905,127.161374,5,17,30,10,21,38,15,1,6
대원초등학교,37.436671,127.155099,1,4,23,1,8,5,2,1,2
대일초등학교,37.438468,127.164185,1,6,15,1,15,37,1,1,1
대하초등학교,37.431908,127.151304,2,8,12,1,17,14,2,1,2
성남제일초등학교,37.438906,127.149609,4,30,34,5,70,16,12,0,4
성남북초등학교,37.4515,127.151474,4,22,22,6,28,23,10,3,5
성남수정초등학교,37.436212,127.132786,5,5,31,0,8,33,6,1,5
수진초등학교,37.444944,127.133465,6,18,26,1,38,40,8,4,5
희망대초등학교,37.447498,127.149115,0,10,14,5,14,20,10,1,0
성남서초등학교,37.448545,127.129403,7,6,14,2,10,16,7,1,6
성남신흥초등학교,37.450552,127.143485,7,9,21,5,19,36,8,1,6
단대초등학교,37.453611,127.157748,2,15,22,3,13,23,5,1,5
복정초등학교,37.46247,127.130386,0,12,18,1,11,11,1,1,0
성남양지초등학교,37.459218,127.160884,6,10,5,1,10,26,5,1,5
위례고운초등학교,37.471437,127.145794,0,12,16,3,23,7,7,1,0
위례한빛초등학교,37.465766,127.147017,0,6,17,2,13,7,4,1,0
위례푸른초등학교,37.470731,127.150981,0,11,22,3,25,8,6,1,0
위례중앙초등학교,37.471899,127.135874,0,8,16,1,11,9,3,1,0
금상초등학교,37.443599,127.165995,5,10,8,8,15,41,12,2,3
상원초등학교,37.453884,127.162776,4,15,27,4,13,28,5,2,4
불정초등학교,37.361254,127.119496,6,2,10,2,8,13,2,1,4
상탑초등학교,37.406207,127.145695,5,6,22,1,27,9,5,2,4
서현초등학교,37.382576,127.12855,4,8,10,1,13,11,2,1,5
성남신기초등학교,37.366582,127.11106,7,7,12,2,11,13,5,1,6
성남장안초등학교,37.372662,127.144459,4,10,20,1,22,15,1,1,4
안말초등학교,37.393154,127.125984,7,6,24,2,15,15,11,1,7
야탑초등학교,37.416616,127.125627,6,3,21,6,15,11,7,1,6
오리초등학교,37.344351,127.115379,4,9,7,1,12,9,11,2,4
이매초등학교,37.39721,127.126493,3,2,11,3,5,15,4,1,3
청솔초등학교,37.354657,127.1141,5,6,8,1,9,6,6,1,4
당촌초등학교,37.373689,127.131262,5,2,13,1,5,8,4,1,5
한솔초등학교,37.366777,127.118015,3,1,9,1,3,13,0,1,1
수내초등학교,37.367765,127.124663,3,6,11,1,7,14,9,2,3
성남송현초등학교,37.405458,127.116346,4,9,38,3,14,8,4,1,6
판교초등학교,37.387282,127.091443,5,15,26,1,17,16,9,1,5
성남동초등학교,37.449215,127.162178,1,16,15,0,18,25,4,1,1
태평초등학교,37.444953,127.131694,9,19,32,2,31,38,10,4,9
성수초등학교,37.433766,127.127238,3,5,8,5,3,29,3,1,3
금빛초등학교,37.447331,127.140567,5,17,22,2,22,64,3,1,5
왕남초등학교,37.428469,127.098687,2,12,28,4,19,19,8,1,0
성남초등학교,37.446085,127.144145,7,12,30,3,16,40,5,2,5
검단초등학교,37.429483,127.144034,4,15,8,1,11,20,5,1,4
불곡초등학교,37.340984,127.11973,4,8,7,1,9,4,1,1,4
서당초등학교,37.374602,127.134587,4,7,35,2,16,13,4,1,4
성남매송초등학교,37.402183,127.122403,2,3,18,1,7,10,2,1,2
성남정자초등학교,37.374517,127.104912,2,6,6,2,4,2,2,1,2
양영초등학교,37.37466,127.140091,3,13,29,1,28,19,1,1,3
중탑초등학교,37.413924,127.139686,7,14,45,2,12,13,7,1,7
초림초등학교,37.376826,127.117592,0,2,7,1,12,13,3,1,0
판교대장초등학교,37.368279,127.069713,0,16,33,2,34,24,11,0,0
미래유치원,37.452885,127.150066,2,14,14,4,20,18,6,2,2
성체유치원,37.439656,127.137203,3,3,12,2,13,36,3,0,2
신흥성모유치원,37.449077,127.143242,11,14,26,4,28,51,7,1,9
은솔유치원,37.467824,127.138154,0,12,2,4,6,14,6,0,0
위례새초롱유치원,37.469683,127.147866,0,17,28,2,29,14,7,2,0
위례하늘유치원,37.467037,127.151134,0,7,12,1,11,10,5,0,0
고등나래 유치원,37.426969,127.096496,0,5,11,4,10,17,6,1,0
은서유치원,37.443605,127.134977,5,9,13,3,29,36,7,2,5
선경유치원,37.450411,127.162262,1,17,27,3,22,25,6,2,1
예원유치원,37.435032,127.143201,5,12,12,2,14,17,5,1,5
다솜유치원,37.447962,127.163685,3,15,11,1,19,35,4,1,3
도촌유치원,37.413897,127.149775,5,6,20,1,7,13,5,0,5
아름다운유치원,37.367591,127.125773,3,6,10,1,6,14,9,2,3
안촌 유치원,37.368171,127.110392,4,7,12,2,11,18,0,1,3
세화유치원,37.372737,127.136164,5,6,37,1,22,11,3,1,5
분당중앙유치원,37.373451,127.141671,4,15,29,3,34,21,2,2,4
꿈터 유치원,37.347269,127.113122,2,7,18,2,14,15,10,2,4
배성유치원,37.405999,127.142401,3,6,17,1,17,8,2,2,2
이솔유치원,37.352756,127.112602,5,8,12,2,14,9,5,1,5
성모 유치원,37.340099,127.124419,1,2,4,0,4,7,0,0,1
판교샘유치원,37.392021,127.072039,2,19,9,0,15,19,1,1,4
건영장안유치원,37.371127,127.140849,6,18,30,1,30,15,9,0,6
뽀뽀뽀유치원,37.415425,127.138017,6,14,39,2,12,9,4,1,6
창조유치원,37.359154,127.124992,1,4,0,0,10,30,0,0,1
해나유치원,37.390831,127.09829,5,12,17,1,17,18,2,0,4
꾸러기유치원,37.403847,127.127335,3,4,19,1,10,9,4,0,3
샛별유치원,37.371468,127.129754,2,4,6,1,4,7,4,1,2
성마르코유치원,37.410832,127.133182,4,8,6,0,17,23,8,0,6
은혜유치원,37.360908,127.111946,5,13,11,3,11,15,0,0,6
숲리라유치원,37.469683,127.147866,0,17,28,2,29,14,7,2,0
즐거운유치원,37.351408,127.111941,4,7,12,4,15,14,5,0,4
희영유치원,37.388294,127.114186,7,10,35,2,16,21,8,3,7
혜성유치원,37.444509,127.160252,4,6,20,6,10,39,13,1,10
단대어린이집,37.449645,127.155665,5,16,19,0,23,37,8,1,8
산성어린이집,37.453007,127.150387,2,15,14,4,20,19,7,2,2
성남어린이집,37.447702,127.141485,8,19,27,4,30,67,5,3,6
성현어린이집,37.438454,127.138715,4,3,7,2,12,33,3,0,3
신흥제2어린이집,37.449202,127.144413,10,11,27,6,22,38,9,1,8
리플플러스어린이집,37.44181,127.128384,13,3,2,7,4,33,9,0,9
한양어린이집,37.435594,127.1281,2,6,12,4,5,36,2,1,2
신흥제3어린이집,37.443531,127.148854,5,13,23,4,12,30,6,0,5
복정어린이집,37.461129,127.130488,0,12,18,1,9,8,1,1,0
복정2어린이집,37.463264,127.129126,1,14,22,2,14,16,1,1,1
아이세상 어린이집,37.4422,127.134779,2,8,17,5,22,37,5,0,2
다솜어린이집,37.434004,127.166096,2,0,0,0,3,13,2,0,2
중앙동어린이집,37.442671,127.156555,6,7,19,2,14,35,6,0,9
금광2동제2어린이집,37.448432,127.163031,2,16,14,0,19,33,4,1,2
하대원어린이집,37.427838,127.149429,3,1,0,2,4,18,3,0,2
서광어린이집,37.405702,127.14948,2,2,11,0,16,4,6,0,4
분당어린이집,37.368598,127.143274,5,6,0,0,5,24,11,0,5
판교어린이집,37.385948,127.088207,6,12,22,0,10,12,4,0,7
서현어린이집,37.382447,127.126079,1,7,8,2,12,12,3,1,1
성남생명숲어린이집,37.371025,127.115253,1,8,6,0,9,25,1,0,1
갈보리어린이집,37.390494,127.132889,0,10,4,1,5,9,0,0,0
휴맥스어린이집,37.370358,127.095881,0,3,0,0,2,5,0,0,0
