행정구역,2025년_계_총인구수,2025년_계_연령구간인구수,2025년_계_0~4세,2025년_계_5~9세,2025년_계_10~14세,2025년_계_15~19세,2025년_남_총인구수,2025년_남_연령구간인구수,2025년_남_0~4세,2025년_남_5~9세,2025년_남_10~14세,2025년_남_15~19세,2025년_여_총인구수,2025년_여_연령구간인구수,2025년_여_0~4세,2025년_여_5~9세,2025년_여_10~14세,2025년_여_15~19세
경기도 성남시 (4113000000),"905,794","135,396","23,841","30,320","40,148","41,087","447,380","69,062","12,224","15,421","20,581","20,836","458,414","66,334","11,617","14,899","19,567","20,251"
경기도 성남시 수정구 (4113100000),"232,389","28,654","5,925","6,772","7,725","8,232","117,449","14,523","3,039","3,434","3,886","4,164","114,940","14,131","2,886","3,338","3,839","4,068"
경기도 성남시 수정구 신흥1동(4113151000),"12,046",810,101,139,248,322,"6,439",416,53,72,128,163,"5,607",394,48,67,120,159
경기도 성남시 수정구 신흥2동(4113152000),"31,635","5,231","1,621","1,410","1,078","1,122","15,368","2,624",810,727,543,544,"16,267","2,607",811,683,535,578
경기도 성남시 수정구 신흥3동(4113153000),"10,670",748,122,143,198,285,"5,735",381,68,68,95,150,"4,935",367,54,75,103,135
경기도 성남시 수정구 태평1동(4113154000),"13,522",821,133,140,211,337,"7,005",411,60,63,109,179,"6,517",410,73,77,102,158
경기도 성남시 수정구 태평2동(4113155000),"13,628","1,151",186,212,326,427,"6,872",571,83,105,159,224,"6,756",580,103,107,167,203
경기도 성남시 수정구 태평3동(4113156000),"11,585",978,130,178,295,375,"5,951",488,65,89,143,191,"5,634",490,65,89,152,184
경기도 성남시 수정구 태평4동(4113156100),"10,906","1,066",127,174,328,437,"5,616",556,65,95,167,229,"5,290",510,62,79,161,208
경기도 성남시 수정구 수진1동(4113157000),"10,775",621,77,105,192,247,"5,742",320,38,52,96,134,"5,033",301,39,53,96,113
경기도 성남시 수정구 수진2동(4113158000),"14,334","1,214",185,241,346,442,"7,215",628,104,120,169,235,"7,119",586,81,121,177,207
경기도 성남시 수정구 단대동(4113159000),"14,162","1,683",295,336,497,555,"6,962",883,155,174,269,285,"7,200",800,140,162,228,270
경기도 성남시 수정구 산성동(4113160000),"4,421",499,56,110,142,191,"2,212",268,32,55,87,94,"2,209",231,24,55,55,97
경기도 성남시 수정구 양지동(4113161000),"8,923",936,89,161,295,391,"4,380",472,40,83,158,191,"4,543",464,49,78,137,200
경기도 성남시 수정구 복정동(4113162000),"10,453",878,236,183,185,274,"5,856",433,124,87,89,133,"4,597",445,112,96,96,141
경기도 성남시 수정구 위례동(4113162500),"45,473","8,995","1,745","2,348","2,732","2,170","22,014","4,544",918,"1,205","1,350","1,071","23,459","4,451",827,"1,143","1,382","1,099"
경기도 성남시 수정구 신촌동(4113163000),"4,511",837,206,223,200,208,"2,392",436,114,109,105,108,"2,119",401,92,114,95,100
경기도 성남시 수정구 고등동(4113164000),"11,797","1,926",552,609,383,382,"5,772",960,277,299,189,195,"6,025",966,275,310,194,187
경기도 성남시 수정구 시흥동(4113165000),"3,548",260,64,60,69,67,"1,918",132,33,31,30,38,"1,630",128,31,29,39,29
경기도 성남시 중원구 (4113300000),"203,572","24,259","4,903","5,391","6,592","7,373","102,424","12,408","2,420","2,776","3,411","3,801","101,148","11,851","2,483","2,615","3,181","3,572"
경기도 성남시 중원구 성남동(4113351000),"31,835","2,561",480,451,702,928,"16,612","1,288",238,222,360,468,"15,223","1,273",242,229,342,460
경기도 성남시 중원구 중앙동(4113352500),"16,585","2,468",681,624,601,562,"8,415","1,264",337,342,301,284,"8,170","1,204",344,282,300,278
경기도 성남시 중원구 금광1동(4113353000),"19,608","3,367","1,147","1,079",622,519,"9,624","1,687",547,563,303,274,"9,984","1,680",600,516,319,245
경기도 성남시 중원구 금광2동(4113354000),"23,438","2,429",417,498,654,860,"11,596","1,229",219,233,334,443,"11,842","1,200",198,265,320,417
경기도 성남시 중원구 은행1동(4113355000),"9,289","1,086",162,199,314,411,"4,576",564,77,117,160,210,"4,713",522,85,82,154,201
경기도 성남시 중원구 은행2동(4113356000),"20,978","1,914",238,350,566,760,"10,303",969,126,173,291,379,"10,675",945,112,177,275,381
경기도 성남시 중원구 상대원1동(4113357000),"22,454","2,318",431,467,696,724,"11,691","1,179",207,218,389,365,"10,763","1,139",224,249,307,359
경기도 성남시 중원구 상대원2동(4113358000),"2,911",283,41,50,91,101,"1,506",157,16,30,54,57,"1,405",126,25,20,37,44
