시설물명,위도,경도,카테고리
무인교통단속카메라_수정신흥1-D-1,37.442751,127.142565,무인교통단속카메라
무인교통단속카메라_수정신흥1-D-2,37.44273,127.138668,무인교통단속카메라
무인교통단속카메라_수정신흥1-D-3,37.438597,127.141886,무인교통단속카메라
무인교통단속카메라_수정신흥2-D-1,37.450373,127.151741,무인교통단속카메라
무인교통단속카메라_수정신흥2-D-2,37.450341,127.14645,무인교통단속카메라
무인교통단속카메라_수정신흥2-D-3,37.45043,127.14674,무인교통단속카메라
무인교통단속카메라_수정신흥2-D-4,37.448539,127.152126,무인교통단속카메라
무인교통단속카메라_수정신흥2-D-5,37.449985,127.15023,무인교통단속카메라
무인교통단속카메라_수정신흥2-D-6,37.449971,127.147145,무인교통단속카메라
무인교통단속카메라_수정신흥2-D-7,37.44555,127.148825,무인교통단속카메라
무인교통단속카메라_수정신흥2-D-8,37.450312,127.151898,무인교통단속카메라
무인교통단속카메라_수정신흥2-D-9,37.450807,127.148757,무인교통단속카메라
무인교통단속카메라_수정신흥2-D-10,37.448262,127.145517,무인교통단속카메라
무인교통단속카메라_수정신흥2-A-10,37.44935,127.14324,무인교통단속카메라
무인교통단속카메라_수정신흥2-A-24,37.445971,127.149381,무인교통단속카메라
무인교통단속카메라_수정신흥2-A-4,37.44667,127.14936,무인교통단속카메라
무인교통단속카메라_수정신흥2-A-26,37.449078,127.143242,무인교통단속카메라
무인교통단속카메라_수정신흥2-E-1,37.443741,127.152815,무인교통단속카메라
무인교통단속카메라_수정신흥3-D-1,37.442365,127.149905,무인교통단속카메라
무인교통단속카메라_수정신흥3-D-2,37.441666,127.148494,무인교통단속카메라
무인교통단속카메라_수정신흥3-D-3,37.441109,127.144062,무인교통단속카메라
무인교통단속카메라_수정신흥3-D-4,37.44009,127.144501,무인교통단속카메라
무인교통단속카메라_수정신흥3-D-5,37.441356,127.146447,무인교통단속카메라
무인교통단속카메라_수정태평1-D-1,37.443891,127.127355,무인교통단속카메라
무인교통단속카메라_수정태평1-D-2,37.440206,127.12873,무인교통단속카메라
무인교통단속카메라_수정태평1-D-3,37.440052,127.127332,무인교통단속카메라
무인교통단속카메라_수정태평1-D-4,37.441035,127.131487,무인교통단속카메라
무인교통단속카메라_수정태평2-D-1,37.450558,127.138315,무인교통단속카메라
무인교통단속카메라_수정태평2-D-2,37.443834,127.138397,무인교통단속카메라
무인교통단속카메라_수정태평3-D-1,37.441681,127.133584,무인교통단속카메라
무인교통단속카메라_수정태평3-D-2,37.441881,127.131161,무인교통단속카메라
무인교통단속카메라_수정태평3-D-3,37.441398,127.132117,무인교통단속카메라
무인교통단속카메라_수정태평3-D-4,37.444825,127.130011,무인교통단속카메라
무인교통단속카메라_수정태평3-A-1,37.444954,127.131681,무인교통단속카메라
무인교통단속카메라_수정태평3-A-9,37.448243,127.129489,무인교통단속카메라
무인교통단속카메라_수정태평3-A-21,37.44797,127.12851,무인교통단속카메라
무인교통단속카메라_수정태평4-D-1,37.444593,127.143015,무인교통단속카메라
무인교통단속카메라_수정태평4-D-2,37.451656,127.140582,무인교통단속카메라
무인교통단속카메라_수정태평4-A-5,37.447863,127.140886,무인교통단속카메라
무인교통단속카메라_수정태평4-A-17,37.44745,127.13892,무인교통단속카메라
무인교통단속카메라_수정태평4-A-20,37.44571,127.14499,무인교통단속카메라
무인교통단속카메라_수정수진1-D-1,37.441765,127.135465,무인교통단속카메라
무인교통단속카메라_수정수진1-D-2,37.44073,127.132218,무인교통단속카메라
무인교통단속카메라_수정수진1-A-41,37.441399,127.136427,무인교통단속카메라
무인교통단속카메라_수정수진2-D-1,37.440198,127.130177,무인교통단속카메라
무인교통단속카메라_수정수진2-D-2,37.438543,127.128377,무인교통단속카메라
무인교통단속카메라_수정수진2-D-3,37.439421,127.132293,무인교통단속카메라
무인교통단속카메라_수정수진2-D-4,37.439361,127.127461,무인교통단속카메라
무인교통단속카메라_수정수진2-D-5,37.436131,127.128017,무인교통단속카메라
무인교통단속카메라_수정수진2-D-6,37.440642,127.131692,무인교통단속카메라
무인교통단속카메라_수정수진2-D-7,37.4338,127.125947,무인교통단속카메라
무인교통단속카메라_수정수진2-D-8,37.440092,127.121563,무인교통단속카메라
무인교통단속카메라_수정수진2-A-20,37.434582,127.127609,무인교통단속카메라
무인교통단속카메라_수정단대-D-1,37.451247,127.159269,무인교통단속카메라
무인교통단속카메라_수정단대-A-1,37.452701,127.157241,무인교통단속카메라
무인교통단속카메라_수정산성-D-1,37.454651,127.150271,무인교통단속카메라
무인교통단속카메라_수정산성-A-1,37.451481,127.151474,무인교통단속카메라
무인교통단속카메라_수정산성-A-2,37.45153,127.152066,무인교통단속카메라
무인교통단속카메라_수정양지-D-1,37.462799,127.168872,무인교통단속카메라
무인교통단속카메라_수정양지-A-1,37.459321,127.161675,무인교통단속카메라
무인교통단속카메라_수정복정-A-4,37.462042,127.128323,무인교통단속카메라
무인교통단속카메라_수정복정-A-15,37.465792,127.128438,무인교통단속카메라
무인교통단속카메라_수정위례-D-1,37.471226,127.143735,무인교통단속카메라
무인교통단속카메라_수정위례-D-2,37.471898,127.135873,무인교통단속카메라
무인교통단속카메라_수정위례-D-3,37.467399,127.140081,무인교통단속카메라
무인교통단속카메라_수정위례-D-4,37.466679,127.148395,무인교통단속카메라
무인교통단속카메라_수정위례-D-5,37.463244,127.139814,무인교통단속카메라
무인교통단속카메라_수정위례-D-6,37.473051,127.141263,무인교통단속카메라
무인교통단속카메라_수정위례-D-7,37.466768,127.142159,무인교통단속카메라
무인교통단속카메라_수정위례-D-8,37.466224,127.136574,무인교통단속카메라
무인교통단속카메라_수정위례-D-9,37.46527,127.139208,무인교통단속카메라
무인교통단속카메라_수정위례-D-10,37.472971,127.149439,무인교통단속카메라
무인교통단속카메라_수정위례-D-11,37.466271,127.14053,무인교통단속카메라
무인교통단속카메라_수정위례-D-12,37.470832,127.143247,무인교통단속카메라
무인교통단속카메라_수정위례-D-13,37.46475,127.14077,무인교통단속카메라
무인교통단속카메라_수정위례-A-10,37.47149,127.145774,무인교통단속카메라
무인교통단속카메라_수정위례-A-12,37.470732,127.150959,무인교통단속카메라
무인교통단속카메라_수정위례-A-35,37.465765,127.147019,무인교통단속카메라
무인교통단속카메라_수정위례-A-40,37.472279,127.150085,무인교통단속카메라
무인교통단속카메라_수정고등-D-1,37.424751,127.102221,무인교통단속카메라
무인교통단속카메라_수정고등-D-2,37.430091,127.100748,무인교통단속카메라
무인교통단속카메라_수정고등-D-3,37.428899,127.094484,무인교통단속카메라
무인교통단속카메라_수정고등-D-4,37.427873,127.093456,무인교통단속카메라
무인교통단속카메라_수정고등-D-5,37.428001,127.097741,무인교통단속카메라
무인교통단속카메라_수정고등-D-6,37.428095,127.100761,무인교통단속카메라
무인교통단속카메라_수정고등-D-7,37.426672,127.095531,무인교통단속카메라
무인교통단속카메라_수정고등-D-8,37.425517,127.100311,무인교통단속카메라
무인교통단속카메라_수정고등-D-9,37.429971,127.096454,무인교통단속카메라
무인교통단속카메라_수정고등-D-10,37.428477,127.092877,무인교통단속카메라
무인교통단속카메라_수정금토-D-1,37.409791,127.099093,무인교통단속카메라
무인교통단속카메라_수정시흥-D-1,37.4114,127.099742,무인교통단속카메라
무인교통단속카메라_수정시흥-D-2,37.424751,127.102595,무인교통단속카메라
무인교통단속카메라_수정시흥-D-4,37.410857,127.094998,무인교통단속카메라
무인교통단속카메라_수정시흥-D-5,37.412503,127.093736,무인교통단속카메라
무인교통단속카메라_수정시흥-D-6,37.408733,127.095674,무인교통단속카메라
무인교통단속카메라_수정시흥-D-7,37.408021,127.090105,무인교통단속카메라
무인교통단속카메라_수정시흥-D-8,37.406494,127.090013,무인교통단속카메라
무인교통단속카메라_수정시흥-D-9,37.405202,127.088283,무인교통단속카메라
무인교통단속카메라_수정시흥-D-10,37.406387,127.086054,무인교통단속카메라
무인교통단속카메라_중원성남-D-1,37.436594,127.142265,무인교통단속카메라
무인교통단속카메라_중원성남-D-2,37.43524,127.14342,무인교통단속카메라
무인교통단속카메라_중원성남-D-3,37.433049,127.128123,무인교통단속카메라
무인교통단속카메라_중원성남-D-4,37.429936,127.128577,무인교통단속카메라
무인교통단속카메라_중원성남-D-5,37.432185,127.129034,무인교통단속카메라
무인교통단속카메라_중원성남-D-6,37.435628,127.139594,무인교통단속카메라
무인교통단속카메라_중원성남-D-7,37.429913,127.126326,무인교통단속카메라
무인교통단속카메라_중원성남-D-8,37.433781,127.13473,무인교통단속카메라
무인교통단속카메라_중원성남-D-9,37.43663,127.13964,무인교통단속카메라
무인교통단속카메라_중원성남-E-3,37.439211,127.14466,무인교통단속카메라
무인교통단속카메라_중원중앙-D-2,37.442144,127.152721,무인교통단속카메라
무인교통단속카메라_중원중앙-D-3,37.435867,127.149448,무인교통단속카메라
무인교통단속카메라_중원중앙-D-4,37.438357,127.14546,무인교통단속카메라
무인교통단속카메라_중원중앙-D-5,37.439457,127.148008,무인교통단속카메라
무인교통단속카메라_중원중앙-D-6,37.440212,127.149569,무인교통단속카메라
무인교통단속카메라_중원중앙-D-7,37.439463,127.150823,무인교통단속카메라
무인교통단속카메라_중원중앙-D-8,37.436684,127.146668,무인교통단속카메라
무인교통단속카메라_중원중앙-D-9,37.437687,127.148968,무인교통단속카메라
무인교통단속카메라_중원중앙-D-10,37.43801,127.15035,무인교통단속카메라
무인교통단속카메라_중원중앙-D-11,37.44103,127.15981,무인교통단속카메라
무인교통단속카메라_중원금광1-D-1,37.441983,127.164111,무인교통단속카메라
무인교통단속카메라_중원금광1-D-2,37.445043,127.162136,무인교통단속카메라
무인교통단속카메라_중원금광1-D-3,37.44355,127.165994,무인교통단속카메라
무인교통단속카메라_중원금광1-D-5,37.44583,127.167486,무인교통단속카메라
무인교통단속카메라_중원금광1-D-6,37.42266,127.16126,무인교통단속카메라
무인교통단속카메라_중원금광1-D-7,37.44276,127.15923,무인교통단속카메라
무인교통단속카메라_중원금광1-D-8,37.44328,127.16225,무인교통단속카메라
무인교통단속카메라_중원금광1-D-9,37.444167,127.164106,무인교통단속카메라
무인교통단속카메라_중원금광1-D-10,37.44458,127.166777,무인교통단속카메라
무인교통단속카메라_중원금광1-D-11,37.442448,127.163628,무인교통단속카메라
무인교통단속카메라_중원금광1-D-12,37.443049,127.165444,무인교통단속카메라
무인교통단속카메라_중원금광1-D-13,37.444882,127.16214,무인교통단속카메라
무인교통단속카메라_중원금광1-D-14,37.445766,127.165324,무인교통단속카메라
무인교통단속카메라_중원금광1-D-15,37.44407,127.159703,무인교통단속카메라
무인교통단속카메라_중원금광1-D-16,37.440992,127.159788,무인교통단속카메라
무인교통단속카메라_중원금광2-D-1,37.444751,127.158591,무인교통단속카메라
무인교통단속카메라_중원금광2-D-2,37.45244,127.16046,무인교통단속카메라
무인교통단속카메라_중원금광2-A-33,37.44722,127.1697,무인교통단속카메라
무인교통단속카메라_중원은행1-D-1,37.451547,127.164951,무인교통단속카메라
무인교통단속카메라_중원은행1-A-1,37.451621,127.165648,무인교통단속카메라
무인교통단속카메라_중원은행1-A-10,37.45448,127.1631,무인교통단속카메라
무인교통단속카메라_중원은행2-A-12,37.453884,127.162721,무인교통단속카메라
무인교통단속카메라_중원은행2-D-1,37.454946,127.162026,무인교통단속카메라
무인교통단속카메라_중원상대원1-D-1,37.433557,127.160771,무인교통단속카메라
무인교통단속카메라_중원상대원1-D-2,37.444978,127.179149,무인교통단속카메라
무인교통단속카메라_중원상대원1-D-3,37.430585,127.167141,무인교통단속카메라
무인교통단속카메라_중원상대원1-D-4,37.434861,127.171171,무인교통단속카메라
무인교통단속카메라_중원상대원1-D-5,37.432392,127.170058,무인교통단속카메라
무인교통단속카메라_중원상대원1-D-6,37.4336,127.17412,무인교통단속카메라
무인교통단속카메라_중원상대원1-A-13,37.442383,127.181591,무인교통단속카메라
무인교통단속카메라_중원상대원2-D-1,37.436495,127.15798,무인교통단속카메라
무인교통단속카메라_중원상대원2-D-2,37.4392,127.158771,무인교통단속카메라
무인교통단속카메라_중원상대원3-D-1,37.440165,127.162594,무인교통단속카메라
무인교통단속카메라_중원하대원-D-1,37.42901,127.137229,무인교통단속카메라
무인교통단속카메라_중원하대원-D-2,37.42875,127.148891,무인교통단속카메라
무인교통단속카메라_중원하대원-D-3,37.431329,127.15728,무인교통단속카메라
무인교통단속카메라_중원하대원-D-4,37.429078,127.149759,무인교통단속카메라
무인교통단속카메라_중원하대원-D-5,37.42867,127.130181,무인교통단속카메라
무인교통단속카메라_중원하대원-D-6,37.428222,127.131416,무인교통단속카메라
무인교통단속카메라_중원하대원-D-7,37.42841,127.1357,무인교통단속카메라
무인교통단속카메라_중원하대원-A-15,37.429483,127.144034,무인교통단속카메라
무인교통단속카메라_중원하대원-A-22,37.43114,127.15121,무인교통단속카메라
무인교통단속카메라_중원도촌-D-1,37.418578,127.12554,무인교통단속카메라
무인교통단속카메라_중원도촌-D-2,37.418557,127.127423,무인교통단속카메라
무인교통단속카메라_중원도촌-D-5,37.418003,127.128187,무인교통단속카메라
무인교통단속카메라_중원도촌-D-6,37.417132,127.127783,무인교통단속카메라
무인교통단속카메라_중원도촌-D-7,37.41706,127.12574,무인교통단속카메라
무인교통단속카메라_중원도촌-D-8,37.417938,127.124767,무인교통단속카메라
무인교통단속카메라_중원도촌-D-9,37.418953,127.132091,무인교통단속카메라
무인교통단속카메라_중원도촌-A-3,37.413311,127.158665,무인교통단속카메라
무인교통단속카메라_중원도촌-A-14,37.41943,127.132461,무인교통단속카메라
무인교통단속카메라_중원도촌-A-32,37.413898,127.149773,무인교통단속카메라
무인교통단속카메라_중원도촌-A-41,37.41865,127.13404,무인교통단속카메라
무인교통단속카메라_분당분당-A-20,37.372662,127.144459,무인교통단속카메라
무인교통단속카메라_분당분당-A-21,37.373689,127.131262,무인교통단속카메라
무인교통단속카메라_분당수내1-D-1,37.377771,127.111777,무인교통단속카메라
무인교통단속카메라_분당수내1-D-2,37.379502,127.115041,무인교통단속카메라
무인교통단속카메라_분당수내1-A-4,37.376826,127.117592,무인교통단속카메라
무인교통단속카메라_분당수내1-A-27,37.37406,127.11872,무인교통단속카메라
무인교통단속카메라_분당수내2-D-1,37.371531,127.122101,무인교통단속카메라
무인교통단속카메라_분당수내2-D-2,37.371902,127.12017,무인교통단속카메라
무인교통단속카메라_분당수내2-D-3,37.370357,127.122641,무인교통단속카메라
무인교통단속카메라_분당수내2-A-9,37.37269,127.12148,무인교통단속카메라
무인교통단속카메라_분당수내3-A-7,37.367761,127.124663,무인교통단속카메라
무인교통단속카메라_분당정자-D-1,37.3719,127.1097,무인교통단속카메라
