구 분,기관명,소 재 지,관할구역,전화번호,데이터기준일자
분당구,성남교육지원청,경기도 성남시 분당구 양현로 20,성남시,031-780-2500,2025-11-26
수정구,성남세무서,경기도 성남시 수정구 희망로 480,"성남시 수정구, 중원구",031-730-6200,2025-11-26
분당구,분당세무서,경기도 성남시 분당구 분당로 23,성남시 분당구,031-219-9200,2025-11-26
법원(지원),수원지방법원성남지원,경기도 성남시 수정구 산성대로 451,성남시,031-737-1114,2025-11-26
등기소,성남지원등기소,경기도 성남시 수정구 산성대로 451,성남시,1544-0773,2025-11-26
등기소,분당등기소,경기도 성남시 분당구 불정로 406번길 21,성남시,1544-0773,2025-11-26
검찰(지청),수원지방검찰청성남지청,경기도 성남시 수정구 산성대로 451,성남시,031-739-4301,2025-11-26
수정구,성남수정경찰서,경기도 성남시 성남대로 1259,수정구,031-182,2025-11-26
수정구,수진지구대,경기도 성남시 수정구 모란로 1,"태평1동, 수진2동",031-750-4020,2025-11-26
수정구,신흥지구대,경기도 성남시 수정구 시민로 150,"신흥1동, 신흥2동, 신흥3동",031-750-4030,2025-11-26
수정구,고등파출소,경기도 성남시 수정구 고등공원로 47,"신촌동, 오야동 등 9개동",031-750-4050,2025-11-26
수정구,복정파출소,경기도 성남시 수정구 복정로 36,복정동,031-750-4060,2025-11-26
수정구,산성파출소,경기도 성남시 수정구 수정남로 317,산성동,031-750-4010,2025-11-26
수정구,중앙파출소,경기도 성남시 수정구 수정로 145,"태평2동, 태평3동",031-750-4040,2025-11-26
수정구,태평4파출소,경기도 성남시 수정구 남문로 128,태평4동,031-750-4034,2025-11-26
수정구,수진1파출소,경기도 성남시 수정구 탄리로 21,수진1동,031-750-4024,2025-11-26
수정구,성남위례파출소,경기도 성남시 수정구 위례동로 135,"위례동, 창곡동",031-750-4070,2025-11-26
수정구,단대파출소,경기도 성남시 수정구 단대로 15,"양지동, 단대동",031-750-4010,2025-11-26
중원구,성남중원경찰서,경기도 성남시 중원구 금빛로2번길10,중원구,031-182,2025-11-26
중원구,성호지구대,경기도 성남시 중원구 산성대로 190-6,성남동,031-8036-5403,2025-11-26
중원구,금광지구대,경기도 성남시 중원구 산성대로408번길 26-1,"금광1동, 금광2동",031-8036-5413,2025-11-26
중원구,은행파출소,경기도 성남시 중원구 은행로 25번길 14,"은행1동, 은행2동",031-8036-5443,2025-11-26
중원구,대원파출소,경기도 성남시 중원구 둔촌대로 439,"상대원1동, 상대원 3동",031-8036-5423,2025-11-26
